PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
09321,-7.843325,4.559242,8.282071,1.898269,-0.007425,2.323763,-0.094148,-0.425778,-0.007382,-0.078608,0.045634,0.082632,0.999998,-0.000471,-0.002129,-0.000037,0.827694,0.290447,0.312699,-0.364392,21.694496,46.828732,-38.036310
09322,-7.740755,3.099797,7.007937,0.392067,0.079231,1.072113,-0.171802,-0.558824,0.009783,-0.077604,0.031054,0.069836,0.999996,-0.000859,-0.002794,0.000049,0.828865,0.288707,0.310666,-0.364854,21.476278,46.524794,-38.195291
09323,-6.313524,3.541110,6.366206,1.286316,0.224904,-0.261603,-0.076993,-0.529173,0.042192,-0.063311,0.035422,0.063481,0.999996,-0.000385,-0.002646,0.000211,0.829902,0.287466,0.308539,-0.365281,21.339688,46.230293,-38.317595
09324,-6.504484,3.558539,6.503427,1.217889,0.267190,-0.029477,-0.376907,-0.391116,0.057795,-0.065182,0.035689,0.064840,0.999996,-0.001885,-0.001956,0.000289,0.831182,0.285251,0.307502,-0.364981,21.071217,46.005206,-38.384810
09325,-6.204823,2.294875,6.224469,0.301501,-0.339368,-0.740530,-0.515404,-0.321441,0.104312,-0.062160,0.023076,0.062085,0.999995,-0.002577,-0.001607,0.000522,0.832627,0.282660,0.306944,-0.364171,20.765659,45.808465,-38.393599
09326,-6.007883,1.585198,5.910696,-0.244232,-0.579803,-1.260029,-0.311426,-0.190383,0.151003,-0.060147,0.015899,0.059025,0.999998,-0.001557,-0.000952,0.000755,0.833665,0.281223,0.306486,-0.363293,20.630444,45.671617,-38.327616
09327,-6.290322,2.159882,6.351925,0.174130,-0.417954,-0.627091,-0.020766,-0.071300,0.160191,-0.062943,0.021555,0.063495,1.000000,-0.000104,-0.000356,0.000801,0.834124,0.281231,0.305989,-0.362652,20.691586,45.597656,-38.219935
09328,-6.805789,2.541966,6.654401,0.269042,-0.181172,0.033946,-0.031836,-0.029625,0.130773,-0.068084,0.025386,0.066530,1.000000,-0.000159,-0.000148,0.000654,0.834484,0.281219,0.305721,-0.362060,20.738352,45.551019,-38.123211
09329,-7.226270,2.371803,6.573695,-0.129522,-0.041743,0.239147,-0.005009,-0.043060,0.115441,-0.072291,0.023678,0.065721,1.000000,-0.000025,-0.000215,0.000577,0.834795,0.281275,0.305375,-0.361590,20.789519,45.501142,-38.041961
09330,-7.635045,2.361200,6.605317,-0.367088,0.109789,0.548420,0.008681,-0.114254,0.113034,-0.076401,0.023566,0.066011,1.000000,0.000043,-0.000571,0.000565,0.835194,0.281252,0.304705,-0.361252,20.831973,45.412671,-37.983658
09331,-7.659221,2.306420,6.473918,-0.482151,0.188302,0.464806,0.027810,-0.221180,0.103564,-0.076676,0.023016,0.064658,0.999999,0.000139,-0.001106,0.000518,0.835708,0.281105,0.303573,-0.361132,20.858312,45.269759,-37.963490
09332,-7.465441,2.523271,6.419836,-0.245894,0.285489,0.344672,-0.013870,-0.298521,0.078725,-0.074760,0.025208,0.064085,0.999999,-0.000069,-0.001493,0.000394,0.836354,0.280602,0.302221,-0.361162,20.831078,45.089655,-37.984923
