PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
12517,-5.372721,8.266238,-0.403249,0.047923,0.027845,0.054245,0.138252,0.040055,-0.019452,-0.053720,0.082670,-0.003965,1.000000,0.000691,0.000200,-0.000097,0.658286,0.696069,0.186269,-0.217834,92.633381,33.263506,-1.883465
12518,-5.438898,8.550437,-0.192442,0.135782,-0.211413,0.319710,0.136885,0.017788,-0.016660,-0.054382,0.085510,-0.001861,1.000000,0.000684,0.000089,-0.000083,0.657803,0.696516,0.186190,-0.217930,92.714797,33.266696,-1.873917
12519,-5.393781,8.621708,-0.099913,0.207463,-0.318858,0.350580,0.065513,0.018231,-0.022132,-0.053928,0.086223,-0.000966,1.000000,0.000328,0.000091,-0.000111,0.657556,0.696728,0.186207,-0.217983,92.756459,33.273251,-1.864392
12520,-5.342809,8.450908,-0.223943,0.165501,-0.188862,0.184840,-0.007120,0.039121,-0.032058,-0.053415,0.084518,-0.002232,1.000000,-0.000036,0.000196,-0.000160,0.657539,0.696710,0.186409,-0.217921,92.763645,33.284642,-1.839718
12521,-5.415186,8.291965,-0.332537,0.026432,-0.069242,0.096198,-0.010943,0.041352,-0.029282,-0.054140,0.082927,-0.003319,1.000000,-0.000055,0.000207,-0.000146,0.657528,0.696689,0.186610,-0.217846,92.770326,33.294645,-1.814121
12522,-5.436870,8.183269,-0.330435,-0.049888,-0.064604,0.017265,0.010020,0.013708,-0.021050,-0.054360,0.081839,-0.003297,1.000000,0.000050,0.000069,-0.000105,0.657487,0.696710,0.186672,-0.217853,92.777582,33.300430,-1.807201
12523,-5.360728,8.160592,-0.211874,-0.004372,-0.184152,-0.048281,0.014685,-0.009759,-0.023927,-0.053597,0.081612,-0.002115,1.000000,0.000073,-0.000049,-0.000120,0.657441,0.696723,0.186658,-0.217961,92.779641,33.308784,-1.816773
12524,-5.311975,8.184844,-0.165979,0.048320,-0.232663,-0.056672,0.002340,-0.004592,-0.024642,-0.053110,0.081855,-0.001660,1.000000,0.000012,-0.000023,-0.000123,0.657440,0.696695,0.186681,-0.218037,92.775673,33.317135,-1.822265
12525,-5.301450,8.239033,-0.092879,0.084218,-0.307378,-0.020135,-0.043524,0.003375,-0.028581,-0.053003,0.082398,-0.000946,1.000000,-0.000218,0.000017,-0.000143,0.657579,0.696526,0.186790,-0.218061,92.749401,33.327788,-1.822692
12526,-5.301993,8.176594,-0.249521,0.060542,-0.141782,-0.065570,-0.082796,0.011070,-0.025240,-0.053010,0.081772,-0.002526,1.000000,-0.000414,0.000055,-0.000126,0.657859,0.696235,0.186959,-0.218004,92.702533,33.336045,-1.817439
12527,-5.343139,8.057916,-0.329390,-0.032772,-0.047744,-0.138790,-0.065920,0.018011,-0.019657,-0.053424,0.080583,-0.003316,1.000000,-0.000330,0.000090,-0.000098,0.658072,0.696017,0.187109,-0.217926,92.668773,33.341197,-1.808144
12528,-5.471131,7.994299,-0.231735,-0.179302,-0.135676,-0.125312,0.012776,0.004298,-0.015580,-0.054705,0.079947,-0.002311,1.000000,0.000064,0.000021,-0.000078,0.658036,0.696041,0.187118,-0.217950,92.673933,33.344110,-1.807849
