// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
29245,-9.640266,0.742806,0.058420,0.046537,-0.055262,-0.143940,0.019535,0.020512,0.099987,-0.096406,0.007380,0.000595,1.000000,0.000098,0.000103,0.000500,0.399066,0.609935,0.355709,-0.584976,87.648408,85.945457,-27.793861
29246,-9.668767,0.692073,0.018040,0.006288,0.007031,-0.119172,0.006959,0.021383,0.099344,-0.096691,0.006873,0.000191,1.000000,0.000035,0.000107,0.000497,0.399326,0.610189,0.355380,-0.584733,87.806457,85.883962,-27.640962
29247,-9.697690,0.672394,0.022554,-0.025678,0.015527,-0.091736,-0.012032,0.024905,0.102102,-0.096980,0.006674,0.000237,1.000000,-0.000060,0.000125,0.000511,0.399662,0.610419,0.355112,-0.584427,87.980183,85.819782,-27.459260
29248,-9.724582,0.643174,-0.006303,-0.051818,0.057912,-0.067168,-0.024370,0.029121,0.100752,-0.097249,0.006383,-0.000050,1.000000,-0.000122,0.000146,0.000504,0.400008,0.610635,0.354887,-0.584101,88.171171,85.757557,-27.255258
29249,-9.753631,0.623290,-0.002277,-0.083792,0.066419,-0.039746,-0.030223,0.029588,0.094138,-0.097539,0.006187,-0.000009,1.000000,-0.000151,0.000148,0.000471,0.400368,0.610827,0.354705,-0.583764,88.357671,85.697935,-27.050265
29250,-9.753047,0.632355,-0.005157,-0.084285,0.067353,-0.039757,-0.034580,0.033634,0.091717,-0.097533,0.006279,-0.000036,1.000000,-0.000173,0.000168,0.000459,0.400711,0.611020,0.354545,-0.583424,88.563925,85.640860,-26.825095
29251,-9.730528,0.647205,0.027178,-0.093187,0.032781,-0.061122,-0.037113,0.038320,0.086426,-0.097308,0.006430,0.000289,1.000000,-0.000186,0.000192,0.000432,0.401053,0.611209,0.354424,-0.583063,88.799327,85.585662,-26.567067
29252,-9.728183,0.676337,0.035608,-0.079569,0.013789,-0.061292,-0.045846,0.039774,0.076691,-0.097284,0.006726,0.000374,1.000000,-0.000229,0.000199,0.000383,0.401375,0.611371,0.354356,-0.582714,89.031016,85.537134,-26.309875
29253,-9.749888,0.708152,0.041620,-0.063571,-0.003518,-0.037235,-0.045527,0.036843,0.069626,-0.097501,0.007048,0.000433,1.000000,-0.000228,0.000184,0.000348,0.401697,0.611509,0.354308,-0.582376,89.237690,85.491394,-26.075793
29254,-9.707173,0.674840,0.052225,-0.103072,0.000061,-0.082491,-0.051069,0.044720,0.064946,-0.097074,0.006717,0.000542,1.000000,-0.000255,0.000224,0.000325,0.401992,0.611653,0.354300,-0.582026,89.491146,85.449476,-25.793726
29255,-9.680383,0.636993,-0.027393,-0.109139,0.087217,-0.112336,-0.049185,0.044258,0.060215,-0.096806,0.006341,-0.000254,1.000000,-0.000246,0.000221,0.000301,0.402284,0.611788,0.354306,-0.581678,89.739240,85.409006,-25.515962
29256,-9.685836,0.609881,-0.022152,-0.143495,0.094049,-0.109161,-0.042777,0.041596,0.056820,-0.096860,0.006071,-0.000203,1.000000,-0.000214,0.000208,0.000284,0.402535,0.611925,0.354293,-0.581369,89.965695,85.371559,-25.265761
29257,-9.665209,0.569291,-0.047413,-0.174962,0.133241,-0.133109,-0.028264,0.041686,0.053145,-0.096654,0.005667,-0.000455,1.000000,-0.000141,0.000208,0.000266,0.402747,0.612083,0.354254,-0.581079,90.199092,85.334963,-25.014741
29258,-9.664628,0.543601,-0.096438,-0.183906,0.188025,-0.135877,-0.018589,0.041743,0.050697,-0.096648,0.005411,-0.000945,1.000000,-0.000093,0.000209,0.000253,0.402906,0.612258,0.354189,-0.580825,90.433166,85.300883,-24.770780
29259,-9.672359,0.525275,-0.058032,-0.224104,0.160974,-0.129833,-0.003013,0.037622,0.050758,-0.096725,0.005228,-0.000562,1.000000,-0.000015,0.000188,0.000254,0.403041,0.612450,0.354077,-0.580597,90.645686,85.265517,-24.555199
29260,-9.688287,0.587401,-0.061320,-0.174045,0.137703,-0.108954,0.008566,0.037210,0.043581,-0.096884,0.005853,-0.000595,1.000000,0.000043,0.000186,0.000218,0.403103,0.612654,0.353945,-0.580419,90.858181,85.235433,-24.348541
29261,-9.718232,0.592972,-0.013445,-0.197579,0.092379,-0.078816,0.010526,0.038223,0.039239,-0.097184,0.005911,-0.000116,1.000000,0.000053,0.000191,0.000196,0.403162,0.612854,0.353830,-0.580236,91.077930,85.206529,-24.133472
29262,-9.692115,0.614107,-0.002331,-0.186507,0.071728,-0.103193,0.013680,0.032829,0.034899,-0.096922,0.006124,-0.000007,1.000000,0.000068,0.000164,0.000174,0.403191,0.613041,0.353701,-0.580098,91.259699,85.181369,-23.960619
29263,-9.719995,0.609103,0.012907,-0.204394,0.060348,-0.075950,0.004793,0.032463,0.026231,-0.097201,0.006078,0.000145,1.000000,0.000024,0.000162,0.000131,0.403240,0.613190,0.353631,-0.579950,91.434669,85.159876,-23.787178
29264,-9.726111,0.609524,0.063968,-0.230282,0.013322,-0.070016,0.004862,0.031362,0.024366,-0.097262,0.006083,0.000655,1.000000,0.000024,0.000157,0.000122,0.403267,0.613335,0.353557,-0.579822,91.599881,85.140715,-23.625924
29265,-9.717818,0.634815,0.018870,-0.191445,0.042330,-0.076112,0.000363,0.028411,0.018513,-0.097179,0.006339,0.000203,1.000000,0.000002,0.000142,0.000093,0.403314,0.613450,0.353514,-0.579693,91.743771,85.123629,-23.481118
29266,-9.745817,0.628352,0.034612,-0.209128,0.030897,-0.048862,0.003910,0.026723,0.012003,-0.097458,0.006278,0.000359,1.000000,0.000020,0.000134,0.000060,0.403317,0.613558,0.353472,-0.579603,91.877696,85.111575,-23.350688
29267,-9.767867,0.654028,0.041409,-0.193156,0.013619,-0.024777,0.005888,0.025153,0.005407,-0.097679,0.006538,0.000427,1.000000,0.000029,0.000126,0.000027,0.403315,0.613652,0.353447,-0.579521,92.004233,85.102000,-23.226469
29268,-9.747977,0.639048,0.062828,-0.215939,-0.001125,-0.045971,0.012382,0.021372,0.000156,-0.097480,0.006390,0.000639,1.000000,0.000062,0.000107,0.000001,0.403266,0.613741,0.353405,-0.579486,92.108838,85.096812,-23.130452
29269,-9.742000,0.671617,0.051532,-0.182756,-0.006053,-0.049141,0.011212,0.022619,-0.004357,-0.097420,0.006718,0.000527,1.000000,0.000056,0.000113,-0.000022,0.403224,0.613820,0.353390,-0.579441,92.223240,85.092843,-23.021474
29270,-9.776179,0.630110,0.076721,-0.234307,-0.011552,-0.018732,0.010247,0.023140,-0.012212,-0.097761,0.006307,0.000779,1.000000,0.000051,0.000116,-0.000061,0.403142,0.613888,0.353395,-0.579422,92.341178,85.094694,-22.910849
29271,-9.766186,0.672735,0.044548,-0.181362,-0.002472,-0.024938,0.010681,0.016525,-0.023402,-0.097661,0.006739,0.000454,1.000000,0.000053,0.000083,-0.000117,0.403057,0.613915,0.353428,-0.579433,92.419779,85.101738,-22.837499
29272,-9.742363,0.666735,0.045837,-0.184365,-0.003210,-0.049170,0.010437,0.010611,-0.024960,-0.097423,0.006679,0.000464,1.000000,0.000052,0.000053,-0.000125,0.402959,0.613925,0.353445,-0.579480,92.457591,85.111183,-22.807772
29273,-9.710714,0.714291,0.050407,-0.139617,-0.029742,-0.076654,0.010849,0.009158,-0.031641,-0.097106,0.007158,0.000509,1.000000,0.000054,0.000046,-0.000158,0.402862,0.613916,0.353487,-0.579530,92.489722,85.123116,-22.781159
29274,-9.686963,0.707434,0.052164,-0.142617,-0.030497,-0.100881,0.011054,0.008432,-0.034981,-0.096868,0.007091,0.000526,1.000000,0.000055,0.000042,-0.000175,0.402739,0.613903,0.353531,-0.579604,92.516789,85.138354,-22.762110
29275,-9.683112,0.715470,0.030447,-0.123532,-0.015509,-0.103930,0.003096,0.003481,-0.038449,-0.096830,0.007173,0.000306,1.000000,0.000015,0.000017,-0.000192,0.402656,0.613850,0.353605,-0.579672,92.508477,85.154326,-22.771631
29276,-9.675584,0.765854,0.032960,-0.076012,-0.040441,-0.107167,-0.000253,0.004443,-0.035283,-0.096754,0.007676,0.000332,1.000000,-0.000001,0.000022,-0.000176,0.402573,0.613801,0.353675,-0.579739,92.502069,85.169857,-22.779781
29277,-9.687760,0.696513,0.051233,-0.144432,-0.027609,-0.100900,-0.005041,-0.005907,-0.043085,-0.096876,0.006986,0.000509,1.000000,-0.000025,-0.000030,-0.000215,0.402519,0.613697,0.353768,-0.579830,92.426498,85.188714,-22.852120
29278,-9.683954,0.703980,0.030462,-0.125116,-0.012680,-0.103946,-0.014226,0.000708,-0.042051,-0.096838,0.007060,0.000304,1.000000,-0.000071,0.000004,-0.000210,0.402464,0.613598,0.353889,-0.579899,92.387781,85.208214,-22.884978
29279,-9.700063,0.726623,-0.014085,-0.083729,0.017995,-0.085814,-0.009755,-0.005555,-0.043346,-0.096999,0.007287,-0.000144,1.000000,-0.000049,-0.000028,-0.000217,0.402423,0.613485,0.353997,-0.579981,92.310955,85.227201,-22.955863
29280,-9.682257,0.686272,-0.001578,-0.120581,0.023159,-0.106917,-0.005504,-0.008509,-0.039046,-0.096821,0.006882,-0.000020,1.000000,-0.000028,-0.000043,-0.000195,0.402366,0.613382,0.354066,-0.580087,92.212241,85.245183,-23.053925
29281,-9.724650,0.722371,-0.015260,-0.082330,0.021597,-0.061604,0.002535,-0.007232,-0.039696,-0.097245,0.007243,-0.000156,1.000000,0.000013,-0.000036,-0.000198,0.402301,0.613295,0.354124,-0.580189,92.128680,85.262099,-23.138632
29282,-9.700926,0.715053,-0.011637,-0.085311,0.020830,-0.085834,0.005234,-0.012651,-0.037738,-0.097008,0.007169,-0.000122,1.000000,0.000026,-0.000063,-0.000189,0.402223,0.613204,0.354149,-0.580325,92.005740,85.279386,-23.267133
29283,-9.695342,0.744165,-0.019697,-0.052122,0.015886,-0.088961,0.011761,-0.009777,-0.038087,-0.096952,0.007460,-0.000201,1.000000,0.000059,-0.000049,-0.000190,0.402139,0.613131,0.354170,-0.580447,91.908030,85.295405,-23.371336
29284,-9.693838,0.761781,-0.006727,-0.038472,-0.003125,-0.089038,0.011437,-0.012008,-0.035524,-0.096937,0.007635,-0.000073,1.000000,0.000057,-0.000060,-0.000178,0.402048,0.613057,0.354174,-0.580586,91.791258,85.311381,-23.496847
29285,-9.698141,0.747037,0.015447,-0.058922,-0.016138,-0.085997,0.010966,-0.012034,-0.029233,-0.096980,0.007485,0.000149,1.000000,0.000055,-0.000060,-0.000146,0.401996,0.612991,0.354165,-0.580696,91.674020,85.322336,-23.620184
29286,-9.698366,0.744090,0.016351,-0.059367,-0.015210,-0.085998,0.008202,-0.008095,-0.031579,-0.096982,0.007456,0.000160,1.000000,0.000041,-0.000040,-0.000158,0.401917,0.612931,0.354171,-0.580811,91.579862,85.335967,-23.721752
29287,-9.666481,0.760941,-0.022153,-0.023029,0.012063,-0.116312,0.002794,-0.013694,-0.027103,-0.096664,0.007623,-0.000228,1.000000,0.000014,-0.000068,-0.000136,0.401899,0.612848,0.354176,-0.580908,91.444723,85.345689,-23.858347
29288,-9.668443,0.737196,-0.033059,-0.037581,0.032906,-0.116252,0.007675,-0.009598,-0.025676,-0.096683,0.007384,-0.000335,1.000000,0.000038,-0.000048,-0.000128,0.401847,0.612789,0.354168,-0.581011,91.338578,85.355900,-23.970588
29289,-9.670904,0.744430,0.000705,-0.043931,-0.000038,-0.113273,0.007714,-0.005538,-0.023034,-0.096708,0.007455,0.000005,1.000000,0.000039,-0.000028,-0.000115,0.401811,0.612747,0.354163,-0.581083,91.262164,85.363145,-24.051090
29290,-9.664751,0.744399,-0.052807,-0.018926,0.048815,-0.119308,0.011917,-0.009964,-0.019125,-0.096647,0.007453,-0.000532,1.000000,0.000060,-0.000050,-0.000096,0.401757,0.612712,0.354113,-0.581188,91.152480,85.369601,-24.170884
29291,-9.667174,0.752171,-0.018987,-0.025277,0.015872,-0.116323,0.008890,-0.006780,-0.018521,-0.096671,0.007531,-0.000193,1.000000,0.000044,-0.000034,-0.000093,0.401733,0.612676,0.354088,-0.581257,91.066812,85.374253,-24.261345
29292,-9.635232,0.770306,-0.058188,0.011300,0.043052,-0.146640,0.007285,-0.001504,-0.014101,-0.096352,0.007710,-0.000582,1.000000,0.000036,-0.000008,-0.000071,0.401702,0.612661,0.354063,-0.581310,91.015087,85.377696,-24.318566
29293,-9.717179,0.735029,-0.035706,-0.035478,0.041136,-0.067835,0.008611,-0.004950,-0.013316,-0.097171,0.007357,-0.000359,1.000000,0.000043,-0.000025,-0.000067,0.401691,0.612639,0.354027,-0.581363,90.941334,85.379333,-24.396912
29294,-9.667492,0.748085,-0.018175,-0.026857,0.018693,-0.116333,0.000799,-0.000326,-0.011107,-0.096675,0.007486,-0.000182,1.000000,0.000004,-0.000002,-0.000056,0.401680,0.612623,0.354005,-0.581400,90.892517,85.381009,-24.448891
29295,-9.683549,0.773775,-0.063076,0.014525,0.049384,-0.098205,0.002295,0.000664,-0.009156,-0.096835,0.007742,-0.000630,1.000000,0.000011,0.000003,-0.000046,0.401690,0.612613,0.353986,-0.581416,90.854427,85.380204,-24.487830
29296,-9.663075,0.727005,-0.084455,-0.016624,0.088452,-0.122352,-0.000845,0.000890,-0.009329,-0.096630,0.007275,-0.000844,1.000000,-0.000004,0.000004,-0.000047,0.401686,0.612600,0.353966,-0.581444,90.812974,85.380861,-24.531559
29297,-9.709437,0.754361,-0.077771,0.001812,0.072959,-0.073953,-0.005872,-0.001003,-0.007025,-0.097094,0.007547,-0.000778,1.000000,-0.000029,-0.000005,-0.000035,0.401731,0.612572,0.353961,-0.581446,90.758188,85.378844,-24.582553
29298,-9.663185,0.725555,-0.084357,-0.017761,0.090329,-0.122372,-0.008957,0.000701,-0.006809,-0.096632,0.007259,-0.000844,1.000000,-0.000045,0.000004,-0.000034,0.401772,0.612541,0.353970,-0.581445,90.713048,85.378061,-24.622827
29299,-9.691272,0.716718,-0.066011,-0.035707,0.079055,-0.095112,-0.008770,0.002555,-0.007896,-0.096912,0.007171,-0.000659,1.000000,-0.000044,0.000013,-0.000039,0.401816,0.612516,0.353983,-0.581433,90.681962,85.376513,-24.648377
29300,-9.691333,0.715895,-0.065980,-0.036160,0.079991,-0.095122,-0.012079,-0.001656,-0.009235,-0.096913,0.007163,-0.000661,1.000000,-0.000060,-0.000008,-0.000046,0.401849,0.612475,0.353988,-0.581450,90.615984,85.377064,-24.710720
29301,-9.694854,0.672622,-0.090020,-0.065029,0.120844,-0.095081,-0.010155,0.004523,-0.009069,-0.096948,0.006731,-0.000898,1.000000,-0.000051,0.000023,-0.000045,0.401891,0.612451,0.354012,-0.581432,90.598157,85.376173,-24.722174
29302,-9.698917,0.660269,-0.069109,-0.085258,0.107768,-0.092048,-0.001106,0.000139,-0.006377,-0.096989,0.006606,-0.000691,1.000000,-0.000006,0.000001,-0.000032,0.401904,0.612438,0.353990,-0.581450,90.552574,85.375143,-24.768678
29303,-9.692658,0.661657,-0.123466,-0.060478,0.156661,-0.098139,0.006988,0.002912,-0.006644,-0.096926,0.006620,-0.001233,1.000000,0.000035,0.000015,-0.000033,0.401903,0.612448,0.353954,-0.581463,90.533013,85.372872,-24.791725
29304,-9.647511,0.694500,-0.040368,-0.063193,0.066323,-0.140560,0.014895,0.003830,-0.005823,-0.096475,0.006948,-0.000401,1.000000,0.000074,0.000019,-0.000029,0.401855,0.612483,0.353882,-0.581503,90.521483,85.371478,-24.814766
29305,-9.669281,0.687749,-0.076685,-0.055686,0.102971,-0.119382,0.018221,0.005460,-0.006737,-0.096693,0.006881,-0.000764,1.000000,0.000091,0.000027,-0.000034,0.401815,0.612522,0.353818,-0.581527,90.526415,85.369247,-24.819698
29306,-9.675643,0.684928,-0.023115,-0.081598,0.055981,-0.113310,0.019995,0.004622,-0.009990,-0.096756,0.006854,-0.000228,1.000000,0.000100,0.000023,-0.000050,0.401741,0.612560,0.353750,-0.581580,90.524525,85.370264,-24.835215
29307,-9.692287,0.741395,-0.023520,-0.031814,0.032829,-0.092165,0.012143,0.005182,-0.010423,-0.096922,0.007419,-0.000232,1.000000,0.000061,0.000026,-0.000052,0.401709,0.612580,0.353716,-0.581602,90.524239,85.370147,-24.841889
