PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
51234,-9.621716,-0.099547,-1.618577,0.251815,-0.012107,-0.058532,-0.071733,0.002456,-0.161022,-0.096218,-0.000924,-0.016184,1.000000,-0.000359,0.000012,-0.000805,-0.586352,0.300236,-0.707889,-0.254840,177.267946,79.472747,-136.304860
51235,-9.557880,-0.183676,-1.813132,0.162380,-0.207476,-0.086187,-0.074172,0.005653,-0.175396,-0.095581,-0.001760,-0.018128,1.000000,-0.000371,0.000028,-0.000877,-0.586455,0.301040,-0.707538,-0.254627,177.733004,79.477959,-135.787691
51236,-9.505014,-0.322820,-1.821420,0.240452,-0.304736,-0.137132,-0.020015,0.024488,-0.182267,-0.095055,-0.003143,-0.018202,1.000000,-0.000100,0.000122,-0.000911,-0.586574,0.301736,-0.707307,-0.254170,178.252765,79.470499,-135.246434
51237,-9.614612,-0.373591,-1.712469,0.354445,-0.235989,-0.048900,0.034218,0.013806,-0.170354,-0.096150,-0.003651,-0.017119,1.000000,0.000171,0.000069,-0.000852,-0.586803,0.302218,-0.707124,-0.253579,178.765365,79.469281,-134.743464
51238,-9.579273,-0.317692,-1.715570,0.295773,-0.192770,-0.082224,0.081643,0.007605,-0.169223,-0.095796,-0.003089,-0.017153,1.000000,0.000408,0.000038,-0.000846,-0.587118,0.302548,-0.706991,-0.252826,179.301228,79.469572,-134.245063
51239,-9.537097,-0.228735,-1.835777,0.132349,-0.210907,-0.101014,0.115715,0.013698,-0.169155,-0.095374,-0.002196,-0.018353,0.999999,0.000579,0.000068,-0.000846,-0.587467,0.302788,-0.706911,-0.251951,179.856748,79.466711,-133.745668
51240,-9.590175,-0.164449,-1.816213,0.093468,-0.133311,-0.052022,0.140792,0.009843,-0.167011,-0.095904,-0.001552,-0.018159,0.999999,0.000704,0.000049,-0.000835,-0.587860,0.302939,-0.706861,-0.250991,-179.580583,79.463967,-133.254466
51241,-9.601606,-0.027338,-1.925653,-0.091671,-0.102508,-0.020814,0.159181,0.006360,-0.171261,-0.096017,-0.000176,-0.019254,0.999999,0.000796,0.000032,-0.000856,-0.588302,0.303049,-0.706809,-0.249967,-178.993900,79.463466,-132.748678
51242,-9.393817,0.034629,-1.941268,-0.186568,-0.085990,-0.222522,0.170412,-0.002441,-0.176096,-0.093938,0.000446,-0.019413,0.999999,0.000852,-0.000012,-0.000880,-0.588793,0.303128,-0.706745,-0.248894,-178.385849,79.465804,-132.228577
51243,-9.470572,0.014230,-1.819130,-0.093164,0.009553,-0.169433,0.173834,0.006190,-0.176437,-0.094706,0.000242,-0.018188,0.999999,0.000869,0.000031,-0.000882,-0.589263,0.303212,-0.706701,-0.247802,-177.774990,79.463329,-131.706766
51244,-9.669975,-0.037935,-1.662769,0.061705,0.124945,-0.001714,0.186030,0.012371,-0.184014,-0.096701,-0.000275,-0.016622,0.999999,0.000930,0.000062,-0.000920,-0.589733,0.303291,-0.706686,-0.246628,-177.135781,79.454937,-131.164065
51245,-9.663576,-0.054841,-1.484543,0.180529,0.252609,-0.040526,0.191512,0.010504,-0.197565,-0.096637,-0.000439,-0.014841,0.999999,0.000958,0.000053,-0.000988,-0.590239,0.303402,-0.706642,-0.245403,-176.451781,79.447169,-130.578228
51246,-9.504669,0.001787,-1.555965,0.057125,0.234175,-0.184519,0.172684,0.005251,-0.201018,-0.095047,0.000127,-0.015557,0.999999,0.000863,0.000026,-0.001005,-0.590732,0.303570,-0.706561,-0.244236,-175.768586,79.439857,-129.982977
51247,-9.513185,0.173220,-1.479574,-0.026954,0.423588,-0.192935,0.161035,0.022267,-0.206394,-0.095132,0.001842,-0.014784,0.999999,0.000805,0.000111,-0.001032,-0.591159,0.303816,-0.706499,-0.243075,-175.080246,79.422434,-129.374809
51248,-9.533830,0.075165,-1.401824,0.084911,0.428355,-0.185957,0.138023,0.010711,-0.212320,-0.095338,0.000863,-0.014013,0.999999,0.000690,0.000054,-0.001062,-0.591593,0.304133,-0.706373,-0.241988,-174.386627,79.408794,-128.748698
51249,-9.379982,-0.025941,-1.618559,-0.024362,0.198773,-0.296159,0.126542,0.015329,-0.212898,-0.093801,-0.000149,-0.016179,0.999999,0.000633,0.000077,-0.001064,-0.591998,0.304493,-0.706236,-0.240939,-173.700387,79.392285,-128.122508
51250,-9.222538,-0.014048,-1.654183,-0.088424,0.175203,-0.445021,0.136083,0.043161,-0.202409,-0.092229,-0.000036,-0.016522,0.999999,0.000680,0.000216,-0.001012,-0.592301,0.304819,-0.706217,-0.239838,-173.053665,79.358114,-127.542898
51251,-9.524930,0.047897,-1.552381,-0.039842,0.351353,-0.168446,0.157060,0.062919,-0.201638,-0.095254,0.000587,-0.015493,0.999999,0.000785,0.000315,-0.001008,-0.592570,0.305105,-0.706273,-0.238642,-172.408357,79.312741,-126.976137
51252,-9.691849,0.185317,-1.448438,-0.059369,0.563376,-0.027837,0.174364,0.044709,-0.214413,-0.096920,0.001970,-0.014461,0.999999,0.000872,0.000224,-0.001072,-0.592938,0.305361,-0.706284,-0.237367,-171.713072,79.274295,-126.369270
51253,-9.547252,0.322661,-1.629548,-0.312316,0.529659,-0.141523,0.150867,0.031603,-0.220511,-0.095471,0.003344,-0.016278,0.999999,0.000754,0.000158,-0.001103,-0.593328,0.305694,-0.706209,-0.236184,-171.010923,79.242576,-125.740794
51254,-9.584094,0.495562,-1.710062,-0.501168,0.618810,-0.097204,0.097962,0.040918,-0.234350,-0.095839,0.005076,-0.017079,0.999999,0.000490,0.000205,-0.001172,-0.593614,0.306241,-0.706085,-0.235124,-170.307506,79.201673,-125.080945
51255,-9.548417,0.733830,-1.895507,-0.818426,0.670566,-0.107834,0.003924,0.035068,-0.274120,-0.095477,0.007470,-0.018938,0.999999,0.000020,0.000175,-0.001371,-0.593828,0.307202,-0.705763,-0.234295,-169.542405,79.159714,-124.302604
51256,-9.467225,0.799638,-1.895660,-0.890520,0.724462,-0.192742,-0.045955,0.049036,-0.307147,-0.094664,0.008137,-0.018935,0.999999,-0.000230,0.000245,-0.001536,-0.593948,0.308441,-0.705380,-0.233514,-168.724113,79.103108,-123.441616
51257,-9.423943,0.520443,-1.887014,-0.707859,0.549035,-0.229379,-0.112422,0.036356,-0.328600,-0.094234,0.005349,-0.018856,0.999998,-0.000562,0.000182,-0.001643,-0.594039,0.309939,-0.704839,-0.232931,-167.882617,79.049985,-122.517319
51258,-9.534554,0.455031,-1.778360,-0.593699,0.617720,-0.140914,-0.121526,0.026281,-0.337799,-0.095340,0.004701,-0.017774,0.999998,-0.000608,0.000131,-0.001689,-0.594156,0.311483,-0.704249,-0.232360,-167.022046,78.997552,-121.568846
