// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
60638,-4.380874,3.745738,7.972893,0.081660,-0.141183,0.024131,-0.183348,-0.035949,-0.084665,-0.043807,0.037549,0.079687,0.999999,-0.000917,-0.000180,-0.000423,-0.941721,-0.175905,-0.260196,-0.120484,26.143821,26.594752,20.863756
60639,-4.403678,3.730978,7.989698,0.066254,-0.148270,0.042334,-0.165838,-0.033408,-0.072271,-0.044037,0.037392,0.079859,1.000000,-0.000829,-0.000167,-0.000361,-0.941960,-0.175030,-0.259972,-0.120375,26.023580,26.591557,20.816430
60640,-4.386973,3.856185,7.999039,0.061360,-0.014676,0.091672,-0.158107,-0.031809,-0.072860,-0.043868,0.038641,0.079953,1.000000,-0.000791,-0.000159,-0.000364,-0.942189,-0.174188,-0.259763,-0.120256,25.907790,26.589668,20.769468
60641,-4.398025,3.850776,7.975348,0.033488,-0.000519,0.075494,-0.153089,-0.034122,-0.070379,-0.043980,0.038584,0.079716,1.000000,-0.000765,-0.000171,-0.000352,-0.942415,-0.173376,-0.259541,-0.120139,25.795260,26.585462,20.723050
60642,-4.396020,3.813923,7.994103,0.043420,-0.022355,0.075400,-0.154201,-0.032856,-0.070090,-0.043960,0.038216,0.079904,1.000000,-0.000771,-0.000164,-0.000350,-0.942638,-0.172557,-0.259327,-0.120026,25.682303,26.582177,20.677407
60643,-4.393111,3.874274,7.987257,0.026978,0.051503,0.091973,-0.156093,-0.036957,-0.069152,-0.043932,0.038820,0.079834,1.000000,-0.000780,-0.000185,-0.000346,-0.942868,-0.171734,-0.259088,-0.119916,25.568032,26.576040,20.630934
60644,-4.392777,3.858311,7.995163,0.026234,0.051625,0.091974,-0.164176,-0.041140,-0.074996,-0.043930,0.038665,0.079911,1.000000,-0.000821,-0.000206,-0.000375,-0.943113,-0.170866,-0.258833,-0.119786,25.447085,26.569517,20.580188
60645,-4.403321,3.851661,7.972559,-0.001638,0.065772,0.075784,-0.178592,-0.042680,-0.074945,-0.044036,0.038604,0.079682,1.000000,-0.000893,-0.000213,-0.000375,-0.943371,-0.169932,-0.258558,-0.119672,25.317748,26.561664,20.528826
60646,-4.382596,3.834756,8.032313,0.041066,0.059741,0.108263,-0.178612,-0.051870,-0.081045,-0.043831,0.038437,0.080277,0.999999,-0.000893,-0.000259,-0.000405,-0.943643,-0.168994,-0.258249,-0.119523,25.185683,26.550856,20.471684
60647,-4.383789,3.837566,8.030579,0.029575,0.081789,0.108357,-0.199234,-0.049807,-0.083233,-0.043842,0.038474,0.080257,0.999999,-0.000996,-0.000249,-0.000416,-0.943931,-0.167956,-0.257934,-0.119391,25.041546,26.541106,20.413628
60648,-4.396355,3.752325,8.023166,0.017446,0.022200,0.075601,-0.198901,-0.056279,-0.089702,-0.043969,0.037623,0.080182,0.999999,-0.000995,-0.000281,-0.000449,-0.944229,-0.166913,-0.257598,-0.119223,24.895129,26.529850,20.350338
60649,-4.381652,3.797287,8.050868,0.028027,0.082008,0.108360,-0.211462,-0.059227,-0.092153,-0.043823,0.038078,0.080455,0.999999,-0.001057,-0.000296,-0.000461,-0.944542,-0.165812,-0.257239,-0.119056,24.740592,26.517079,20.284633
60650,-4.370988,3.708347,8.035141,0.030536,0.029610,0.057419,-0.216459,-0.064280,-0.093146,-0.043718,0.037191,0.080297,0.999999,-0.001082,-0.000321,-0.000466,-0.944864,-0.164686,-0.256857,-0.118888,24.582328,26.502177,20.217285
60651,-4.410156,3.745309,8.061792,-0.004505,0.067129,0.110252,-0.222310,-0.063476,-0.097264,-0.044109,0.037564,0.080562,0.999999,-0.001112,-0.000317,-0.000486,-0.945192,-0.163528,-0.256475,-0.118706,24.419818,26.488082,20.147570
60652,-4.356335,3.653311,8.088164,0.056078,0.015796,0.073631,-0.234044,-0.068620,-0.092072,-0.043574,0.036648,0.080824,0.999999,-0.001170,-0.000343,-0.000460,-0.945530,-0.162323,-0.256060,-0.118562,24.251331,26.470317,20.079817
60653,-4.356732,3.651932,8.088684,0.044594,0.037844,0.073720,-0.231817,-0.066195,-0.103151,-0.043575,0.036636,0.080830,0.999999,-0.001159,-0.000331,-0.000516,-0.945870,-0.161114,-0.255663,-0.118362,24.081610,26.455819,20.006062
60654,-4.381960,3.576219,8.110844,0.034275,-0.021027,0.075439,-0.240216,-0.063071,-0.093446,-0.043828,0.035880,0.081052,0.999999,-0.001201,-0.000315,-0.000467,-0.946203,-0.159874,-0.255271,-0.118223,23.909966,26.440920,19.939088
60655,-4.351102,3.583254,8.122249,0.053781,0.016130,0.073643,-0.238121,-0.061668,-0.096404,-0.043519,0.035950,0.081166,0.999999,-0.001191,-0.000308,-0.000482,-0.946534,-0.158640,-0.254885,-0.118067,23.738997,26.426839,19.870568
60656,-4.353725,3.505443,8.134865,0.058100,-0.035542,0.057185,-0.235318,-0.060551,-0.094838,-0.043545,0.035171,0.081294,0.999999,-0.001177,-0.000303,-0.000474,-0.946858,-0.157419,-0.254508,-0.117916,23.570166,26.413226,19.803542
60657,-4.383533,3.473791,8.134633,0.026340,-0.050556,0.059067,-0.227729,-0.059952,-0.087329,-0.043845,0.034850,0.081294,0.999999,-0.001139,-0.000300,-0.000437,-0.947170,-0.156245,-0.254129,-0.117791,23.407792,26.397616,19.740892
60658,-4.366215,3.494913,8.174479,0.047647,-0.012639,0.091750,-0.225817,-0.058647,-0.083720,-0.043671,0.035060,0.081692,0.999999,-0.001129,-0.000293,-0.000419,-0.947475,-0.155082,-0.253757,-0.117682,23.247599,26.382140,19.680982
60659,-4.355460,3.483633,8.204844,0.063227,-0.004611,0.108055,-0.221142,-0.057958,-0.086137,-0.043563,0.034946,0.081997,0.999999,-0.001106,-0.000290,-0.000431,-0.947775,-0.153938,-0.253389,-0.117555,23.089612,26.367000,19.619649
60660,-4.366674,3.396930,8.195859,0.051222,-0.064202,0.075300,-0.214329,-0.056095,-0.084699,-0.043675,0.034076,0.081910,0.999999,-0.001072,-0.000280,-0.000423,-0.948065,-0.152826,-0.253036,-0.117428,22.936106,26.352794,19.559913
60661,-4.382637,3.334791,8.235126,0.057247,-0.115177,0.093324,-0.188456,-0.051171,-0.080515,-0.043834,0.033443,0.082309,0.999999,-0.000942,-0.000256,-0.000403,-0.948326,-0.151840,-0.252714,-0.117291,22.799136,26.339698,19.503681
60662,-4.335993,3.313018,8.225027,0.085807,-0.100629,0.056987,-0.170048,-0.049701,-0.079275,-0.043367,0.033217,0.082211,1.000000,-0.000850,-0.000249,-0.000396,-0.948569,-0.150941,-0.252413,-0.117139,22.673186,26.327411,19.448813
60663,-4.346428,3.307451,8.201871,0.057985,-0.086507,0.040763,-0.158956,-0.038861,-0.076670,-0.043468,0.033156,0.081984,1.000000,-0.000795,-0.000194,-0.000383,-0.948788,-0.150093,-0.252164,-0.116992,22.555513,26.319757,19.397951
60664,-4.336965,3.302134,8.228637,0.073641,-0.078436,0.057075,-0.149515,-0.033212,-0.071512,-0.043371,0.033098,0.082254,1.000000,-0.000748,-0.000166,-0.000358,-0.948988,-0.149290,-0.251946,-0.116863,22.445192,26.314294,19.351766
60665,-4.298885,3.328319,8.255555,0.109486,-0.033315,0.071602,-0.145680,-0.027827,-0.068678,-0.042989,0.033358,0.082525,1.000000,-0.000728,-0.000139,-0.000343,-0.949177,-0.148508,-0.251751,-0.116745,22.338432,26.310565,19.308352
60666,-4.363064,3.219794,8.250194,0.062658,-0.137192,0.058804,-0.133522,-0.023919,-0.061382,-0.043631,0.032266,0.082475,1.000000,-0.000668,-0.000120,-0.000307,-0.949347,-0.147789,-0.251579,-0.116651,22.240944,26.307675,19.270437
60667,-4.359297,3.260957,8.254981,0.056806,-0.085274,0.075261,-0.125399,-0.024339,-0.058604,-0.043593,0.032674,0.082524,1.000000,-0.000627,-0.000122,-0.000293,-0.949509,-0.147113,-0.251404,-0.116558,22.148827,26.303482,19.233842
60668,-4.332907,3.301496,8.250378,0.065643,-0.026117,0.073550,-0.114198,-0.023805,-0.053961,-0.043330,0.033074,0.082480,1.000000,-0.000571,-0.000119,-0.000270,-0.949659,-0.146495,-0.251238,-0.116475,22.064381,26.298943,19.200362
60669,-4.321255,3.278077,8.285547,0.091946,-0.039994,0.089800,-0.117366,-0.020190,-0.052755,-0.043212,0.032841,0.082832,1.000000,-0.000587,-0.000101,-0.000264,-0.949806,-0.145863,-0.251083,-0.116402,21.978851,26.295599,19.168243
60670,-4.264560,3.197564,8.182189,0.095170,-0.064690,-0.048168,-0.087849,-0.007175,-0.043567,-0.042642,0.032021,0.081806,1.000000,-0.000439,-0.000036,-0.000218,-0.949909,-0.145373,-0.251003,-0.116347,21.914000,26.297589,19.144911
60671,-4.324412,3.280804,8.221751,0.051005,-0.004538,0.039154,-0.065218,0.020249,-0.049501,-0.043228,0.032846,0.082211,1.000000,-0.000326,0.000101,-0.000248,-0.949965,-0.144968,-0.251068,-0.116254,21.863469,26.314981,19.124364
60672,-4.380936,3.244456,8.291141,0.044207,-0.061953,0.109828,-0.060888,0.018001,-0.044906,-0.043795,0.032480,0.082905,1.000000,-0.000304,0.000090,-0.000225,-0.950017,-0.144590,-0.251125,-0.116177,21.816355,26.330606,19.106215
60673,-4.354568,3.268559,8.293371,0.063683,-0.024747,0.108052,-0.059204,0.007212,-0.040519,-0.043536,0.032719,0.082926,1.000000,-0.000296,0.000036,-0.000203,-0.950080,-0.144233,-0.251125,-0.116110,21.770234,26.339121,19.087868
60674,-4.377889,3.338835,8.294532,0.032480,0.041910,0.142722,-0.083089,-0.001994,-0.042747,-0.043773,0.033432,0.082931,1.000000,-0.000415,-0.000010,-0.000214,-0.950172,-0.143763,-0.251072,-0.116056,21.708847,26.343618,19.066233
60675,-4.384875,3.297258,8.287709,0.026125,0.012150,0.126343,-0.090749,-0.014637,-0.045559,-0.043847,0.033020,0.082859,1.000000,-0.000454,-0.000073,-0.000228,-0.950287,-0.143263,-0.250953,-0.115989,21.641022,26.341533,19.039712
60676,-4.402388,3.266306,8.251479,-0.007218,-0.003609,0.093704,-0.108223,-0.028484,-0.044055,-0.044028,0.032717,0.082491,1.000000,-0.000541,-0.000142,-0.000220,-0.950430,-0.142687,-0.250761,-0.115942,21.562121,26.332147,19.011054
60677,-4.382636,3.275672,8.297449,0.024670,0.012408,0.126347,-0.118804,-0.053350,-0.045318,-0.043841,0.032816,0.082943,1.000000,-0.000594,-0.000267,-0.000227,-0.950613,-0.142076,-0.250441,-0.115883,21.474274,26.309313,18.975610
60678,-4.343313,3.250366,8.265195,0.036935,0.019040,0.073715,-0.127225,-0.057559,-0.044863,-0.043450,0.032566,0.082619,1.000000,-0.000636,-0.000288,-0.000224,-0.950805,-0.141426,-0.250100,-0.115835,21.381301,26.284511,18.939725
60679,-4.336677,3.292401,8.271979,0.031009,0.070957,0.090155,-0.128757,-0.054488,-0.041137,-0.043383,0.032986,0.082687,1.000000,-0.000644,-0.000272,-0.000206,-0.950993,-0.140773,-0.249766,-0.115808,21.288806,26.260097,18.906602
60680,-4.369817,3.162177,8.207312,-0.019027,-0.034449,0.008365,-0.129331,-0.056112,-0.042579,-0.043714,0.031684,0.082040,1.000000,-0.000647,-0.000281,-0.000213,-0.951183,-0.140115,-0.249429,-0.115774,21.195450,26.235490,18.872516
