// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
40236,-8.869738,3.770484,-0.825204,-0.047988,-0.055453,-0.139819,-0.000014,-0.001665,-0.009210,-0.088696,0.037709,-0.008253,1.000000,-0.000000,-0.000008,-0.000046,0.190728,-0.572177,0.462917,0.649572,102.274518,66.914883,-134.019752
40237,-8.869201,3.785136,-0.794376,-0.076598,-0.037978,-0.137270,-0.000564,0.003204,-0.007914,-0.088691,0.037855,-0.007942,1.000000,-0.000003,0.000016,-0.000040,0.190725,-0.572164,0.462917,0.649585,102.269486,66.913997,-134.024589
40238,-8.891786,3.809730,-0.787454,-0.093116,-0.038231,-0.107645,0.000903,0.004546,-0.008808,-0.088916,0.038101,-0.007872,1.000000,0.000005,0.000023,-0.000044,0.190721,-0.572152,0.462923,0.649592,102.266546,66.912758,-134.027822
40239,-8.940971,3.821256,-0.734955,-0.118324,0.013058,-0.062357,0.008431,0.005237,-0.007364,-0.089408,0.038216,-0.007346,1.000000,0.000042,0.000026,-0.000037,0.190737,-0.572135,0.462956,0.649578,102.269181,66.911316,-134.029926
40240,-8.897441,3.844942,-0.768311,-0.129456,-0.038071,-0.090541,-0.000442,0.006897,-0.007348,-0.088973,0.038453,-0.007680,1.000000,-0.000002,0.000034,-0.000037,0.190718,-0.572129,0.462964,0.649583,102.268137,66.908972,-134.030264
40241,-8.918332,3.809882,-0.712707,-0.127947,0.031060,-0.089393,0.006469,0.005647,-0.009345,-0.089182,0.038103,-0.007123,1.000000,0.000032,0.000028,-0.000047,0.190734,-0.572120,0.462986,0.649572,102.270752,66.908589,-134.031169
40242,-8.920336,3.778171,-0.775089,-0.067282,-0.003593,-0.094499,-0.001732,0.006130,-0.010060,-0.089202,0.037786,-0.007748,1.000000,-0.000009,0.000031,-0.000050,0.190723,-0.572119,0.462981,0.649579,102.268720,66.907860,-134.031784
40243,-8.930953,3.760163,-0.747600,-0.065968,0.031014,-0.093925,-0.001611,0.009824,-0.009494,-0.089308,0.037606,-0.007472,1.000000,-0.000008,0.000049,-0.000047,0.190706,-0.572132,0.462980,0.649574,102.272233,66.907052,-134.026680
40244,-8.938088,3.765116,-0.789699,-0.043981,-0.003699,-0.081953,-0.000939,0.008649,-0.010224,-0.089379,0.037656,-0.007893,1.000000,-0.000005,0.000043,-0.000051,0.190692,-0.572138,0.462980,0.649572,102.274011,66.906102,-134.023637
40245,-8.882635,3.746110,-0.802217,-0.037337,-0.019975,-0.139203,0.001447,0.007941,-0.010410,-0.088825,0.037466,-0.008018,1.000000,0.000007,0.000040,-0.000052,0.190691,-0.572144,0.462984,0.649564,102.277065,66.906036,-134.020937
