PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
48499,-5.326972,7.713833,-2.412314,-0.065952,-0.039446,-0.133163,-0.002897,0.016360,0.001048,-0.053272,0.077138,-0.024120,1.000000,-0.000014,0.000082,0.000005,-0.049073,-0.504954,0.608702,0.609996,107.580362,33.800160,-125.726664
48500,-5.369880,7.687980,-2.392837,-0.043496,0.010997,-0.134655,0.004223,0.021384,0.001208,-0.053702,0.076880,-0.023921,1.000000,0.000021,0.000107,0.000006,-0.049146,-0.504966,0.608738,0.609944,107.586636,33.791233,-125.719038
48501,-5.401698,7.737802,-2.400250,-0.050596,0.016567,-0.075631,0.011755,0.018464,0.002712,-0.054020,0.077379,-0.023993,1.000000,0.000059,0.000092,0.000014,-0.049203,-0.504969,0.608798,0.609878,107.595474,33.781637,-125.713075
48502,-5.430548,7.724664,-2.452391,0.005915,0.005394,-0.056897,0.013550,0.014981,0.007341,-0.054310,0.077246,-0.024515,1.000000,0.000068,0.000075,0.000037,-0.049251,-0.504945,0.608879,0.609812,107.604037,33.770468,-125.710940
48503,-5.439078,7.763130,-2.482457,0.009106,-0.017728,-0.014118,0.008997,0.011567,-0.003062,-0.054391,0.077633,-0.024818,1.000000,0.000045,0.000058,-0.000015,-0.049278,-0.504944,0.608916,0.609774,107.609320,33.765203,-125.708096
48504,-5.429787,7.738379,-2.435935,-0.013782,0.015513,-0.050595,0.019517,0.004343,-0.009666,-0.054295,0.077389,-0.024351,1.000000,0.000098,0.000022,-0.000048,-0.049227,-0.504941,0.608976,0.609721,107.619387,33.765165,-125.709405
48505,-5.377169,7.739398,-2.410054,-0.058157,-0.001377,-0.085550,0.017660,0.003887,-0.004073,-0.053771,0.077397,-0.024093,1.000000,0.000088,0.000019,-0.000020,-0.049207,-0.504924,0.609037,0.609675,107.626931,33.761854,-125.711138
48506,-5.349072,7.722511,-2.400845,-0.069710,-0.008543,-0.116870,0.022970,0.008330,-0.010114,-0.053488,0.077231,-0.023997,1.000000,0.000115,0.000042,-0.000051,-0.049158,-0.504936,0.609105,0.609602,107.640483,33.761369,-125.709736
48507,-5.287033,7.699283,-2.327357,-0.137897,0.007521,-0.188281,0.021817,0.006998,-0.009960,-0.052867,0.076998,-0.023263,1.000000,0.000109,0.000035,-0.000050,-0.049115,-0.504943,0.609167,0.609537,107.652363,33.760645,-125.708750
48508,-5.312061,7.680513,-2.345630,-0.104080,0.017545,-0.184649,0.012000,0.013346,-0.008800,-0.053119,0.076809,-0.023448,1.000000,0.000060,0.000067,-0.000044,-0.049113,-0.504964,0.609203,0.609484,107.661308,33.758571,-125.704329
48509,-5.345901,7.700634,-2.391890,-0.067974,0.004122,-0.138241,0.003750,0.013082,-0.006447,-0.053458,0.077009,-0.023914,1.000000,0.000019,0.000065,-0.000032,-0.049147,-0.504978,0.609215,0.609458,107.664633,33.755032,-125.699658
48510,-5.387006,7.803399,-2.407260,-0.094493,-0.004221,-0.030110,-0.005868,0.012415,-0.005801,-0.053869,0.078035,-0.024072,1.000000,-0.000029,0.000062,-0.000029,-0.049196,-0.504981,0.609205,0.609461,107.662651,33.751482,-125.696475
48511,-5.358339,7.801745,-2.376496,-0.127537,-0.001853,-0.055101,-0.011122,0.009873,-0.010766,-0.053580,0.078019,-0.023767,1.000000,-0.000056,0.000049,-0.000054,-0.049242,-0.504989,0.609166,0.609489,107.656834,33.750575,-125.693909
48512,-5.384075,7.768885,-2.412292,-0.072121,-0.001335,-0.057802,-0.015630,0.020659,-0.015645,-0.053837,0.077691,-0.024123,1.000000,-0.000078,0.000103,-0.000078,-0.049311,-0.505046,0.609099,0.609504,107.653409,33.750967,-125.683255
48513,-5.404466,7.745693,-2.394760,-0.060886,0.029889,-0.069265,-0.013352,0.015199,-0.019098,-0.054039,0.077460,-0.023949,1.000000,-0.000067,0.000076,-0.000095,-0.049356,-0.505100,0.609027,0.609528,107.649165,33.753901,-125.674685
48514,-5.371999,7.724273,-2.349650,-0.095153,0.043939,-0.115645,-0.005396,0.006372,-0.015455,-0.053715,0.077246,-0.023497,1.000000,-0.000027,0.000032,-0.000077,-0.049356,-0.505115,0.608996,0.609547,107.646370,33.756672,-125.673453
48515,-5.349618,7.712332,-2.372096,-0.083946,0.015560,-0.131880,-0.009060,0.005336,-0.016070,-0.053491,0.077127,-0.023723,1.000000,-0.000045,0.000027,-0.000080,-0.049370,-0.505130,0.608947,0.609582,107.640606,33.759583,-125.672040
48516,-5.403642,7.709736,-2.399643,-0.037638,0.033053,-0.096970,0.000991,0.004156,-0.013004,-0.054032,0.077101,-0.023995,1.000000,0.000005,0.000021,-0.000065,-0.049354,-0.505132,0.608941,0.609587,107.640377,33.761400,-125.672776
48517,-5.362127,7.705738,-2.459775,-0.015127,-0.035735,-0.108060,0.007163,0.002867,-0.012410,-0.053617,0.077062,-0.024594,1.000000,0.000036,0.000014,-0.000062,-0.049328,-0.505131,0.608954,0.609577,107.642706,33.762728,-125.674114
48518,-5.385347,7.745332,-2.398797,-0.067599,0.012310,-0.079156,0.011042,0.002976,-0.009937,-0.053850,0.077457,-0.023983,1.000000,0.000055,0.000015,-0.000050,-0.049294,-0.505122,0.608988,0.609554,107.647449,33.763077,-125.676265
48519,-5.385164,7.773572,-2.360733,-0.109777,0.031674,-0.066488,0.013116,0.002502,-0.013667,-0.053847,0.077741,-0.023602,1.000000,0.000066,0.000013,-0.000068,-0.049247,-0.505125,0.609016,0.609527,107.653260,33.765178,-125.677649
48520,-5.385137,7.801653,-2.322895,-0.152030,0.051027,-0.053814,0.014053,0.006786,-0.014879,-0.053846,0.078022,-0.023222,1.000000,0.000070,0.000034,-0.000074,-0.049201,-0.505144,0.609045,0.609486,107.661693,33.767562,-125.676265
48521,-5.358593,7.755373,-2.352522,-0.120403,0.024823,-0.097772,0.019077,0.006196,-0.013343,-0.053581,0.077560,-0.023516,1.000000,0.000095,0.000031,-0.000067,-0.049154,-0.505161,0.609088,0.609432,107.672114,33.768964,-125.674745
48522,-5.363873,7.773721,-2.368175,-0.118394,0.013438,-0.076367,0.009894,0.003672,-0.008994,-0.053636,0.077741,-0.023677,1.000000,0.000049,0.000018,-0.000045,-0.049127,-0.505152,0.609120,0.609410,107.676344,33.768677,-125.676637
48523,-5.397161,7.822878,-2.374552,-0.125360,0.019086,-0.017322,-0.002670,0.005141,-0.012829,-0.053967,0.078232,-0.023745,1.000000,-0.000013,0.000026,-0.000064,-0.049131,-0.505156,0.609102,0.609425,107.673943,33.769803,-125.676511
48524,-5.397487,7.836945,-2.354830,-0.146031,0.028932,-0.010971,-0.008625,0.005502,-0.011570,-0.053971,0.078372,-0.023550,1.000000,-0.000043,0.000028,-0.000058,-0.049148,-0.505155,0.609071,0.609455,107.668530,33.770604,-125.676661
