PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
48499,1.147219,2.556319,9.683813,0.031338,0.044925,0.268191,0.019291,-0.008277,-0.003902,0.011469,0.025554,0.096841,1.000000,0.000096,-0.000041,-0.000020,0.459535,0.006068,-0.141369,-0.876816,14.791859,-6.850912,-125.572686
48500,1.200681,2.491640,9.568493,-0.034772,0.010498,0.147466,0.010007,-0.020752,-0.002230,0.011997,0.024911,0.095687,1.000000,0.000050,-0.000104,-0.000011,0.459547,0.005962,-0.141433,-0.876799,14.793005,-6.865289,-125.572472
48501,1.243987,2.466618,9.513879,-0.071605,-0.022113,0.093876,0.022720,-0.014512,-0.005058,0.012434,0.024655,0.095142,1.000000,0.000114,-0.000073,-0.000025,0.459552,0.005915,-0.141535,-0.876781,14.801006,-6.875569,-125.572784
48502,1.097926,2.515754,9.487032,0.055517,0.064955,0.063088,0.026329,-0.005104,-0.004957,0.010977,0.025145,0.094874,1.000000,0.000132,-0.000026,-0.000025,0.459564,0.005917,-0.141635,-0.876759,14.811410,-6.880879,-125.571787
48503,1.081142,2.490712,9.442467,0.050501,0.082913,0.011939,0.026684,-0.006777,-0.005087,0.010809,0.024894,0.094428,1.000000,0.000133,-0.000034,-0.000025,0.459576,0.005912,-0.141735,-0.876736,14.821536,-6.886873,-125.570641
48504,1.132650,2.577722,9.395538,0.096353,-0.015275,-0.004825,0.024534,0.000190,-0.006659,0.011327,0.025765,0.093959,1.000000,0.000123,0.000001,-0.000033,0.459584,0.005935,-0.141816,-0.876719,14.830932,-6.889001,-125.569813
48505,1.200324,2.576117,9.438515,0.049029,-0.058027,0.044135,0.015273,0.007700,-0.008281,0.012008,0.025753,0.094387,1.000000,0.000076,0.000038,-0.000041,0.459586,0.005969,-0.141833,-0.876715,14.834537,-6.886504,-125.569285
48506,1.212469,2.580062,9.458504,0.041660,-0.065621,0.065776,0.007858,0.019180,-0.001168,0.012134,0.025797,0.094585,1.000000,0.000039,0.000096,-0.000006,0.459631,0.006032,-0.141797,-0.876696,14.833674,-6.878920,-125.562588
48507,1.188617,2.563398,9.505363,0.034837,-0.027250,0.103652,0.008688,0.021377,0.006713,0.011895,0.025630,0.095053,1.000000,0.000043,0.000107,0.000034,0.459713,0.006102,-0.141755,-0.876660,14.832248,-6.871033,-125.551109
48508,1.186974,2.564008,9.505404,0.035876,-0.027305,0.103648,0.006480,0.018246,0.012031,0.011877,0.025638,0.095054,1.000000,0.000032,0.000091,0.000060,0.459816,0.006148,-0.141715,-0.876612,14.829734,-6.865901,-125.537188
48509,1.152370,2.472534,9.481224,-0.014527,0.042728,0.053059,0.006038,0.020550,0.008709,0.011532,0.024723,0.094812,1.000000,0.000030,0.000103,0.000044,0.459908,0.006207,-0.141663,-0.876571,14.826681,-6.858791,-125.524422
48510,1.136626,2.488086,9.518243,0.001281,0.055142,0.090666,0.012405,0.017183,0.004330,0.011374,0.024875,0.095183,1.000000,0.000062,0.000086,0.000022,0.459976,0.006268,-0.141651,-0.876537,14.828096,-6.853119,-125.514955
48511,1.062150,2.502926,9.565264,0.048945,0.118062,0.130690,0.009652,0.013894,0.000533,0.010628,0.025025,0.095653,1.000000,0.000048,0.000069,0.000003,0.460025,0.006311,-0.141631,-0.876515,14.827795,-6.848484,-125.508196
48512,1.089499,2.474160,9.491119,0.020403,0.093063,0.055481,0.005587,0.003698,-0.005227,0.010897,0.024739,0.094912,1.000000,0.000028,0.000018,-0.000026,0.460041,0.006304,-0.141620,-0.876508,14.826179,-6.848879,-125.506052
48513,1.203124,2.451737,9.447191,-0.056680,0.002306,0.021169,0.004505,0.005637,-0.007187,0.012035,0.024515,0.094472,1.000000,0.000023,0.000028,-0.000036,0.460054,0.006305,-0.141595,-0.876505,14.823567,-6.847685,-125.504308
48514,1.226779,2.512121,9.481253,-0.026801,-0.041877,0.072019,0.006049,0.021388,-0.005220,0.012279,0.025118,0.094812,1.000000,0.000030,0.000107,-0.000026,0.460083,0.006376,-0.141545,-0.876497,14.821904,-6.838283,-125.499548
48515,1.170711,2.499593,9.578631,-0.018576,0.031985,0.155629,-0.003812,0.018641,-0.009072,0.011717,0.024997,0.095785,1.000000,-0.000019,0.000093,-0.000045,0.460094,0.006416,-0.141454,-0.876506,14.814442,-6.829604,-125.497312
48516,1.190511,2.400882,9.578137,-0.109018,0.066954,0.132456,-0.006379,0.017185,-0.003626,0.011914,0.024012,0.095780,1.000000,-0.000032,0.000086,-0.000018,0.460128,0.006440,-0.141360,-0.876503,14.805628,-6.822762,-125.492285
48517,1.169288,2.445001,9.585394,-0.062078,0.060810,0.148110,0.005447,0.011133,-0.007438,0.011699,0.024447,0.095854,1.000000,0.000027,0.000056,-0.000037,0.460140,0.006467,-0.141327,-0.876502,14.803481,-6.818473,-125.490233
48518,1.139260,2.494317,9.538788,0.001322,0.046828,0.112322,0.007798,0.006834,-0.010544,0.011397,0.024939,0.095388,1.000000,0.000039,0.000034,-0.000053,0.460136,0.006482,-0.141318,-0.876506,14.803429,-6.816351,-125.490593
48519,1.139265,2.458810,9.602065,-0.036788,0.080630,0.164060,0.013128,0.014674,-0.009850,0.011401,0.024581,0.096021,1.000000,0.000066,0.000073,-0.000049,0.460143,0.006545,-0.141310,-0.876503,14.805761,-6.809739,-125.489039
48520,1.144337,2.529083,9.528645,0.026127,0.020613,0.112016,0.016218,0.013202,-0.008524,0.011451,0.025283,0.095288,1.000000,0.000081,0.000066,-0.000043,0.460151,0.006606,-0.141324,-0.876496,14.810289,-6.804386,-125.487333
48521,1.201114,2.549225,9.575538,0.001877,-0.025193,0.168871,0.015673,0.015302,-0.001370,0.012019,0.025485,0.095756,1.000000,0.000078,0.000077,-0.000007,0.460189,0.006670,-0.141326,-0.876475,14.813567,-6.798703,-125.481897
48522,1.186240,2.547449,9.555279,0.011279,-0.017697,0.147211,0.007090,0.015537,0.008321,0.011869,0.025472,0.095553,1.000000,0.000035,0.000078,0.000042,0.460273,0.006709,-0.141295,-0.876436,14.811713,-6.794524,-125.470449
48523,1.145508,2.502606,9.558375,-0.001747,0.038755,0.133983,-0.000816,0.020057,0.005066,0.011464,0.025027,0.095582,1.000000,-0.000004,0.000100,0.000025,0.460345,0.006751,-0.141214,-0.876411,14.805013,-6.787107,-125.460374
48524,1.173412,2.436217,9.548097,-0.069530,0.047667,0.110573,-0.003194,0.018178,0.003484,0.011742,0.024364,0.095480,1.000000,-0.000016,0.000091,0.000017,0.460410,0.006782,-0.141132,-0.876389,14.797541,-6.780755,-125.451236
48525,1.149203,2.418866,9.595133,-0.076327,0.086015,0.148484,0.003692,0.025700,-0.002121,0.011505,0.024187,0.095950,1.000000,0.000018,0.000128,-0.000011,0.460463,0.006865,-0.141057,-0.876373,14.793755,-6.769189,-125.443279
48526,1.116665,2.502493,9.663106,0.000015,0.081922,0.231133,-0.007105,0.017451,-0.005727,0.011176,0.025028,0.096629,1.000000,-0.000036,0.000087,-0.000029,0.460487,0.006890,-0.140959,-0.876376,14.784664,-6.761891,-125.439388
48527,1.194602,2.441416,9.589249,-0.083035,0.032208,0.153924,-0.002028,0.010264,-0.009716,0.011952,0.024415,0.095892,1.000000,-0.000010,0.000051,-0.000049,0.460488,0.006897,-0.140895,-0.876386,14.778405,-6.757727,-125.438939
48528,1.237419,2.474896,9.673542,-0.092420,-0.001064,0.248385,0.001979,0.008106,-0.013326,0.012380,0.024747,0.096735,1.000000,0.000010,0.000041,-0.000067,0.460472,0.006907,-0.140858,-0.876400,14.775180,-6.754494,-125.440665
48529,1.260569,2.438349,9.633106,-0.129108,-0.010708,0.203026,-0.000041,0.004550,-0.015035,0.012610,0.024383,0.096331,1.000000,-0.000000,0.000023,-0.000075,0.460448,0.006898,-0.140815,-0.876419,14.770490,-6.752766,-125.443687
48530,1.212734,2.477213,9.599821,-0.065499,-0.001616,0.175284,0.004917,0.010981,-0.016555,0.012135,0.024769,0.095998,1.000000,0.000025,0.000055,-0.000083,0.460421,0.006929,-0.140784,-0.876439,14.769110,-6.747470,-125.446792
48531,1.144559,2.444920,9.619493,-0.055381,0.074866,0.177989,0.009456,0.008984,-0.011048,0.011451,0.024444,0.096196,1.000000,0.000047,0.000045,-0.000055,0.460416,0.006959,-0.140773,-0.876442,14.769512,-6.743842,-125.446999
48532,1.097186,2.484442,9.585953,0.008213,0.083972,0.150226,0.011322,-0.000026,-0.008230,0.010973,0.024839,0.095861,1.000000,0.000057,-0.000000,-0.000041,0.460417,0.006951,-0.140796,-0.876438,14.771447,-6.745859,-125.447078
48533,1.069657,2.497334,9.602489,0.032470,0.103886,0.166130,0.006274,-0.008921,-0.012502,0.010694,0.024970,0.096026,1.000000,0.000031,-0.000045,-0.000063,0.460389,0.006895,-0.140813,-0.876451,14.770463,-6.751957,-125.451416
48534,1.130806,2.463907,9.477987,-0.011294,0.043349,0.045294,0.006906,-0.011646,-0.016206,0.011305,0.024635,0.094781,1.000000,0.000035,-0.000058,-0.000081,0.460346,0.006831,-0.140842,-0.876469,14.770592,-6.759247,-125.457653
48535,1.201643,2.523108,9.481554,-0.004603,-0.043951,0.072045,0.012861,-0.006524,-0.019215,0.012016,0.025224,0.094818,1.000000,0.000064,-0.000033,-0.000096,0.460297,0.006806,-0.140882,-0.876489,14.773742,-6.763042,-125.464502
48536,1.185275,2.593401,9.511874,0.056968,-0.060483,0.117038,0.011238,0.000605,-0.011683,0.011855,0.025928,0.095120,1.000000,0.000056,0.000003,-0.000058,0.460283,0.006803,-0.140902,-0.876493,14.775844,-6.764205,-125.466415
48537,1.171527,2.591241,9.491554,0.066370,-0.053048,0.095359,0.000835,-0.000058,-0.008389,0.011716,0.025912,0.094916,1.000000,0.000004,-0.000000,-0.000042,0.460284,0.006771,-0.140875,-0.876497,14.771309,-6.766008,-125.466521
