// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
53689,-9.455657,-1.063790,-1.763609,-0.029870,-0.052391,-0.135509,0.029782,-0.001121,0.005399,-0.094556,-0.010638,-0.017638,1.000000,0.000149,-0.000006,0.000027,0.275535,-0.727615,0.246757,0.577727,-147.324672,77.608884,-10.939251
53690,-9.396270,-1.105002,-1.773948,0.019383,-0.031828,-0.186867,0.029393,-0.000969,0.008796,-0.093962,-0.011052,-0.017742,1.000000,0.000147,-0.000005,0.000044,0.275592,-0.727531,0.246900,0.577744,-147.340459,77.618223,-10.972180
53691,-9.388784,-1.175812,-1.735214,0.043339,0.046030,-0.192980,0.025199,-0.004659,0.005641,-0.093887,-0.011759,-0.017356,1.000000,0.000126,-0.000023,0.000028,0.275642,-0.727449,0.247014,0.577775,-147.349050,77.628272,-10.994704
53692,-9.410191,-1.176285,-1.684312,0.004866,0.082047,-0.181203,0.044752,-0.000145,0.006356,-0.094102,-0.011762,-0.016846,1.000000,0.000224,-0.000001,0.000032,0.275761,-0.727350,0.247193,0.577766,-147.351894,77.636458,-11.023389
53693,-9.434075,-1.030203,-1.656778,-0.116993,-0.004302,-0.179707,0.043786,-0.006696,0.007056,-0.094340,-0.010302,-0.016573,1.000000,0.000219,-0.000033,0.000035,0.275871,-0.727237,0.247355,0.577786,-147.350170,77.647824,-11.045053
53694,-9.373064,-0.971933,-1.653327,-0.144505,-0.047015,-0.246634,0.024041,-0.003258,0.002732,-0.093730,-0.009719,-0.016536,1.000000,0.000120,-0.000016,0.000014,0.275929,-0.727162,0.247457,0.577809,-147.352546,77.656391,-11.061110
53695,-9.407830,-0.954174,-1.691277,-0.135696,-0.084278,-0.207865,-0.007042,-0.001924,0.002696,-0.094078,-0.009544,-0.016913,1.000000,-0.000035,-0.000010,0.000013,0.275872,-0.727133,0.247478,0.577864,-147.377261,77.664306,-11.082308
53696,-9.366341,-1.075519,-1.769401,0.011760,-0.051133,-0.220341,-0.026439,-0.003348,-0.001498,-0.093663,-0.010757,-0.017694,1.000000,-0.000132,-0.000017,-0.000007,0.275759,-0.727132,0.247418,0.577945,-147.399141,77.671609,-11.088723
53697,-9.347381,-1.151906,-1.868813,0.138782,-0.064159,-0.212192,-0.023808,0.000015,-0.002645,-0.093474,-0.011520,-0.018687,1.000000,-0.000119,0.000000,-0.000013,0.275662,-0.727135,0.247380,0.578004,-147.423030,77.677030,-11.100513
53698,-9.373762,-1.227704,-1.833685,0.160863,0.016879,-0.184037,-0.011529,0.005844,0.000678,-0.093738,-0.012278,-0.018333,1.000000,-0.000058,0.000029,0.000003,0.275585,-0.727137,0.247384,0.578035,-147.454190,77.680563,-11.125170
