PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
56606,-6.217299,0.710906,7.633684,0.031078,-0.080163,0.057770,0.046857,0.010342,-0.080143,-0.062166,0.007116,0.076342,1.000000,0.000234,0.000052,-0.000401,0.366456,0.322938,0.099621,-0.866889,4.739094,39.265637,-132.478595
56607,-6.300797,0.623540,7.602896,0.029211,0.039826,0.081272,0.049457,0.011103,-0.102781,-0.063001,0.006249,0.076034,1.000000,0.000247,0.000056,-0.000514,0.365977,0.322999,0.099609,-0.867070,4.718825,39.274359,-132.547712
56608,-6.214792,0.497886,7.535898,-0.071130,0.105351,-0.032855,0.086493,0.018499,-0.110478,-0.062138,0.004981,0.075367,1.000000,0.000432,0.000092,-0.000552,0.365402,0.323157,0.099460,-0.867271,4.716964,39.287740,-132.621682
56609,-6.229763,0.291740,7.528519,-0.206026,0.264067,-0.042248,0.167368,0.009956,-0.134800,-0.062292,0.002896,0.075291,0.999999,0.000837,0.000050,-0.000674,0.364595,0.323412,0.098987,-0.867570,4.749211,39.297327,-132.714515
56610,-6.207206,0.041124,7.584077,-0.425688,0.411960,-0.030132,0.249188,0.017854,-0.135181,-0.062065,0.000359,0.075847,0.999999,0.001246,0.000089,-0.000676,0.363650,0.323851,0.098171,-0.867895,4.828970,39.311592,-132.806755
56611,-6.254657,0.028965,7.626765,-0.441454,0.439608,0.031141,0.334059,0.020657,-0.104291,-0.062539,0.000195,0.076274,0.999998,0.001670,0.000103,-0.000521,0.362697,0.324469,0.096944,-0.868200,4.971338,39.326006,-132.876429
56612,-6.259903,-0.073600,7.654739,-0.538670,0.519271,0.047687,0.344158,0.006543,-0.055149,-0.062597,-0.000850,0.076548,0.999998,0.001721,0.000033,-0.000276,0.361950,0.325070,0.095566,-0.868441,5.142473,39.330108,-132.910302
56613,-6.209883,0.058074,7.716045,-0.523087,0.390831,0.070476,0.392158,0.003597,0.014434,-0.062097,0.000425,0.077162,0.999998,0.001961,0.000018,0.000072,0.361424,0.325774,0.093863,-0.868581,5.372881,39.328890,-132.893504
56614,-6.293102,0.328519,7.609830,-0.261618,0.308780,0.059329,0.365636,-0.016167,0.079456,-0.062938,0.003121,0.076099,0.999998,0.001828,-0.000081,0.000397,0.361234,0.326376,0.092130,-0.868620,5.618214,39.312854,-132.829709
56615,-6.322024,0.757203,7.462084,0.101486,0.099697,-0.004338,0.334747,-0.041733,0.128766,-0.063241,0.007406,0.074620,0.999998,0.001674,-0.000209,0.000644,0.361318,0.326831,0.090408,-0.868595,5.866867,39.279128,-132.732106
