// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
08484,-9.604586,0.179926,-1.244427,0.053803,0.085169,-0.126672,-0.023430,0.071680,-0.042270,-0.096050,0.001818,-0.012410,1.000000,-0.000117,0.000358,-0.000211,0.419673,-0.567533,0.496140,0.505596,169.484292,82.019984,-91.470894
08485,-9.571374,0.158818,-1.230334,0.068630,0.103006,-0.162049,-0.016005,0.068574,-0.038465,-0.095718,0.001606,-0.012271,1.000000,-0.000080,0.000343,-0.000192,0.419550,-0.567795,0.496135,0.505407,169.638962,81.989399,-91.304468
08486,-9.592219,0.144504,-1.212543,0.076656,0.131350,-0.144250,-0.011398,0.073646,-0.036386,-0.095926,0.001462,-0.012090,1.000000,-0.000057,0.000368,-0.000182,0.419413,-0.568057,0.496172,0.505190,169.785350,81.953904,-91.149530
08487,-9.657592,0.156123,-1.246925,0.067165,0.110736,-0.074541,-0.017879,0.071501,-0.040495,-0.096580,0.001580,-0.012435,1.000000,-0.000089,0.000358,-0.000202,0.419284,-0.568335,0.496165,0.504992,169.946649,81.921739,-90.975581
08488,-9.589168,0.156835,-1.240477,0.061379,0.113037,-0.143201,-0.002527,0.069967,-0.044511,-0.095896,0.001590,-0.012371,1.000000,-0.000013,0.000350,-0.000223,0.419202,-0.568589,0.496193,0.504747,170.125104,81.889004,-90.793360
08489,-9.599028,0.180865,-1.292705,0.041505,0.065023,-0.125625,0.000640,0.072375,-0.046185,-0.095995,0.001831,-0.012892,1.000000,0.000003,0.000362,-0.000231,0.419139,-0.568843,0.496219,0.504487,170.317411,81.856754,-90.599035
08490,-9.622750,0.125708,-1.246547,0.084141,0.127751,-0.109925,0.004267,0.069175,-0.049582,-0.096231,0.001281,-0.012432,1.000000,0.000021,0.000346,-0.000248,0.419091,-0.569093,0.496248,0.504217,170.516248,81.824780,-90.400127
08491,-9.610856,0.160256,-1.323145,0.057312,0.050986,-0.110159,0.004740,0.069549,-0.048162,-0.096113,0.001626,-0.013198,1.000000,0.000024,0.000348,-0.000241,0.419050,-0.569337,0.496271,0.503952,170.713743,81.794114,-90.202556
08492,-9.571033,0.169352,-1.264769,0.034340,0.106525,-0.157613,0.005918,0.071876,-0.050897,-0.095714,0.001718,-0.012613,1.000000,0.000030,0.000359,-0.000254,0.419003,-0.569594,0.496306,0.503666,170.917300,81.760538,-89.999805
08493,-9.579930,0.144940,-1.216000,0.045768,0.164684,-0.156317,0.002870,0.072468,-0.050191,-0.095803,0.001474,-0.012125,1.000000,0.000014,0.000362,-0.000251,0.418953,-0.569855,0.496324,0.503394,171.120285,81.728199,-89.795405
08494,-9.596616,0.188648,-1.241153,0.001913,0.141434,-0.135339,-0.004819,0.072453,-0.047950,-0.095970,0.001909,-0.012377,1.000000,-0.000024,0.000362,-0.000240,0.418867,-0.570128,0.496341,0.503140,171.303354,81.693838,-89.607107
08495,-9.639341,0.161836,-1.199368,0.016803,0.198218,-0.099706,-0.000986,0.075303,-0.053285,-0.096397,0.001644,-0.011957,1.000000,-0.000005,0.000377,-0.000266,0.418805,-0.570414,0.496344,0.502864,171.514532,81.659969,-89.391748
08496,-9.603307,0.178967,-1.214316,-0.002878,0.181984,-0.132968,-0.021027,0.081891,-0.056216,-0.096038,0.001815,-0.012104,1.000000,-0.000105,0.000409,-0.000281,0.418670,-0.570765,0.496317,0.502606,171.722304,81.620756,-89.169060
08497,-9.605931,0.181999,-1.294753,0.001386,0.109494,-0.118802,-0.034062,0.080539,-0.060369,-0.096064,0.001847,-0.012909,1.000000,-0.000170,0.000403,-0.000302,0.418522,-0.571147,0.496232,0.502379,171.940955,81.584251,-88.927816
08498,-9.590833,0.136819,-1.357332,0.050694,0.060140,-0.125637,-0.052221,0.090160,-0.058128,-0.095914,0.001393,-0.013530,1.000000,-0.000261,0.000451,-0.000291,0.418281,-0.571588,0.496138,0.502170,172.138573,81.540261,-88.697280
08499,-9.593969,0.072654,-1.323221,0.103543,0.111021,-0.128815,-0.049854,0.087589,-0.054662,-0.095945,0.000749,-0.013190,1.000000,-0.000249,0.000438,-0.000273,0.418055,-0.572009,0.496041,0.501976,172.326100,81.499079,-88.477833
08500,-9.556775,0.039201,-1.410288,0.145870,0.032928,-0.153493,-0.044834,0.085550,-0.053793,-0.095574,0.000415,-0.014062,1.000000,-0.000224,0.000428,-0.000269,0.417836,-0.572412,0.495968,0.501770,172.504978,81.457158,-88.270476
08501,-9.590717,0.012195,-1.411338,0.167600,0.048040,-0.120243,-0.033091,0.087241,-0.054342,-0.095913,0.000146,-0.014072,1.000000,-0.000165,0.000436,-0.000272,0.417655,-0.572796,0.495912,0.501537,172.696822,81.415930,-88.056038
08502,-9.595276,0.047227,-1.406427,0.127265,0.054905,-0.115762,-0.025060,0.083103,-0.053678,-0.095958,0.000496,-0.014024,1.000000,-0.000125,0.000416,-0.000268,0.417498,-0.573152,0.495884,0.501290,172.881626,81.375193,-87.854101
08503,-9.572051,0.124309,-1.380904,0.041906,0.070143,-0.141088,-0.013793,0.076926,-0.058302,-0.095725,0.001270,-0.013772,1.000000,-0.000069,0.000385,-0.000292,0.417412,-0.573476,0.495847,0.501026,173.090960,81.339881,-87.633908
08504,-9.573919,0.079482,-1.359885,0.077579,0.104125,-0.143217,-0.021084,0.075756,-0.054189,-0.095744,0.000819,-0.013563,1.000000,-0.000105,0.000379,-0.000271,0.417286,-0.573806,0.495812,0.500789,173.273110,81.303152,-87.436921
08505,-9.578756,0.114448,-1.354217,0.037113,0.110701,-0.138705,-0.020070,0.079534,-0.052312,-0.095793,0.001168,-0.013504,1.000000,-0.000100,0.000398,-0.000262,0.417158,-0.574138,0.495779,0.500548,173.454528,81.265748,-87.240805
08506,-9.554383,0.140602,-1.400134,0.013899,0.064365,-0.155460,-0.003785,0.078850,-0.053386,-0.095549,0.001431,-0.013964,1.000000,-0.000019,0.000394,-0.000267,0.417072,-0.574436,0.495796,0.500260,173.641688,81.227017,-87.048736
08507,-9.543056,0.107302,-1.362105,0.035635,0.110991,-0.173021,-0.009998,0.076996,-0.051044,-0.095436,0.001097,-0.013584,1.000000,-0.000050,0.000385,-0.000255,0.416975,-0.574738,0.495786,0.500004,173.819831,81.190789,-86.861591
08508,-9.596051,0.037526,-1.424204,0.109240,0.076047,-0.112366,-0.023542,0.079691,-0.053039,-0.095966,0.000399,-0.014204,1.000000,-0.000118,0.000398,-0.000265,0.416829,-0.575079,0.495756,0.499764,173.991527,81.151376,-86.673678
08509,-9.587544,0.012764,-1.458911,0.134308,0.050880,-0.115835,-0.012399,0.076497,-0.053525,-0.095881,0.000152,-0.014552,1.000000,-0.000062,0.000382,-0.000268,0.416736,-0.575387,0.495736,0.499507,174.173934,81.115381,-86.481590
08510,-9.558785,0.050311,-1.445949,0.090466,0.059148,-0.145631,-0.013918,0.076778,-0.053178,-0.095593,0.000528,-0.014423,1.000000,-0.000070,0.000384,-0.000266,0.416625,-0.575701,0.495723,0.499250,174.347439,81.077458,-86.297389
08511,-9.568003,0.025489,-1.398029,0.101901,0.117313,-0.144303,-0.015737,0.081200,-0.055696,-0.095686,0.000280,-0.013941,1.000000,-0.000079,0.000406,-0.000278,0.416512,-0.576037,0.495693,0.498987,174.534550,81.038729,-86.097593
08512,-9.614152,0.077236,-1.372401,0.040981,0.147246,-0.101971,-0.004740,0.073490,-0.054725,-0.096146,0.000798,-0.013689,1.000000,-0.000024,0.000367,-0.000274,0.416440,-0.576327,0.495691,0.498714,174.714695,81.002585,-85.911955
08513,-9.540973,0.066219,-1.465125,0.062323,0.053097,-0.159997,-0.017688,0.081077,-0.056769,-0.095415,0.000688,-0.014613,1.000000,-0.000088,0.000405,-0.000284,0.416327,-0.576666,0.495656,0.498451,174.901402,80.963768,-85.712101
08514,-9.552802,0.050056,-1.490378,0.077215,0.039753,-0.144585,-0.044581,0.086751,-0.054321,-0.095534,0.000523,-0.014862,1.000000,-0.000223,0.000434,-0.000272,0.416105,-0.577071,0.495584,0.498239,175.058412,80.919856,-85.526735
08515,-9.550106,0.065454,-1.512693,0.060867,0.021865,-0.143517,-0.049655,0.085711,-0.054238,-0.095507,0.000677,-0.015086,1.000000,-0.000248,0.000429,-0.000271,0.415881,-0.577483,0.495485,0.498048,175.215831,80.878094,-85.337646
08516,-9.579122,-0.021185,-1.513127,0.141478,0.047163,-0.115918,-0.049242,0.084570,-0.052330,-0.095798,-0.000190,-0.015091,1.000000,-0.000246,0.000423,-0.000262,0.415646,-0.577887,0.495402,0.497857,175.359267,80.835178,-85.163279
08517,-9.607650,-0.017008,-1.469555,0.125335,0.099661,-0.094603,-0.043382,0.074344,-0.050795,-0.096082,-0.000149,-0.014660,1.000000,-0.000217,0.000372,-0.000254,0.415456,-0.578252,0.495301,0.497693,175.501987,80.799607,-84.991934
08518,-9.601726,-0.080787,-1.475718,0.185119,0.109176,-0.100262,-0.041441,0.072919,-0.049226,-0.096023,-0.000787,-0.014722,1.000000,-0.000207,0.000365,-0.000246,0.415265,-0.578603,0.495222,0.497523,175.633064,80.763075,-84.834579
08519,-9.535784,-0.070321,-1.540317,0.182316,0.039521,-0.154847,-0.042667,0.069054,-0.046027,-0.095363,-0.000685,-0.015370,1.000000,-0.000213,0.000345,-0.000230,0.415081,-0.578938,0.495128,0.497380,175.755843,80.730166,-84.684468
