// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
08484,-3.944899,-0.070733,9.062831,-0.047496,0.017414,0.071623,0.009150,-0.001816,-0.006525,-0.039450,-0.000710,0.090628,1.000000,0.000046,-0.000009,-0.000033,0.024600,0.205985,0.007817,-0.978215,-0.323046,23.789668,-177.186877
08485,-3.906611,-0.130220,9.101464,-0.100634,0.074388,0.091834,0.009580,-0.000935,-0.005202,-0.039067,-0.001306,0.091014,1.000000,0.000048,-0.000005,-0.000026,0.024617,0.205964,0.007805,-0.978219,-0.321221,23.787178,-177.184524
08486,-3.944762,-0.068945,9.062905,-0.046583,0.016626,0.071628,0.019213,0.000794,-0.001611,-0.039447,-0.000698,0.090629,1.000000,0.000096,0.000004,-0.000008,0.024640,0.205943,0.007746,-0.978223,-0.313476,23.784476,-177.180199
08487,-3.915954,-0.094456,9.100706,-0.089160,0.040843,0.094726,0.012723,-0.000613,-0.003146,-0.039160,-0.000950,0.091007,1.000000,0.000064,-0.000003,-0.000016,0.024664,0.205924,0.007717,-0.978227,-0.309332,23.782177,-177.176560
08488,-3.935539,-0.080995,9.092810,-0.066881,0.029273,0.095334,0.017533,0.000569,-0.004591,-0.039355,-0.000817,0.090928,1.000000,0.000088,0.000003,-0.000023,0.024677,0.205901,0.007670,-0.978232,-0.303292,23.779340,-177.173778
08489,-3.915259,-0.037586,9.106950,-0.088810,-0.014301,0.099886,0.018809,0.003845,-0.007100,-0.039151,-0.000383,0.091070,1.000000,0.000094,0.000019,-0.000036,0.024675,0.205904,0.007616,-0.978231,-0.296666,23.779582,-177.172630
08490,-3.925651,-0.076048,9.070650,-0.066476,0.026183,0.071042,0.011080,0.002462,-0.003812,-0.039255,-0.000765,0.090707,1.000000,0.000055,0.000012,-0.000019,0.024699,0.205889,0.007600,-0.978234,-0.294133,23.777827,-177.169296
08491,-3.924905,-0.039495,9.047750,-0.056047,-0.009212,0.049614,0.012970,0.003443,-0.003411,-0.039247,-0.000400,0.090478,1.000000,0.000065,0.000017,-0.000017,0.024721,0.205890,0.007570,-0.978234,-0.289920,23.777850,-177.165837
08492,-3.936533,-0.076710,9.092417,-0.065055,0.027685,0.095351,0.007939,0.002137,-0.005868,-0.039364,-0.000770,0.090925,1.000000,0.000040,0.000011,-0.000029,0.024736,0.205874,0.007571,-0.978237,-0.289705,23.775910,-177.164045
08493,-3.926034,-0.092520,9.041371,-0.054597,0.044347,0.044479,0.006234,-0.002021,-0.004681,-0.039261,-0.000927,0.090413,1.000000,0.000031,-0.000010,-0.000023,0.024759,0.205847,0.007575,-0.978242,-0.289666,23.772799,-177.161363
08494,-3.897235,-0.118678,9.079189,-0.096979,0.068455,0.067601,0.012542,0.002561,-0.004735,-0.038971,-0.001192,0.090792,1.000000,0.000063,0.000013,-0.000024,0.024775,0.205833,0.007552,-0.978244,-0.286527,23.771111,-177.158838
08495,-3.906948,-0.066017,9.107347,-0.096643,0.016034,0.097043,0.008161,0.002262,-0.001968,-0.039068,-0.000663,0.091074,1.000000,0.000041,0.000011,-0.000010,0.024809,0.205827,0.007544,-0.978245,-0.284705,23.770460,-177.154472
08496,-3.896731,-0.062742,9.085312,-0.096592,0.013309,0.072749,0.014826,0.001121,-0.005326,-0.038967,-0.000633,0.090853,1.000000,0.000074,0.000006,-0.000027,0.024820,0.205807,0.007511,-0.978249,-0.280406,23.767943,-177.152270
08497,-3.947339,-0.075275,9.114234,-0.062366,0.028024,0.119671,0.008776,-0.000033,0.000943,-0.039473,-0.000757,0.091142,1.000000,0.000044,-0.000000,0.000005,0.024867,0.205790,0.007497,-0.978251,-0.277494,23.765986,-177.146075
08498,-3.897848,-0.114911,9.078974,-0.095178,0.066857,0.067630,0.013624,0.004449,0.001810,-0.038976,-0.001156,0.090791,1.000000,0.000068,0.000022,0.000009,0.024913,0.205786,0.007462,-0.978251,-0.272092,23.765398,-177.139594
