PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
50270,-4.065782,4.895719,10.450241,0.407511,-3.702942,1.841847,-0.257087,-0.041642,0.789572,-0.040873,0.048930,0.104431,0.999991,-0.001285,-0.000208,0.003948,0.218941,0.240639,-0.007026,-0.945573,7.644300,26.872502,-152.097833
50271,-4.246036,4.494969,10.848697,0.239367,-3.268347,2.236717,-0.099058,-0.117753,0.812355,-0.042706,0.044830,0.108440,0.999991,-0.000495,-0.000589,0.004062,0.222951,0.239916,-0.007654,-0.944815,7.815566,26.739745,-151.584921
50272,-3.894739,4.531464,10.947379,-0.030201,-3.409661,2.184027,0.011147,-0.211075,0.830842,-0.039251,0.045146,0.109435,0.999991,0.000056,-0.001055,0.004154,0.226905,0.238871,-0.008917,-0.944127,8.048186,26.551567,-151.070513
50273,-3.353836,4.247727,11.021182,-0.571116,-3.336766,1.989738,0.092263,-0.242547,0.818234,-0.033845,0.042288,0.110190,0.999991,0.000461,-0.001213,0.004091,0.230702,0.237764,-0.010598,-0.943468,8.321872,26.343750,-150.567894
50274,-3.116617,3.345069,11.076150,-1.140445,-2.575081,1.834276,0.221115,-0.261010,0.797098,-0.031443,0.033203,0.110757,0.999991,0.001106,-0.001305,0.003985,0.234236,0.236717,-0.012868,-0.942832,8.658264,26.125659,-150.083413
50275,-3.590346,3.064182,11.574377,-1.100570,-2.074332,2.464573,0.412858,-0.321452,0.769357,-0.036206,0.030264,0.115748,0.999989,0.002064,-0.001607,0.003847,0.237409,0.235603,-0.016097,-0.942268,9.093342,25.871844,-149.623989
50276,-3.506989,2.752022,11.796062,-1.381783,-1.753022,2.598446,0.473860,-0.490538,0.702665,-0.035455,0.027117,0.117939,0.999988,0.002369,-0.002453,0.003513,0.240171,0.233769,-0.019717,-0.941956,9.532055,25.526515,-149.228106
50277,-2.414200,1.943181,11.257409,-2.315132,-1.394996,1.546303,0.549502,-0.629124,0.625854,-0.024556,0.019046,0.112550,0.999986,0.002747,-0.003146,0.003129,0.242469,0.231368,-0.023789,-0.941866,9.985123,25.106358,-148.898331
50278,-2.064525,1.754986,11.107668,-2.570690,-1.272804,1.254962,0.641166,-0.686762,0.553727,-0.021074,0.017136,0.111060,0.999985,0.003206,-0.003434,0.002769,0.244302,0.228815,-0.028259,-0.941893,10.462705,24.659904,-148.625778
50279,-2.235644,1.767844,11.329874,-2.494332,-1.100063,1.547605,0.633834,-0.774614,0.477267,-0.022837,0.017265,0.113266,0.999985,0.003169,-0.003873,0.002386,0.245769,0.225835,-0.032733,-0.942085,10.910255,24.168569,-148.414772
50280,-2.549185,1.579205,11.676796,-2.436608,-0.681007,1.974482,0.570809,-0.930683,0.424908,-0.026068,0.015404,0.116692,0.999983,0.002854,-0.004653,0.002125,0.247021,0.222052,-0.037022,-0.942498,11.295289,23.595449,-148.260531
50281,-3.292894,1.197769,12.084944,-2.126869,0.126905,2.588183,0.514948,-1.187790,0.412463,-0.033670,0.011598,0.120681,0.999977,0.002575,-0.005939,0.002062,0.248226,0.216971,-0.041370,-0.943184,11.631235,22.876675,-148.149535
50282,-2.385431,0.913391,11.382155,-2.553563,0.095954,1.569102,0.482147,-1.502811,0.443490,-0.024729,0.008806,0.113659,0.999966,0.002411,-0.007514,0.002217,0.249526,0.210355,-0.045966,-0.944126,11.935097,21.978849,-148.065475
50283,-0.705990,0.936951,10.297452,-3.287889,-0.594533,-0.002108,0.409757,-1.635521,0.460575,-0.007923,0.009141,0.102931,0.999962,0.002049,-0.008178,0.002303,0.250941,0.202991,-0.050419,-0.945135,12.193516,21.002238,-147.992705
50284,-0.364572,1.054600,9.994395,-3.261507,-0.745812,-0.329179,0.317156,-1.618362,0.478456,-0.004479,0.010377,0.099926,0.999963,0.001586,-0.008092,0.002392,0.252514,0.195585,-0.054409,-0.946057,12.398893,20.034799,-147.912483
50285,-1.580976,0.956349,10.793422,-2.524421,0.066093,0.842451,0.224047,-1.671348,0.520475,-0.016736,0.009400,0.107808,0.999961,0.001120,-0.008357,0.002602,0.254349,0.187769,-0.058080,-0.946930,12.555946,19.029965,-147.817328
50286,-2.704461,0.714950,11.504906,-1.846075,0.981804,1.841138,0.153864,-1.926138,0.593742,-0.028172,0.006979,0.114787,0.999949,0.000769,-0.009631,0.002969,0.256493,0.178634,-0.061788,-0.947884,12.671583,17.875612,-147.716420
50287,-1.962958,0.696916,10.998579,-2.065030,0.752148,1.163286,0.080685,-2.262148,0.656020,-0.020895,0.006858,0.109757,0.999931,0.000403,-0.011310,0.003280,0.258869,0.167755,-0.065646,-0.948966,12.741415,16.522990,-147.625482
50288,-0.847963,0.446844,9.967487,-2.515434,0.493274,-0.133130,0.008949,-2.407896,0.666841,-0.009694,0.004433,0.099563,0.999922,0.000045,-0.012039,0.003334,0.261264,0.156080,-0.069334,-0.950038,12.762705,15.089946,-147.549764
50289,-0.510442,0.271685,9.558366,-2.539063,0.572813,-0.597632,-0.027239,-2.413980,0.636310,-0.006266,0.002711,0.095512,0.999922,-0.000136,-0.012070,0.003181,0.263505,0.144297,-0.072839,-0.951019,12.757804,13.654750,-147.492700
50290,-0.967970,0.529950,9.915179,-1.950556,0.735831,-0.056789,-0.080910,-2.411514,0.553380,-0.010889,0.005311,0.099023,0.999923,-0.000405,-0.012057,0.002767,0.265345,0.132480,-0.075999,-0.951980,12.709153,12.234036,-147.482999
50291,-1.319613,0.165188,10.078298,-1.670648,1.365655,0.121058,-0.123840,-2.487887,0.483047,-0.014452,0.001680,0.100607,0.999920,-0.000619,-0.012439,0.002415,0.266812,0.120230,-0.079012,-0.952950,12.626944,10.776738,-147.521225
50292,-0.815307,0.356605,9.662119,-1.663133,1.027425,-0.308923,-0.079243,-2.582616,0.439541,-0.009408,0.003585,0.096504,0.999914,-0.000396,-0.012913,0.002198,0.267958,0.107604,-0.082310,-0.953858,12.564316,9.274601,-147.594502
50293,0.119873,0.808089,9.123486,-1.875202,0.221006,-0.849682,-0.100434,-2.560516,0.385208,0.000015,0.008127,0.091236,0.999916,-0.000502,-0.012802,0.001926,0.268825,0.095038,-0.085447,-0.954673,12.488315,7.788698,-147.693272
50294,0.369570,1.029752,8.744269,-1.693718,-0.028849,-1.164809,-0.113299,-2.429975,0.322300,0.002616,0.010352,0.087473,0.999925,-0.000566,-0.012150,0.001611,0.269405,0.083111,-0.088291,-0.955363,12.404633,6.386256,-147.809151
50295,-0.114125,1.571486,8.799972,-0.843420,-0.117828,-0.913628,-0.131129,-2.300474,0.298479,-0.002177,0.015770,0.087968,0.999933,-0.000656,-0.011502,0.001492,0.269902,0.071755,-0.090865,-0.955901,12.314586,5.056130,-147.919746
50296,-0.487502,1.716171,8.751803,-0.267323,0.047902,-0.885207,-0.154514,-2.201514,0.317104,-0.005865,0.017221,0.087444,0.999938,-0.000773,-0.011007,0.001585,0.270502,0.060844,-0.093176,-0.956266,12.214969,3.781874,-148.005650
50297,-0.616580,2.043745,8.637216,0.198747,-0.082202,-0.918346,-0.109088,-2.096991,0.376106,-0.007109,0.020472,0.086290,0.999943,-0.000545,-0.010485,0.001880,0.271390,0.050438,-0.095582,-0.956382,12.146469,2.555966,-148.043561
50298,-0.865787,2.456103,8.574178,0.792642,-0.214787,-0.889606,-0.111189,-1.976451,0.468382,-0.009562,0.024587,0.085637,0.999948,-0.000556,-0.009882,0.002342,0.272744,0.040578,-0.097815,-0.956241,12.079313,1.389381,-148.014010
50299,-0.985352,2.339162,8.356248,1.015525,-0.004193,-1.138829,-0.088922,-1.835089,0.580442,-0.010688,0.023399,0.083457,0.999954,-0.000445,-0.009175,0.002902,0.274675,0.031343,-0.099987,-0.955811,12.026123,0.285755,-147.903319
50300,-1.077826,2.263604,8.229525,1.207119,0.168484,-1.296633,-0.029485,-1.677978,0.687961,-0.011546,0.022609,0.082197,0.999959,-0.000147,-0.008390,0.003440,0.277161,0.022906,-0.102223,-0.955095,12.004011,-0.739702,-147.713142
50301,-1.112417,2.054854,8.118896,1.258593,0.420923,-1.469214,0.053329,-1.486152,0.770951,-0.011806,0.020482,0.081108,0.999965,0.000267,-0.007431,0.003855,0.280114,0.015435,-0.104602,-0.954126,12.025281,-1.670310,-147.453325
50302,-1.353397,2.255991,8.255404,1.659659,0.494894,-1.323160,0.162402,-1.312663,0.849837,-0.014171,0.022434,0.082481,0.999969,0.000812,-0.006563,0.004249,0.283504,0.008923,-0.107246,-0.952914,12.102050,-2.510627,-147.129359
50303,-1.442535,2.433343,8.398857,1.909491,0.512183,-1.173639,0.171936,-1.140685,0.884173,-0.015011,0.024196,0.083925,0.999974,0.000860,-0.005703,0.004421,0.287136,0.003205,-0.109699,-0.951582,12.178464,-3.261768,-146.766158
50304,-1.402484,1.658400,8.426823,1.528071,1.203678,-1.330715,0.188804,-1.006422,0.874486,-0.014521,0.016442,0.084212,0.999977,0.000944,-0.005032,0.004372,0.290777,-0.001825,-0.112022,-0.950209,12.258759,-3.934458,-146.393006
