// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
58501,-3.159775,2.882468,8.551362,0.371656,-1.576471,-0.389597,0.365940,-0.649010,0.430841,-0.031937,0.028600,0.085463,0.999991,0.001830,-0.003245,0.002154,0.255655,0.208266,-0.019994,-0.943857,8.982395,22.514850,-147.897317
58502,-3.307547,3.009729,8.480618,0.610014,-1.537359,-0.369006,0.378882,-0.586657,0.427663,-0.033388,0.029866,0.084765,0.999992,0.001894,-0.002933,0.002138,0.257270,0.205909,-0.022954,-0.943868,9.274481,22.141295,-147.688107
58503,-4.077605,2.629363,8.812249,0.929428,-0.772481,0.174054,0.397386,-0.580394,0.433357,-0.041088,0.026030,0.088055,0.999991,0.001987,-0.002902,0.002167,0.258888,0.203593,-0.026010,-0.943849,9.577374,21.768383,-147.477465
58504,-4.314499,2.277780,8.899826,0.942957,-0.271825,0.289109,0.462774,-0.652765,0.482444,-0.043490,0.022467,0.088909,0.999989,0.002314,-0.003264,0.002412,0.260657,0.201019,-0.029507,-0.943811,9.922592,21.350105,-147.247389
58505,-3.770363,1.986721,8.570668,0.538471,-0.189014,-0.257970,0.499608,-0.683240,0.535437,-0.038049,0.019552,0.085626,0.999987,0.002498,-0.003416,0.002677,0.262628,0.198328,-0.033281,-0.943708,10.297385,20.906652,-146.992063
58506,-3.406917,1.376604,8.260519,0.107230,0.251775,-0.775943,0.539786,-0.629167,0.585858,-0.034369,0.013443,0.082534,0.999987,0.002699,-0.003146,0.002929,0.264800,0.195940,-0.037212,-0.943453,10.703893,20.488102,-146.704285
58507,-3.411688,1.162726,8.185987,0.054615,0.524559,-0.883902,0.521714,-0.543345,0.630419,-0.034375,0.011306,0.081796,0.999988,0.002609,-0.002717,0.003152,0.267209,0.193911,-0.040997,-0.943036,11.110488,20.109810,-146.383803
58508,-3.455409,0.782801,8.113037,-0.057002,0.950664,-1.011180,0.445918,-0.439788,0.668188,-0.034758,0.007531,0.081071,0.999990,0.002230,-0.002199,0.003341,0.269885,0.192265,-0.044312,-0.942461,11.481588,19.784727,-146.031804
58509,-3.723148,0.504550,8.038798,0.048634,1.397616,-1.050117,0.360293,-0.341343,0.712178,-0.037386,0.004768,0.080333,0.999991,0.001801,-0.001707,0.003561,0.272866,0.190946,-0.047142,-0.941733,11.814708,19.506507,-145.644346
58510,-4.225732,0.738874,8.158454,0.510294,1.524608,-0.736454,0.223771,-0.253652,0.746449,-0.042388,0.007139,0.081539,0.999992,0.001119,-0.001268,0.003732,0.276156,0.189850,-0.049231,-0.940889,12.076799,19.272750,-145.227592
58511,-4.780317,0.611764,8.443560,0.769601,1.974818,-0.324428,-0.040850,-0.210917,0.749400,-0.047915,0.005955,0.084384,0.999992,-0.000204,-0.001055,0.003747,0.279716,0.188579,-0.050027,-0.940050,12.188424,19.060111,-144.805082
58512,-4.891179,-0.120645,8.341448,0.530965,2.679459,-0.536025,-0.283121,-0.202321,0.715791,-0.048992,-0.001264,0.083367,0.999992,-0.001416,-0.001012,0.003579,0.283344,0.187021,-0.049631,-0.939295,12.152687,18.857268,-144.401989
58513,-4.495910,-0.635985,8.118264,0.057811,2.904441,-0.976128,-0.431020,-0.161408,0.670002,-0.045003,-0.006336,0.081160,0.999992,-0.002155,-0.000807,0.003350,0.286901,0.185448,-0.048446,-0.938589,12.024480,18.682344,-144.021029
58514,-4.492239,-0.855490,8.140997,-0.056787,3.078848,-0.997623,-0.525869,-0.095430,0.594031,-0.044936,-0.008474,0.081411,0.999992,-0.002629,-0.000477,0.002970,0.290201,0.184071,-0.046642,-0.937937,11.828694,18.555465,-143.676512
58515,-5.064948,-1.007157,8.368273,0.227324,3.506111,-0.628379,-0.577031,-0.060977,0.497171,-0.050650,-0.009956,0.083696,0.999993,-0.002885,-0.000305,0.002486,0.293096,0.182794,-0.044465,-0.937392,11.586612,18.459521,-143.384893
58516,-5.280625,-0.883688,8.519765,0.418613,3.500943,-0.388232,-0.647296,-0.108700,0.407608,-0.052835,-0.008669,0.085197,0.999993,-0.003236,-0.000543,0.002038,0.295622,0.181214,-0.041940,-0.937022,11.284915,18.349169,-143.151599
58517,-4.689337,-1.031523,8.097161,0.069260,3.272001,-0.986192,-0.684023,-0.148100,0.340739,-0.046936,-0.010118,0.080972,0.999992,-0.003420,-0.000740,0.001704,0.297854,0.179401,-0.039243,-0.936781,10.948203,18.224567,-142.962112
58518,-4.003556,-0.826201,7.658925,-0.154418,2.697926,-1.562389,-0.666585,-0.113452,0.295996,-0.040067,-0.008066,0.076594,0.999993,-0.003333,-0.000567,0.001480,0.299864,0.177788,-0.036532,-0.936557,10.614090,18.126039,-142.794470
58519,-3.479552,-0.503059,7.455729,-0.277457,2.109609,-1.848978,-0.663909,-0.023617,0.256019,-0.034798,-0.004828,0.074569,0.999994,-0.003320,-0.000118,0.001280,0.301696,0.176600,-0.033664,-0.936301,10.277162,18.082635,-142.640303
58520,-2.920262,-0.088454,7.522253,-0.473728,1.408526,-1.881010,-0.691110,0.098860,0.224215,-0.029165,-0.000657,0.075239,0.999993,-0.003456,0.000494,0.001121,0.303420,0.175951,-0.030454,-0.935975,9.922877,18.112981,-142.491669
