// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
65091,-4.007795,0.985146,9.097163,-0.079609,-0.078075,0.176249,-0.141334,-0.035203,0.040851,-0.040096,0.009908,0.090958,1.000000,-0.000707,-0.000176,0.000204,0.202494,0.215658,-0.003447,-0.955236,5.912424,24.243308,-154.791969
65092,-3.980631,0.691091,8.965764,-0.152191,0.182743,0.018456,-0.155754,-0.030796,0.055007,-0.039822,0.006970,0.089646,1.000000,-0.000779,-0.000154,0.000275,0.202976,0.215327,-0.002770,-0.955210,5.834270,24.220007,-154.754012
65093,-3.996148,0.847302,9.070002,-0.113632,0.027916,0.134089,-0.150766,-0.026931,0.078831,-0.039977,0.008526,0.090688,1.000000,-0.000754,-0.000135,0.000394,0.203567,0.215020,-0.002138,-0.955156,5.765196,24.197557,-154.700873
65094,-3.935048,0.726629,9.028924,-0.185737,0.109315,0.060894,-0.166198,-0.024147,0.089792,-0.039365,0.007324,0.090278,1.000000,-0.000831,-0.000121,0.000449,0.204227,0.214709,-0.001441,-0.955086,5.690130,24.176145,-154.640708
65095,-3.990280,0.675863,8.947259,-0.119463,0.176064,0.005016,-0.143459,-0.009706,0.107927,-0.039911,0.006801,0.089466,1.000000,-0.000717,-0.000049,0.000540,0.204949,0.214491,-0.000858,-0.954981,5.633098,24.161979,-154.568320
65096,-4.022704,0.880690,8.996528,-0.027599,-0.010323,0.081472,-0.142895,0.003357,0.116825,-0.040231,0.008848,0.089960,1.000000,-0.000714,0.000017,0.000584,0.205712,0.214335,-0.000274,-0.954852,5.578976,24.154854,-154.489538
65097,-3.980224,0.667041,8.996499,-0.142189,0.161409,0.045195,-0.139378,0.009213,0.123004,-0.039802,0.006709,0.089962,1.000000,-0.000697,0.000046,0.000615,0.206502,0.214211,0.000293,-0.954710,5.528610,24.150771,-154.406516
65098,-4.044525,0.704911,8.976871,-0.062818,0.147254,0.057148,-0.120892,0.009289,0.106404,-0.040445,0.007082,0.089766,1.000000,-0.000604,0.000046,0.000532,0.207191,0.214106,0.000790,-0.954584,5.484567,24.147727,-154.333882
65099,-4.094796,0.897773,8.931371,0.076634,-0.010330,0.053252,-0.096377,0.004363,0.090094,-0.040950,0.009002,0.089310,1.000000,-0.000482,0.000022,0.000450,0.207777,0.214002,0.001182,-0.954479,5.450283,24.142786,-154.271738
65100,-4.038403,1.015056,8.878093,0.101450,-0.138936,-0.008098,-0.081884,0.005962,0.082201,-0.040386,0.010170,0.088778,1.000000,-0.000409,0.000030,0.000411,0.208309,0.213921,0.001515,-0.954381,5.422313,24.139239,-154.214430
65101,-3.962589,1.033514,8.986935,0.005154,-0.199766,0.061284,-0.074390,-0.002617,0.046139,-0.039629,0.010359,0.089865,1.000000,-0.000372,-0.000013,0.000231,0.208661,0.213807,0.001841,-0.954329,5.389212,24.132739,-154.180259
65102,-4.246579,0.902546,8.958972,0.200915,0.031065,0.140697,-0.052649,-0.006435,-0.001769,-0.042469,0.009049,0.089586,1.000000,-0.000263,-0.000032,-0.000009,0.208761,0.213696,0.002111,-0.954331,5.356227,24.126683,-154.176168
