PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
07442,-3.751448,0.456028,8.983112,0.147152,0.149255,-0.069295,0.100423,0.103373,0.003615,-0.037468,0.004514,0.089853,1.000000,0.000502,0.000517,0.000018,0.175740,0.189103,0.005184,-0.966089,3.479416,21.543204,-158.718179
07443,-3.824594,0.606855,8.975223,0.254512,0.038498,-0.041088,0.093374,0.064417,0.013217,-0.038217,0.006024,0.089767,1.000000,0.000467,0.000322,0.000066,0.175766,0.189473,0.004803,-0.966014,3.534317,21.577261,-158.702082
07444,-3.913892,0.590782,8.919496,0.340129,0.093997,-0.060741,0.077913,0.026520,0.017262,-0.039128,0.005870,0.089202,1.000000,0.000390,0.000133,0.000086,0.175826,0.189646,0.004460,-0.965971,3.580691,21.589407,-158.684951
07445,-3.939556,0.604986,8.966762,0.347106,0.092330,-0.006571,0.073072,-0.010212,0.018568,-0.039401,0.006013,0.089668,1.000000,0.000365,-0.000051,0.000093,0.175899,0.189637,0.004107,-0.965961,3.624138,21.580571,-158.668388
07446,-3.780187,0.716881,9.059080,0.213966,-0.066327,0.027052,0.065257,-0.039668,0.015434,-0.037820,0.007136,0.090586,1.000000,0.000326,-0.000198,0.000077,0.175965,0.189479,0.003769,-0.965981,3.661901,21.554943,-158.654950
07447,-3.753784,0.720563,9.072159,0.190953,-0.072442,0.029694,0.059691,-0.068849,0.002924,-0.037569,0.007178,0.090711,1.000000,0.000298,-0.000344,0.000015,0.175976,0.189176,0.003443,-0.966040,3.693280,21.513135,-158.650338
07448,-3.751445,0.734799,9.033699,0.213728,-0.076428,-0.006085,0.057445,-0.090827,-0.005966,-0.037555,0.007323,0.090322,1.000000,0.000287,-0.000454,-0.000030,0.175946,0.188763,0.003118,-0.966127,3.720986,21.459049,-158.652117
07449,-3.771746,0.721347,9.036820,0.233895,-0.049826,0.003286,0.043870,-0.114315,-0.002309,-0.037769,0.007194,0.090348,1.000000,0.000219,-0.000572,-0.000012,0.175947,0.188226,0.002834,-0.966233,3.741437,21.391437,-158.652587
07450,-3.791220,0.808093,9.062978,0.281333,-0.119409,0.039749,0.033475,-0.128887,-0.000489,-0.037971,0.008066,0.090607,1.000000,0.000167,-0.000644,-0.000002,0.175967,0.187609,0.002586,-0.966350,3.756078,21.315403,-158.652567
07451,-3.845883,0.551712,9.194366,0.206363,0.136181,0.165810,0.001943,-0.142580,0.001060,-0.038524,0.005516,0.091916,1.000000,0.000010,-0.000713,0.000005,0.176024,0.186898,0.002477,-0.966477,3.752834,21.231505,-158.652136
