PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
14797,-3.793618,0.532204,9.052774,-0.009719,-0.128499,0.016395,-0.088440,-0.089189,-0.039119,-0.037975,0.005369,0.090508,1.000000,-0.000442,-0.000446,-0.000196,-0.962177,0.004533,-0.196558,-0.188571,4.054791,22.331060,22.977647
14798,-3.888588,0.459002,9.139587,-0.042881,-0.217559,0.127869,-0.090173,-0.077719,-0.032251,-0.038921,0.004637,0.091379,1.000000,-0.000451,-0.000389,-0.000161,-0.962277,0.004951,-0.196074,-0.188558,3.991831,22.285508,22.959852
14799,-3.760274,0.417728,9.180267,0.086432,-0.201760,0.114209,-0.047639,-0.075704,-0.031074,-0.037637,0.004205,0.091787,1.000000,-0.000238,-0.000379,-0.000155,-0.962373,0.005165,-0.195640,-0.188509,3.953552,22.241074,22.942935
14800,-3.666903,0.452465,9.220845,0.160383,-0.129694,0.118695,-0.043911,-0.049751,-0.017976,-0.036692,0.004548,0.092198,1.000000,-0.000220,-0.000249,-0.000090,-0.962433,0.005373,-0.195334,-0.188519,3.920930,22.210925,22.935230
14801,-3.662486,0.603167,9.199179,0.095587,0.012521,0.106648,-0.028728,-0.026378,-0.011324,-0.036637,0.006047,0.091986,1.000000,-0.000144,-0.000132,-0.000057,-0.962463,0.005524,-0.195155,-0.188545,3.898919,22.193898,22.932649
14802,-3.711952,0.616439,9.207269,0.047667,0.010368,0.133669,-0.038552,-0.018516,-0.012196,-0.037128,0.006184,0.092068,1.000000,-0.000193,-0.000093,-0.000061,-0.962486,0.005729,-0.195005,-0.188577,3.871223,22.181370,22.929854
14803,-3.748885,0.418312,9.140010,0.060378,-0.190081,0.073117,-0.019896,-0.011072,-0.011467,-0.037494,0.004194,0.091398,1.000000,-0.000099,-0.000055,-0.000057,-0.962501,0.005852,-0.194908,-0.188594,3.854487,22.173096,22.927838
14804,-3.659866,0.481553,9.212630,0.139207,-0.091960,0.110579,0.006461,0.006380,-0.011867,-0.036595,0.004815,0.092128,1.000000,0.000032,0.000032,-0.000059,-0.962501,0.005865,-0.194920,-0.188582,3.853049,22.174786,22.926290
14805,-3.608552,0.555460,9.261965,0.176794,-0.000470,0.141353,0.028934,0.046175,-0.015254,-0.036064,0.005544,0.092629,1.000000,0.000145,0.000231,-0.000076,-0.962466,0.005810,-0.195145,-0.188531,3.864308,22.199384,22.924321
14806,-3.736512,0.640814,9.187558,0.015351,0.026301,0.126249,0.052161,0.081775,-0.031046,-0.037327,0.006390,0.091893,1.000000,0.000261,0.000409,-0.000155,-0.962412,0.005692,-0.195562,-0.188380,3.885762,22.244913,22.914085
14807,-3.831489,0.539780,9.226278,-0.004529,-0.098464,0.191619,0.060603,0.102943,-0.036892,-0.038266,0.005377,0.092284,1.000000,0.000303,0.000515,-0.000184,-0.962342,0.005560,-0.196089,-0.188193,3.911010,22.302806,22.901155
14808,-3.793121,0.471487,9.065786,0.003662,-0.163139,0.024584,0.095148,0.091914,-0.036799,-0.037889,0.004679,0.090678,1.000000,0.000476,0.000460,-0.000184,-0.962283,0.005250,-0.196595,-0.187972,3.955904,22.354366,22.887838
14809,-3.798674,0.519497,9.153999,0.024916,-0.116283,0.111089,0.088070,0.079679,-0.031029,-0.037949,0.005161,0.091557,1.000000,0.000440,0.000398,-0.000155,-0.962231,0.004958,-0.197036,-0.187786,3.997896,22.398745,22.877609
14810,-3.720470,0.421626,9.189063,0.151192,-0.180661,0.107143,0.122451,0.093781,-0.031578,-0.037161,0.004166,0.091911,1.000000,0.000612,0.000469,-0.000158,-0.962166,0.004514,-0.197577,-0.187563,4.059703,22.451184,22.867687
14811,-3.834135,0.571461,9.105419,-0.018286,-0.095402,0.083087,0.143337,0.111311,-0.025686,-0.038290,0.005654,0.091080,1.000000,0.000717,0.000557,-0.000128,-0.962078,0.003980,-0.198221,-0.187348,4.135177,22.513441,22.862258
14812,-3.811327,0.444332,9.077694,0.050866,-0.214235,0.040214,0.131576,0.110546,-0.019907,-0.038063,0.004387,0.090801,1.000000,0.000658,0.000553,-0.000100,-0.961984,0.003496,-0.198851,-0.187171,4.205297,22.574996,22.860446
14813,-3.904542,0.709833,9.135594,-0.088099,-0.003141,0.147262,0.149981,0.106034,-0.017957,-0.038996,0.007033,0.091382,1.000000,0.000750,0.000530,-0.000090,-0.961892,0.002918,-0.199477,-0.186986,4.286379,22.633923,22.859728
14814,-3.777808,0.598371,9.060485,0.044751,-0.074908,0.021672,0.134525,0.094653,-0.017550,-0.037735,0.005926,0.090627,1.000000,0.000673,0.000473,-0.000088,-0.961811,0.002403,-0.200033,-0.186818,4.358525,22.686303,22.858810
14815,-3.836419,0.717234,9.119006,-0.012571,0.011755,0.106410,0.145423,0.092665,-0.018951,-0.038321,0.007110,0.091213,1.000000,0.000727,0.000463,-0.000095,-0.961732,0.001835,-0.200590,-0.186633,4.436576,22.737638,22.857008
14816,-3.846673,0.591780,9.092966,0.027409,-0.119149,0.077417,0.169065,0.099440,-0.041500,-0.038420,0.005849,0.090954,0.999999,0.000845,0.000497,-0.000207,-0.961667,0.001182,-0.201200,-0.186315,4.522918,22.793826,22.841642
14817,-3.891383,0.534344,9.089396,0.023931,-0.199293,0.087069,0.210572,0.108800,-0.045849,-0.038863,0.005257,0.090921,0.999999,0.001053,0.000544,-0.000229,-0.961596,0.000343,-0.201895,-0.185934,4.632205,22.855611,22.824147
14818,-3.881566,0.877975,9.141537,-0.053816,0.116272,0.156698,0.204511,0.110282,-0.039409,-0.038764,0.008694,0.091446,0.999999,0.001023,0.000551,-0.000197,-0.961516,-0.000472,-0.202590,-0.185590,4.739619,22.917944,22.810835
14819,-3.841040,0.753719,9.063128,0.009626,-0.001410,0.059589,0.173336,0.092236,-0.037707,-0.038367,0.007466,0.090655,1.000000,0.000867,0.000461,-0.000189,-0.961452,-0.001156,-0.203170,-0.185286,4.829260,22.969941,22.797755
14820,-3.848588,0.873021,9.067862,-0.024360,0.098437,0.076176,0.149864,0.083415,-0.032312,-0.038447,0.008668,0.090701,1.000000,0.000749,0.000417,-0.000162,-0.961391,-0.001740,-0.203685,-0.185031,4.906589,23.016630,22.787630
14821,-3.839264,0.802496,9.036503,0.007582,0.026120,0.038281,0.129596,0.070689,-0.025659,-0.038360,0.007971,0.090384,1.000000,0.000648,0.000353,-0.000128,-0.961337,-0.002246,-0.204121,-0.184828,4.973677,23.055765,22.781013
14822,-3.792439,0.879113,9.105837,0.056927,0.112279,0.089628,0.112777,0.057939,-0.020445,-0.037897,0.008744,0.091074,1.000000,0.000564,0.000290,-0.000102,-0.961290,-0.002688,-0.204479,-0.184668,5.032134,23.087341,22.776980
14823,-3.901940,0.822530,9.082241,-0.016947,0.013273,0.106402,0.086681,0.058423,-0.006972,-0.038993,0.008187,0.090837,1.000000,0.000433,0.000292,-0.000035,-0.961231,-0.003018,-0.204815,-0.184599,5.078945,23.118544,22.781367
14824,-3.870999,1.129759,9.048782,-0.105553,0.303839,0.088725,0.074457,0.044145,-0.011708,-0.038689,0.011266,0.090501,1.000000,0.000372,0.000221,-0.000059,-0.961191,-0.003297,-0.205071,-0.184519,5.117295,23.141808,22.782046
14825,-3.893456,0.953260,8.988019,-0.081292,0.125132,0.027532,0.022860,0.039226,-0.009015,-0.038917,0.009524,0.089889,1.000000,0.000114,0.000196,-0.000045,-0.961154,-0.003336,-0.205256,-0.184505,5.126640,23.162155,22.784138
14826,-3.878339,1.101959,9.034432,-0.099542,0.272764,0.076321,0.010894,0.028815,-0.016434,-0.038769,0.011018,0.090351,1.000000,0.000054,0.000144,-0.000082,-0.961135,-0.003319,-0.205380,-0.184468,5.127094,23.176913,22.781040
14827,-3.828642,1.141786,9.072376,-0.055089,0.332893,0.094700,-0.031811,0.023517,-0.019935,-0.038275,0.011436,0.090726,1.000000,-0.000159,0.000118,-0.000100,-0.961125,-0.003099,-0.205440,-0.184457,5.102103,23.188854,22.775478
14828,-3.953089,0.866265,8.959043,-0.108826,0.028901,0.017323,-0.050316,0.007876,-0.021922,-0.039526,0.008690,0.089590,1.000000,-0.000252,0.000039,-0.000110,-0.961133,-0.002802,-0.205407,-0.184456,5.065695,23.191937,22.767800
14829,-3.848805,0.968532,9.071085,-0.014550,0.175056,0.087064,-0.062005,-0.000212,-0.022283,-0.038487,0.009718,0.090708,1.000000,-0.000310,-0.000001,-0.000111,-0.961150,-0.002455,-0.205324,-0.184465,5.022310,23.190446,22.759463
14830,-3.901781,0.748447,9.002493,-0.012176,-0.047196,0.027362,-0.074855,-0.006282,-0.017388,-0.039020,0.007522,0.090021,1.000000,-0.000374,-0.000031,-0.000087,-0.961168,-0.002058,-0.205200,-0.184510,4.972651,23.185212,22.753825
14831,-3.883492,0.734859,9.078140,0.034237,-0.041325,0.088387,-0.065382,-0.008039,-0.023772,-0.038838,0.007383,0.090777,1.000000,-0.000327,-0.000040,-0.000119,-0.961194,-0.001701,-0.205077,-0.184515,4.926804,23.179314,22.744146
14832,-3.883065,0.695167,9.068180,0.040896,-0.072557,0.076013,-0.068812,-0.008800,-0.017436,-0.038834,0.006986,0.090678,1.000000,-0.000344,-0.000044,-0.000087,-0.961215,-0.001335,-0.204947,-0.184554,4.880545,23.172637,22.738355
14833,-3.952398,0.535569,9.095519,0.046708,-0.238414,0.115944,-0.041420,0.006231,-0.019979,-0.039521,0.005378,0.090955,1.000000,-0.000207,0.000031,-0.000100,-0.961223,-0.001084,-0.204914,-0.184553,4.849657,23.174689,22.731796
14834,-3.936232,0.548725,9.100466,0.057187,-0.216441,0.115222,-0.010828,0.017367,-0.021271,-0.039354,0.005496,0.091008,1.000000,-0.000054,0.000087,-0.000106,-0.961220,-0.000969,-0.204963,-0.184514,4.836222,23.183131,22.725010
14835,-3.834523,0.653988,9.108014,0.110668,-0.080179,0.090268,0.017756,0.028822,-0.019290,-0.038331,0.006535,0.091086,1.000000,0.000089,0.000144,-0.000096,-0.961203,-0.000982,-0.205093,-0.184456,4.839873,23.198044,22.720064
14836,-3.941286,0.696029,9.094883,0.003313,-0.079684,0.123546,0.028844,0.038579,-0.020361,-0.039395,0.006951,0.090957,1.000000,0.000144,0.000193,-0.000102,-0.961178,-0.001039,-0.205281,-0.184381,4.849822,23.218552,22.714961
14837,-3.859252,0.616256,9.065483,0.093852,-0.127632,0.058051,0.039113,0.045073,-0.013655,-0.038572,0.006147,0.090665,1.000000,0.000196,0.000225,-0.000068,-0.961139,-0.001146,-0.205509,-0.184328,4.867427,23.242471,22.714379
