PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
22840,-9.551844,-0.528045,-1.559389,0.052876,-0.001086,-0.120141,-0.204568,-0.043545,-0.122406,-0.095518,-0.005238,-0.015609,0.999999,-0.001023,-0.000218,-0.000612,0.204954,-0.733080,0.201638,0.616384,-161.605022,80.529740,-15.140018
22841,-9.554906,-0.678948,-1.619991,0.183772,0.083966,-0.099771,-0.199799,-0.040476,-0.113219,-0.095550,-0.006752,-0.016212,0.999999,-0.000999,-0.000202,-0.000566,0.204584,-0.733246,0.200594,0.616650,-161.332740,80.536109,-14.747535
22842,-9.521584,-0.832859,-1.702879,0.340246,0.158694,-0.111498,-0.179054,-0.041445,-0.111470,-0.095217,-0.008291,-0.017041,0.999999,-0.000895,-0.000207,-0.000557,0.204287,-0.733384,0.199625,0.616899,-161.054776,80.543084,-14.361920
22843,-9.503040,-0.909534,-1.686129,0.370245,0.224365,-0.128131,-0.150162,-0.040240,-0.098939,-0.095031,-0.009061,-0.016874,1.000000,-0.000751,-0.000201,-0.000495,0.204054,-0.733485,0.198786,0.617127,-160.799823,80.551388,-14.015852
22844,-9.519292,-0.934011,-1.708187,0.398581,0.227247,-0.107189,-0.122367,-0.037245,-0.087158,-0.095194,-0.009309,-0.017094,1.000000,-0.000612,-0.000186,-0.000436,0.203883,-0.733553,0.198083,0.617329,-160.572076,80.560115,-13.713653
22845,-9.549352,-0.955104,-1.698649,0.397194,0.245470,-0.077713,-0.087587,-0.035803,-0.074454,-0.095494,-0.009523,-0.016999,1.000000,-0.000438,-0.000179,-0.000372,0.203800,-0.733578,0.197531,0.617503,-160.364899,80.570258,-13.452379
22846,-9.576802,-0.955119,-1.632650,0.338816,0.276790,-0.060687,-0.056654,-0.038932,-0.064282,-0.095768,-0.009525,-0.016342,1.000000,-0.000283,-0.000195,-0.000321,0.203802,-0.733551,0.197113,0.617668,-160.170837,80.583958,-13.222704
22847,-9.537209,-0.956557,-1.537134,0.267895,0.323076,-0.114234,-0.025604,-0.032876,-0.051847,-0.095372,-0.009543,-0.015386,1.000000,-0.000128,-0.000164,-0.000259,0.203873,-0.733500,0.196839,0.617793,-160.003977,80.596651,-13.038314
22848,-9.527615,-0.910704,-1.552860,0.258897,0.270794,-0.123733,0.001408,-0.036510,-0.045070,-0.095275,-0.009085,-0.015546,1.000000,0.000007,-0.000183,-0.000225,0.204025,-0.733402,0.196672,0.617912,-159.840712,80.612586,-12.873453
22849,-9.529148,-0.841003,-1.480718,0.163152,0.246898,-0.137105,0.003705,-0.034517,-0.034426,-0.095290,-0.008393,-0.014824,1.000000,0.000019,-0.000173,-0.000172,0.204152,-0.733298,0.196551,0.618032,-159.710777,80.629447,-12.743524
22850,-9.566325,-0.827008,-1.513982,0.179094,0.214699,-0.096079,0.013674,-0.028735,-0.027791,-0.095662,-0.008256,-0.015154,1.000000,0.000068,-0.000144,-0.000139,0.204288,-0.733195,0.196494,0.618128,-159.605075,80.644520,-12.644216
22851,-9.566550,-0.829462,-1.511213,0.180100,0.215197,-0.096109,0.023100,-0.025965,-0.017691,-0.095664,-0.008284,-0.015126,1.000000,0.000116,-0.000130,-0.000088,0.204426,-0.733081,0.196502,0.618214,-159.528194,80.660059,-12.579330
22852,-9.563588,-0.932584,-1.460917,0.196990,0.326389,-0.100794,0.063425,-0.021218,-0.009684,-0.095635,-0.009317,-0.014622,1.000000,0.000317,-0.000106,-0.000048,0.204681,-0.732933,0.196672,0.618252,-159.461667,80.674680,-12.548499
22853,-9.627333,-0.863718,-1.491632,0.177393,0.251723,-0.037122,0.085634,-0.022647,-0.003138,-0.096272,-0.008629,-0.014931,1.000000,0.000428,-0.000113,-0.000016,0.204999,-0.732751,0.196930,0.618280,-159.400172,80.691345,-12.535518
22854,-9.549980,-0.830354,-1.420320,0.115374,0.257552,-0.126137,0.110156,-0.021127,0.002640,-0.095498,-0.008297,-0.014218,1.000000,0.000551,-0.000106,0.000013,0.205388,-0.732542,0.197290,0.618283,-159.346988,80.708392,-12.545369
22855,-9.594508,-0.722269,-1.370851,0.011423,0.193579,-0.095801,0.134351,-0.013857,0.008124,-0.095944,-0.007217,-0.013720,1.000000,0.000672,-0.000069,0.000041,0.205841,-0.732326,0.197749,0.618242,-159.305156,80.722618,-12.580596
