PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
08223,-9.335606,2.751449,-0.277807,-0.014658,0.067238,-0.076340,-0.000111,-0.006860,0.011725,-0.093358,0.027509,-0.002781,1.000000,-0.000001,-0.000034,0.000059,-0.025844,0.679719,-0.232693,-0.695103,96.396776,73.132191,-104.903600
08224,-9.378197,2.724177,-0.307649,0.027794,0.094492,-0.042494,0.015944,-0.007060,0.016027,-0.093784,0.027235,-0.003078,1.000000,0.000080,-0.000035,0.000080,-0.025825,0.679638,-0.232835,-0.695135,96.374216,73.118381,-104.936801
08225,-9.340118,2.776642,-0.251895,-0.044344,0.059106,-0.065609,0.035429,-0.005781,0.014381,-0.093403,0.027760,-0.002517,1.000000,0.000177,-0.000029,0.000072,-0.025879,0.679566,-0.233039,-0.695135,96.368373,73.105699,-104.964452
08226,-9.321948,2.828875,-0.247945,-0.067487,0.010829,-0.068046,0.050445,0.001883,0.007020,-0.093220,0.028286,-0.002471,1.000000,0.000252,0.000009,0.000035,-0.025999,0.679522,-0.233271,-0.695096,96.384287,73.096454,-104.978105
08227,-9.256955,2.858914,-0.192748,-0.135156,-0.012979,-0.123347,0.043137,0.004972,-0.003048,-0.092569,0.028591,-0.001919,1.000000,0.000216,0.000025,-0.000015,-0.026127,0.679507,-0.233444,-0.695048,96.406677,73.093012,-104.980866
08228,-9.205741,2.840158,-0.190740,-0.134787,-0.009345,-0.177840,0.023922,0.003894,-0.007494,-0.092056,0.028405,-0.001902,1.000000,0.000120,0.000019,-0.000037,-0.026204,0.679490,-0.233535,-0.695031,96.414191,73.091903,-104.987415
08229,-9.165017,2.748909,-0.242688,-0.057144,0.041874,-0.241485,0.015639,-0.003166,-0.006089,-0.091649,0.027492,-0.002426,1.000000,0.000078,-0.000016,-0.000030,-0.026259,0.679454,-0.233600,-0.695042,96.406222,73.090714,-105.005441
08230,-9.184169,2.669926,-0.200258,-0.066410,0.133100,-0.247362,0.005744,-0.005044,-0.000268,-0.091842,0.026699,-0.002004,1.000000,0.000029,-0.000025,-0.000001,-0.026259,0.679400,-0.233651,-0.695078,96.385054,73.086060,-105.031081
08231,-9.207229,2.641530,-0.179068,-0.072952,0.173240,-0.234197,-0.010849,-0.005238,0.007604,-0.092073,0.026412,-0.001795,1.000000,-0.000054,-0.000026,0.000038,-0.026179,0.679344,-0.233671,-0.695129,96.355180,73.077202,-105.056141
08232,-9.274106,2.780977,-0.175312,-0.119032,0.070087,-0.129995,-0.009483,-0.003833,-0.000422,-0.092741,0.027810,-0.001756,1.000000,-0.000047,-0.000019,-0.000002,-0.026127,0.679296,-0.233669,-0.695178,96.327601,73.072564,-105.079363
08233,-9.325424,2.851702,-0.248765,-0.070966,-0.004812,-0.058070,-0.011813,0.007186,-0.011895,-0.093253,0.028522,-0.002486,1.000000,-0.000059,0.000036,-0.000059,-0.026097,0.679306,-0.233621,-0.695186,96.324502,73.074020,-105.075858
08234,-9.281693,2.735920,-0.301392,0.016332,0.066550,-0.131715,0.001883,-0.004984,-0.010511,-0.092815,0.027364,-0.003016,1.000000,0.000009,-0.000025,-0.000053,-0.026120,0.679265,-0.233624,-0.695224,96.303363,73.075199,-105.099155
08235,-9.242410,2.734449,-0.199460,-0.080612,0.092984,-0.172978,0.008385,-0.002296,-0.014290,-0.092422,0.027351,-0.001995,1.000000,0.000042,-0.000011,-0.000071,-0.026178,0.679242,-0.233636,-0.695240,96.294581,73.078616,-105.113686
08236,-9.347679,2.767903,-0.182195,-0.100359,0.098465,-0.063133,0.016861,0.000395,-0.013964,-0.093475,0.027686,-0.001819,1.000000,0.000084,0.000002,-0.000070,-0.026258,0.679222,-0.233680,-0.695242,96.292796,73.081427,-105.125722
