PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
11748,-6.715847,3.218639,11.299471,-1.345337,0.120447,3.652616,0.043636,1.034127,0.294429,-0.066620,0.032063,0.113347,0.999986,0.000218,0.005171,0.001472,-0.801296,-0.272167,-0.104945,0.522337,21.479905,26.904832,-61.002402
11749,-6.076765,3.343023,11.174595,-0.929715,-0.377322,3.300936,0.006683,0.699361,0.251414,-0.060418,0.033350,0.111959,0.999993,0.000033,0.003497,0.001257,-0.801608,-0.274114,-0.107390,0.520340,21.624452,27.221674,-60.681691
11750,-4.709860,3.631764,11.378348,-0.078479,-1.524149,2.935247,-0.156595,0.498667,0.126589,-0.046838,0.036377,0.113872,0.999996,-0.000783,0.002493,0.000633,-0.801919,-0.274816,-0.109616,0.519024,21.621885,27.456757,-60.482205
11751,-4.097039,2.716691,11.314156,-0.582695,-2.284386,2.295908,-0.239730,0.407485,-0.000955,-0.040740,0.027303,0.113192,0.999997,-0.001199,0.002037,-0.000005,-0.802058,-0.274874,-0.111876,0.518297,21.526099,27.671086,-60.381018
11752,-3.859114,2.162680,11.318924,-0.934466,-2.674348,2.005199,-0.142801,0.351782,-0.092366,-0.038382,0.021725,0.113241,0.999998,-0.000714,0.001759,-0.000462,-0.801854,-0.275126,-0.113778,0.518064,21.455145,27.874230,-60.348131
11753,-3.934518,2.160076,11.261136,-0.939179,-2.616993,1.986835,0.059321,0.279248,-0.157823,-0.039171,0.021598,0.112673,0.999999,0.000297,0.001396,-0.000789,-0.801241,-0.275959,-0.114963,0.518308,21.472413,28.053071,-60.372320
11754,-4.342995,2.694003,11.294988,-0.637983,-2.188090,2.373419,0.204355,0.165073,-0.214424,-0.043308,0.026871,0.113013,0.999999,0.001022,0.000825,-0.001072,-0.800345,-0.277048,-0.115384,0.519017,21.544899,28.182320,-60.457496
11755,-4.729749,3.385348,11.201183,-0.183162,-1.649107,2.699086,0.233311,0.022470,-0.258580,-0.047241,0.033784,0.112057,0.999998,0.001167,0.000112,-0.001293,-0.799375,-0.277849,-0.115228,0.520118,21.603905,28.245449,-60.603805
11756,-4.981680,3.823233,10.982104,0.117591,-1.204439,2.780023,0.137409,-0.147371,-0.289569,-0.049842,0.038229,0.109811,0.999998,0.000687,-0.000737,-0.001448,-0.798552,-0.277814,-0.114678,0.521519,21.581064,28.224197,-60.809075
11757,-4.372531,4.161801,10.768500,0.706382,-1.433268,2.428510,0.013308,-0.319038,-0.312948,-0.043832,0.041679,0.107618,0.999998,0.000067,-0.001595,-0.001565,-0.797937,-0.276814,-0.113804,0.523182,21.460086,28.116479,-61.069752
11758,-3.598759,4.341157,10.740169,1.209853,-1.924721,2.102827,-0.153948,-0.402735,-0.318960,-0.036134,0.043552,0.107296,0.999996,-0.000770,-0.002014,-0.001595,-0.797580,-0.274930,-0.113035,0.524884,21.234426,27.964308,-61.352660
11759,-3.179006,3.970160,10.686046,1.079238,-2.283598,1.749320,-0.268078,-0.399035,-0.284327,-0.031946,0.039890,0.106743,0.999996,-0.001340,-0.001995,-0.001422,-0.797463,-0.272609,-0.112538,0.526376,20.953501,27.806029,-61.613126
11760,-3.267587,3.998166,10.598636,1.098963,-2.106579,1.734947,-0.286466,-0.411000,-0.201470,-0.032853,0.040166,0.105862,0.999996,-0.001432,-0.002055,-0.001007,-0.797590,-0.270237,-0.111921,0.527538,20.686643,27.623215,-61.824416
11761,-3.429915,4.253460,10.492569,1.294504,-1.789205,1.809400,-0.334397,-0.424699,-0.118443,-0.034496,0.042730,0.104781,0.999996,-0.001672,-0.002123,-0.000592,-0.798002,-0.267673,-0.111268,0.528359,20.414064,27.415398,-61.987831
11762,-3.886695,3.974632,10.345060,0.889154,-1.370318,1.817256,-0.380515,-0.467044,-0.028511,-0.039103,0.039948,0.103284,0.999995,-0.001903,-0.002335,-0.000143,-0.798730,-0.264869,-0.110441,0.528845,20.138197,27.166354,-62.104268
11763,-4.237420,4.013481,10.180323,0.812952,-0.920735,1.857513,-0.391692,-0.539519,0.052926,-0.042659,0.040323,0.101610,0.999994,-0.001958,-0.002698,0.000265,-0.799721,-0.261863,-0.109249,0.529093,19.871017,26.861585,-62.186440
11764,-4.403483,4.037038,9.937723,0.802804,-0.569533,1.740544,-0.431396,-0.623369,0.109302,-0.044366,0.040560,0.099152,0.999993,-0.002157,-0.003117,0.000547,-0.800947,-0.258512,-0.107748,0.529194,19.590733,26.500601,-62.250250
11765,-4.334278,4.186250,9.777312,0.996428,-0.399899,1.622036,-0.515711,-0.684831,0.122685,-0.043703,0.042087,0.097516,0.999991,-0.002579,-0.003424,0.000613,-0.802338,-0.254654,-0.106207,0.529269,19.260150,26.103208,-62.317307
11766,-4.699833,3.862908,9.703456,0.577596,-0.068159,1.625333,-0.589231,-0.731205,0.113442,-0.047374,0.038888,0.096747,0.999989,-0.002946,-0.003656,0.000567,-0.803805,-0.250378,-0.104683,0.529387,18.883712,25.682423,-62.396016
11767,-4.787767,3.647307,9.641623,0.372695,0.077588,1.546908,-0.603343,-0.830406,0.087404,-0.048293,0.036742,0.096106,0.999987,-0.003017,-0.004152,0.000437,-0.805253,-0.245754,-0.102828,0.529716,18.484715,25.211703,-62.507664
11768,-4.775143,3.405970,9.506983,0.190358,0.177315,1.354964,-0.576462,-0.919918,0.061254,-0.048198,0.034318,0.094750,0.999985,-0.002882,-0.004600,0.000306,-0.806622,-0.240989,-0.100569,0.530256,18.090698,24.696708,-62.648139
11769,-4.479325,3.261510,9.241359,0.219911,0.145470,0.959210,-0.506318,-1.008374,0.022488,-0.045262,0.032843,0.092103,0.999984,-0.002532,-0.005042,0.000112,-0.807823,-0.236237,-0.097813,0.531081,17.722135,24.139073,-62.825103
11770,-3.637385,3.927527,9.261852,1.178652,-0.211168,0.817596,-0.474576,-1.040110,-0.042013,-0.036846,0.039502,0.092334,0.999984,-0.002373,-0.005201,-0.000210,-0.808804,-0.231499,-0.094916,0.532199,17.358284,23.574628,-63.041384
