PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
16922,-2.532622,1.395427,9.492328,0.106868,0.014270,0.109714,0.012132,0.033400,-0.014906,-0.025309,0.013950,0.094928,1.000000,0.000061,0.000167,-0.000075,-0.798540,-0.129815,-0.066213,0.584035,7.730548,14.914670,-71.348496
16923,-2.487037,1.407586,9.513018,0.132604,-0.032473,0.119358,0.002405,0.027839,-0.018073,-0.024856,0.014077,0.095134,1.000000,0.000012,0.000139,-0.000090,-0.798512,-0.129860,-0.066333,0.584050,7.726422,14.929191,-71.351370
16924,-2.595982,1.269560,9.468455,-0.028858,0.038446,0.086820,0.006825,0.029087,-0.020389,-0.025945,0.012695,0.094689,1.000000,0.000034,0.000145,-0.000102,-0.798473,-0.129928,-0.066446,0.584076,7.724745,14.944688,-71.355629
16925,-2.608347,1.197192,9.473444,-0.100440,0.025371,0.085401,0.004422,0.029437,-0.017463,-0.026068,0.011972,0.094739,1.000000,0.000022,0.000147,-0.000087,-0.798446,-0.129987,-0.066568,0.584086,7.722042,14.960244,-71.357671
16926,-2.566340,1.287512,9.541065,-0.003501,-0.009605,0.151027,0.007672,0.038153,-0.017224,-0.025644,0.012874,0.095416,1.000000,0.000038,0.000191,-0.000086,-0.798412,-0.130086,-0.066712,0.584094,7.721514,14.980644,-71.359349
16927,-2.499625,1.277613,9.524140,0.009565,-0.072210,0.116278,0.012499,0.041781,-0.019660,-0.024975,0.012773,0.095247,1.000000,0.000062,0.000209,-0.000098,-0.798368,-0.130212,-0.066860,0.584109,7.723285,15.003253,-71.362004
16928,-2.562140,1.194256,9.507002,-0.087405,-0.037938,0.105216,0.018035,0.048259,-0.016935,-0.025597,0.011936,0.095077,1.000000,0.000090,0.000241,-0.000085,-0.798325,-0.130382,-0.067015,0.584112,7.728946,15.029369,-71.362705
16929,-2.576659,1.211914,9.490076,-0.073683,-0.019632,0.095069,0.015911,0.055064,-0.013366,-0.025740,0.012113,0.094909,1.000000,0.000080,0.000275,-0.000067,-0.798285,-0.130565,-0.067197,0.584105,7.734204,15.058893,-71.362000
16930,-2.516664,1.275850,9.553701,0.003540,-0.080183,0.148645,0.017270,0.062443,-0.011092,-0.025136,0.012752,0.095546,1.000000,0.000086,0.000312,-0.000055,-0.798255,-0.130775,-0.067407,0.584075,7.740616,15.092611,-71.358127
16931,-2.520418,1.240927,9.511330,-0.028180,-0.080608,0.104495,0.020917,0.067581,-0.006332,-0.025172,0.012400,0.095123,1.000000,0.000105,0.000338,-0.000032,-0.798232,-0.131015,-0.067622,0.584027,7.749841,15.128736,-71.351464
16932,-2.574072,1.236026,9.453462,-0.046180,-0.022911,0.062478,0.021560,0.072121,-0.009218,-0.025706,0.012351,0.094545,1.000000,0.000108,0.000361,-0.000046,-0.798201,-0.131271,-0.067857,0.583985,7.759209,15.167803,-71.345702
16933,-2.575186,1.299699,9.513626,0.012002,-0.028099,0.128587,0.020070,0.073167,-0.007309,-0.025717,0.012988,0.095147,1.000000,0.000100,0.000366,-0.000037,-0.798172,-0.131523,-0.068096,0.583940,7.767931,15.207049,-71.339674
16934,-2.679363,1.277590,9.467817,-0.038481,0.067167,0.109247,0.024066,0.072064,-0.009486,-0.026759,0.012766,0.094689,1.000000,0.000120,0.000360,-0.000047,-0.798138,-0.131789,-0.068323,0.583900,7.778704,15.246102,-71.334060
16935,-2.667467,1.335291,9.475235,0.020408,0.063803,0.120791,0.018779,0.067743,-0.014983,-0.026642,0.013346,0.094763,1.000000,0.000094,0.000339,-0.000075,-0.798092,-0.132018,-0.068551,0.583885,7.785386,15.282992,-71.332368
16936,-2.603991,1.368544,9.464175,0.072619,0.012015,0.097856,0.027622,0.064285,-0.014941,-0.026008,0.013674,0.094652,1.000000,0.000138,0.000321,-0.000075,-0.798042,-0.132273,-0.068741,0.583872,7.797195,15.318051,-71.330576
16937,-2.580499,1.414813,9.453187,0.125194,0.000705,0.087199,0.012010,0.064457,-0.018580,-0.025773,0.014145,0.094541,1.000000,0.000060,0.000322,-0.000093,-0.797995,-0.132464,-0.068981,0.583865,7.799288,15.353541,-71.330347
16938,-2.652919,1.305902,9.413484,0.002417,0.041737,0.054191,0.019098,0.061544,-0.021914,-0.026499,0.013053,0.094144,1.000000,0.000095,0.000308,-0.000110,-0.797932,-0.132675,-0.069188,0.583879,7.805070,15.387586,-71.332874
16939,-2.681965,1.371200,9.455236,0.054591,0.069082,0.110360,0.018271,0.052475,-0.025072,-0.026793,0.013707,0.094561,1.000000,0.000091,0.000262,-0.000125,-0.797865,-0.132854,-0.069366,0.583910,7.809565,15.416758,-71.337700
16940,-2.754167,1.215055,9.443504,-0.114372,0.089457,0.097937,0.011285,0.051336,-0.022502,-0.027516,0.012148,0.094443,1.000000,0.000056,0.000257,-0.000113,-0.797808,-0.133003,-0.069556,0.583930,7.810558,15.445054,-71.341393
16941,-2.639540,1.306431,9.427482,0.009493,0.010986,0.064110,0.017469,0.041744,-0.020175,-0.026374,0.013059,0.094281,1.000000,0.000087,0.000209,-0.000101,-0.797759,-0.133150,-0.069690,0.583948,7.815150,15.467752,-71.344221
16942,-2.672102,1.220776,9.428967,-0.081508,0.012587,0.062992,0.014394,0.033240,-0.017779,-0.026704,0.012203,0.094295,1.000000,0.000072,0.000166,-0.000089,-0.797720,-0.133261,-0.069795,0.583963,7.818273,15.485408,-71.346593
16943,-2.635841,1.250161,9.434563,-0.042301,-0.016354,0.062508,0.014410,0.022925,-0.016540,-0.026347,0.012497,0.094350,1.000000,0.000072,0.000115,-0.000083,-0.797687,-0.133338,-0.069858,0.583984,7.821023,15.496769,-71.349682
16944,-2.628553,1.323592,9.427937,0.029954,-0.001973,0.063864,0.015507,0.013527,-0.013671,-0.026278,0.013230,0.094282,1.000000,0.000078,0.000068,-0.000068,-0.797666,-0.133397,-0.069879,0.583996,7.825004,15.502916,-71.351228
