PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
20506,-9.163627,-1.013058,-1.860191,-0.262102,-0.430719,-0.420965,-0.137286,0.012635,-0.019610,-0.091638,-0.010134,-0.018589,1.000000,-0.000686,0.000063,-0.000098,-0.139592,0.776894,-0.047752,-0.612103,-143.187200,74.667867,21.449715
20507,-9.161243,-1.412806,-2.015572,-0.019641,-0.088795,-0.326980,-0.151429,0.009335,-0.028181,-0.091615,-0.014130,-0.020141,1.000000,-0.000757,0.000047,-0.000141,-0.139051,0.777016,-0.047218,-0.612113,-143.249749,74.660143,21.475760
20508,-9.122724,-1.736122,-2.169045,0.210328,0.184039,-0.280381,-0.133071,0.010077,-0.030989,-0.091231,-0.017362,-0.021674,1.000000,-0.000665,0.000050,-0.000155,-0.138599,0.777126,-0.046732,-0.612112,-143.295708,74.650833,21.507001
20509,-9.148427,-1.835338,-2.125550,0.185060,0.289091,-0.249093,-0.059536,0.011930,-0.032634,-0.091489,-0.018345,-0.021245,1.000000,-0.000298,0.000060,-0.000163,-0.138427,0.777193,-0.046463,-0.612087,-143.301632,74.640411,21.537172
20510,-9.104893,-1.622733,-2.149206,0.165125,0.082760,-0.319673,-0.029006,0.009265,-0.027498,-0.091052,-0.016218,-0.021485,1.000000,-0.000145,0.000046,-0.000137,-0.138369,0.777228,-0.046309,-0.612067,-143.292817,74.632672,21.563387
20511,-9.184296,-1.392035,-1.982956,-0.067277,-0.101917,-0.314990,-0.018905,0.008850,-0.037112,-0.091846,-0.013905,-0.019824,1.000000,-0.000095,0.000044,-0.000186,-0.138370,0.777258,-0.046144,-0.612041,-143.264112,74.622105,21.605472
20512,-9.238931,-1.105722,-1.954205,-0.178114,-0.375344,-0.313910,-0.052729,0.010719,-0.041480,-0.092393,-0.011043,-0.019534,1.000000,-0.000264,0.000054,-0.000207,-0.138262,0.777317,-0.045863,-0.612012,-143.247426,74.608900,21.653950
20513,-9.295871,-1.192344,-1.909841,-0.214880,-0.287226,-0.254773,-0.108430,0.011673,-0.050342,-0.092963,-0.011910,-0.019087,1.000000,-0.000542,0.000058,-0.000252,-0.137957,0.777420,-0.045380,-0.611986,-143.251527,74.592568,21.714553
20514,-9.397233,-1.331290,-1.978035,-0.144888,-0.183668,-0.120514,-0.120639,0.008390,-0.052014,-0.093977,-0.013300,-0.019768,1.000000,-0.000603,0.000042,-0.000260,-0.137618,0.777521,-0.044849,-0.611973,-143.253418,74.576822,21.784130
20515,-9.348389,-1.559195,-1.968968,-0.089475,0.040568,-0.133295,-0.118660,0.006248,-0.060437,-0.093489,-0.015575,-0.019678,1.000000,-0.000593,0.000031,-0.000302,-0.137302,0.777616,-0.044285,-0.611964,-143.239785,74.559424,21.870075
20516,-9.323950,-1.635454,-1.983874,-0.053795,0.109688,-0.141514,-0.071505,0.008051,-0.060627,-0.093245,-0.016333,-0.019829,1.000000,-0.000358,0.000040,-0.000303,-0.137180,0.777684,-0.043870,-0.611936,-143.198992,74.540868,21.954740
20517,-9.400473,-1.478182,-2.019258,-0.078624,-0.061381,-0.085336,-0.050585,0.004558,-0.064132,-0.094010,-0.014757,-0.020187,1.000000,-0.000253,0.000023,-0.000321,-0.137142,0.777728,-0.043503,-0.611915,-143.138901,74.523018,22.048002
