PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
27086,-3.997462,1.346000,8.943846,0.055629,0.009382,0.075721,0.001189,0.002414,-0.015593,-0.039972,0.013463,0.089439,1.000000,0.000006,0.000012,-0.000078,-0.476458,0.144447,-0.163804,-0.851640,8.881510,23.711108,123.417537
27087,-3.990220,1.379674,8.985470,0.018426,0.015081,0.115226,-0.007026,0.002996,-0.007819,-0.039900,0.013801,0.089855,1.000000,-0.000035,0.000015,-0.000039,-0.476440,0.144480,-0.163741,-0.851657,8.873367,23.710836,123.418542
27088,-3.972572,1.345672,8.966752,0.039610,0.036972,0.086397,0.003021,0.002498,-0.013465,-0.039724,0.013458,0.089668,1.000000,0.000015,0.000012,-0.000067,-0.476466,0.144491,-0.163717,-0.851645,8.869424,23.710920,123.414466
27089,-3.988698,1.396363,8.955724,0.004362,-0.005176,0.090065,-0.004448,0.008009,-0.009566,-0.039883,0.013968,0.089559,1.000000,-0.000022,0.000040,-0.000048,-0.476453,0.144541,-0.163676,-0.851651,8.862518,23.713640,123.414875
27090,-4.023572,1.348256,8.943894,0.063487,-0.013177,0.086604,0.002952,0.005420,-0.007260,-0.040233,0.013483,0.089440,1.000000,0.000015,0.000027,-0.000036,-0.476411,0.144569,-0.163656,-0.851674,8.860034,23.714959,123.420020
27091,-3.994245,1.372550,8.960959,0.025870,0.004324,0.093673,0.003053,0.005156,-0.009414,-0.039939,0.013726,0.089611,1.000000,0.000015,0.000026,-0.000047,-0.476406,0.144589,-0.163641,-0.851677,8.857354,23.716050,123.420247
27092,-3.976730,1.339035,8.942105,0.047042,0.026239,0.064849,0.002985,0.003959,-0.010362,-0.039765,0.013391,0.089422,1.000000,0.000015,0.000020,-0.000052,-0.476405,0.144606,-0.163620,-0.851678,8.854212,23.716710,123.419806
27093,-4.019263,1.376876,8.961181,0.033897,-0.017103,0.104550,0.004919,0.003779,-0.010388,-0.040190,0.013769,0.089613,1.000000,0.000025,0.000019,-0.000052,-0.476407,0.144616,-0.163608,-0.851678,8.852304,23.717108,123.419298
27094,-3.971674,1.367915,8.959693,0.017499,0.022865,0.082800,0.004581,0.001912,-0.007977,-0.039715,0.013679,0.089598,1.000000,0.000023,0.000010,-0.000040,-0.476398,0.144619,-0.163591,-0.851686,8.850573,23.716285,123.420196
27095,-3.994265,1.377924,8.983941,0.017864,0.010449,0.115233,0.002747,0.001828,-0.010105,-0.039941,0.013780,0.089840,1.000000,0.000014,0.000009,-0.000051,-0.476398,0.144625,-0.163565,-0.851689,8.847416,23.715554,123.419675
27096,-4.002281,1.343684,8.942039,0.054923,0.003655,0.075729,0.010891,0.004172,-0.011672,-0.040020,0.013434,0.089422,1.000000,0.000054,0.000021,-0.000058,-0.476403,0.144628,-0.163577,-0.851684,8.848360,23.716464,123.419120
27097,-4.005374,1.326160,8.971218,0.068785,0.022181,0.100902,0.004984,0.004976,-0.009440,-0.040051,0.013261,0.089714,1.000000,0.000025,0.000025,-0.000047,-0.476399,0.144642,-0.163569,-0.851685,8.846772,23.717456,123.419313
27098,-3.995760,1.378567,8.983178,0.017620,0.008716,0.115235,0.006750,0.003863,-0.008260,-0.039955,0.013784,0.089833,1.000000,0.000034,0.000019,-0.000041,-0.476402,0.144647,-0.163567,-0.851683,8.846271,23.717900,123.418891
27099,-3.999522,1.367864,8.935505,0.033074,-0.008731,0.072115,0.008515,0.002750,-0.007081,-0.039994,0.013676,0.089356,1.000000,0.000043,0.000014,-0.000035,-0.476392,0.144641,-0.163570,-0.851689,8.847207,23.717424,123.420329
27100,-3.998184,1.373894,8.958996,0.025230,-0.000875,0.093676,0.010652,0.002042,-0.011414,-0.039980,0.013736,0.089591,1.000000,0.000053,0.000010,-0.000057,-0.476402,0.144634,-0.163577,-0.851683,8.848047,23.717082,123.419132
27101,-3.972905,1.375467,8.981813,0.009248,0.027248,0.104370,0.010718,0.003239,-0.010466,-0.039727,0.013752,0.089820,1.000000,0.000054,0.000016,-0.000052,-0.476409,0.144628,-0.163588,-0.851679,8.849422,23.717181,123.418524
27102,-4.003218,1.351647,8.964222,0.046748,0.008646,0.097293,0.010616,0.003504,-0.008312,-0.040030,0.013513,0.089644,1.000000,0.000053,0.000018,-0.000042,-0.476411,0.144622,-0.163601,-0.851676,8.851098,23.717393,123.418538
27103,-3.973777,1.376551,8.981262,0.009104,0.026088,0.104373,0.008782,0.003419,-0.010440,-0.039736,0.013764,0.089814,1.000000,0.000044,0.000017,-0.000052,-0.476415,0.144622,-0.163605,-0.851673,8.851377,23.717592,123.417963
27104,-4.002376,1.358089,8.987431,0.038868,0.015900,0.118857,0.010750,0.001777,-0.013567,-0.040022,0.013579,0.089875,1.000000,0.000054,0.000009,-0.000068,-0.476433,0.144614,-0.163609,-0.851664,8.851786,23.717147,123.415700
27105,-4.006044,1.347649,8.939757,0.054334,-0.001519,0.075733,0.014414,0.001948,-0.009311,-0.040059,0.013472,0.089399,1.000000,0.000072,0.000010,-0.000047,-0.476438,0.144593,-0.163634,-0.851660,8.855516,23.716414,123.415681
27106,-4.004630,1.354055,8.963228,0.046472,0.006309,0.097296,0.012311,0.001195,-0.008079,-0.040045,0.013537,0.089633,1.000000,0.000062,0.000006,-0.000040,-0.476421,0.144577,-0.163644,-0.851669,8.857986,23.715243,123.418356
27107,-3.996480,1.401596,8.951437,0.003123,-0.015645,0.090054,0.014412,0.001949,-0.009310,-0.039963,0.014011,0.089516,1.000000,0.000072,0.000010,-0.000047,-0.476426,0.144556,-0.163669,-0.851665,8.861715,23.714510,123.418338
27108,-3.998452,1.396986,8.927440,0.010793,-0.024656,0.068489,0.014310,0.002214,-0.007157,-0.039983,0.013965,0.089276,1.000000,0.000072,0.000011,-0.000036,-0.476413,0.144538,-0.163693,-0.851671,8.865632,23.713807,123.420785
27109,-3.971473,1.404588,8.973922,-0.012978,0.011857,0.100759,0.014578,0.002881,-0.010516,-0.039713,0.014041,0.089741,1.000000,0.000073,0.000014,-0.000053,-0.476423,0.144522,-0.163720,-0.851664,8.869191,23.713708,123.420111
27110,-3.977742,1.376598,8.955671,0.016368,0.013539,0.082819,0.014475,0.003147,-0.008363,-0.039775,0.013761,0.089558,1.000000,0.000072,0.000016,-0.000042,-0.476427,0.144504,-0.163748,-0.851659,8.873100,23.713518,123.420176
27111,-3.972381,1.406403,8.973236,-0.013093,0.010667,0.100761,0.012775,0.005456,-0.008596,-0.039721,0.014060,0.089734,1.000000,0.000064,0.000027,-0.000043,-0.476425,0.144501,-0.163774,-0.851655,8.876204,23.714708,123.420938
27112,-4.001059,1.388046,8.979359,0.016680,0.000496,0.115240,0.006673,0.002663,-0.009208,-0.040009,0.013879,0.089795,1.000000,0.000033,0.000013,-0.000046,-0.476426,0.144502,-0.163767,-0.851656,8.875385,23.714377,123.420675
27113,-3.978991,1.378309,8.954853,0.016194,0.011783,0.082821,0.008372,0.000354,-0.008974,-0.039789,0.013781,0.089549,1.000000,0.000042,0.000002,-0.000045,-0.476427,0.144488,-0.163763,-0.851659,8.875674,23.712712,123.420711
27114,-3.983571,1.355477,8.960393,0.037739,0.021916,0.086449,0.010839,0.005635,-0.008571,-0.039833,0.013552,0.089606,1.000000,0.000054,0.000028,-0.000043,-0.476420,0.144493,-0.163781,-0.851658,8.877484,23.714190,123.421848
27115,-3.978241,1.385070,8.977975,0.008278,0.019029,0.104390,0.010503,0.003770,-0.006158,-0.039780,0.013847,0.089781,1.000000,0.000053,0.000019,-0.000031,-0.476407,0.144487,-0.163796,-0.851663,8.879828,23.714210,123.423955
27116,-4.002616,1.390169,8.978337,0.016415,-0.001837,0.115241,0.010537,0.002306,-0.009258,-0.040024,0.013899,0.089785,1.000000,0.000053,0.000012,-0.000046,-0.476409,0.144477,-0.163804,-0.851663,8.881194,23.713693,123.423971
27117,-3.980709,1.380737,8.953715,0.015924,0.009457,0.082824,0.010669,0.004703,-0.007364,-0.039804,0.013804,0.089539,1.000000,0.000053,0.000024,-0.000037,-0.476401,0.144475,-0.163821,-0.851664,8.883369,23.714347,123.425422
27118,-4.006838,1.380239,8.930324,0.031834,-0.019779,0.072103,0.010602,0.003504,-0.008311,-0.040066,0.013799,0.089305,1.000000,0.000053,0.000018,-0.000042,-0.476400,0.144470,-0.163834,-0.851663,8.885086,23.714531,123.425794
27119,-3.980179,1.387306,8.976771,0.008019,0.016690,0.104395,0.005369,0.008033,-0.010909,-0.039797,0.013873,0.089770,1.000000,0.000027,0.000040,-0.000055,-0.476401,0.144497,-0.163833,-0.851658,8.883472,23.717384,123.425375
27120,-3.980783,1.387619,8.976455,0.007950,0.016097,0.104396,0.010535,0.002307,-0.009257,-0.039806,0.013873,0.089766,1.000000,0.000053,0.000012,-0.000046,-0.476405,0.144487,-0.163842,-0.851656,8.884876,23.716857,123.425060
27121,-4.006788,1.386825,8.953157,0.023899,-0.013140,0.093670,0.004634,0.003106,-0.007029,-0.040066,0.013868,0.089533,1.000000,0.000023,0.000016,-0.000035,-0.476392,0.144492,-0.163830,-0.851664,8.883614,23.716577,123.426563
27122,-3.987468,1.359414,8.958063,0.037243,0.017259,0.086460,0.010832,0.005636,-0.008571,-0.039872,0.013591,0.089582,1.000000,0.000054,0.000028,-0.000043,-0.476397,0.144494,-0.163849,-0.851658,8.885511,23.717863,123.426174
27123,-3.982164,1.389023,8.975625,0.007783,0.014337,0.104398,0.010498,0.003772,-0.006157,-0.039820,0.013887,0.089758,1.000000,0.000052,0.000019,-0.000031,-0.476384,0.144487,-0.163864,-0.851663,8.887851,23.717883,123.428282
27124,-3.988471,1.360629,8.957432,0.037126,0.016075,0.086462,0.008832,0.004615,-0.009492,-0.039882,0.013604,0.089576,1.000000,0.000044,0.000023,-0.000047,-0.476387,0.144491,-0.163870,-0.851660,8.888272,23.718602,123.428026
27125,-4.008790,1.388843,8.951949,0.023679,-0.015499,0.093667,0.008665,0.003683,-0.008285,-0.040086,0.013886,0.089521,1.000000,0.000043,0.000018,-0.000041,-0.476382,0.144490,-0.163876,-0.851662,8.889029,23.718760,123.428808
27126,-3.961179,1.380506,8.950462,0.007145,0.024437,0.071991,0.010430,0.002574,-0.007103,-0.039610,0.013802,0.089506,1.000000,0.000052,0.000013,-0.000036,-0.476378,0.144479,-0.163886,-0.851664,8.890884,23.718158,123.429618
27127,-4.003948,1.418863,8.969233,-0.005843,-0.019040,0.111602,0.009228,0.007677,-0.010959,-0.040035,0.014187,0.089695,1.000000,0.000046,0.000038,-0.000055,-0.476382,0.144496,-0.163901,-0.851656,8.891454,23.720814,123.429134
