PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
29214,-7.091067,-7.298215,-6.961751,-4.738153,-7.480112,-1.233029,-0.737684,-0.183994,-0.962677,-0.071198,-0.072896,-0.069414,0.999981,-0.003688,-0.000920,-0.004813,0.640477,-0.063356,0.765147,0.018036,-163.336680,79.235635,-156.708738
29215,-6.219649,-6.393431,-5.002562,-3.087252,-6.412165,-2.468417,0.923059,0.069061,0.267576,-0.062128,-0.063786,-0.050299,0.999988,0.004615,0.000345,0.001338,0.640524,-0.059314,0.765489,0.015409,-163.684153,79.251746,-157.599891
29216,-8.035512,-3.317572,-3.237707,-1.422414,-3.059995,-1.171417,1.577492,0.506873,1.008665,-0.080269,-0.033325,-0.032436,0.999953,0.007887,0.002534,0.005043,0.638965,-0.050398,0.767482,0.012484,-166.123174,79.126430,-161.003251
29217,-10.286136,-1.014640,-3.109378,-1.111113,-0.665830,0.902916,1.761039,0.246495,1.076870,-0.102844,-0.010427,-0.031058,0.999946,0.008805,0.001232,0.005384,0.638405,-0.040592,0.768575,0.009164,-168.451620,79.133138,-164.400983
29218,-10.742843,0.405899,-1.861903,0.102522,0.811582,1.067149,2.164761,0.037627,0.660122,-0.107445,0.003905,-0.018556,0.999936,0.010824,0.000188,0.003301,0.638650,-0.031105,0.768863,0.002976,-169.197027,79.189588,-166.422900
29219,-10.323626,1.055760,0.723563,2.548877,1.516704,0.158173,1.948558,-0.003689,0.316707,-0.103253,0.010323,0.007335,0.999951,0.009743,-0.000018,0.001584,0.638974,-0.023604,0.768859,-0.003443,-169.057407,79.234017,-167.416573
29220,-10.339974,0.750849,2.757123,4.568399,1.223276,-0.183887,0.406965,-0.090371,0.202981,-0.103420,0.007347,0.027540,0.999997,0.002035,-0.000452,0.001015,0.639393,-0.021486,0.768568,-0.004317,-169.402490,79.310869,-168.005243
29221,-9.959164,-0.618371,1.954968,3.762940,-0.178054,-0.368239,-1.368692,0.302203,-0.041502,-0.099563,-0.006028,0.019742,0.999975,-0.006843,0.001511,-0.000208,0.638118,-0.025952,0.769500,0.000840,-170.269548,79.145366,-168.088780
29222,-10.475786,-1.141024,-0.767354,1.261567,-0.748547,0.650604,-2.527816,0.459114,-0.345370,-0.104794,-0.011323,-0.007290,0.999916,-0.012639,0.002296,-0.001727,0.635994,-0.035306,0.770829,0.009435,-170.960192,78.857696,-167.317042
29223,-10.671398,-2.511582,-4.467540,-2.175295,-2.334026,1.587569,-2.214634,-0.100082,-0.604093,-0.106768,-0.025286,-0.044449,0.999934,-0.011073,-0.000500,-0.003020,0.636030,-0.044609,0.770205,0.016127,-170.488456,78.868320,-165.542270
29224,-7.910061,-3.178590,-4.655158,-2.794629,-3.142055,-1.057097,0.015453,-0.053402,-0.514227,-0.079170,-0.031579,-0.046575,0.999997,0.000077,-0.000267,-0.002571,0.636300,-0.046496,0.769903,0.014476,-169.005136,78.850189,-164.039617
29225,-6.698688,-1.244536,-2.309422,-0.904179,-1.076222,-2.757270,1.276698,0.186063,0.590531,-0.066972,-0.012496,-0.023112,0.999975,0.006383,0.000930,0.002953,0.635871,-0.040117,0.770667,0.011451,-170.094093,78.815698,-165.894666
29226,-9.330534,0.451595,-2.824349,-1.024008,0.666368,-0.130402,1.801628,0.289741,1.236884,-0.093373,0.004192,-0.028070,0.999939,0.009008,0.001449,0.006184,0.635028,-0.029598,0.771876,0.008415,-172.748623,78.761286,-169.653271
29227,-11.224955,2.105736,-2.238400,-0.133017,2.363487,1.582050,2.298296,0.023219,0.791612,-0.112335,0.020868,-0.022130,0.999926,0.011491,0.000116,0.003958,0.635245,-0.019188,0.772070,0.002109,-173.751811,78.809437,-172.017833
29228,-9.989029,3.239097,0.281430,2.112062,3.500232,-0.135962,1.797180,-0.180047,0.229263,-0.099930,0.032250,0.003015,0.999959,0.008986,-0.000900,0.001146,0.636105,-0.012553,0.771490,-0.004052,-173.353520,78.930557,-172.661483
29229,-9.054112,3.115689,1.601870,3.249264,3.348359,-1.299097,-0.019748,-0.054727,0.075572,-0.090557,0.031124,0.015991,1.000000,-0.000099,-0.000274,0.000378,0.636365,-0.012265,0.771282,-0.003672,-173.613040,78.974934,-172.913543
29230,-9.523144,1.412587,0.458965,2.248461,1.653488,-0.587362,-1.729924,0.500933,-0.168723,-0.095208,0.014247,0.004705,0.999959,-0.008650,0.002505,-0.000844,0.634320,-0.018371,0.772848,0.002463,-174.297339,78.683164,-172.600868
29231,-10.854248,-0.210456,-1.403119,0.771663,0.037557,1.106585,-2.723024,0.491733,-0.561678,-0.108582,-0.001988,-0.013737,0.999900,-0.013615,0.002459,-0.002808,0.632169,-0.029118,0.774202,0.011223,-174.462262,78.380437,-171.176175
29232,-10.710979,-2.513883,-4.061717,-1.661778,-2.404629,1.545048,-2.791339,-0.116103,-0.897724,-0.107199,-0.025222,-0.040328,0.999892,-0.013956,-0.000580,-0.004488,0.632216,-0.041366,0.773448,0.019238,-173.563958,78.396772,-168.626506
29233,-8.589662,-4.789927,-5.699865,-3.429208,-4.886960,-0.139421,-1.080364,-0.184184,-0.918075,-0.086064,-0.047812,-0.056819,0.999974,-0.005402,-0.000921,-0.004590,0.632831,-0.048251,0.772510,0.020613,-171.612988,78.442982,-166.002309
29234,-6.764703,-4.047794,-3.622399,-1.824423,-4.026602,-2.347735,0.669143,0.060613,0.098035,-0.067638,-0.040390,-0.036339,0.999994,0.003346,0.000303,0.000490,0.632765,-0.045721,0.772775,0.018356,-171.551021,78.420893,-166.330525
29235,-8.405868,-1.387643,-3.229810,-1.372328,-1.287308,-0.897806,1.309932,0.447493,1.146076,-0.084050,-0.014147,-0.032202,0.999960,0.006550,0.002237,0.005730,0.631252,-0.037133,0.774505,0.016870,-174.148930,78.256353,-169.748972
29236,-11.316685,0.418133,-3.126814,-0.803543,0.566270,1.894250,1.891954,0.165486,1.109791,-0.113215,0.003848,-0.031137,0.999940,0.009460,0.000827,0.005549,0.630852,-0.026836,0.775330,0.013046,-176.172432,78.219215,-172.923242
29237,-10.882134,2.280222,-1.019542,1.093806,2.480926,1.018201,1.965977,-0.092674,0.445448,-0.108867,0.022659,-0.010023,0.999949,0.009830,-0.000463,0.002227,0.631458,-0.018846,0.775151,0.006893,-176.293153,78.296231,-174.196455
29238,-9.971333,2.073516,1.798716,3.692316,2.334687,-0.438341,0.535955,-0.155208,-0.022867,-0.099725,0.020698,0.017965,0.999996,0.002680,-0.000776,-0.000114,0.632130,-0.017198,0.774657,0.004790,-175.919849,78.387685,-174.128964
29239,-8.983951,1.170720,1.220591,2.960308,1.409034,-1.279056,-1.708434,0.370851,-0.188060,-0.089806,0.011896,0.012271,0.999961,-0.008542,0.001854,-0.000940,0.630576,-0.023277,0.775702,0.010837,-176.490210,78.176567,-173.711003
29240,-10.829960,-0.252389,-1.448971,0.841779,-0.069317,1.083977,-3.215877,0.670704,-0.506663,-0.108354,-0.002478,-0.014086,0.999862,-0.016079,0.003353,-0.002533,0.627563,-0.035374,0.777460,0.021663,-177.098415,77.780200,-172.449096
29241,-11.606226,-2.919313,-5.335879,-2.479994,-3.018617,2.694723,-3.012648,-0.055049,-1.061251,-0.116203,-0.029376,-0.052949,0.999872,-0.015063,-0.000275,-0.005306,0.627333,-0.048884,0.776632,0.030108,-176.052288,77.784080,-169.611827
29242,-8.348718,-5.337592,-5.913466,-3.392716,-5.599198,-0.310150,-0.789686,-0.350720,-1.099651,-0.083676,-0.053150,-0.059071,0.999976,-0.003948,-0.001754,-0.005498,0.628673,-0.055536,0.775110,0.029842,-173.528272,77.930786,-166.567397
29243,-5.598526,-3.464526,-2.856650,-1.225191,-3.488841,-3.661781,1.032567,0.069081,0.167284,-0.055966,-0.034544,-0.028726,0.999986,0.005163,0.000345,0.000836,0.628704,-0.051600,0.775482,0.026394,-173.434677,77.910316,-167.076315
29244,-7.699925,-1.054616,-2.285252,-0.516456,-0.964904,-1.786159,1.654448,0.514845,1.464857,-0.076979,-0.010922,-0.022744,0.999936,0.008272,0.002574,0.007324,0.626921,-0.040745,0.777631,0.024481,-176.499753,77.693693,-171.182077
29245,-11.532780,0.938175,-2.775021,-0.339864,1.010421,2.038406,2.226857,0.067118,1.474580,-0.115404,0.008839,-0.027611,0.999911,0.011134,0.000336,0.007373,0.626921,-0.027988,0.778310,0.020473,-179.133137,77.694431,-175.182936
29246,-11.235334,2.351134,-0.054269,2.180545,2.515466,1.172797,2.405265,-0.372148,0.510798,-0.112412,0.023230,-0.000471,0.999923,0.012026,-0.001861,0.002554,0.628626,-0.018380,0.777385,0.012795,-179.120062,77.915432,-176.579619
29247,-9.184993,2.815515,2.448487,4.185954,3.021336,-1.348907,0.809713,-0.256520,0.025559,-0.091885,0.028044,0.024481,0.999991,0.004049,-0.001283,0.000128,0.629736,-0.015669,0.776589,0.009799,-178.748354,78.069717,-176.673429
29248,-8.539459,1.782882,1.461727,3.126080,1.941950,-1.769423,-1.382126,0.300311,0.078180,-0.085380,0.017896,0.014622,0.999975,-0.006911,0.001502,0.000391,0.628464,-0.019692,0.777437,0.015419,-179.787529,77.901553,-176.926370
29249,-10.326044,1.160282,-1.470317,0.688573,1.192627,0.591090,-2.370073,0.675466,-0.118028,-0.103303,0.011491,-0.014491,0.999924,-0.011850,0.003377,-0.000590,0.625620,-0.027595,0.779263,0.024244,179.136060,77.522996,-176.637531
29250,-11.001213,-0.086603,-4.194068,-1.697892,-0.264743,1.835119,-2.229161,0.080030,-0.577153,-0.110032,-0.001016,-0.041886,0.999934,-0.011146,0.000400,-0.002886,0.625050,-0.036784,0.779095,0.031143,179.327782,77.484742,-175.133080
29251,-8.306438,-1.583650,-4.689265,-2.610408,-1.860655,-0.690309,-0.844814,-0.136900,-0.633644,-0.083082,-0.015771,-0.046883,0.999986,-0.004224,-0.000684,-0.003168,0.625570,-0.041816,0.778367,0.032530,-179.553469,77.571903,-173.490872
29252,-7.055950,-1.176847,-3.114458,-1.390721,-1.319151,-2.249819,0.335813,0.069859,0.160971,-0.070561,-0.011773,-0.031140,0.999998,0.001679,0.000349,0.000805,0.625362,-0.040110,0.778657,0.031743,-179.805588,77.535667,-173.946225
29253,-9.098853,0.054071,-3.195110,-1.149064,-0.084238,-0.238081,0.748912,0.101286,0.858594,-0.091006,0.000270,-0.031904,0.999984,0.003745,0.000506,0.004293,0.625018,-0.034389,0.779214,0.031540,178.370258,77.478659,-176.253544
29254,-10.849426,0.906522,-2.420294,-0.080369,0.817484,1.310028,1.126774,0.036830,0.555650,-0.108524,0.008900,-0.024133,0.999980,0.005634,0.000184,0.002778,0.624989,-0.028668,0.779571,0.028911,177.562267,77.449308,-177.742756
29255,-10.420596,1.191773,-0.527754,1.657745,1.234220,0.483732,0.713032,0.024674,0.037050,-0.104209,0.011917,-0.005222,0.999994,0.003565,0.000123,0.000185,0.625031,-0.026246,0.779715,0.026294,177.840356,77.441026,-177.875775
29256,-9.395894,0.569120,-0.224544,1.778958,0.630457,-0.587994,-0.460431,-0.011847,-0.094165,-0.093956,0.005730,-0.002264,0.999997,-0.002302,-0.000059,-0.000471,0.625048,-0.028010,0.779587,0.027827,177.791481,77.452887,-177.655707
29257,-9.405109,-0.272567,-1.835558,0.279968,-0.332899,-0.236131,-0.865245,0.053159,-0.154780,-0.094058,-0.002732,-0.018319,0.999990,-0.004326,0.000266,-0.000774,0.624784,-0.031271,0.779564,0.030759,177.660253,77.433191,-177.281556
29258,-9.255213,-0.428129,-3.037035,-0.901197,-0.593961,-0.122440,-0.361447,0.038967,-0.142385,-0.092561,-0.004270,-0.030345,0.999998,-0.001807,0.000195,-0.000712,0.624617,-0.032920,0.779591,0.031748,177.796558,77.417129,-176.929847
29259,-8.897897,-0.043206,-2.855124,-0.835579,-0.197827,-0.507375,0.416456,0.005358,0.120842,-0.088979,-0.000426,-0.028550,0.999998,0.002082,0.000027,0.000604,0.624692,-0.031096,0.779653,0.030551,177.687985,77.418425,-177.284929
29260,-9.432599,0.585329,-1.726635,0.328286,0.526033,-0.225544,0.715963,0.053923,0.247368,-0.094338,0.005798,-0.017220,0.999993,0.003580,0.000270,0.001237,0.624572,-0.027863,0.779948,0.028555,177.444501,77.384535,-177.954886
29261,-9.926491,0.957395,-0.678579,1.434167,0.973722,0.031464,0.316121,0.042973,0.101747,-0.099271,0.009534,-0.006749,0.999999,0.001581,0.000215,0.000509,0.624480,-0.026432,0.780102,0.027685,177.332491,77.364173,-178.254616
29262,-9.866907,0.550522,-0.772624,1.364422,0.558400,-0.010524,-0.472013,0.039121,-0.089436,-0.098668,0.005531,-0.007720,0.999997,-0.002360,0.000196,-0.000447,0.624296,-0.028220,0.780129,0.029272,177.268961,77.347166,-178.042689
29263,-9.551419,-0.045055,-1.806098,0.340284,-0.117637,-0.098574,-0.780436,0.055566,-0.193885,-0.095520,-0.000428,-0.018033,0.999992,-0.003902,0.000278,-0.000969,0.624043,-0.031366,0.780114,0.031755,177.283575,77.327937,-177.568681
29264,-9.220880,-0.286884,-2.778515,-0.652027,-0.444864,-0.210394,-0.463498,0.016416,-0.169406,-0.092214,-0.002855,-0.027771,0.999997,-0.002317,0.000082,-0.000847,0.623952,-0.033435,0.780047,0.033062,177.425244,77.325997,-177.151407
29265,-8.973994,-0.105512,-2.726527,-0.670739,-0.259538,-0.460661,0.196162,0.041664,0.006849,-0.089746,-0.001031,-0.027248,0.999999,0.000981,0.000208,0.000034,0.623870,-0.032750,0.780171,0.032362,177.486914,77.309218,-177.202713
29266,-9.393087,0.555512,-1.873175,0.194794,0.483508,-0.232722,0.617979,0.047880,0.114366,-0.093939,0.005559,-0.018692,0.999995,0.003090,0.000239,0.000572,0.623783,-0.030343,0.780419,0.030332,177.530111,77.281953,-177.521524
29267,-9.625958,0.659036,-0.881681,1.205536,0.672887,-0.222866,0.459226,0.009672,0.040747,-0.096261,0.006591,-0.008797,0.999997,0.002296,0.000048,0.000204,0.623856,-0.028700,0.780484,0.028716,177.652853,77.282555,-177.664735
29268,-9.088676,0.584337,-0.786033,1.187487,0.602818,-0.768915,-0.171745,0.007248,-0.065141,-0.090885,0.005866,-0.007862,1.000000,-0.000859,0.000036,-0.000326,0.623833,-0.029450,0.780456,0.029213,177.694729,77.282928,-177.521058
29269,-9.207057,0.072366,-1.829741,0.241021,0.005202,-0.428394,-0.753629,0.028012,-0.073389,-0.092073,0.000689,-0.018287,0.999993,-0.003768,0.000140,-0.000367,0.623670,-0.032037,0.780377,0.031972,177.413380,77.276145,-177.366083
29270,-9.864744,-1.148001,-2.398246,-0.047870,-1.258250,0.326206,-0.588531,0.090422,-0.142522,-0.098666,-0.011480,-0.023904,0.999995,-0.002943,0.000452,-0.000713,0.623263,-0.034402,0.780522,0.033841,177.421403,77.231051,-177.012264
29271,-9.734467,-0.711619,-3.051934,-0.736118,-0.885242,0.348759,-0.271636,0.183117,-0.137440,-0.097377,-0.007091,-0.030421,0.999998,-0.001358,0.000916,-0.000687,0.622575,-0.035763,0.780982,0.034491,177.594475,77.137109,-176.674482
29272,-9.652190,-0.794243,-3.110673,-0.793632,-0.967699,0.282142,0.017318,0.008235,-0.078587,-0.096526,-0.007902,-0.031103,1.000000,0.000087,0.000041,-0.000393,0.622579,-0.035977,0.780980,0.034209,177.776847,77.137221,-176.497723
29273,-8.784643,-0.465136,-2.205569,-0.144861,-0.557131,-0.761751,0.414793,-0.032734,0.023279,-0.087842,-0.004616,-0.022080,0.999998,0.002074,-0.000164,0.000116,0.622825,-0.034537,0.780913,0.032715,177.917437,77.162661,-176.596700
29274,-8.902132,0.317590,-1.928521,0.074814,0.249377,-0.702241,0.454574,0.022964,0.162849,-0.089026,0.003147,-0.019268,0.999997,0.002273,0.000115,0.000814,0.622806,-0.032449,0.781069,0.031475,177.745722,77.149007,-177.040086
29275,-8.916449,1.300015,-2.069527,-0.144945,1.205746,-0.647470,0.351718,-0.038266,0.208421,-0.089174,0.012944,-0.020690,0.999998,0.001759,-0.000191,0.001042,0.623027,-0.030483,0.780999,0.030804,177.384085,77.172920,-177.617105
29276,-9.694425,0.822808,-1.284417,0.834872,0.790451,-0.066572,0.257120,0.017545,0.206659,-0.096954,0.008144,-0.012825,0.999999,0.001286,0.000088,0.001033,0.622985,-0.028837,0.781108,0.030472,176.988849,77.160025,-178.173690
29277,-11.043948,0.113608,-0.370053,2.094724,0.160983,1.036497,-0.097851,0.211600,-0.003236,-0.110443,0.001136,-0.003584,0.999999,-0.000489,0.001058,-0.000016,0.622193,-0.029134,0.781712,0.030863,176.931876,77.046114,-178.173951
29278,-10.944721,-0.198978,-1.373840,1.140867,-0.224140,1.158277,-0.954713,0.108073,-0.329514,-0.109458,-0.001875,-0.013670,0.999987,-0.004774,0.000540,-0.001648,0.621696,-0.033368,0.781827,0.033584,177.191423,76.996896,-177.346379
29279,-9.211826,-1.214404,-2.458935,-0.199023,-1.335131,-0.296560,-1.224949,-0.105265,-0.527352,-0.092137,-0.012052,-0.024564,0.999978,-0.006125,-0.000526,-0.002637,0.622029,-0.039166,0.781147,0.036799,177.753448,77.078106,-176.048817
29280,-8.091967,-2.213833,-2.567702,-0.436963,-2.342962,-1.369132,-0.748392,0.011702,-0.364397,-0.080961,-0.022087,-0.025590,0.999991,-0.003742,0.000059,-0.001822,0.621919,-0.042878,0.780952,0.038617,178.210033,77.081797,-175.140566
29281,-8.733015,-2.032850,-2.871699,-0.592737,-2.189279,-0.674835,-0.154811,0.144563,0.169452,-0.087334,-0.020425,-0.028638,0.999999,-0.000774,0.000723,0.000847,0.621339,-0.042677,0.781368,0.039763,177.679726,77.003073,-175.593249
29282,-10.172192,-1.028868,-3.106099,-0.598114,-1.215341,0.786608,0.317076,0.142017,0.337555,-0.101726,-0.010411,-0.031005,0.999997,0.001585,0.000710,0.001688,0.620803,-0.040360,0.781926,0.039574,177.018374,76.915818,-176.458717
29283,-10.218580,-0.185711,-2.452551,-0.038517,-0.316487,0.692893,0.392423,0.115420,0.104354,-0.102199,-0.001862,-0.024470,0.999998,0.001962,0.000577,0.000522,0.620457,-0.038711,0.782343,0.038381,176.971114,76.853778,-176.737764
29284,-9.440079,0.219101,-2.075362,0.111888,0.117852,-0.146054,0.142372,0.016028,-0.013513,-0.094402,0.002212,-0.020744,1.000000,0.000712,0.000080,-0.000068,0.620445,-0.038284,0.782402,0.037810,177.062846,76.847951,-176.727461
