PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
34349,-9.613332,-0.455456,-2.692685,0.290537,0.419004,0.168002,-0.659606,0.008757,-0.065671,-0.096136,-0.004612,-0.026907,0.999995,-0.003298,0.000044,-0.000328,-0.050012,0.787465,-0.065479,-0.610827,179.717364,75.594639,-9.725753
34350,-9.326370,-0.905066,-3.231569,0.949736,0.774754,0.023019,-0.409608,-0.034933,-0.076205,-0.093262,-0.009081,-0.032313,0.999998,-0.002048,-0.000175,-0.000381,-0.048615,0.787464,-0.063957,-0.611103,179.630201,75.618110,-9.573570
34351,-9.027465,-0.846208,-3.272898,1.053994,0.700375,-0.256453,0.076305,0.019672,0.002204,-0.090278,-0.008451,-0.032723,1.000000,0.000382,0.000098,0.000011,-0.048888,0.787460,-0.064232,-0.611057,179.653036,75.614545,-9.595633
34352,-9.280552,-0.082760,-2.914350,0.522027,0.010504,-0.098970,0.477810,0.081946,0.085055,-0.092817,-0.000798,-0.029107,0.999997,0.002389,0.000410,0.000425,-0.050455,0.787544,-0.066085,-0.610624,179.715976,75.570535,-9.813427
34353,-9.572823,0.543394,-2.212673,-0.331539,-0.486294,0.009926,0.542711,0.063332,0.063003,-0.095737,0.005464,-0.022082,0.999996,0.002714,0.000317,0.000315,-0.052364,0.787533,-0.068034,-0.610263,179.871391,75.541674,-9.974555
34354,-9.547915,0.725217,-1.623495,-0.924807,-0.572323,-0.161701,0.240917,0.012995,-0.006913,-0.095480,0.007275,-0.016220,0.999999,0.001205,0.000065,-0.000035,-0.053302,0.787491,-0.068784,-0.610152,-179.997178,75.537467,-9.981498
34355,-9.419539,0.414159,-1.560555,-0.899962,-0.262992,-0.301878,-0.235073,0.011923,-0.050310,-0.094195,0.004147,-0.015605,0.999999,-0.001175,0.000060,-0.000252,-0.052510,0.787563,-0.067900,-0.610226,179.963511,75.538285,-9.883486
34356,-9.453014,-0.151011,-2.256610,-0.146953,0.183467,-0.095728,-0.517274,0.003137,-0.058453,-0.094531,-0.001541,-0.022561,0.999997,-0.002586,0.000016,-0.000292,-0.050623,0.787705,-0.066131,-0.610397,179.775008,75.539791,-9.772208
34357,-9.369588,-0.582136,-2.959811,0.619123,0.498646,-0.001644,-0.406271,-0.036548,-0.064884,-0.093692,-0.005851,-0.029603,0.999998,-0.002031,-0.000183,-0.000324,-0.049217,0.787673,-0.064655,-0.610712,179.669592,75.568581,-9.641171
34358,-9.154923,-0.719483,-3.307659,1.028399,0.573361,-0.123285,0.005157,-0.004616,-0.021092,-0.091549,-0.007184,-0.033079,1.000000,0.000026,-0.000023,-0.000105,-0.049276,0.787644,-0.064625,-0.610748,179.697360,75.574501,-9.615673
