PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
34349,-4.104531,1.662569,8.867303,-0.067359,-0.136716,0.097769,-0.001964,0.003824,0.004655,-0.041044,0.016626,0.088674,1.000000,-0.000010,0.000019,0.000023,-0.813540,-0.195992,-0.131722,0.531403,11.384632,25.000347,-63.773080
34350,-4.087911,1.714478,8.841061,-0.013834,-0.119390,0.076719,0.013377,-0.000118,0.006846,-0.040880,0.017137,0.088412,1.000000,0.000067,-0.000001,0.000034,-0.813580,-0.196016,-0.131678,0.531343,11.391826,24.996653,-63.763403
34351,-4.040843,1.749145,8.891562,0.036555,-0.167783,0.107913,0.004340,0.007432,-0.000231,-0.040405,0.017490,0.088918,1.000000,0.000022,0.000037,-0.000001,-0.813612,-0.195987,-0.131681,0.531304,11.389894,24.994563,-63.758184
34352,-4.088806,1.715720,8.840406,-0.013521,-0.117493,0.076742,0.001888,0.007253,0.002625,-0.040885,0.017156,0.088406,1.000000,0.000009,0.000036,0.000013,-0.813647,-0.195981,-0.131702,0.531247,11.389788,24.995486,-63.750204
34353,-4.101978,1.706188,8.858548,-0.027276,-0.117755,0.096730,0.002311,0.002495,-0.000148,-0.041019,0.017061,0.088586,1.000000,0.000012,0.000012,-0.000001,-0.813685,-0.195931,-0.131690,0.531212,11.386465,24.990621,-63.745546
34354,-4.083734,1.691308,8.863067,-0.033735,-0.139796,0.090377,0.009178,0.001217,-0.005166,-0.040836,0.016910,0.088632,1.000000,0.000046,0.000006,-0.000026,-0.813696,-0.195934,-0.131674,0.531197,11.388177,24.989035,-63.743147
34355,-4.052827,1.686459,8.849115,-0.026149,-0.159576,0.064065,0.012262,0.003085,-0.008929,-0.040526,0.016861,0.088493,1.000000,0.000061,0.000015,-0.000045,-0.813700,-0.195920,-0.131647,0.531203,11.388293,24.985508,-63.743855
34356,-4.051012,1.795108,8.810301,0.073378,-0.104389,0.048258,0.014225,0.001451,-0.008236,-0.040509,0.017946,0.088105,1.000000,0.000071,0.000007,-0.000041,-0.813698,-0.195942,-0.131622,0.531204,11.392105,24.984401,-63.743329
34357,-4.027296,1.755476,8.837743,0.046495,-0.149930,0.055538,0.011074,0.004094,-0.013236,-0.040270,0.017553,0.088379,1.000000,0.000055,0.000020,-0.000066,-0.813691,-0.195923,-0.131606,0.531226,11.390481,24.981935,-63.746574
34358,-4.134934,1.714282,8.870924,-0.033933,-0.092292,0.123110,0.001898,0.000684,-0.013416,-0.041348,0.017145,0.088710,1.000000,0.000009,0.000003,-0.000067,-0.813688,-0.195890,-0.131616,0.531241,11.385835,24.980983,-63.749354
34359,-4.121441,1.609937,8.857134,-0.124160,-0.133504,0.086492,0.018367,0.000254,-0.015679,-0.041213,0.016094,0.088573,1.000000,0.000092,0.000001,-0.000078,-0.813669,-0.195889,-0.131567,0.531281,11.387560,24.976647,-63.754587
