// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
29077,-8.811922,3.920044,-1.121412,0.018148,-0.008014,-0.103213,-0.012064,0.004871,-0.023138,-0.088115,0.039210,-0.011214,1.000000,-0.000060,0.000024,-0.000116,-0.074806,0.643161,-0.378251,-0.661569,105.677623,65.173297,-112.620688
29078,-8.795009,3.933588,-1.114524,0.001796,-0.020833,-0.113872,-0.018421,0.013540,-0.020302,-0.087947,0.039344,-0.011143,1.000000,-0.000092,0.000068,-0.000102,-0.074756,0.643212,-0.378160,-0.661578,105.678717,65.177030,-112.606894
29079,-8.795616,3.931909,-1.115657,0.002934,-0.020324,-0.113871,0.003297,0.019004,-0.019783,-0.087953,0.039328,-0.011148,1.000000,0.000016,0.000095,-0.000099,-0.074764,0.643270,-0.378142,-0.661530,105.697868,65.179638,-112.586729
29080,-8.818273,3.956458,-1.119808,-0.006110,-0.031249,-0.082916,0.001151,0.021091,-0.023788,-0.088179,0.039575,-0.011189,1.000000,0.000006,0.000105,-0.000119,-0.074775,0.643345,-0.378107,-0.661476,105.720360,65.184119,-112.561715
29081,-8.838067,4.001707,-1.174498,0.012749,-0.087716,-0.040448,-0.016787,0.027070,-0.014804,-0.088379,0.040023,-0.011736,1.000000,-0.000084,0.000135,-0.000074,-0.074685,0.643428,-0.378042,-0.661443,105.735677,65.182586,-112.532853
29082,-8.851190,4.031952,-1.211190,0.025642,-0.125175,-0.012133,-0.024491,0.024331,-0.013358,-0.088511,0.040324,-0.012106,1.000000,-0.000122,0.000122,-0.000067,-0.074572,0.643504,-0.377956,-0.661431,105.743841,65.180806,-112.507439
29083,-8.836348,4.026351,-1.154802,-0.018474,-0.092450,-0.034281,-0.000977,0.016754,-0.001545,-0.088364,0.040264,-0.011541,1.000000,-0.000005,0.000084,-0.000008,-0.074511,0.643521,-0.377985,-0.661405,105.751733,65.173557,-112.497195
29084,-8.828348,4.042802,-1.043184,-0.118045,-0.038987,-0.047609,0.025602,0.005128,0.008093,-0.088285,0.040426,-0.010424,1.000000,0.000128,0.000026,0.000040,-0.074525,0.643474,-0.378126,-0.661368,105.758487,65.162933,-112.504956
29085,-8.790834,4.012156,-0.984706,-0.152063,0.005190,-0.100702,0.054959,-0.007152,0.022001,-0.087912,0.040115,-0.009839,1.000000,0.000275,-0.000036,0.000110,-0.074613,0.643345,-0.378409,-0.661322,105.762238,65.146425,-112.534966
29086,-8.801726,3.988972,-0.902838,-0.200713,0.077809,-0.109541,0.061618,-0.008153,0.033837,-0.088024,0.039878,-0.009020,1.000000,0.000308,-0.000041,0.000169,-0.074683,0.643192,-0.378747,-0.661269,105.765185,65.123673,-112.569669
29087,-8.839294,3.997017,-0.986842,-0.130927,0.040508,-0.062593,0.049631,-0.007011,0.039536,-0.088400,0.039955,-0.009862,1.000000,0.000248,-0.000035,0.000198,-0.074693,0.643034,-0.379066,-0.661239,105.760009,65.097513,-112.605750
29088,-8.806598,3.978176,-1.018951,-0.097805,0.025937,-0.096203,0.036725,0.002223,0.037430,-0.088074,0.039767,-0.010181,1.000000,0.000184,0.000011,0.000187,-0.074652,0.642917,-0.379338,-0.661201,105.759884,65.071164,-112.628129
29089,-8.769009,4.005805,-1.079541,-0.070271,-0.039984,-0.112128,0.022608,0.011292,0.037393,-0.087698,0.040043,-0.010786,1.000000,0.000113,0.000056,0.000187,-0.074546,0.642834,-0.379566,-0.661163,105.761545,65.043315,-112.639360
29090,-8.773790,4.024352,-1.099347,-0.063273,-0.058445,-0.097959,0.013240,0.021179,0.034429,-0.087746,0.040229,-0.010982,1.000000,0.000066,0.000106,0.000172,-0.074403,0.642795,-0.379757,-0.661108,105.771456,65.015671,-112.635835
29091,-8.772242,4.027061,-1.101779,-0.062134,-0.057929,-0.097949,0.004851,0.025971,0.029588,-0.087730,0.040258,-0.011005,1.000000,0.000024,0.000130,0.000148,-0.074240,0.642781,-0.379907,-0.661053,105.783136,64.989923,-112.624987
29092,-8.789210,4.020386,-1.037753,-0.104870,-0.004302,-0.092624,-0.019351,0.023319,0.028892,-0.087899,0.040190,-0.010371,1.000000,-0.000097,0.000117,0.000144,-0.074006,0.642771,-0.379974,-0.661051,105.778728,64.964997,-112.616655
29093,-8.790031,3.996718,-1.061077,-0.070252,0.002017,-0.098813,-0.027811,0.019584,0.023182,-0.087906,0.039956,-0.010608,1.000000,-0.000139,0.000098,0.000116,-0.073770,0.642761,-0.379993,-0.661076,105.766184,64.943708,-112.611823
29094,-8.787659,3.936641,-1.015605,-0.069429,0.072869,-0.130672,-0.029845,0.015705,0.015518,-0.087880,0.039358,-0.010155,1.000000,-0.000149,0.000079,0.000078,-0.073562,0.642755,-0.379979,-0.661113,105.751242,64.927344,-112.608480
29095,-8.817405,3.954109,-1.057908,-0.039003,0.048784,-0.091737,-0.036627,0.011014,0.010774,-0.088177,0.039534,-0.010581,1.000000,-0.000183,0.000055,0.000054,-0.073358,0.642742,-0.379930,-0.661177,105.728000,64.914188,-112.610498
29096,-8.777355,3.943927,-1.047768,-0.045299,0.047387,-0.133326,-0.036115,0.007047,0.005855,-0.087775,0.039435,-0.010482,1.000000,-0.000181,0.000035,0.000029,-0.073178,0.642728,-0.379861,-0.661250,105.702492,64.904498,-112.614853
29097,-8.825253,3.945282,-1.096551,0.002626,0.036648,-0.083791,-0.026858,0.003410,0.000208,-0.088253,0.039451,-0.010969,1.000000,-0.000134,0.000017,0.000001,-0.073052,0.642707,-0.379804,-0.661317,105.679090,64.898355,-112.622645
29098,-8.801251,3.945085,-1.070811,-0.019670,0.042813,-0.108557,-0.030684,0.000631,-0.003055,-0.088012,0.039451,-0.010714,1.000000,-0.000153,0.000003,-0.000015,-0.072930,0.642687,-0.379722,-0.661397,105.652101,64.894571,-112.632073
29099,-8.819097,3.929798,-1.076759,-0.001044,0.056679,-0.097958,-0.023860,-0.003345,-0.004556,-0.088190,0.039299,-0.010774,1.000000,-0.000119,-0.000017,-0.000023,-0.072842,0.642652,-0.379655,-0.661479,105.623953,64.892200,-112.646713
29100,-8.799533,3.876802,-1.095522,0.043580,0.074413,-0.135182,-0.022476,-0.006439,-0.007699,-0.087993,0.038770,-0.010962,1.000000,-0.000112,-0.000032,-0.000038,-0.072775,0.642614,-0.379583,-0.661564,105.594879,64.892065,-112.663636
29101,-8.780210,3.823273,-1.114249,0.088271,0.092128,-0.172419,-0.015124,-0.008544,-0.015840,-0.087799,0.038239,-0.011149,1.000000,-0.000076,-0.000043,-0.000079,-0.072760,0.642581,-0.379506,-0.661643,105.569139,64.896653,-112.680905
29102,-8.814216,3.817534,-1.105055,0.090852,0.113579,-0.145011,-0.004524,-0.006607,-0.018384,-0.088138,0.038183,-0.011054,1.000000,-0.000023,-0.000033,-0.000092,-0.072787,0.642556,-0.379458,-0.661691,105.553653,64.902436,-112.694181
29103,-8.779760,3.846095,-1.090353,0.057027,0.087383,-0.166205,-0.000864,-0.000263,-0.026319,-0.087793,0.038472,-0.010904,1.000000,-0.000004,-0.000001,-0.000132,-0.072841,0.642565,-0.379400,-0.661710,105.549638,64.911596,-112.697045
29104,-8.796383,3.854653,-1.075004,0.042134,0.095483,-0.149383,-0.002542,0.000696,-0.027285,-0.087959,0.038558,-0.010750,1.000000,-0.000013,0.000003,-0.000136,-0.072890,0.642580,-0.379334,-0.661728,105.546808,64.921169,-112.697599
