PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36189,-7.404397,1.168770,6.316639,0.072411,-0.109514,-0.010963,0.028941,-0.144971,0.050420,-0.074093,0.011660,0.063114,1.000000,0.000145,-0.000725,0.000252,0.441701,0.394603,0.152562,-0.791147,9.478757,49.389450,-117.283877
36190,-7.418494,1.094042,6.290215,0.031787,-0.028576,-0.025147,0.029585,-0.140565,0.048782,-0.074232,0.010913,0.062852,1.000000,0.000148,-0.000703,0.000244,0.441990,0.394128,0.152045,-0.791322,9.513217,49.303030,-117.255413
36191,-7.441388,1.091813,6.290093,0.039518,0.000990,-0.008097,0.039864,-0.131738,0.055986,-0.074458,0.010885,0.062854,1.000000,0.000199,-0.000659,0.000280,0.442285,0.393712,0.151489,-0.791471,9.559206,49.220225,-117.219234
36192,-7.482480,1.075815,6.299008,0.036703,0.043124,0.026986,0.022277,-0.130039,0.054315,-0.074869,0.010731,0.062943,1.000000,0.000111,-0.000650,0.000272,0.442602,0.393267,0.151013,-0.791606,9.593991,49.139198,-117.184735
36193,-7.497373,1.001011,6.272379,-0.003955,0.124093,0.012787,0.020395,-0.139572,0.055139,-0.075020,0.009983,0.062672,1.000000,0.000102,-0.000698,0.000276,0.443064,0.392752,0.150584,-0.791685,9.626904,49.052319,-117.132460
36194,-7.496920,1.025761,6.294399,0.008755,0.111577,0.029208,0.018272,-0.132194,0.054956,-0.075014,0.010231,0.062895,1.000000,0.000091,-0.000661,0.000275,0.443393,0.392290,0.150117,-0.791819,9.659310,48.969987,-117.097985
36195,-7.521346,0.917214,6.265278,-0.055036,0.218160,0.016606,0.009812,-0.136357,0.050564,-0.075258,0.009150,0.062602,1.000000,0.000049,-0.000682,0.000253,0.443727,0.391784,0.149680,-0.791964,9.683507,48.885074,-117.067693
36196,-7.520923,0.940477,6.287556,-0.042330,0.205643,0.033024,0.001585,-0.137115,0.042102,-0.075254,0.009388,0.062824,1.000000,0.000008,-0.000686,0.000211,0.444041,0.391255,0.149294,-0.792123,9.697273,48.801184,-117.045190
36197,-7.442135,0.893263,6.230568,-0.071683,0.232466,-0.068763,-0.006576,-0.132322,0.043141,-0.074464,0.008919,0.062256,1.000000,-0.000033,-0.000662,0.000216,0.444375,0.390723,0.148946,-0.792264,9.707526,48.719286,-117.020873
36198,-7.414096,0.904588,6.289680,-0.095097,0.187155,-0.050357,-0.002072,-0.110046,0.043086,-0.074177,0.009031,0.062856,1.000000,-0.000010,-0.000550,0.000215,0.444679,0.390293,0.148631,-0.792364,9.722672,48.650582,-116.993688
36199,-7.445073,0.884989,6.257024,-0.081977,0.246008,-0.050750,-0.014342,-0.101251,0.037922,-0.074484,0.008840,0.062532,1.000000,-0.000072,-0.000506,0.000190,0.444984,0.389863,0.148394,-0.792449,9.728380,48.586757,-116.969438
36200,-7.421113,0.900677,6.254528,-0.071383,0.233734,-0.068791,-0.014088,-0.083428,0.039353,-0.074239,0.008997,0.062514,1.000000,-0.000070,-0.000417,0.000197,0.445277,0.389509,0.148193,-0.792496,9.737059,48.533440,-116.941642
36201,-7.460655,0.842333,6.277137,-0.115412,0.285116,-0.031137,-0.008050,-0.080840,0.038121,-0.074634,0.008412,0.062741,1.000000,-0.000040,-0.000404,0.000191,0.445554,0.389173,0.147976,-0.792546,9.748607,48.481148,-116.914361
36202,-7.484237,0.855436,6.245121,-0.079218,0.318312,-0.033142,-0.009718,-0.074336,0.030531,-0.074867,0.008546,0.062423,1.000000,-0.000049,-0.000372,0.000153,0.445796,0.388858,0.147795,-0.792598,9.755069,48.433815,-116.892830
36203,-7.437738,0.898646,6.262702,-0.063486,0.264138,-0.051788,0.006442,-0.074959,0.024406,-0.074402,0.008975,0.062599,1.000000,0.000032,-0.000375,0.000122,0.445986,0.388568,0.147560,-0.792677,9.766703,48.386208,-116.876485
36204,-7.432966,0.900209,6.268141,-0.063400,0.264531,-0.051798,-0.003207,-0.071736,0.014905,-0.074353,0.008998,0.062655,1.000000,-0.000016,-0.000359,0.000075,0.446152,0.388267,0.147391,-0.792763,9.767188,48.341858,-116.867911
36205,-7.423723,0.834730,6.186833,-0.077710,0.349404,-0.119534,0.009249,-0.064448,0.011608,-0.074258,0.008340,0.061845,1.000000,0.000046,-0.000322,0.000058,0.446278,0.388015,0.147193,-0.792852,9.773380,48.301463,-116.860979
36206,-7.405079,0.993857,6.194711,0.045669,0.251056,-0.110508,0.023358,-0.057783,0.005303,-0.074069,0.009929,0.061927,1.000000,0.000117,-0.000289,0.000027,0.446344,0.387821,0.146967,-0.792952,9.784498,48.265924,-116.858539
36207,-7.442181,1.006325,6.201585,0.065975,0.267699,-0.077062,0.005017,-0.055377,0.001788,-0.074439,0.010061,0.061995,1.000000,0.000025,-0.000277,0.000009,0.446432,0.387589,0.146826,-0.793042,9.782991,48.231647,-116.858672
36208,-7.413733,0.948393,6.169016,0.028140,0.306783,-0.126371,0.005402,-0.049412,0.000603,-0.074153,0.009482,0.061672,1.000000,0.000027,-0.000247,0.000003,0.446508,0.387384,0.146700,-0.793123,9.781756,48.201292,-116.858998
36209,-7.451653,0.960088,6.175091,0.048437,0.323422,-0.092929,0.004846,-0.038520,0.000783,-0.074528,0.009599,0.061737,1.000000,0.000024,-0.000193,0.000004,0.446579,0.387218,0.146599,-0.793182,9.781336,48.176673,-116.857549
36210,-7.480553,1.005002,6.183239,0.091850,0.314464,-0.061082,0.011880,-0.037090,-0.002194,-0.074817,0.010047,0.061819,1.000000,0.000059,-0.000185,-0.000011,0.446622,0.387074,0.146479,-0.793250,9.783389,48.153549,-116.858445
36211,-7.486698,1.024194,6.198130,0.104626,0.302028,-0.044664,-0.002850,-0.037574,-0.012157,-0.074878,0.010247,0.061967,1.000000,-0.000014,-0.000188,-0.000061,0.446656,0.386886,0.146436,-0.793331,9.770493,48.130770,-116.867837
36212,-7.467827,0.983800,6.176627,0.079417,0.328207,-0.077545,-0.008803,-0.035505,-0.018241,-0.074688,0.009848,0.061753,1.000000,-0.000044,-0.000178,-0.000091,0.446675,0.386690,0.146434,-0.793416,9.750773,48.110099,-116.882062
36213,-7.458671,0.910165,6.152225,0.031073,0.379960,-0.108837,0.002990,-0.028745,-0.020288,-0.074595,0.009108,0.061512,1.000000,0.000015,-0.000144,-0.000101,0.446658,0.386544,0.146403,-0.793503,9.737074,48.093138,-116.897049
36214,-7.397610,0.988739,6.067872,0.119842,0.349894,-0.201001,0.017774,-0.014803,-0.021653,-0.073980,0.009890,0.060674,1.000000,0.000089,-0.000074,-0.000108,0.446597,0.386488,0.146348,-0.793575,9.732691,48.084484,-116.911133
36215,-7.413219,1.079456,6.107153,0.181096,0.286146,-0.153304,0.012572,0.002143,-0.023501,-0.074130,0.010799,0.061073,1.000000,0.000063,0.000011,-0.000118,0.446526,0.386483,0.146355,-0.793615,9.725785,48.085327,-116.924384
36216,-7.374493,1.014312,6.088660,0.125191,0.308760,-0.201613,0.002810,0.020121,-0.023758,-0.073738,0.010151,0.060894,1.000000,0.000014,0.000101,-0.000119,0.446459,0.386531,0.146441,-0.793614,9.715270,48.096597,-116.935187
36217,-7.364240,1.041379,6.148483,0.114563,0.250573,-0.166734,0.019809,0.036119,-0.015833,-0.073630,0.010414,0.061499,1.000000,0.000099,0.000181,-0.000079,0.446380,0.386683,0.146480,-0.793577,9.720996,48.115931,-116.937056
36218,-7.395408,1.080197,6.210265,0.124068,0.208587,-0.098400,0.011927,0.044243,-0.018824,-0.073939,0.010805,0.062120,1.000000,0.000060,0.000221,-0.000094,0.446298,0.386850,0.146574,-0.793525,9.721406,48.140346,-116.940195
36219,-7.361312,1.049160,6.232110,0.075486,0.189013,-0.112820,0.012153,0.054416,-0.016665,-0.073595,0.010494,0.062342,1.000000,0.000061,0.000272,-0.000083,0.446216,0.387058,0.146686,-0.793448,9.724200,48.170131,-116.940127
36220,-7.405562,1.059863,6.230812,0.095737,0.205644,-0.079383,0.007586,0.055455,-0.015076,-0.074038,0.010602,0.062329,1.000000,0.000038,0.000277,-0.000075,0.446149,0.387262,0.146816,-0.793363,9.725699,48.200514,-116.938466
36221,-7.356620,1.075757,6.285680,0.064988,0.131219,-0.077933,0.006157,0.059471,-0.016151,-0.073547,0.010762,0.062879,1.000000,0.000031,0.000297,-0.000081,0.446077,0.387477,0.146962,-0.793271,9.725931,48.233135,-116.937239
36222,-7.451076,1.091920,6.386974,0.055591,0.114364,0.060918,-0.000939,0.060103,-0.023405,-0.074490,0.010928,0.063892,1.000000,-0.000005,0.000301,-0.000117,0.445990,0.387675,0.147151,-0.793188,9.717780,48.266949,-116.941967
36223,-7.431943,1.064193,6.389868,0.025042,0.111202,0.045492,-0.017691,0.047486,-0.035430,-0.074302,0.010661,0.063915,1.000000,-0.000088,0.000237,-0.000177,0.445896,0.387775,0.147403,-0.793145,9.690828,48.294683,-116.958864
36224,-7.358192,0.966391,6.394820,-0.079570,0.113721,-0.017210,-0.012663,0.047392,-0.034578,-0.073565,0.009681,0.063965,1.000000,-0.000063,0.000237,-0.000173,0.445797,0.387888,0.147632,-0.793103,9.667465,48.322392,-116.974964
