PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
50964,-9.373268,-1.827720,-1.795879,0.186228,0.142549,-0.098322,0.036820,0.008661,0.054148,-0.093729,-0.018299,-0.017958,1.000000,0.000184,0.000043,0.000271,0.410955,0.473014,0.601404,-0.495668,-129.479464,74.411368,143.046501
50965,-9.327477,-2.022355,-1.795457,-0.019147,0.137543,-0.102068,0.009256,0.009055,0.045428,-0.093271,-0.020244,-0.017951,1.000000,0.000046,0.000045,0.000227,0.411069,0.473211,0.601258,-0.495563,-129.556401,74.435420,142.962375
50966,-9.246109,-2.310987,-1.805078,-0.323744,0.142493,-0.119164,0.032288,0.010565,0.045700,-0.092457,-0.023128,-0.018050,1.000000,0.000161,0.000053,0.000229,0.411124,0.473458,0.601057,-0.495525,-129.621815,74.458843,142.876362
50967,-9.206214,-2.352435,-1.837607,-0.378038,0.179700,-0.143669,0.114624,0.008331,0.050911,-0.092057,-0.023537,-0.018386,1.000000,0.000573,0.000042,0.000255,0.411005,0.473884,0.600636,-0.495726,-129.644972,74.485514,142.785654
50968,-9.199745,-2.002714,-1.718966,-0.039093,0.086769,-0.242319,0.152069,0.017263,0.060486,-0.091993,-0.020042,-0.017197,1.000000,0.000760,0.000086,0.000302,0.410792,0.474438,0.600117,-0.496002,-129.672301,74.512981,142.667965
50969,-9.362025,-1.937897,-1.676106,0.055196,0.023592,-0.106571,0.129033,0.016405,0.058149,-0.093616,-0.019395,-0.016766,1.000000,0.000645,0.000082,0.000291,0.410634,0.474934,0.599661,-0.496210,-129.709997,74.539801,142.553924
50970,-9.427647,-2.033667,-1.692603,-0.029380,0.025560,-0.020869,0.129585,0.009768,0.057007,-0.094271,-0.020353,-0.016935,1.000000,0.000648,0.000049,0.000285,0.410488,0.475412,0.599190,-0.496442,-129.734177,74.568446,142.452899
50971,-9.352650,-1.875067,-1.627993,0.107013,-0.014579,-0.136602,0.159844,0.003186,0.051017,-0.093522,-0.018762,-0.016293,1.000000,0.000799,0.000016,0.000255,0.410276,0.475918,0.598645,-0.496790,-129.723952,74.596956,142.369889
50972,-9.297297,-1.882235,-1.507430,0.086792,-0.122229,-0.208917,0.135299,0.011212,0.051734,-0.092969,-0.018836,-0.015082,1.000000,0.000676,0.000056,0.000259,0.410098,0.476394,0.598174,-0.497047,-129.740543,74.622743,142.273367
50973,-9.306929,-1.892122,-1.607828,0.073664,-0.022885,-0.180542,0.169152,0.006081,0.051951,-0.093065,-0.018932,-0.016091,1.000000,0.000846,0.000030,0.000260,0.409857,0.476928,0.597609,-0.497413,-129.730943,74.650551,142.184194
50974,-9.393684,-1.685902,-1.483469,0.291493,-0.146506,-0.159822,0.154515,0.008952,0.056513,-0.093933,-0.016874,-0.014844,1.000000,0.000773,0.000045,0.000283,0.409651,0.477453,0.597074,-0.497722,-129.739631,74.679270,142.084476
50975,-9.443085,-1.635236,-1.571297,0.345489,-0.063985,-0.107464,0.110297,0.013812,0.057440,-0.094427,-0.016371,-0.015715,1.000000,0.000551,0.000069,0.000287,0.409543,0.477897,0.596661,-0.497880,-129.784056,74.706590,141.975021
50976,-9.485602,-1.561144,-1.611210,0.421553,-0.027418,-0.074549,0.078181,0.013756,0.048568,-0.094853,-0.015628,-0.016112,1.000000,0.000391,0.000069,0.000243,0.409486,0.478253,0.596344,-0.497965,-129.834042,74.730016,141.877857
50977,-9.330895,-1.628871,-1.720419,0.317017,0.102523,-0.191479,-0.000701,0.000835,0.042587,-0.093306,-0.016309,-0.017204,1.000000,-0.000004,0.000004,0.000213,0.409639,0.478402,0.596208,-0.497859,-129.901501,74.755685,141.808862
50978,-9.194546,-1.871828,-1.719530,0.045755,0.112027,-0.274052,-0.001508,0.017851,0.048376,-0.091942,-0.018741,-0.017187,1.000000,-0.000008,0.000089,0.000242,0.409759,0.478604,0.596098,-0.497697,-130.004017,74.777455,141.704598
