PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
50964,-3.837076,-0.739378,9.106232,0.022567,0.032639,0.096486,0.036669,-0.067886,-0.028104,-0.038403,-0.007405,0.091048,1.000000,0.000183,-0.000339,-0.000141,0.968454,-0.068282,0.191010,0.144739,-4.793874,22.938034,16.027102
50965,-3.840099,-0.769098,9.098565,0.019918,-0.001362,0.092935,0.029987,-0.066660,-0.036020,-0.038433,-0.007698,0.090972,1.000000,0.000150,-0.000333,-0.000180,0.968549,-0.068148,0.190680,0.144604,-4.786168,22.896909,16.013276
50966,-3.853416,-0.774596,9.027203,-0.021685,-0.026880,0.033023,0.041873,-0.069969,-0.043911,-0.038567,-0.007756,0.090257,1.000000,0.000209,-0.000350,-0.000220,0.968656,-0.067961,0.190340,0.144421,-4.773437,22.853627,15.994687
50967,-3.846563,-0.772388,9.030314,-0.021995,-0.026622,0.033023,0.047272,-0.073744,-0.050458,-0.038501,-0.007736,0.090287,1.000000,0.000236,-0.000369,-0.000252,0.968773,-0.067752,0.189983,0.144203,-4.759135,22.807784,15.972322
50968,-3.787366,-0.903239,9.048886,0.069995,-0.137399,0.037112,0.057664,-0.076461,-0.039803,-0.037910,-0.009051,0.090472,1.000000,0.000288,-0.000382,-0.000199,0.968889,-0.067480,0.189625,0.144027,-4.736219,22.761000,15.956598
50969,-3.819145,-0.878817,9.085058,0.040418,-0.122273,0.080738,0.076066,-0.077217,-0.030936,-0.038228,-0.008817,0.090832,1.000000,0.000380,-0.000386,-0.000155,0.969005,-0.067110,0.189278,0.143877,-4.700667,22.714078,15.946348
50970,-3.791257,-0.787716,9.098622,0.036165,-0.034224,0.075516,0.084373,-0.074338,-0.029565,-0.037948,-0.007910,0.090969,1.000000,0.000422,-0.000372,-0.000148,0.969119,-0.066700,0.188952,0.143724,-4.660041,22.669002,15.936804
50971,-3.792816,-0.756749,9.150078,0.037555,-0.003994,0.121125,0.082098,-0.072092,-0.030595,-0.037962,-0.007599,0.091484,1.000000,0.000410,-0.000360,-0.000153,0.969231,-0.066305,0.188634,0.143568,-4.621094,22.625049,15.926440
50972,-3.716674,-0.765223,9.135953,0.097517,-0.003469,0.079499,0.083179,-0.066896,-0.027373,-0.037198,-0.007685,0.091344,1.000000,0.000416,-0.000334,-0.000137,0.969336,-0.065904,0.188345,0.143424,-4.580783,22.584336,15.917819
50973,-3.738001,-0.776042,9.043834,0.045023,-0.044031,0.003720,0.081128,-0.066316,-0.019137,-0.037411,-0.007794,0.090423,1.000000,0.000406,-0.000332,-0.000096,0.969434,-0.065507,0.188058,0.143322,-4.539797,22.544204,15.914151
50974,-3.689249,-0.655139,9.119696,0.073402,0.089088,0.046080,0.072268,-0.060882,-0.010052,-0.036921,-0.006582,0.091183,1.000000,0.000361,-0.000304,-0.000050,0.969517,-0.065147,0.187795,0.143270,-4.501758,22.507720,15.915890
50975,-3.789955,-0.704478,9.157063,0.007611,0.016260,0.122680,0.063491,-0.053779,-0.005090,-0.037924,-0.007073,0.091558,1.000000,0.000317,-0.000269,-0.000025,0.969586,-0.064831,0.187561,0.143248,-4.467833,22.475380,15.920201
50976,-3.734703,-0.665663,9.126117,0.030287,0.055195,0.070285,0.053165,-0.055217,-0.000239,-0.037372,-0.006681,0.091249,1.000000,0.000266,-0.000276,-0.000001,0.969650,-0.064558,0.187315,0.143261,-4.438546,22.442567,15.927686
50977,-3.721429,-0.594785,9.207587,0.044806,0.134728,0.135292,0.051383,-0.048787,-0.006421,-0.037237,-0.005970,0.092065,1.000000,0.000257,-0.000244,-0.000032,0.969712,-0.064305,0.187096,0.143242,-4.411924,22.413007,15.930967
50978,-3.714410,-0.604377,9.129616,0.023325,0.109246,0.061498,0.028825,-0.041991,-0.016344,-0.037164,-0.006054,0.091287,1.000000,0.000144,-0.000210,-0.000082,0.969767,-0.064176,0.186891,0.143195,-4.400635,22.387034,15.927838
50979,-3.805875,-0.660589,9.107742,-0.052723,0.025655,0.080168,0.032331,-0.048111,-0.025533,-0.038082,-0.006616,0.091067,1.000000,0.000162,-0.000241,-0.000128,0.969836,-0.064033,0.186655,0.143102,-4.389412,22.357024,15.919355
