PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
00596,-3.665559,-1.263646,9.094774,-0.097830,-0.105176,0.073030,0.033188,0.036490,0.000966,-0.036639,-0.012652,0.090952,1.000000,0.000166,0.000182,0.000005,0.650986,0.105322,0.175098,-0.731071,-7.391433,22.455640,-98.102019
00597,-3.724748,-1.222913,9.075619,-0.054653,-0.050895,0.073189,0.039419,0.051237,0.000904,-0.037224,-0.012247,0.090763,1.000000,0.000197,0.000256,0.000005,0.650929,0.105620,0.175128,-0.731072,-7.372151,22.483820,-98.105092
00598,-3.771482,-1.217892,9.074299,-0.047376,-0.012245,0.089224,0.038354,0.046718,0.003458,-0.037693,-0.012197,0.090749,1.000000,0.000192,0.000234,0.000017,0.650915,0.105891,0.175150,-0.731040,-7.352948,22.509513,-98.101653
00599,-3.773466,-1.161094,9.046063,0.003510,-0.007837,0.057386,0.036898,0.035143,0.003370,-0.037719,-0.011628,0.090465,1.000000,0.000184,0.000176,0.000017,0.650933,0.106106,0.175143,-0.730994,-7.334622,22.528242,-98.094177
00600,-3.788636,-1.106426,9.057932,0.057475,-0.006079,0.067633,0.028531,0.026181,0.000090,-0.037874,-0.011077,0.090583,1.000000,0.000143,0.000131,0.000000,0.650930,0.106267,0.175137,-0.730975,-7.321210,22.542016,-98.091167
00601,-3.766227,-1.210513,9.091738,-0.047973,-0.032301,0.102260,0.021032,0.022687,0.002929,-0.037652,-0.012115,0.090920,1.000000,0.000105,0.000113,0.000015,0.650974,0.106382,0.175150,-0.730916,-7.311816,22.553670,-98.081562
00602,-3.575471,-1.300805,9.096300,-0.164658,-0.203543,0.043793,0.045952,0.056345,-0.006964,-0.035730,-0.013028,0.090970,1.000000,0.000230,0.000282,-0.000035,0.650910,0.106704,0.175181,-0.730919,-7.290997,22.584072,-98.085264
00603,-3.733372,-1.169159,9.090280,-0.020014,-0.075380,0.083377,0.076667,0.099083,-0.005749,-0.037289,-0.011725,0.090917,1.000000,0.000383,0.000495,-0.000029,0.650799,0.107279,0.175238,-0.730919,-7.253760,22.638466,-98.091062
00604,-3.883936,-1.207230,9.035035,-0.048887,0.079807,0.095161,0.068540,0.081910,-0.003046,-0.038803,-0.012103,0.090362,1.000000,0.000343,0.000410,-0.000015,0.650715,0.107772,0.175268,-0.730915,-7.219832,22.683685,-98.094315
00605,-3.845296,-1.117781,9.067401,0.030401,0.017650,0.099540,0.069852,0.058923,-0.001135,-0.038426,-0.011209,0.090681,1.000000,0.000349,0.000295,-0.000006,0.650645,0.108188,0.175215,-0.730929,-7.183977,22.715811,-98.096366
00606,-3.836886,-1.148413,9.084440,-0.005147,0.002120,0.115433,0.045405,0.038487,0.003774,-0.038351,-0.011505,0.090849,1.000000,0.000227,0.000192,0.000019,0.650635,0.108452,0.175184,-0.730905,-7.160363,22.736836,-98.091995
