PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
12128,-9.602280,0.741797,-1.041117,0.075337,0.105967,-0.126560,-0.001908,0.008787,-0.008182,-0.096023,0.007422,-0.010407,1.000000,-0.000010,0.000044,-0.000041,0.068108,-0.729079,0.141602,0.666149,139.119731,82.153974,-57.975931
12129,-9.582875,0.732554,-1.029735,0.068523,0.115822,-0.147783,0.013700,0.005303,-0.003677,-0.095829,0.007328,-0.010294,1.000000,0.000068,0.000027,-0.000018,0.068145,-0.729070,0.141653,0.666144,139.116505,82.153263,-57.986423
12130,-9.592556,0.828767,-0.995158,0.006276,0.035604,-0.133172,0.030300,0.004541,-0.006521,-0.095926,0.008292,-0.009948,1.000000,0.000151,0.000023,-0.000033,0.068243,-0.729054,0.141757,0.666129,139.122091,82.153032,-57.997453
12131,-9.609916,0.852699,-0.950502,-0.044861,0.027549,-0.118449,0.012661,0.007666,-0.007473,-0.096099,0.008531,-0.009501,1.000000,0.000063,0.000038,-0.000037,0.068287,-0.729056,0.141791,0.666115,139.136619,82.152718,-57.989422
12132,-9.627982,0.841890,-0.978807,-0.016071,0.032089,-0.098595,0.002567,0.006473,-0.002518,-0.096280,0.008420,-0.009785,1.000000,0.000013,0.000032,-0.000013,0.068270,-0.729053,0.141818,0.666114,139.118989,82.150149,-58.007849
12133,-9.607282,0.814090,-0.982837,-0.002473,0.055260,-0.121170,0.004324,0.007273,-0.003817,-0.096073,0.008143,-0.009825,1.000000,0.000022,0.000036,-0.000019,0.068272,-0.729055,0.141838,0.666108,139.116116,82.148633,-58.012560
12134,-9.622060,0.800741,-0.968908,-0.012708,0.074069,-0.109164,0.005911,0.004019,-0.004527,-0.096221,0.008010,-0.009687,1.000000,0.000030,0.000020,-0.000023,0.068276,-0.729044,0.141868,0.666114,139.100052,82.147880,-58.031340
12135,-9.631188,0.843141,-1.022839,0.025265,0.019324,-0.090760,0.007836,0.008872,-0.006415,-0.096312,0.008435,-0.010224,1.000000,0.000039,0.000044,-0.000032,0.068298,-0.729051,0.141891,0.666098,139.111665,82.146644,-58.023458
12136,-9.595675,0.828135,-1.041499,0.049966,0.024552,-0.125355,0.001453,0.007290,-0.001847,-0.095957,0.008282,-0.010411,1.000000,0.000007,0.000036,-0.000009,0.068274,-0.729050,0.141917,0.666096,139.093537,82.143468,-58.041744
12137,-9.613012,0.852694,-0.996768,-0.001161,0.016506,-0.110607,0.006278,0.006081,-0.002902,-0.096130,0.008529,-0.009964,1.000000,0.000031,0.000030,-0.000015,0.068280,-0.729047,0.141946,0.666093,139.085614,82.142116,-58.052681
12138,-9.615593,0.889788,-0.966504,-0.041180,-0.009483,-0.107859,0.016847,0.004836,-0.007893,-0.096156,0.008902,-0.009662,1.000000,0.000084,0.000024,-0.000039,0.068334,-0.729037,0.142000,0.666087,139.088613,82.142270,-58.058543
12139,-9.616922,0.907625,-0.951690,-0.060847,-0.022372,-0.106479,0.019718,0.004816,-0.009860,-0.096169,0.009082,-0.009514,1.000000,0.000099,0.000024,-0.000049,0.068414,-0.729029,0.142049,0.666077,139.106714,82.144071,-58.050981
12140,-9.624818,0.930581,-1.020972,-0.002387,-0.063571,-0.089445,0.003666,0.004687,-0.011531,-0.096248,0.009312,-0.010207,1.000000,0.000018,0.000023,-0.000058,0.068432,-0.729026,0.142046,0.666079,139.113180,82.145655,-58.045720
12141,-9.621589,0.927146,-0.979245,-0.040668,-0.048874,-0.097264,-0.031858,0.005339,-0.008401,-0.096216,0.009274,-0.009791,1.000000,-0.000159,0.000027,-0.000042,0.068319,-0.729036,0.141929,0.666104,139.098483,82.146673,-58.041434
12142,-9.614403,0.867692,-0.983776,-0.017644,0.005993,-0.109229,-0.055239,0.008490,-0.005420,-0.096144,0.008677,-0.009836,1.000000,-0.000276,0.000042,-0.000027,0.068099,-0.729062,0.141753,0.666136,139.062359,82.144318,-58.045097
12143,-9.620723,0.776152,-0.989369,0.014695,0.092130,-0.110581,-0.031504,0.006430,-0.015111,-0.096207,0.007767,-0.009892,1.000000,-0.000158,0.000032,-0.000076,0.068008,-0.729080,0.141612,0.666155,139.071807,82.147374,-58.016640
12144,-9.585279,0.760737,-1.007525,0.039372,0.097342,-0.145196,-0.013575,0.003829,-0.008061,-0.095853,0.007611,-0.010074,1.000000,-0.000068,0.000019,-0.000040,0.067952,-0.729078,0.141564,0.666174,139.055156,82.148027,-58.024742
12145,-9.618123,0.737011,-1.021179,0.057084,0.119849,-0.113375,-0.016753,0.010331,-0.006635,-0.096182,0.007372,-0.010207,1.000000,-0.000084,0.000052,-0.000033,0.067884,-0.729099,0.141505,0.666171,139.057081,82.146213,-58.012412
12146,-9.586550,0.778516,-0.993289,0.020513,0.085104,-0.143820,0.001360,0.004783,-0.005721,-0.095866,0.007788,-0.009931,1.000000,0.000007,0.000024,-0.000029,0.067874,-0.729093,0.141516,0.666176,139.044247,82.145575,-58.025299
12147,-9.608569,0.824020,-0.974981,-0.011980,0.049492,-0.119823,0.017961,0.004033,-0.008559,-0.096086,0.008245,-0.009747,1.000000,0.000090,0.000020,-0.000043,0.067944,-0.729082,0.141563,0.666171,139.054956,82.147208,-58.024179
12148,-9.614471,0.863533,-0.986768,-0.012962,0.009245,-0.109224,0.000047,0.007589,-0.007262,-0.096145,0.008639,-0.009864,1.000000,0.000000,0.000038,-0.000036,0.067932,-0.729087,0.141565,0.666166,139.053843,82.145934,-58.024475
12149,-9.626648,0.812558,-1.003315,0.017585,0.054487,-0.100017,-0.020768,-0.003434,-0.002283,-0.096266,0.008126,-0.010036,1.000000,-0.000104,-0.000017,-0.000011,0.067845,-0.729060,0.141503,0.666218,139.002281,82.148436,-58.063814
12150,-9.638220,0.796878,-0.946560,-0.031671,0.087569,-0.095815,-0.017363,0.002665,-0.003209,-0.096382,0.007970,-0.009465,1.000000,-0.000087,0.000013,-0.000016,0.067760,-0.729051,0.141460,0.666245,138.965075,82.147767,-58.090476
12151,-9.640166,0.780640,-1.004017,0.028532,0.087064,-0.089424,-0.002122,-0.002864,-0.000328,-0.096402,0.007806,-0.010042,1.000000,-0.000011,-0.000014,-0.000002,0.067734,-0.729018,0.141468,0.666282,138.919561,82.149278,-58.134493
12152,-9.573178,0.807902,-0.993183,0.015792,0.056858,-0.154460,0.012051,0.000013,-0.004037,-0.095732,0.008082,-0.009931,1.000000,0.000060,0.000000,-0.000020,0.067761,-0.728992,0.141519,0.666297,138.894555,82.150060,-58.165851
12153,-9.573160,0.807558,-0.993630,0.016539,0.057293,-0.154463,-0.015074,0.009582,-0.003467,-0.095732,0.008076,-0.009932,1.000000,-0.000075,0.000048,-0.000017,0.067689,-0.729007,0.141477,0.666297,138.885422,82.147374,-58.165651
12154,-9.586578,0.775421,-0.995439,0.026733,0.089431,-0.143875,-0.013042,0.009938,-0.007017,-0.095866,0.007757,-0.009950,1.000000,-0.000065,0.000050,-0.000035,0.067627,-0.729024,0.141436,0.666293,138.882487,82.144993,-58.160216
12155,-9.611828,0.823891,-1.019298,0.033297,0.039575,-0.112052,0.018723,0.002120,-0.002509,-0.096118,0.008241,-0.010191,1.000000,0.000094,0.000011,-0.000013,0.067680,-0.729002,0.141508,0.666297,138.869334,82.145164,-58.183621
12156,-9.617064,0.899140,-0.958279,-0.047545,-0.013044,-0.106388,-0.002006,0.014235,0.001840,-0.096171,0.008990,-0.009576,1.000000,-0.000010,0.000071,0.000009,0.067626,-0.729023,0.141538,0.666272,138.856771,82.137592,-58.194290
12157,-9.600793,0.893356,-0.989500,-0.015358,-0.017464,-0.119810,-0.029751,0.015177,-0.002512,-0.096009,0.008933,-0.009889,1.000000,-0.000149,0.000076,-0.000013,0.067493,-0.729061,0.141452,0.666262,138.851460,82.132124,-58.181740
12158,-9.576703,0.863363,-0.952197,-0.040785,0.020155,-0.150222,-0.038121,0.020812,-0.001651,-0.095768,0.008633,-0.009514,1.000000,-0.000191,0.000104,-0.000008,0.067315,-0.729119,0.141351,0.666239,138.847061,82.123029,-58.163276
12159,-9.575200,0.844593,-0.969283,-0.019624,0.033912,-0.151644,-0.017610,0.017692,-0.002659,-0.095753,0.008446,-0.009685,1.000000,-0.000088,0.000088,-0.000013,0.067225,-0.729162,0.141307,0.666211,138.855928,82.116525,-58.143436
12160,-9.609218,0.840056,-0.968638,-0.022226,0.043344,-0.118428,-0.004355,0.019399,-0.003482,-0.096093,0.008402,-0.009677,1.000000,-0.000022,0.000097,-0.000017,0.067177,-0.729205,0.141311,0.666167,138.872681,82.108730,-58.123149
12161,-9.647819,0.856735,-0.994568,-0.006249,0.025000,-0.076009,-0.014183,0.016790,-0.009131,-0.096479,0.008571,-0.009938,1.000000,-0.000071,0.000084,-0.000046,0.067121,-0.729247,0.141254,0.666138,138.901099,82.105050,-58.085551
12162,-9.659878,0.805664,-1.012039,0.024370,0.070465,-0.066868,-0.011528,0.005135,-0.003264,-0.096599,0.008058,-0.010118,1.000000,-0.000058,0.000026,-0.000016,0.067056,-0.729245,0.141231,0.666152,138.874272,82.103329,-58.105112
12163,-9.568094,0.749074,-1.051462,0.085549,0.102671,-0.158815,-0.002625,0.005611,-0.003076,-0.095681,0.007492,-0.010512,1.000000,-0.000013,0.000028,-0.000015,0.067031,-0.729243,0.141230,0.666158,138.860060,82.102189,-58.117237
12164,-9.580985,0.751993,-0.980325,0.015880,0.122438,-0.153155,0.013953,0.011875,-0.000355,-0.095810,0.007521,-0.009797,1.000000,0.000070,0.000059,-0.000002,0.067044,-0.729252,0.141305,0.666130,138.857115,82.096462,-58.127427
12165,-9.620969,0.787758,-0.990159,0.011455,0.090786,-0.109304,0.024920,0.006668,-0.000925,-0.096210,0.007879,-0.009897,1.000000,0.000125,0.000033,-0.000005,0.067111,-0.729242,0.141404,0.666113,138.854902,82.094055,-58.143371
12166,-9.623145,0.860032,-0.886936,-0.108430,0.052426,-0.111310,0.019730,0.005805,-0.001497,-0.096232,0.008602,-0.008866,1.000000,0.000099,0.000029,-0.000007,0.067154,-0.729231,0.141492,0.666103,138.842353,82.091377,-58.166600
12167,-9.614188,0.913054,-0.913218,-0.098439,-0.006200,-0.112661,-0.005695,0.007613,-0.003320,-0.096142,0.009132,-0.009129,1.000000,-0.000028,0.000038,-0.000017,0.067117,-0.729236,0.141481,0.666103,138.832557,82.089467,-58.172490
12168,-9.581812,0.901053,-0.973613,-0.034781,-0.015286,-0.139554,0.007590,0.003281,-0.001348,-0.095818,0.009012,-0.009734,1.000000,0.000038,0.000016,-0.000007,0.067116,-0.729220,0.141528,0.666111,138.805757,82.087819,-58.203083
12169,-9.579047,0.863057,-1.005340,0.006795,0.011790,-0.142447,-0.003770,0.012466,-0.005198,-0.095791,0.008633,-0.010048,1.000000,-0.000019,0.000062,-0.000026,0.067089,-0.729242,0.141518,0.666092,138.815971,82.084520,-58.189883
12170,-9.598306,0.871443,-1.018587,0.015230,0.003056,-0.121239,-0.026680,0.013155,-0.002273,-0.095984,0.008714,-0.010181,1.000000,-0.000133,0.000066,-0.000011,0.066959,-0.729271,0.141451,0.666088,138.799224,82.078964,-58.190504
12171,-9.621019,0.751242,-1.068240,0.096023,0.106453,-0.104497,-0.015742,0.013989,-0.005628,-0.096211,0.007514,-0.010676,1.000000,-0.000079,0.000070,-0.000028,0.066888,-0.729302,0.141400,0.666071,138.807991,82.075164,-58.171838
12172,-9.625474,0.772247,-1.095913,0.115473,0.079538,-0.095307,0.018695,0.008169,-0.005282,-0.096255,0.007726,-0.010954,1.000000,0.000093,0.000041,-0.000026,0.066938,-0.729301,0.141471,0.666052,138.813047,82.072893,-58.176693
12173,-9.630846,0.847014,-1.035311,0.034583,0.026723,-0.089489,0.005022,0.017434,-0.003328,-0.096309,0.008472,-0.010344,1.000000,0.000025,0.000087,-0.000017,0.066933,-0.729336,0.141500,0.666009,138.835935,82.066734,-58.155781
