// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
56806,-8.942389,3.762687,-0.816285,-0.107451,0.143093,-0.078293,0.005461,0.016007,-0.006347,-0.089423,0.037630,-0.008155,1.000000,0.000027,0.000080,-0.000032,-0.500659,0.254525,-0.693585,-0.451107,103.885156,67.538276,165.039455
56807,-8.971575,3.728944,-0.857914,-0.088052,0.088331,-0.060013,-0.018428,0.020493,-0.004804,-0.089716,0.037291,-0.008573,1.000000,-0.000092,0.000102,-0.000024,-0.500575,0.254585,-0.693583,-0.451169,103.890649,67.533454,165.057356
56808,-8.981543,3.722971,-0.891454,-0.094281,0.054916,-0.049931,-0.021124,0.017171,-0.006498,-0.089815,0.037232,-0.008911,1.000000,-0.000106,0.000086,-0.000032,-0.500499,0.254644,-0.693565,-0.451247,103.889853,67.528977,165.070183
56809,-8.944459,3.681626,-0.914205,-0.084810,0.018701,-0.097444,-0.031211,0.010214,-0.004108,-0.089444,0.036817,-0.009143,1.000000,-0.000156,0.000051,-0.000021,-0.500433,0.254711,-0.693509,-0.451369,103.873964,67.525181,165.072871
56810,-8.917331,3.634657,-0.969106,-0.082128,-0.049893,-0.134905,-0.029857,0.010546,-0.007877,-0.089172,0.036349,-0.009692,1.000000,-0.000149,0.000053,-0.000039,-0.500372,0.254782,-0.693454,-0.451482,103.859712,67.522379,165.076552
56811,-8.910183,3.674946,-0.978506,-0.121251,-0.039518,-0.125696,-0.018203,0.013477,-0.004969,-0.089102,0.036751,-0.009782,1.000000,-0.000091,0.000067,-0.000025,-0.500314,0.254827,-0.693434,-0.451552,103.855951,67.518614,165.084299
56812,-8.979932,3.703180,-0.908060,-0.084815,0.028378,-0.057212,0.000706,0.008687,-0.004205,-0.089799,0.037034,-0.009077,1.000000,0.000004,0.000043,-0.000021,-0.500290,0.254804,-0.693447,-0.451570,103.855501,67.514022,165.083968
56813,-8.966170,3.671024,-0.907466,-0.063448,0.015186,-0.081919,0.011732,-0.000390,-0.007756,-0.089660,0.036714,-0.009073,1.000000,0.000059,-0.000002,-0.000039,-0.500324,0.254752,-0.693457,-0.451548,103.851177,67.513710,165.072544
56814,-8.945269,3.679189,-0.916088,-0.081589,0.013293,-0.097408,0.019905,0.001235,-0.009190,-0.089451,0.036797,-0.009157,1.000000,0.000100,0.000006,-0.000046,-0.500361,0.254682,-0.693489,-0.451497,103.853366,67.512909,165.063163
56815,-8.999795,3.673293,-0.918076,-0.057213,0.003737,-0.049031,0.030633,0.002496,-0.001909,-0.089998,0.036735,-0.009174,1.000000,0.000153,0.000012,-0.000010,-0.500396,0.254569,-0.693555,-0.451419,103.861813,67.508949,165.053840
56816,-8.978096,3.665291,-0.870083,-0.035684,0.044976,-0.076450,0.041017,0.001773,-0.005901,-0.089780,0.036657,-0.008693,1.000000,0.000205,0.000009,-0.000030,-0.500451,0.254436,-0.693641,-0.451303,103.875735,67.506244,165.044066
56817,-8.978328,3.664243,-0.872102,-0.035134,0.043949,-0.076443,0.054102,0.004370,-0.008201,-0.089782,0.036648,-0.008709,1.000000,0.000271,0.000022,-0.000041,-0.500523,0.254290,-0.693757,-0.451126,103.902232,67.505527,165.039725
56818,-8.971369,3.703595,-0.883689,-0.074084,0.054218,-0.067198,0.048421,0.005406,-0.009992,-0.089712,0.037043,-0.008825,1.000000,0.000242,0.000027,-0.000050,-0.500584,0.254161,-0.693863,-0.450968,103.926632,67.504598,165.036702
56819,-8.973716,3.720936,-0.870212,-0.080466,0.075417,-0.059839,0.047219,0.003741,-0.009102,-0.089736,0.037215,-0.008692,1.000000,0.000236,0.000019,-0.000046,-0.500652,0.254034,-0.693961,-0.450814,103.948640,67.504470,165.031770
56820,-8.907848,3.711853,-0.854076,-0.089723,0.092929,-0.125564,0.043893,-0.003921,-0.012167,-0.089076,0.037126,-0.008534,1.000000,0.000219,-0.000020,-0.000061,-0.500744,0.253903,-0.694030,-0.450679,103.958644,67.506035,165.015974
56821,-8.877214,3.725212,-0.830857,-0.101092,0.123456,-0.151062,0.035570,0.000802,-0.012011,-0.088770,0.037259,-0.008302,1.000000,0.000178,0.000004,-0.000060,-0.500814,0.253809,-0.694090,-0.450561,103.971001,67.507933,165.007821
56822,-8.870404,3.764484,-0.841657,-0.140042,0.133733,-0.141788,0.023119,0.007552,-0.012494,-0.088702,0.037651,-0.008409,1.000000,0.000116,0.000038,-0.000062,-0.500841,0.253756,-0.694141,-0.450482,103.984610,67.508090,165.008810
56823,-8.917210,3.782646,-0.795501,-0.115630,0.178661,-0.096074,-0.001640,0.009695,-0.008022,-0.089171,0.037830,-0.007951,1.000000,-0.000008,0.000048,-0.000040,-0.500823,0.253761,-0.694145,-0.450493,103.986255,67.506539,165.012139
56824,-8.946480,3.748572,-0.836162,-0.096074,0.123756,-0.077909,-0.017145,0.008779,-0.008083,-0.089464,0.037489,-0.008361,1.000000,-0.000086,0.000044,-0.000040,-0.500785,0.253797,-0.694114,-0.450563,103.976955,67.504068,165.013302
56825,-8.909510,3.706808,-0.858639,-0.086670,0.087624,-0.125486,-0.019133,0.009124,-0.009840,-0.089094,0.037072,-0.008586,1.000000,-0.000096,0.000046,-0.000049,-0.500751,0.253851,-0.694075,-0.450631,103.968419,67.503607,165.016459
56826,-8.943603,3.725996,-0.925306,-0.120640,0.034027,-0.080701,-0.018205,0.010789,-0.014216,-0.089434,0.037265,-0.009252,1.000000,-0.000091,0.000054,-0.000071,-0.500718,0.253915,-0.694039,-0.450687,103.963250,67.504264,165.022753
56827,-8.984292,3.688298,-0.925334,-0.075443,0.012262,-0.057102,-0.014725,0.012105,-0.009875,-0.089842,0.036887,-0.009251,1.000000,-0.000074,0.000061,-0.000049,-0.500680,0.253965,-0.694017,-0.450735,103.961254,67.503411,165.030255
56828,-9.005765,3.678462,-0.917728,-0.055865,0.011869,-0.041616,-0.011732,0.007747,-0.009777,-0.090056,0.036788,-0.009176,1.000000,-0.000059,0.000039,-0.000049,-0.500656,0.253990,-0.693993,-0.450784,103.954228,67.502016,165.030525
56829,-8.984903,3.686679,-0.925855,-0.074182,0.010103,-0.057090,-0.014854,0.005760,-0.012076,-0.089847,0.036872,-0.009259,1.000000,-0.000074,0.000029,-0.000060,-0.500644,0.254034,-0.693952,-0.450835,103.944373,67.503264,165.029601
56830,-8.926860,3.653673,-0.956172,-0.083502,-0.026842,-0.120179,-0.014779,0.005092,-0.013513,-0.089266,0.036542,-0.009562,1.000000,-0.000074,0.000025,-0.000068,-0.500634,0.254074,-0.693910,-0.450888,103.933283,67.504311,165.027363
56831,-8.911161,3.602557,-0.970740,-0.055260,-0.062209,-0.152324,-0.000634,0.005686,-0.009678,-0.089110,0.036030,-0.009705,1.000000,-0.000003,0.000028,-0.000048,-0.500635,0.254073,-0.693905,-0.450896,103.930675,67.504235,165.025465
56832,-8.901625,3.607246,-0.938987,-0.047609,-0.031017,-0.162318,0.024403,0.003555,-0.010659,-0.089014,0.036078,-0.009384,1.000000,0.000122,0.000018,-0.000053,-0.500674,0.254002,-0.693951,-0.450823,103.939026,67.503905,165.019971
56833,-8.938581,3.630974,-0.860740,-0.016213,0.046166,-0.126580,0.041320,0.006807,-0.006569,-0.089385,0.036314,-0.008597,1.000000,0.000207,0.000034,-0.000033,-0.500717,0.253888,-0.694046,-0.450691,103.960926,67.501946,165.018581
56834,-8.921749,3.676374,-0.839272,-0.048203,0.088751,-0.127260,0.041548,-0.000208,-0.006726,-0.089216,0.036768,-0.008385,1.000000,0.000208,-0.000001,-0.000034,-0.500782,0.253752,-0.694126,-0.450573,103.972739,67.499950,165.006202
