PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
63855,-4.435028,0.797473,8.799538,-0.016488,0.050313,0.073389,0.003159,0.006024,-0.008321,-0.044347,0.007975,0.087997,1.000000,0.000016,0.000030,-0.000042,-0.187529,0.219627,-0.087584,-0.953376,5.442808,26.847907,159.043937
63856,-4.440996,0.796232,8.775508,-0.002099,0.043261,0.054637,0.001868,0.004549,-0.008019,-0.044408,0.007963,0.087756,1.000000,0.000009,0.000023,-0.000040,-0.187532,0.219638,-0.087563,-0.953375,5.439894,26.848767,159.042953
63857,-4.415192,0.824252,8.793022,-0.041646,0.030110,0.060909,0.008016,0.004972,-0.008639,-0.044149,0.008241,0.087932,1.000000,0.000040,0.000025,-0.000043,-0.187540,0.219645,-0.087569,-0.953371,5.440315,26.849662,159.042134
63858,-4.434068,0.822937,8.821966,-0.036946,0.032588,0.095029,0.004299,0.008826,-0.007315,-0.044336,0.008229,0.088222,1.000000,0.000021,0.000044,-0.000037,-0.187540,0.219674,-0.087564,-0.953365,5.439115,26.852924,159.041860
63859,-4.469238,0.769033,8.756682,0.038556,0.054802,0.048372,0.015304,0.008198,-0.008251,-0.044688,0.007685,0.087569,1.000000,0.000077,0.000041,-0.000041,-0.187562,0.219687,-0.087612,-0.953353,5.443952,26.855583,159.040248
63860,-4.491037,0.842362,8.807857,0.007843,-0.005617,0.109875,0.014353,0.005307,-0.006348,-0.044908,0.008419,0.088080,1.000000,0.000072,0.000027,-0.000032,-0.187570,0.219689,-0.087653,-0.953347,5.448696,26.856785,159.040378
63861,-4.423280,0.825808,8.767659,-0.026422,0.021852,0.042161,0.014355,0.005309,-0.006347,-0.044230,0.008253,0.087678,1.000000,0.000072,0.000027,-0.000032,-0.187579,0.219689,-0.087693,-0.953342,5.453440,26.857732,159.040475
63862,-4.468574,0.847031,8.801542,-0.010208,-0.002638,0.094514,0.016939,0.008263,-0.006949,-0.044682,0.008464,0.088018,1.000000,0.000085,0.000041,-0.000035,-0.187591,0.219704,-0.087749,-0.953331,5.459573,26.860653,159.040401
63863,-4.448447,0.874691,8.795080,-0.035593,-0.022463,0.082029,0.009313,0.006452,-0.008936,-0.044481,0.008745,0.087953,1.000000,0.000047,0.000032,-0.000045,-0.187603,0.219715,-0.087763,-0.953325,5.460668,26.862359,159.039215
63864,-4.443434,0.826897,8.795731,-0.021176,0.023516,0.076283,0.014358,0.005312,-0.006344,-0.044432,0.008264,0.087959,1.000000,0.000072,0.000027,-0.000032,-0.187611,0.219717,-0.087804,-0.953319,5.465416,26.863564,159.039349
63865,-4.444131,0.877501,8.818130,-0.049191,-0.016634,0.100789,0.014360,0.005313,-0.006343,-0.044439,0.008770,0.088183,1.000000,0.000072,0.000027,-0.000032,-0.187613,0.219718,-0.087842,-0.953315,5.470119,26.864520,159.040249
63866,-4.441824,0.853751,8.818345,-0.041860,0.006157,0.097918,0.003504,0.004611,-0.006717,-0.044416,0.008537,0.088185,1.000000,0.000018,0.000023,-0.000034,-0.187611,0.219728,-0.087830,-0.953314,5.468520,26.865346,159.040101
63867,-4.444913,0.828612,8.794822,-0.020344,0.022292,0.076288,0.008210,0.004887,-0.005726,-0.044447,0.008284,0.087950,1.000000,0.000041,0.000024,-0.000029,-0.187610,0.219731,-0.087842,-0.953312,5.469894,26.865983,159.040513
63868,-4.464335,0.849850,8.722752,0.015257,-0.021199,0.022873,0.007072,0.002086,-0.006730,-0.044642,0.008497,0.087228,1.000000,0.000035,0.000010,-0.000034,-0.187613,0.219725,-0.087845,-0.953313,5.470267,26.865369,159.040202
63869,-4.460967,0.803495,8.824250,-0.008264,0.047533,0.107540,0.003844,0.003197,-0.005116,-0.044608,0.008034,0.088243,1.000000,0.000019,0.000016,-0.000026,-0.187607,0.219724,-0.087835,-0.953315,5.469258,26.864985,159.040775
63870,-4.471976,0.801493,8.776583,0.020268,0.033875,0.070015,0.009010,-0.000502,-0.008041,-0.044720,0.008013,0.087766,1.000000,0.000045,-0.000003,-0.000040,-0.187620,0.219705,-0.087843,-0.953317,5.470290,26.862967,159.039467
63871,-4.474988,0.826393,8.775896,0.013488,0.010279,0.072883,0.013072,0.003841,-0.006038,-0.044748,0.008260,0.087760,1.000000,0.000065,0.000019,-0.000030,-0.187625,0.219699,-0.087876,-0.953314,5.474354,26.863075,159.039719
63872,-4.425629,0.907488,8.810607,-0.072954,-0.038892,0.088307,0.011781,0.002365,-0.005736,-0.044255,0.009071,0.088107,1.000000,0.000059,0.000012,-0.000029,-0.187629,0.219690,-0.087903,-0.953313,5.477719,26.862566,159.040061
63873,-4.454902,0.903990,8.792204,-0.039903,-0.049714,0.084895,-0.000523,0.001505,-0.004507,-0.044548,0.009041,0.087922,1.000000,-0.000003,0.000008,-0.000023,-0.187613,0.219684,-0.087871,-0.953320,5.474312,26.861176,159.041179
63874,-4.463061,0.877010,8.745150,-0.004301,-0.040164,0.044496,-0.002184,0.000207,-0.010018,-0.044630,0.008773,0.087451,1.000000,-0.000011,0.000001,-0.000050,-0.187623,0.219680,-0.087824,-0.953323,5.468379,26.859670,159.038651
63875,-4.431355,0.855720,8.763942,-0.029688,-0.006986,0.045046,-0.005598,0.001408,-0.011312,-0.044312,0.008562,0.087639,1.000000,-0.000028,0.000007,-0.000057,-0.187639,0.219681,-0.087761,-0.953326,5.460162,26.858628,159.034790
63876,-4.455189,0.851943,8.769465,-0.010830,-0.011146,0.060397,-0.010119,0.001040,-0.009397,-0.044551,0.008526,0.087694,1.000000,-0.000051,0.000005,-0.000047,-0.187636,0.219688,-0.087678,-0.953332,5.449886,26.857563,159.032711
63877,-4.468140,0.800809,8.799723,0.008038,0.037687,0.088788,-0.006243,0.005474,-0.010300,-0.044679,0.008013,0.087998,1.000000,-0.000031,0.000027,-0.000051,-0.187636,0.219710,-0.087615,-0.953333,5.441666,26.858830,159.030879
63878,-4.444825,0.802390,8.794147,-0.010322,0.041061,0.073440,-0.006887,-0.000068,-0.011009,-0.044448,0.008029,0.087941,1.000000,-0.000034,-0.000000,-0.000055,-0.187645,0.219709,-0.087545,-0.953338,5.432745,26.857220,159.027702
63879,-4.453287,0.824726,8.769804,-0.002939,0.010829,0.057535,0.000402,0.003167,-0.010618,-0.044531,0.008249,0.087699,1.000000,0.000002,0.000016,-0.000053,-0.187657,0.219714,-0.087511,-0.953338,5.428143,26.857126,159.025289
63880,-4.445462,0.850997,8.816778,-0.038024,0.000465,0.097936,0.002863,-0.000927,-0.007424,-0.044455,0.008510,0.088168,1.000000,0.000014,-0.000005,-0.000037,-0.187660,0.219698,-0.087490,-0.953343,5.425821,26.854831,159.024352
63881,-4.466368,0.823676,8.822799,-0.012070,0.019488,0.110424,-0.003964,0.001473,-0.010010,-0.044663,0.008241,0.088228,1.000000,-0.000020,0.000007,-0.000050,-0.187668,0.219698,-0.087436,-0.953346,5.418902,26.853772,159.021735
63882,-4.448381,0.873994,8.816335,-0.044525,-0.023543,0.100797,-0.003161,-0.003916,-0.012325,-0.044485,0.008744,0.088162,1.000000,-0.000016,-0.000020,-0.000062,-0.187690,0.219676,-0.087378,-0.953352,5.411631,26.850037,159.017484
63883,-4.432664,0.849052,8.763928,-0.027522,-0.010210,0.045049,-0.008514,-0.000129,-0.012306,-0.044326,0.008497,0.087639,1.000000,-0.000043,-0.000001,-0.000062,-0.187696,0.219675,-0.087297,-0.953358,5.401382,26.848251,159.014323
63884,-4.442850,0.823119,8.817530,-0.029901,0.022049,0.095082,-0.009006,0.002612,-0.012599,-0.044427,0.008238,0.088176,1.000000,-0.000045,0.000013,-0.000063,-0.187710,0.219689,-0.087217,-0.953360,5.390862,26.848253,159.010293
63885,-4.477592,0.816810,8.775465,0.017292,0.004675,0.072882,-0.008849,0.001289,-0.013904,-0.044775,0.008175,0.087755,1.000000,-0.000044,0.000006,-0.000070,-0.187734,0.219695,-0.087136,-0.953361,5.380038,26.847297,159.004842
63886,-4.443415,0.820798,8.817462,-0.029358,0.021245,0.095085,-0.001041,0.003017,-0.009009,-0.044432,0.008210,0.088175,1.000000,-0.000005,0.000015,-0.000045,-0.187739,0.219702,-0.087098,-0.953362,5.375130,26.847336,159.003131
63887,-4.443524,0.819860,8.817494,-0.029068,0.020841,0.095087,-0.008198,-0.002774,-0.014914,-0.044436,0.008206,0.088174,1.000000,-0.000041,-0.000014,-0.000075,-0.187770,0.219688,-0.087016,-0.953366,5.364294,26.844145,158.996841
63888,-4.448864,0.817460,8.793868,-0.014676,0.013849,0.076313,-0.006724,-0.001387,-0.012309,-0.044489,0.008180,0.087938,1.000000,-0.000034,-0.000007,-0.000062,-0.187787,0.219681,-0.086943,-0.953371,5.355058,26.841848,158.992756
63889,-4.467065,0.814790,8.823271,-0.009907,0.016270,0.110432,-0.006723,-0.001386,-0.012308,-0.044671,0.008154,0.088232,1.000000,-0.000034,-0.000007,-0.000062,-0.187802,0.219672,-0.086870,-0.953377,5.345772,26.839246,158.988812
