PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
11192,-9.919313,-2.004745,-1.502322,-0.823761,0.301885,0.380400,-0.127838,0.003550,-0.030058,-0.099196,-0.020042,-0.015009,1.000000,-0.000639,0.000018,-0.000150,0.389027,0.552896,0.511155,-0.530740,-139.999165,79.929733,119.434037
11193,-9.886917,-2.163958,-1.282266,-1.023553,0.120758,0.336983,-0.018162,-0.026779,-0.019652,-0.098870,-0.021631,-0.012834,1.000000,-0.000091,-0.000134,-0.000098,0.389141,0.552748,0.511167,-0.530799,-139.919679,79.940811,119.525993
11194,-9.562960,-1.890553,-1.037105,-0.829115,-0.112289,-0.045398,0.061828,-0.036334,-0.007458,-0.095628,-0.018899,-0.010394,1.000000,0.000309,-0.000182,-0.000037,0.389091,0.552760,0.510914,-0.531067,-139.802912,79.960778,119.609287
11195,-9.419295,-1.636901,-1.022178,-0.594945,-0.144060,-0.217236,0.109542,-0.036809,-0.001613,-0.094191,-0.016363,-0.010248,1.000000,0.000548,-0.000184,-0.000008,0.388925,0.552880,0.510517,-0.531445,-139.673103,79.982887,119.677945
11196,-9.217855,-1.161083,-0.821836,-0.183753,-0.386426,-0.495537,0.148338,-0.042203,-0.001722,-0.092177,-0.011604,-0.008246,1.000000,0.000742,-0.000211,-0.000009,0.388666,0.553058,0.510006,-0.531939,-139.507693,80.007476,119.760290
11197,-9.209207,-0.933482,-1.068749,0.086192,-0.180061,-0.496934,0.083610,-0.036263,0.007684,-0.092090,-0.009334,-0.010708,1.000000,0.000418,-0.000181,0.000038,0.388595,0.553152,0.509655,-0.532230,-139.416212,80.032676,119.805327
11198,-9.352495,-1.084612,-1.372939,0.008673,0.125925,-0.298772,-0.020959,-0.040965,0.011510,-0.093522,-0.010853,-0.013747,1.000000,-0.000105,-0.000205,0.000058,0.388836,0.553039,0.509560,-0.532262,-139.382336,80.061612,119.852597
11199,-9.450615,-1.370662,-1.700736,-0.202486,0.485871,-0.127221,-0.092120,-0.050189,0.028145,-0.094500,-0.013728,-0.017025,1.000000,-0.000461,-0.000251,0.000141,0.389341,0.552807,0.509592,-0.532104,-139.412784,80.100609,119.875966
11200,-9.386144,-1.688208,-1.812841,-0.502842,0.666471,-0.141126,-0.106626,-0.059506,0.053807,-0.093851,-0.016917,-0.018147,1.000000,-0.000533,-0.000298,0.000269,0.389978,0.552585,0.509572,-0.531887,-139.493897,80.153380,119.856328
11201,-9.377738,-1.849570,-1.719334,-0.686167,0.611781,-0.144498,-0.026853,-0.058912,0.067591,-0.093766,-0.018530,-0.017218,1.000000,-0.000134,-0.000295,0.000338,0.390429,0.552556,0.509304,-0.531842,-139.567314,80.210739,119.798173
11202,-9.526169,-1.562531,-1.512125,-0.437515,0.345410,-0.057423,0.096874,-0.055116,0.058318,-0.095253,-0.015646,-0.015155,1.000000,0.000484,-0.000276,0.000292,0.390505,0.552754,0.508738,-0.532122,-139.553538,80.263265,119.756515
11203,-9.543797,-1.092255,-1.222353,-0.033811,-0.013242,-0.129201,0.174977,-0.077936,0.041217,-0.095431,-0.010931,-0.012270,1.000000,0.000875,-0.000390,0.000206,0.390376,0.553001,0.507970,-0.532694,-139.403131,80.319030,119.808227
11204,-9.439252,-0.710356,-0.949734,0.278035,-0.321097,-0.308706,0.163849,-0.092042,0.022633,-0.094387,-0.007106,-0.009547,1.000000,0.000819,-0.000460,0.000113,0.390265,0.553139,0.507252,-0.533315,-139.177760,80.374291,119.942292
11205,-9.079979,-0.631400,-1.008304,0.336760,-0.215676,-0.663839,0.062707,-0.104854,0.017953,-0.090794,-0.006319,-0.010133,1.000000,0.000314,-0.000524,0.000090,0.390452,0.553036,0.506793,-0.533722,-138.969346,80.432958,120.117979
11206,-8.734679,-0.894676,-1.217758,0.089906,0.095610,-0.949236,-0.042161,-0.096134,0.036451,-0.087339,-0.008965,-0.012218,1.000000,-0.000211,-0.000481,0.000182,0.390958,0.552796,0.506578,-0.533805,-138.884629,80.495044,120.229061
11207,-8.540162,-1.062494,-1.038810,-0.129482,-0.011308,-1.145191,-0.075586,-0.089519,0.065912,-0.085393,-0.010657,-0.010422,1.000000,-0.000378,-0.000448,0.000330,0.391616,0.552584,0.506384,-0.533725,-138.910455,80.565113,120.247392
11208,-8.596904,-1.126889,-1.022056,-0.198285,-0.016281,-1.084478,-0.127172,-0.066491,0.087181,-0.085961,-0.011313,-0.010242,1.000000,-0.000636,-0.000332,0.000436,0.392416,0.552385,0.506314,-0.533411,-139.073057,80.633475,120.157116
11209,-8.930453,-1.006557,-1.241740,-0.019316,0.135326,-0.741339,-0.138238,-0.056328,0.064867,-0.089298,-0.010103,-0.012436,1.000000,-0.000691,-0.000282,0.000324,0.393160,0.552136,0.506354,-0.533083,-139.209233,80.688812,120.099952
11210,-9.211874,-0.412138,-1.398840,0.608312,0.150511,-0.507176,-0.128088,-0.082619,0.048707,-0.092112,-0.004153,-0.014024,1.000000,-0.000640,-0.000413,0.000244,0.393901,0.551793,0.506359,-0.532885,-139.236132,80.749715,120.147741
11211,-9.308569,-0.097615,-1.694339,0.974268,0.378905,-0.408593,-0.173694,-0.091632,0.033200,-0.093078,-0.001006,-0.016985,1.000000,-0.000868,-0.000458,0.000166,0.394747,0.551299,0.506512,-0.532626,-139.227953,80.808444,120.257524
11212,-9.415495,-0.170237,-2.024717,0.968525,0.708771,-0.255512,-0.195024,-0.084678,0.016666,-0.094146,-0.001730,-0.020285,0.999999,-0.000975,-0.000423,0.000083,0.395591,0.550737,0.506779,-0.532327,-139.201639,80.858247,120.398047
11213,-9.506600,-0.456278,-2.151611,0.714356,0.878653,-0.120901,-0.178345,-0.081540,0.013121,-0.095057,-0.004588,-0.021551,1.000000,-0.000892,-0.000408,0.000066,0.396370,0.550209,0.507018,-0.532066,-139.163908,80.905072,120.540380
11214,-9.428066,-0.972246,-2.002117,0.170600,0.840470,-0.163508,-0.143537,-0.083366,0.016949,-0.094271,-0.009745,-0.020053,1.000000,-0.000718,-0.000417,0.000085,0.397069,0.549752,0.507149,-0.531892,-139.110020,80.954382,120.678914
11215,-9.549499,-1.559951,-1.685630,-0.456063,0.622660,-0.021261,-0.047322,-0.068686,0.006480,-0.095489,-0.015607,-0.016885,1.000000,-0.000237,-0.000343,0.000032,0.397437,0.549501,0.507082,-0.531940,-139.008336,80.993175,120.809987
11216,-10.106108,-1.465936,-1.185579,-0.409755,0.051245,0.459481,0.047762,-0.070033,-0.009765,-0.101058,-0.014652,-0.011895,1.000000,0.000239,-0.000350,-0.000049,0.397506,0.549391,0.506803,-0.532268,-138.801167,81.026579,120.992708
11217,-10.300169,-1.148795,-0.701468,-0.168888,-0.491840,0.562034,0.072969,-0.094958,-0.017312,-0.102999,-0.011476,-0.007068,1.000000,0.000365,-0.000475,-0.000087,0.397546,0.549248,0.506432,-0.532739,-138.499331,81.067315,121.256843
11218,-10.235488,-0.828966,-0.481669,0.101543,-0.741808,0.440303,0.044398,-0.093836,-0.005157,-0.102353,-0.008286,-0.004867,1.000000,0.000222,-0.000469,-0.000026,0.397696,0.549079,0.506102,-0.533114,-138.245274,81.112400,121.488937
11219,-10.384427,-0.502946,-0.383157,0.415981,-0.903561,0.543307,-0.038025,-0.086280,0.000199,-0.103843,-0.005030,-0.003875,1.000000,-0.000190,-0.000431,0.000001,0.398066,0.548783,0.505994,-0.533246,-138.071370,81.155870,121.687754
11220,-10.467520,-0.816721,-0.513080,0.139402,-0.724509,0.673252,-0.130803,-0.091686,-0.005755,-0.104673,-0.008168,-0.005173,1.000000,-0.000654,-0.000458,-0.000029,0.398690,0.548270,0.506137,-0.533172,-137.917134,81.199571,121.920360
11221,-10.180907,-1.214942,-0.805384,-0.220776,-0.324461,0.464549,-0.117836,-0.106553,-0.006118,-0.101805,-0.012151,-0.008101,1.000000,-0.000589,-0.000533,-0.000031,0.399313,0.547743,0.506218,-0.533170,-137.717156,81.249055,122.191789
11222,-9.719475,-1.210281,-0.995059,-0.218767,-0.069217,0.029592,-0.055755,-0.126124,-0.006576,-0.097189,-0.012102,-0.010009,1.000000,-0.000279,-0.000631,-0.000033,0.399816,0.547285,0.506094,-0.533381,-137.426111,81.306739,122.519240
11223,-9.549842,-1.181096,-1.399772,-0.130407,0.355181,-0.096172,-0.041303,-0.122357,-0.005909,-0.095490,-0.011811,-0.014054,1.000000,-0.000207,-0.000612,-0.000030,0.400269,0.546870,0.505937,-0.533616,-137.135748,81.362621,122.837530
11224,-9.769486,-1.099125,-1.507882,-0.011465,0.431293,0.124037,-0.043825,-0.118995,-0.015569,-0.097687,-0.010987,-0.015135,1.000000,-0.000219,-0.000595,-0.000078,0.400696,0.546432,0.505819,-0.533856,-136.823274,81.413287,123.179645
