PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
11192,-3.832812,0.940221,9.137301,-0.262796,-0.069211,0.136727,-0.074327,0.126094,-0.092829,-0.038266,0.009454,0.091394,1.000000,-0.000372,0.000630,-0.000464,0.928098,0.116632,0.159585,-0.315536,7.158689,21.704778,-36.180088
11193,-3.703730,0.817609,9.179985,-0.215681,-0.247152,0.114578,-0.103771,0.128171,-0.077631,-0.036975,0.008238,0.091819,1.000000,-0.000519,0.000641,-0.000388,0.927949,0.116261,0.160380,-0.315708,7.082868,21.780855,-36.214385
11194,-3.662610,0.634857,9.134276,-0.291804,-0.397372,0.036661,-0.059428,0.156749,-0.050634,-0.036553,0.006385,0.091370,1.000000,-0.000297,0.000784,-0.000253,0.927794,0.116163,0.161221,-0.315771,7.039513,21.871286,-36.229849
11195,-3.740978,0.605760,9.073457,-0.367458,-0.363057,0.006815,-0.015318,0.154019,-0.020336,-0.037339,0.006068,0.090763,1.000000,-0.000077,0.000770,-0.000102,0.927663,0.116289,0.161963,-0.315732,7.028020,21.958012,-36.227197
11196,-3.707628,0.890264,9.039585,-0.162080,-0.159827,-0.004459,0.041651,0.141997,0.002345,-0.037012,0.008883,0.090424,1.000000,0.000208,0.000710,0.000012,0.927543,0.116679,0.162546,-0.315640,7.054267,22.036329,-36.211340
11197,-3.733432,1.135671,9.040334,-0.019995,0.033920,0.033852,0.017378,0.124123,0.013304,-0.037279,0.011346,0.090427,1.000000,0.000087,0.000621,0.000067,0.927469,0.116936,0.163078,-0.315488,7.068393,22.103707,-36.190270
11198,-3.847364,1.147994,8.968305,-0.106810,0.121045,0.012002,0.010327,0.100521,0.018658,-0.038430,0.011472,0.089703,1.000000,0.000052,0.000503,0.000093,0.927426,0.117129,0.163509,-0.315319,7.079334,22.157281,-36.167497
11199,-3.968331,1.156176,9.016234,-0.175292,0.172367,0.102777,-0.002458,0.078962,0.020523,-0.039649,0.011559,0.090178,1.000000,-0.000012,0.000395,0.000103,0.927414,0.117228,0.163859,-0.315138,7.082648,22.198442,-36.144699
11200,-3.941782,1.137489,8.995361,-0.167459,0.145433,0.071585,0.016341,0.061251,0.005792,-0.039391,0.011366,0.089967,1.000000,0.000082,0.000306,0.000029,0.927379,0.117377,0.164105,-0.315056,7.092955,22.230593,-36.132798
11201,-3.882043,1.184718,9.059543,-0.075113,0.125217,0.113430,0.005686,0.045996,-0.009911,-0.038799,0.011847,0.090605,1.000000,0.000028,0.000230,-0.000050,0.927339,0.117437,0.164307,-0.315048,7.092847,22.255171,-36.131812
