PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
17543,-4.246628,1.585472,8.735695,-0.017812,-0.310323,0.024147,0.074099,0.006088,0.001665,-0.042464,0.015822,0.087364,1.000000,0.000370,0.000030,0.000008,0.019931,0.225241,-0.062363,-0.972101,8.317478,25.812505,-175.741768
17544,-4.208418,1.512631,8.706533,-0.040323,-0.239052,-0.027813,0.048555,-0.002556,-0.013645,-0.042084,0.015108,0.087068,1.000000,0.000243,-0.000013,-0.000068,0.019846,0.225219,-0.062561,-0.972095,8.339507,25.809821,-175.746875
17545,-4.187764,1.590959,8.691667,-0.051807,-0.318452,-0.039791,0.008308,0.007573,-0.032195,-0.041872,0.015913,0.086919,1.000000,0.000042,0.000038,-0.000161,0.019726,0.225248,-0.062543,-0.972092,8.334157,25.814277,-175.761953
17546,-4.297536,1.491268,8.723969,0.031144,-0.212808,0.023677,-0.056740,0.001859,-0.047430,-0.042971,0.014948,0.087236,1.000000,-0.000284,0.000009,-0.000237,0.019597,0.225248,-0.062191,-0.972117,8.286768,25.816892,-175.787931
17547,-4.360026,1.164987,8.885136,0.012835,0.124158,0.152105,-0.087586,0.008565,-0.048767,-0.043594,0.011699,0.088848,1.000000,-0.000438,0.000043,-0.000244,0.019484,0.225277,-0.061693,-0.972144,8.221979,25.823398,-175.815711
17548,-4.421004,0.930641,8.777845,0.112674,0.342177,0.053019,-0.004441,-0.007226,-0.044316,-0.044211,0.009318,0.087777,1.000000,-0.000022,-0.000036,-0.000222,0.019308,0.225236,-0.061600,-0.972163,8.205044,25.820567,-175.840559
17549,-4.261575,1.225602,8.840816,-0.055117,0.047468,0.077603,0.075721,-0.000330,-0.036743,-0.042614,0.012230,0.088413,1.000000,0.000379,-0.000002,-0.000184,0.019057,0.225233,-0.061913,-0.972149,8.236809,25.820986,-175.862833
17550,-4.310945,1.320113,8.796995,0.009286,-0.044432,0.072251,0.043940,-0.005098,-0.034203,-0.043109,0.013189,0.087972,1.000000,0.000220,-0.000025,-0.000171,0.018876,0.225205,-0.062065,-0.972149,8.250454,25.818542,-175.881119
17551,-4.277756,1.330355,8.801151,-0.022310,-0.053462,0.062835,0.055537,0.000912,-0.029600,-0.042775,0.013285,0.088015,1.000000,0.000278,0.000005,-0.000148,0.018713,0.225206,-0.062280,-0.972139,8.272557,25.819106,-175.895210
17552,-4.420733,1.243203,8.939097,0.044476,0.060503,0.236704,0.039086,-0.001485,-0.023103,-0.044207,0.012420,0.089393,1.000000,0.000195,-0.000007,-0.000116,0.018593,0.225191,-0.062422,-0.972135,8.286610,25.817806,-175.906174
