PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
24448,-9.743395,0.404768,-0.371769,-0.450838,-0.360749,-0.070906,-0.334254,0.263876,0.223014,-0.097443,0.003933,-0.003596,0.999997,-0.001671,0.001319,0.001115,0.158804,-0.711390,0.161689,0.665253,-170.472309,86.253635,-16.683248
24449,-9.886772,-0.185996,-0.831788,0.200033,0.001532,0.108734,-0.272226,0.279519,0.199137,-0.098877,-0.001970,-0.008177,0.999998,-0.001361,0.001398,0.000996,0.156913,-0.712344,0.161742,0.664668,-172.754034,86.116395,-18.813026
24450,-9.896530,-0.278564,-1.104232,0.470182,-0.004730,0.138044,-0.092813,0.244351,0.163461,-0.098976,-0.002872,-0.010920,0.999999,-0.000464,0.001222,0.000817,0.155807,-0.713066,0.162236,0.664034,-174.465766,85.992162,-20.474773
24451,-9.665053,-0.359787,-1.481329,0.845837,-0.078741,-0.065106,0.029099,0.218552,0.125846,-0.096664,-0.003657,-0.014708,0.999999,0.000145,0.001093,0.000629,0.155281,-0.713637,0.162980,0.663361,-175.692400,85.877824,-21.720524
24452,-9.759501,-0.306247,-1.289403,0.631209,-0.024182,0.016105,0.290467,0.185739,0.078052,-0.097606,-0.003082,-0.012808,0.999998,0.001452,0.000929,0.000390,0.155872,-0.713933,0.164395,0.662554,-176.320390,85.779005,-22.516311
24453,-9.648858,0.340838,-1.041964,0.118389,-0.488854,-0.114785,0.445799,0.158520,0.052329,-0.096498,0.003406,-0.010336,0.999997,0.002229,0.000793,0.000262,0.157125,-0.714036,0.166210,0.661693,-176.620283,85.694300,-23.072478
24454,-9.756983,0.806673,-0.869836,-0.264626,-0.816578,-0.021406,0.375481,0.161830,0.054099,-0.097579,0.008057,-0.008604,0.999998,0.001877,0.000809,0.000270,0.158118,-0.714200,0.167801,0.660878,-176.958993,85.607596,-23.627189
24455,-9.774373,1.105232,-0.948026,-0.344403,-1.107045,0.001306,0.225557,0.153249,0.046945,-0.097754,0.011040,-0.009393,0.999999,0.001128,0.000766,0.000235,0.158605,-0.714459,0.168864,0.660210,-177.309326,85.525280,-24.107505
24456,-9.585229,0.758483,-1.045959,-0.099934,-0.835717,-0.177465,0.023232,0.170195,0.058901,-0.095863,0.007558,-0.010377,1.000000,0.000116,0.000851,0.000295,0.158316,-0.714922,0.169315,0.659662,-177.851254,85.433328,-24.663742
24457,-9.660398,0.011888,-1.116210,0.283066,-0.185231,-0.093897,-0.040620,0.162108,0.062145,-0.096613,0.000087,-0.011084,1.000000,-0.000203,0.000811,0.000311,0.157794,-0.715407,0.169560,0.659199,-178.427641,85.345583,-25.217960
