PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
24448,-4.546393,1.743265,8.670037,-0.196915,-0.062486,0.128915,0.249231,-0.032231,0.041989,-0.045482,0.017315,0.086715,0.999999,0.001246,-0.000161,0.000210,-0.320103,-0.263107,0.007981,0.910080,11.991638,28.280352,-138.211892
24449,-4.635218,1.644559,8.696693,-0.216916,0.079161,0.175754,0.099931,-0.018738,0.044103,-0.046364,0.016392,0.086971,1.000000,0.000500,-0.000094,0.000221,-0.320210,-0.263154,0.008510,0.910024,12.059241,28.261856,-138.182575
24450,-4.527193,1.314387,8.509303,-0.393597,0.316728,-0.097952,0.108158,0.000731,0.064332,-0.045276,0.013083,0.085100,1.000000,0.000541,0.000004,0.000322,-0.320398,-0.263302,0.009071,0.909909,12.138821,28.251904,-138.137842
24451,-4.609008,1.363526,8.535155,-0.336534,0.335834,-0.028776,0.248495,0.041848,0.089676,-0.046078,0.013509,0.085378,0.999999,0.001242,0.000209,0.000448,-0.320519,-0.263860,0.010239,0.909692,12.309156,28.261713,-138.071290
24452,-4.612279,2.008509,8.414702,0.072802,-0.133058,-0.010072,0.423983,0.055043,0.097141,-0.046109,0.019884,0.084202,0.999998,0.002120,0.000275,0.000486,-0.320442,-0.264759,0.012193,0.909434,12.583147,28.277858,-137.998164
24453,-4.525097,2.473192,8.634928,0.146618,-0.559083,0.228277,0.375648,0.064436,0.084715,-0.045234,0.024551,0.086410,0.999998,0.001878,0.000322,0.000424,-0.320371,-0.265622,0.013896,0.909183,12.826455,28.300426,-137.931419
24454,-4.714967,2.382683,8.496551,0.264840,-0.337410,0.183085,0.158932,0.067361,0.075051,-0.047130,0.023742,0.085000,1.000000,0.000795,0.000337,0.000375,-0.320544,-0.266152,0.014596,0.908956,12.942912,28.325780,-137.870351
24455,-4.706315,2.167780,8.441387,0.149427,-0.154832,0.089806,0.123095,0.052983,0.056054,-0.047047,0.021613,0.084440,1.000000,0.000615,0.000265,0.000280,-0.320677,-0.266560,0.015132,0.908781,13.032231,28.345349,-137.823298
24456,-4.846477,1.789328,8.430228,0.019219,0.236500,0.071769,0.075118,0.038736,0.048505,-0.048453,0.017850,0.084318,1.000000,0.000376,0.000194,0.000243,-0.320838,-0.266827,0.015461,0.908640,13.090759,28.357998,-137.783166
24457,-4.893476,1.664839,8.301500,0.032647,0.389618,-0.041311,0.157672,0.024676,0.047448,-0.048928,0.016571,0.083034,1.000000,0.000788,0.000123,0.000237,-0.320883,-0.267163,0.016188,0.908513,13.195360,28.362785,-137.745689
24458,-4.692022,2.087441,8.512508,0.026025,-0.080210,0.128546,0.244897,0.014025,0.064970,-0.046921,0.020755,0.085154,0.999999,0.001224,0.000070,0.000325,-0.320890,-0.267588,0.017350,0.908364,13.354399,28.359356,-137.698762
24459,-4.479788,2.107612,8.629989,-0.172067,-0.224049,0.132533,0.127576,0.029513,0.072912,-0.044793,0.021005,0.086320,1.000000,0.000638,0.000148,0.000365,-0.321091,-0.267894,0.017966,0.908191,13.449773,28.363313,-137.644405
24460,-4.568959,1.833569,8.487267,-0.211837,0.076275,-0.003490,0.144865,0.052617,0.077528,-0.045674,0.018256,0.084898,1.000000,0.000724,0.000263,0.000388,-0.321292,-0.268333,0.018629,0.907977,13.558067,28.379538,-137.583669
24461,-4.715356,2.051921,8.376935,0.046821,0.018940,0.016625,0.250733,0.064639,0.093891,-0.047136,0.020392,0.083810,0.999999,0.001254,0.000323,0.000469,-0.321426,-0.268994,0.019776,0.907709,13.732920,28.400009,-137.510603
24462,-4.763762,2.522237,8.287262,0.371333,-0.294023,0.061997,0.293729,0.051059,0.092700,-0.047628,0.025079,0.082922,0.999999,0.001469,0.000255,0.000463,-0.321494,-0.269663,0.021138,0.907456,13.931049,28.412983,-137.440389
24463,-4.567430,2.663607,8.460496,0.220458,-0.529590,0.147589,0.168184,0.029871,0.070042,-0.045671,0.026549,0.084634,1.000000,0.000841,0.000149,0.000350,-0.321626,-0.270035,0.021934,0.907280,14.048937,28.417042,-137.387715
24464,-4.627234,2.467881,8.459033,0.139388,-0.330389,0.133587,0.041654,0.025401,0.050424,-0.046268,0.024650,0.084601,1.000000,0.000208,0.000127,0.000252,-0.321839,-0.270186,0.022136,0.907154,14.088035,28.421390,-137.348211
24465,-4.704348,2.191616,8.408443,0.053627,-0.055866,0.068101,0.020321,0.011095,0.026191,-0.047042,0.021901,0.084089,1.000000,0.000102,0.000055,0.000131,-0.321970,-0.270240,0.022232,0.907089,14.106624,28.421043,-137.326202
24466,-4.620576,2.149365,8.490459,-0.068434,-0.080626,0.089141,0.053186,0.002832,-0.001963,-0.046204,0.021472,0.084911,1.000000,0.000266,0.000014,-0.000010,-0.321928,-0.270313,0.022452,0.907077,14.134873,28.420142,-137.323377
24467,-4.585026,2.232854,8.503094,-0.053260,-0.166491,0.100947,0.061183,0.008381,-0.013393,-0.045845,0.022306,0.085040,1.000000,0.000306,0.000042,-0.000067,-0.321824,-0.270424,0.022685,0.907075,14.164768,28.423814,-137.326806
24468,-4.810356,2.115511,8.482292,0.032903,0.064939,0.165233,0.022684,0.021094,-0.008296,-0.048094,0.021147,0.084830,1.000000,0.000113,0.000105,-0.000041,-0.321796,-0.270532,0.022728,0.907052,14.175023,28.433943,-137.325070
24469,-4.821266,2.067765,8.404882,0.048905,0.120337,0.094150,0.045059,0.018270,-0.007173,-0.048204,0.020660,0.084058,1.000000,0.000225,0.000091,-0.000036,-0.321743,-0.270662,0.022880,0.907028,14.198303,28.442236,-137.322987
24470,-4.852440,2.074472,8.420449,0.061587,0.133515,0.123708,0.048549,0.014257,-0.001404,-0.048518,0.020725,0.084213,1.000000,0.000243,0.000071,-0.000007,-0.321710,-0.270779,0.023062,0.907000,14.224935,28.447596,-137.317982
