PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
10223,-6.704613,7.056994,1.358408,0.117841,-0.138922,0.014066,0.042972,0.008369,0.007837,-0.067048,0.070564,0.013602,1.000000,0.000215,0.000042,0.000039,-0.742695,-0.531949,-0.396265,0.091701,80.504278,43.327531,23.097464
10224,-6.675962,7.104686,1.351158,0.159870,-0.108521,0.027705,0.041179,0.013640,0.008102,-0.066762,0.071041,0.013531,1.000000,0.000206,0.000068,0.000041,-0.742579,-0.532141,-0.396225,0.091695,80.533414,43.317955,23.105570
10225,-6.641972,7.133175,1.306970,0.176537,-0.052095,0.019519,0.024518,0.013453,0.004759,-0.066421,0.071329,0.013083,1.000000,0.000123,0.000067,0.000024,-0.742510,-0.532263,-0.396195,0.091672,80.551611,43.310013,23.111960
10226,-6.635625,7.081220,1.332358,0.163583,-0.096323,-0.019101,0.013244,0.013249,0.010297,-0.066359,0.070808,0.013333,1.000000,0.000066,0.000066,0.000051,-0.742471,-0.532356,-0.396161,0.091604,80.564717,43.299155,23.120033
10227,-6.668812,7.065756,1.350413,0.140030,-0.129511,-0.005283,-0.000371,0.009823,0.014076,-0.066692,0.070653,0.013507,1.000000,-0.000002,0.000049,0.000070,-0.742480,-0.532402,-0.396104,0.091506,80.567532,43.285582,23.124811
10228,-6.687925,7.079035,1.356921,0.135894,-0.135855,0.018151,-0.014443,0.010438,0.010710,-0.066882,0.070788,0.013568,1.000000,-0.000072,0.000052,0.000054,-0.742520,-0.532391,-0.396071,0.091389,80.563310,43.274226,23.130750
10229,-6.675780,7.007938,1.347578,0.097594,-0.154052,-0.042327,-0.016823,0.009691,0.013056,-0.066762,0.070076,0.013473,1.000000,-0.000084,0.000048,0.000065,-0.742572,-0.532375,-0.396024,0.091263,80.556560,43.261194,23.135264
10230,-6.669525,6.989633,1.310564,0.071228,-0.128259,-0.064171,-0.012272,0.009449,0.012626,-0.066699,0.069893,0.013104,1.000000,-0.000061,0.000047,0.000063,-0.742609,-0.532375,-0.395981,0.091146,80.553222,43.248662,23.140683
10231,-6.654614,7.007912,1.319866,0.093849,-0.124707,-0.060129,-0.008099,0.004934,0.010023,-0.066549,0.070076,0.013197,1.000000,-0.000040,0.000025,0.000050,-0.742646,-0.532383,-0.395920,0.091062,80.548661,43.236974,23.141097
10232,-6.654370,7.030914,1.276632,0.083791,-0.078174,-0.048925,-0.003756,0.004632,0.007264,-0.066546,0.070307,0.012767,1.000000,-0.000019,0.000023,0.000036,-0.742667,-0.532402,-0.395870,0.090994,80.547167,43.227020,23.142086
