PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
16256,-2.502282,1.442849,9.375235,-0.077047,-0.060556,-0.003067,0.014855,0.066991,0.032572,-0.024994,0.014417,0.093762,1.000000,0.000074,0.000335,0.000163,-0.947627,-0.035997,-0.140435,-0.284579,8.791324,14.221588,34.529536
16257,-2.465461,1.447371,9.432532,-0.027422,-0.034513,0.043483,0.021658,0.073699,0.037136,-0.024623,0.014459,0.094336,1.000000,0.000108,0.000368,0.000186,-0.947509,-0.035997,-0.140781,-0.284802,8.807799,14.257456,34.563189
16258,-2.414003,1.421426,9.489708,0.050772,-0.025915,0.081713,0.021610,0.080626,0.048733,-0.024105,0.014198,0.094908,1.000000,0.000108,0.000403,0.000244,-0.947368,-0.035993,-0.141159,-0.285082,8.825945,14.296278,34.604225
16259,-2.393496,1.457720,9.546728,0.071788,0.017631,0.136600,0.022273,0.084839,0.059131,-0.023899,0.014560,0.095479,1.000000,0.000111,0.000424,0.000296,-0.947210,-0.035996,-0.141555,-0.285412,8.846252,14.336498,34.651777
16260,-2.341481,1.490544,9.590887,0.116394,0.075584,0.170804,0.019146,0.090434,0.071881,-0.023377,0.014888,0.095921,1.000000,0.000096,0.000452,0.000359,-0.947030,-0.035984,-0.141970,-0.285805,8.866626,14.378796,34.707276
16261,-2.356164,1.433520,9.635344,0.156229,0.021792,0.208364,0.022642,0.096931,0.086668,-0.023521,0.014314,0.096366,1.000000,0.000113,0.000485,0.000433,-0.946823,-0.035990,-0.142419,-0.286266,8.891502,14.423391,34.772075
16262,-2.459655,1.448938,9.670950,0.084719,-0.021163,0.270415,0.023823,0.092628,0.093332,-0.024559,0.014466,0.096723,1.000000,0.000119,0.000463,0.000467,-0.946609,-0.036012,-0.142848,-0.286757,8.917826,14.464967,34.840373
16263,-2.402349,1.465926,9.732276,0.147061,0.025733,0.317225,0.022298,0.079245,0.099491,-0.023992,0.014636,0.097334,1.000000,0.000111,0.000396,0.000497,-0.946395,-0.036052,-0.143210,-0.287276,8.944079,14.498353,34.911109
16264,-2.403215,1.453456,9.747303,0.164143,0.014872,0.329833,0.016860,0.067479,0.099530,-0.024006,0.014514,0.097482,1.000000,0.000084,0.000337,0.000498,-0.946191,-0.036081,-0.143508,-0.287797,8.966828,14.525072,34.980771
16265,-2.454724,1.492212,9.758079,0.111261,0.018104,0.358830,0.015039,0.054914,0.095770,-0.024528,0.014903,0.097589,1.000000,0.000075,0.000275,0.000479,-0.946000,-0.036118,-0.143745,-0.288299,8.987886,14.544966,35.047130
16266,-2.382933,1.512885,9.752594,0.159727,0.074285,0.338630,0.009628,0.042971,0.092309,-0.023815,0.015113,0.097532,1.000000,0.000048,0.000215,0.000462,-0.945824,-0.036143,-0.143918,-0.288786,9.004909,14.558400,35.110334
16267,-2.359048,1.509463,9.772905,0.189580,0.084212,0.351477,0.006423,0.035480,0.083919,-0.023579,0.015082,0.097734,1.000000,0.000032,0.000177,0.000420,-0.945666,-0.036159,-0.144053,-0.289235,9.018872,14.568322,35.167982
16268,-2.414444,1.505392,9.780403,0.152510,0.049188,0.371925,0.007009,0.026595,0.073190,-0.024137,0.015042,0.097808,1.000000,0.000035,0.000133,0.000366,-0.945530,-0.036182,-0.144148,-0.289631,9.031220,14.574155,35.218502
16269,-2.435151,1.555742,9.762467,0.105465,0.077822,0.367631,0.009935,0.015357,0.061432,-0.024349,0.015545,0.097627,1.000000,0.000050,0.000077,0.000307,-0.945418,-0.036228,-0.144196,-0.289966,9.043430,14.574688,35.261139
16270,-2.444618,1.591503,9.727900,0.069246,0.100051,0.342423,0.007853,0.003608,0.047770,-0.024448,0.015905,0.097280,1.000000,0.000039,0.000018,0.000239,-0.945334,-0.036269,-0.144188,-0.290237,9.051985,14.569770,35.294662
16271,-2.426964,1.620273,9.715001,0.063566,0.132036,0.330055,0.002883,-0.003657,0.037787,-0.024274,0.016197,0.097150,1.000000,0.000014,-0.000018,0.000189,-0.945271,-0.036292,-0.144141,-0.290463,9.056225,14.561665,35.321703
16272,-2.419716,1.623839,9.681245,0.055961,0.136807,0.296543,0.003794,-0.020113,0.028920,-0.024209,0.016233,0.096810,1.000000,0.000019,-0.000101,0.000145,-0.945233,-0.036336,-0.144018,-0.290643,9.059128,14.545005,35.341996
16273,-2.448924,1.629066,9.694317,0.031671,0.122542,0.317211,0.008818,-0.026182,0.026256,-0.024504,0.016283,0.096941,1.000000,0.000044,-0.000131,0.000131,-0.945202,-0.036411,-0.143876,-0.290806,9.064534,14.525193,35.360192
16274,-2.455047,1.664074,9.660694,-0.004554,0.144740,0.291987,0.008827,-0.032756,0.021686,-0.024568,0.016634,0.096604,1.000000,0.000044,-0.000164,0.000108,-0.945182,-0.036492,-0.143702,-0.290946,9.068962,14.502017,35.375075
16275,-2.345447,1.639270,9.606593,0.076469,0.181685,0.209094,0.009869,-0.036653,0.023411,-0.023474,0.016385,0.096062,1.000000,0.000049,-0.000183,0.000117,-0.945162,-0.036585,-0.143511,-0.291093,9.074294,14.476534,35.390625
16276,-2.315162,1.634678,9.628595,0.106277,0.191641,0.221951,0.014848,-0.035965,0.028816,-0.023171,0.016336,0.096283,1.000000,0.000074,-0.000180,0.000144,-0.945133,-0.036704,-0.143329,-0.291261,9.083138,14.450882,35.409370
16277,-2.338577,1.624438,9.658824,0.099748,0.166356,0.255231,0.022151,-0.031058,0.037750,-0.023404,0.016229,0.096586,1.000000,0.000111,-0.000155,0.000189,-0.945086,-0.036858,-0.143181,-0.291468,9.097710,14.427261,35.433807
16278,-2.279197,1.692528,9.637638,0.101740,0.251010,0.230723,0.029296,-0.032139,0.040659,-0.022811,0.016907,0.096375,1.000000,0.000146,-0.000161,0.000203,-0.945034,-0.037048,-0.143036,-0.291683,9.116635,14.402669,35.459816
16279,-2.291210,1.707750,9.688835,0.097070,0.252959,0.285142,0.016134,-0.027515,0.049585,-0.022930,0.017064,0.096887,1.000000,0.000081,-0.000138,0.000248,-0.944968,-0.037176,-0.142893,-0.291951,9.129536,14.379964,35.491479
16280,-2.375401,1.649814,9.723414,0.070056,0.154186,0.330316,0.013577,-0.024202,0.056168,-0.023770,0.016485,0.097232,1.000000,0.000068,-0.000121,0.000281,-0.944890,-0.037292,-0.142759,-0.292252,9.141882,14.358413,35.527279
16281,-2.457345,1.630248,9.656004,-0.006218,0.086623,0.283209,0.012712,-0.040290,0.061168,-0.024598,0.016289,0.096556,1.000000,0.000064,-0.000201,0.000306,-0.944817,-0.037431,-0.142549,-0.292574,9.154170,14.327413,35.564486
