PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
30459,-8.145318,-0.556139,-2.539962,-0.360868,-1.245701,-1.361363,-0.464920,-0.137025,0.006544,-0.081436,-0.005623,-0.025442,0.999997,-0.002325,-0.000685,0.000033,0.375357,-0.693768,0.338343,0.513145,-137.821143,75.017618,-19.016483
30460,-7.954537,-0.163540,-3.363392,-0.261539,-2.151457,-1.451077,-0.107621,0.341577,0.249668,-0.079601,-0.001753,-0.033497,0.999998,-0.000538,0.001708,0.001248,0.373746,-0.694390,0.339595,0.512652,-138.775093,74.973321,-19.939803
30461,-10.100764,0.077893,-3.703600,-0.830148,-2.339130,0.655711,-0.074542,0.276191,0.184027,-0.101059,0.000672,-0.036897,0.999999,-0.000373,0.001381,0.000920,0.372520,-0.694894,0.340579,0.512209,-139.510013,74.929370,-20.655169
30462,-8.786283,-0.549853,-3.237854,-0.181484,-1.727710,-0.594939,-0.380400,-0.001351,-0.053335,-0.087864,-0.005537,-0.032369,0.999998,-0.001902,-0.000007,-0.000267,0.371318,-0.695656,0.339439,0.512804,-139.648319,74.916758,-20.572220
30463,-8.219936,-0.457907,-2.646235,-0.381806,-1.288395,-1.270226,-1.236385,0.273775,0.074588,-0.082234,-0.004773,-0.026321,0.999980,-0.006182,0.001369,0.000373,0.366328,-0.698483,0.337050,0.514123,-140.860308,74.830187,-21.092486
30464,-9.369584,-1.879015,-0.794810,-0.328194,1.155321,-0.299065,-1.191319,-0.020776,-0.164114,-0.093710,-0.018760,-0.007846,0.999982,-0.005957,-0.000104,-0.000821,0.362599,-0.700843,0.333393,0.515936,-141.255128,74.786899,-20.793849
30465,-8.227105,-3.011318,-0.903149,0.939578,1.557360,-1.195222,-0.950169,0.002404,-0.197098,-0.082301,-0.030075,-0.008888,0.999988,-0.004751,0.000012,-0.000985,0.359745,-0.702861,0.330274,0.517193,-141.489969,74.722030,-20.471862
30466,-9.543167,-3.729964,-1.305503,1.391718,1.750393,0.271359,-0.873234,0.252070,-0.033718,-0.095454,-0.037340,-0.012772,0.999990,-0.004366,0.001260,-0.000169,0.356324,-0.705100,0.328371,0.517725,-142.269339,74.603001,-20.760747
30467,-10.162925,-3.830647,-0.311575,0.808588,2.728442,0.673386,-0.543058,-0.063587,-0.154292,-0.101658,-0.038236,-0.003044,0.999996,-0.002715,-0.000318,-0.000771,0.354887,-0.706123,0.326329,0.518609,-142.257174,74.584353,-20.424206
30468,-9.305323,-3.239610,0.146328,0.287312,2.720881,-0.345916,-0.401696,-0.043320,-0.102123,-0.093070,-0.032346,0.001508,0.999998,-0.002008,-0.000217,-0.000511,0.353784,-0.706857,0.324873,0.519277,-142.273995,74.574675,-20.202442
30469,-9.555525,-2.197074,-0.124430,-0.510153,1.965690,-0.219646,-0.235834,0.151853,0.019728,-0.095554,-0.021982,-0.001146,0.999999,-0.001179,0.000759,0.000099,0.352627,-0.707604,0.324622,0.519203,-142.644683,74.519355,-20.445820
30470,-10.036907,-1.423205,-0.687480,-0.989455,1.137329,0.235451,-0.274348,0.101876,0.021401,-0.100371,-0.014252,-0.006804,0.999999,-0.001372,0.000509,0.000107,0.351416,-0.708285,0.324189,0.519366,-142.974032,74.486746,-20.624013
30471,-10.088653,-1.812340,-1.106832,-0.471762,1.010897,0.436513,-0.421002,-0.044962,-0.081918,-0.100891,-0.018105,-0.011053,0.999998,-0.002105,-0.000225,-0.000410,0.350186,-0.709007,0.322749,0.520107,-143.035350,74.485803,-20.436419
30472,-9.648037,-2.402986,-1.111360,0.123420,1.288239,0.107962,-0.273794,-0.063393,-0.073114,-0.096486,-0.024010,-0.011111,0.999999,-0.001369,-0.000317,-0.000366,0.349488,-0.709407,0.321691,0.520687,-143.002648,74.496087,-20.239217
