PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
03840,-9.673357,0.095918,-0.781908,0.134370,-0.020955,-0.108260,0.053251,0.005956,0.001669,-0.096734,0.000960,-0.007816,1.000000,0.000266,0.000030,0.000008,-0.571164,-0.392313,-0.624754,0.359922,-178.980218,84.924437,116.679859
03841,-9.661005,0.175548,-0.787749,0.202764,0.018918,-0.120169,0.023908,0.017228,-0.001043,-0.096611,0.001757,-0.007869,1.000000,0.000120,0.000086,-0.000005,-0.571098,-0.392431,-0.624725,0.359950,-179.025519,84.918078,116.620449
03842,-9.679955,0.161899,-0.814108,0.179195,0.034564,-0.098924,-0.003229,0.001004,-0.000463,-0.096800,0.001619,-0.008141,1.000000,-0.000016,0.000005,-0.000002,-0.571138,-0.392444,-0.624695,0.359923,-179.091130,84.921342,116.556128
03843,-9.646796,0.111962,-0.812690,0.132607,0.014309,-0.131991,-0.024052,0.003289,-0.005699,-0.096468,0.001121,-0.008125,1.000000,-0.000120,0.000016,-0.000028,-0.571201,-0.392385,-0.624721,0.359842,-179.132375,84.922917,116.528378
03844,-9.663627,-0.009768,-0.899573,-0.015126,0.038214,-0.107363,-0.034843,0.000204,0.002672,-0.096636,-0.000101,-0.008996,1.000000,-0.000174,0.000001,0.000013,-0.571311,-0.392318,-0.624738,0.359711,-179.235837,84.926659,116.444023
03845,-9.657391,-0.016319,-0.877044,-0.013186,0.015525,-0.115561,-0.025866,-0.000732,0.003282,-0.096574,-0.000166,-0.008771,1.000000,-0.000129,-0.000004,0.000016,-0.571406,-0.392274,-0.624739,0.359606,-179.335868,84.930595,116.358298
03846,-9.657375,-0.015994,-0.877224,-0.014370,0.015674,-0.115563,-0.019453,0.004395,-0.000665,-0.096574,-0.000160,-0.008770,1.000000,-0.000097,0.000022,-0.000003,-0.571466,-0.392250,-0.624746,0.359526,-179.409648,84.931960,116.294590
03847,-9.657027,0.018868,-0.919714,-0.002283,0.068639,-0.112188,-0.021892,0.004963,-0.002456,-0.096571,0.000189,-0.009195,1.000000,-0.000109,0.000025,-0.000012,-0.571525,-0.392210,-0.624767,0.359439,-179.470872,84.932580,116.245540
03848,-9.644526,0.004982,-0.875003,0.002672,0.023175,-0.128577,-0.024927,0.001219,0.005627,-0.096445,0.000046,-0.008749,1.000000,-0.000125,0.000006,0.000028,-0.571619,-0.392179,-0.624766,0.359325,-179.588372,84.935611,116.142015
03849,-9.643156,-0.078272,-0.902201,-0.085630,0.011164,-0.127487,-0.006309,0.004396,0.002750,-0.096432,-0.000784,-0.009020,1.000000,-0.000032,0.000022,0.000014,-0.571659,-0.392199,-0.624747,0.359273,-179.674360,84.936561,116.059141
03850,-9.708875,-0.037767,-0.898286,-0.046119,0.019517,-0.062401,0.003684,0.007034,0.003595,-0.097089,-0.000379,-0.008979,1.000000,0.000018,0.000035,0.000018,-0.571675,-0.392255,-0.624714,0.359244,-179.762605,84.936265,115.968267
03851,-9.656679,-0.074209,-0.871689,-0.070276,-0.016254,-0.116730,0.015670,0.001953,-0.004786,-0.096567,-0.000739,-0.008716,1.000000,0.000078,0.000010,-0.000024,-0.571665,-0.392310,-0.624664,0.359287,-179.787249,84.938579,115.934335
03852,-9.625175,-0.075444,-0.801442,-0.042920,-0.077222,-0.154313,0.030542,0.003459,-0.000357,-0.096252,-0.000753,-0.008013,1.000000,0.000153,0.000017,-0.000002,-0.571632,-0.392425,-0.624578,0.359362,-179.834901,84.940383,115.868458
03853,-9.665356,0.005649,-0.791366,0.035311,-0.054348,-0.115203,0.043256,0.003307,0.000835,-0.096654,0.000058,-0.007912,1.000000,0.000216,0.000017,0.000004,-0.571574,-0.392579,-0.624471,0.359472,-179.880206,84.941925,115.797916
03854,-9.665322,0.005369,-0.791785,0.034137,-0.054211,-0.115198,0.036799,0.005323,-0.000088,-0.096653,0.000055,-0.007915,1.000000,0.000184,0.000027,-0.000000,-0.571522,-0.392717,-0.624380,0.359563,-179.925369,84.942619,115.730948
03855,-9.653014,0.084765,-0.797005,0.102559,-0.014352,-0.127010,0.026964,0.005953,-0.005147,-0.096530,0.000851,-0.007967,1.000000,0.000135,0.000030,-0.000026,-0.571478,-0.392810,-0.624321,0.359634,-179.941345,84.942632,115.699221
03856,-9.659196,0.091390,-0.820121,0.098301,0.008582,-0.118808,0.016329,0.006137,-0.000993,-0.096592,0.000915,-0.008198,1.000000,0.000082,0.000031,-0.000005,-0.571462,-0.392889,-0.624269,0.359663,-179.993341,84.942924,115.636892
