PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
13560,-9.668113,0.269875,-0.518554,-0.021955,0.058536,-0.127119,0.016061,0.013125,-0.013922,-0.096681,0.002706,-0.005179,1.000000,0.000080,0.000066,-0.000070,0.688588,0.002378,0.725036,0.012789,156.984353,86.800799,157.828282
13561,-9.668071,0.268697,-0.519941,-0.022619,0.057523,-0.127115,0.002080,0.015072,-0.009475,-0.096681,0.002692,-0.005192,1.000000,0.000010,0.000075,-0.000047,0.688559,0.002386,0.725064,0.012787,157.009281,86.796353,157.852387
13562,-9.628723,0.252015,-0.519633,-0.023298,0.041891,-0.166780,-0.013557,0.015476,-0.015537,-0.096287,0.002527,-0.005189,1.000000,-0.000068,0.000077,-0.000078,0.688527,0.002314,0.725093,0.012822,157.087975,86.792911,157.939801
13563,-9.684506,0.220778,-0.557418,-0.056949,0.008771,-0.109812,-0.018729,0.014590,-0.003907,-0.096845,0.002209,-0.005567,1.000000,-0.000094,0.000073,-0.000020,0.688500,0.002270,0.725118,0.012914,157.046507,86.787474,157.909347
13564,-9.686743,0.180121,-0.521869,-0.019938,-0.031761,-0.110297,-0.026023,0.016336,-0.010647,-0.096868,0.001806,-0.005211,1.000000,-0.000130,0.000082,-0.000053,0.688465,0.002174,0.725149,0.013011,157.073540,86.782497,157.951977
13565,-9.655450,0.136032,-0.584317,-0.082462,-0.076260,-0.139269,-0.022276,0.015192,-0.010716,-0.096555,0.001365,-0.005836,1.000000,-0.000111,0.000076,-0.000054,0.688436,0.002094,0.725176,0.013093,157.096364,86.778262,157.987952
13566,-9.696994,0.110696,-0.550501,-0.045415,-0.102129,-0.100092,-0.015179,0.013966,-0.006731,-0.096970,0.001110,-0.005498,1.000000,-0.000076,0.000070,-0.000034,0.688410,0.002051,0.725200,0.013161,157.086051,86.773759,157.986672
13567,-9.717242,0.126209,-0.632299,-0.125641,-0.088754,-0.075292,-0.001588,0.013087,-0.007045,-0.097173,0.001265,-0.006317,1.000000,-0.000008,0.000065,-0.000035,0.688387,0.002055,0.725221,0.013180,157.077958,86.769816,157.979808
13568,-9.713173,0.139317,-0.601781,-0.095368,-0.075296,-0.080652,0.007149,0.004501,-0.007589,-0.097132,0.001397,-0.006016,1.000000,0.000036,0.000023,-0.000038,0.688395,0.002084,0.725213,0.013165,157.052169,86.770475,157.950404
13569,-9.688230,0.202309,-0.595708,-0.091770,-0.011642,-0.104493,0.018110,0.004728,-0.012908,-0.096882,0.002030,-0.005955,1.000000,0.000091,0.000024,-0.000065,0.688403,0.002136,0.725207,0.013093,157.077142,86.772252,157.965355
13570,-9.651049,0.221245,-0.571663,-0.070396,0.008823,-0.142451,0.013388,-0.000371,-0.012718,-0.096510,0.002219,-0.005717,1.000000,0.000067,-0.000002,-0.000064,0.688429,0.002169,0.725183,0.013038,157.083114,86.776620,157.964164
13571,-9.694372,0.221685,-0.605382,-0.101944,0.007991,-0.097441,0.007933,0.011263,-0.010461,-0.096944,0.002222,-0.006048,1.000000,0.000040,0.000056,-0.000052,0.688414,0.002193,0.725198,0.013011,157.105238,86.774401,157.982103
13572,-9.677878,0.266607,-0.571583,-0.069555,0.053806,-0.114678,0.007873,0.005524,-0.008536,-0.096779,0.002670,-0.005713,1.000000,0.000039,0.000028,-0.000043,0.688419,0.002227,0.725194,0.012985,157.092908,86.774873,157.964956
13573,-9.748234,0.239059,-0.589223,-0.083344,0.024328,-0.044122,0.003279,0.003033,-0.007931,-0.097482,0.002395,-0.005891,1.000000,0.000016,0.000015,-0.000040,0.688433,0.002245,0.725180,0.012983,157.056079,86.776433,157.926518
13574,-9.708935,0.222665,-0.587490,-0.084016,0.008747,-0.083813,0.000589,-0.001603,-0.011014,-0.097089,0.002232,-0.005876,1.000000,0.000003,-0.000008,-0.000055,0.688464,0.002243,0.725151,0.012978,157.032413,86.781123,157.902539
13575,-9.702837,0.199540,-0.578272,-0.075810,-0.013887,-0.090891,-0.003611,-0.005156,-0.014535,-0.097028,0.002002,-0.005785,1.000000,-0.000018,-0.000026,-0.000073,0.688508,0.002215,0.725109,0.012978,157.020923,86.788478,157.893434
13576,-9.663571,0.182796,-0.575964,-0.076461,-0.029457,-0.130588,-0.010307,-0.004981,-0.013000,-0.096635,0.001834,-0.005762,1.000000,-0.000052,-0.000025,-0.000065,0.688551,0.002166,0.725068,0.013008,156.996337,86.795323,157.875158
13577,-9.636602,0.209745,-0.591554,-0.094885,-0.001825,-0.156134,-0.011294,-0.002352,-0.017147,-0.096366,0.002105,-0.005917,1.000000,-0.000056,-0.000012,-0.000086,0.688585,0.002101,0.725035,0.013027,157.016202,86.801783,157.901867
13578,-9.624332,0.164682,-0.573542,-0.077751,-0.046028,-0.170298,-0.000130,-0.002626,-0.010060,-0.096243,0.001652,-0.005737,1.000000,-0.000001,-0.000013,-0.000050,0.688618,0.002096,0.725004,0.013033,156.979866,86.806641,157.866461
13579,-9.668105,0.174879,-0.515756,-0.018721,-0.035944,-0.129341,0.003150,0.000426,-0.008346,-0.096681,0.001753,-0.005157,1.000000,0.000016,0.000002,-0.000042,0.688642,0.002112,0.724981,0.013030,156.935959,86.809664,157.821010
13580,-9.709709,0.149468,-0.480605,0.018303,-0.061867,-0.090156,0.015430,0.000116,-0.006338,-0.097097,0.001498,-0.004806,1.000000,0.000077,0.000001,-0.000032,0.688665,0.002175,0.724960,0.012991,156.884761,86.812305,157.761513
13581,-9.705723,0.162615,-0.449166,0.048551,-0.048451,-0.095458,0.022920,-0.002165,-0.006480,-0.097057,0.001630,-0.004493,1.000000,0.000115,-0.000011,-0.000032,0.688698,0.002266,0.724930,0.012923,156.823845,86.816268,157.687682
13582,-9.699574,0.139777,-0.440301,0.056791,-0.071046,-0.102545,0.028039,0.001872,-0.010790,-0.096996,0.001404,-0.004402,1.000000,0.000140,0.000009,-0.000054,0.688715,0.002357,0.724915,0.012821,156.827353,86.818988,157.675549
13583,-9.682734,0.174928,-0.496944,-0.001418,-0.036225,-0.115700,0.028892,0.005503,-0.011319,-0.096827,0.001755,-0.004967,1.000000,0.000144,0.000028,-0.000057,0.688720,0.002452,0.724911,0.012715,156.846691,86.820002,157.678669
13584,-9.682720,0.173395,-0.497754,-0.002042,-0.037186,-0.115703,0.029350,0.010175,-0.017363,-0.096827,0.001743,-0.004972,1.000000,0.000147,0.000051,-0.000087,0.688707,0.002520,0.724926,0.012588,156.949447,86.819803,157.765555
13585,-9.684876,0.207680,-0.476351,0.019329,-0.002155,-0.113900,0.021535,0.010390,-0.010754,-0.096849,0.002083,-0.004758,1.000000,0.000108,0.000052,-0.000054,0.688695,0.002590,0.724939,0.012510,156.978969,86.818112,157.783096
13586,-9.697198,0.250178,-0.495159,0.000952,0.040076,-0.099716,0.007612,0.009169,-0.013626,-0.096972,0.002509,-0.004947,1.000000,0.000038,0.000046,-0.000068,0.688685,0.002597,0.724948,0.012477,157.027624,86.817511,157.828535
13587,-9.670178,0.277304,-0.512290,-0.017459,0.067732,-0.125232,-0.006453,0.014231,-0.011544,-0.096702,0.002778,-0.005116,1.000000,-0.000032,0.000071,-0.000058,0.688659,0.002568,0.724973,0.012499,157.063961,86.813969,157.868963
13588,-9.643195,0.228763,-0.514931,-0.020235,0.019876,-0.153087,-0.017945,0.012431,-0.012169,-0.096432,0.002293,-0.005144,1.000000,-0.000090,0.000062,-0.000061,0.688639,0.002497,0.724991,0.012556,157.098550,86.811548,157.913894
13589,-9.661714,0.217773,-0.528312,-0.031927,0.008112,-0.134146,-0.034173,0.014418,-0.007233,-0.096617,0.002180,-0.005277,1.000000,-0.000171,0.000072,-0.000036,0.688613,0.002388,0.725014,0.012692,157.078819,86.806944,157.914075
13590,-9.659428,0.181578,-0.552219,-0.054600,-0.028905,-0.135980,-0.038507,0.017140,-0.005790,-0.096595,0.001818,-0.005514,1.000000,-0.000193,0.000086,-0.000029,0.688575,0.002268,0.725048,0.012849,157.058856,86.800516,157.916591
13591,-9.671730,0.149169,-0.557069,-0.057414,-0.062280,-0.124150,-0.038500,0.017138,-0.005781,-0.096718,0.001493,-0.005563,1.000000,-0.000192,0.000086,-0.000029,0.688539,0.002149,0.725080,0.013006,157.033872,86.794153,157.913994
13592,-9.684025,0.116591,-0.561992,-0.060209,-0.095600,-0.112326,-0.028840,0.017932,-0.008762,-0.096841,0.001169,-0.005611,1.000000,-0.000144,0.000090,-0.000044,0.688499,0.002052,0.725116,0.013115,157.052065,86.788052,157.948900
13593,-9.727239,0.117639,-0.596587,-0.091825,-0.096537,-0.067371,-0.017343,0.010867,-0.003879,-0.097273,0.001178,-0.005961,1.000000,-0.000087,0.000054,-0.000019,0.688484,0.002013,0.725128,0.013203,156.996408,86.784571,157.903439
13594,-9.747977,0.142884,-0.587214,-0.081483,-0.072222,-0.046601,-0.002239,0.008925,-0.003743,-0.097480,0.001431,-0.005868,1.000000,-0.000011,0.000045,-0.000019,0.688477,0.002029,0.725135,0.013230,156.946195,86.782145,157.854202
13595,-9.693962,0.198753,-0.619728,-0.117610,-0.015859,-0.097627,0.005854,0.005048,-0.014888,-0.096940,0.001995,-0.006195,1.000000,0.000029,0.000025,-0.000074,0.688484,0.002031,0.725129,0.013196,156.984013,86.784198,157.889052
13596,-9.679343,0.193753,-0.639358,-0.138139,-0.020504,-0.111322,0.007560,0.003445,-0.011693,-0.096793,0.001943,-0.006392,1.000000,0.000038,0.000017,-0.000058,0.688496,0.002050,0.725117,0.013162,156.991589,86.786383,157.892339
