PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
13560,-4.352469,0.435741,8.855971,0.011196,0.030475,0.064611,0.017772,0.006332,0.000873,-0.043522,0.004349,0.088561,1.000000,0.000089,0.000032,0.000004,0.735014,-0.131979,0.187111,0.638220,2.866598,26.328779,82.606816
13561,-4.351653,0.433171,8.897691,0.019815,0.048710,0.101477,0.023948,0.004128,-0.002297,-0.043515,0.004322,0.088978,1.000000,0.000120,0.000021,-0.000011,0.735009,-0.131910,0.187167,0.638224,2.877891,26.328416,82.610255
13562,-4.351227,0.473584,8.858811,-0.022712,0.038364,0.068304,0.020236,0.007126,-0.007176,-0.043509,0.004728,0.088590,1.000000,0.000101,0.000036,-0.000036,0.735011,-0.131874,0.187223,0.638213,2.885652,26.330552,82.611001
13563,-4.361035,0.494301,8.846557,-0.044341,0.027450,0.062626,0.018833,0.004824,-0.002757,-0.043608,0.004935,0.088467,1.000000,0.000094,0.000024,-0.000014,0.734993,-0.131829,0.187265,0.638231,2.894031,26.330697,82.615849
13564,-4.390969,0.475836,8.887746,-0.024237,0.015705,0.111940,0.012384,0.000926,-0.005009,-0.043909,0.004754,0.088878,1.000000,0.000062,0.000005,-0.000025,0.734989,-0.131799,0.187275,0.638239,2.897818,26.329223,82.617779
13565,-4.352298,0.477088,8.858097,-0.023721,0.037154,0.068307,0.010973,0.003955,-0.006853,-0.043521,0.004768,0.088582,1.000000,0.000055,0.000020,-0.000034,0.734987,-0.131782,0.187286,0.638241,2.900434,26.328869,82.618669
13566,-4.374258,0.443281,8.869182,0.008732,0.017229,0.086436,0.011833,0.001680,-0.006987,-0.043742,0.004429,0.088692,1.000000,0.000059,0.000008,-0.000035,0.734988,-0.131759,0.187295,0.638242,2.903355,26.327883,82.619361
13567,-4.374604,0.444191,8.868965,0.008384,0.016772,0.086437,0.014472,0.005529,-0.004736,-0.043743,0.004437,0.088691,1.000000,0.000072,0.000028,-0.000024,0.734987,-0.131730,0.187326,0.638240,2.908547,26.328304,82.620537
13568,-4.344054,0.460357,8.869380,-0.003458,0.046525,0.073994,0.011282,0.002434,-0.008965,-0.043439,0.004601,0.088695,1.000000,0.000056,0.000012,-0.000045,0.734993,-0.131713,0.187334,0.638234,2.910604,26.327807,82.619989
13569,-4.344274,0.461035,8.869237,-0.003808,0.046091,0.073996,0.011832,0.001682,-0.006985,-0.043442,0.004607,0.088693,1.000000,0.000059,0.000008,-0.000035,0.734997,-0.131685,0.187341,0.638233,2.913574,26.326220,82.620234
13570,-4.370939,0.514916,8.875414,-0.059102,0.032937,0.093808,0.010837,0.000904,-0.009560,-0.043709,0.005146,0.088755,1.000000,0.000054,0.000005,-0.000048,0.735006,-0.131666,0.187342,0.638226,2.915185,26.324865,82.619256
13571,-4.344639,0.461853,8.869016,-0.004503,0.045309,0.073999,0.000851,0.003055,-0.006397,-0.043445,0.004620,0.088691,1.000000,0.000004,0.000015,-0.000032,0.735004,-0.131680,0.187319,0.638233,2.912057,26.323950,82.619253
13572,-4.324253,0.457663,8.896158,0.004509,0.074604,0.089063,0.004862,0.003870,-0.009890,-0.043241,0.004577,0.088963,1.000000,0.000024,0.000019,-0.000049,0.735007,-0.131693,0.187312,0.638228,2.910195,26.324301,82.618162
13573,-4.355702,0.442397,8.895255,0.015673,0.044100,0.101506,0.005751,0.006932,-0.008698,-0.043554,0.004423,0.088954,1.000000,0.000029,0.000035,-0.000043,0.735007,-0.131706,0.187317,0.638225,2.909292,26.325829,82.617709
13574,-4.354162,0.476643,8.898394,-0.017903,0.052386,0.105189,0.002696,0.006888,-0.010217,-0.043538,0.004767,0.088986,1.000000,0.000013,0.000034,-0.000051,0.735007,-0.131736,0.187314,0.638219,2.906139,26.327917,82.616507
13575,-4.366177,0.461202,8.882757,-0.006303,0.032820,0.095817,-0.001005,0.004551,-0.008837,-0.043660,0.004614,0.088829,1.000000,-0.000005,0.000023,-0.000044,0.735003,-0.131767,0.187288,0.638225,2.901337,26.327981,82.616271
13576,-4.367789,0.464917,8.840571,-0.015565,0.013821,0.058938,-0.002444,0.002242,-0.012008,-0.043677,0.004653,0.088406,1.000000,-0.000012,0.000011,-0.000060,0.735010,-0.131803,0.187251,0.638221,2.894664,26.327462,82.613775
13577,-4.376113,0.478728,8.870591,-0.028260,0.021542,0.090124,-0.009618,0.003665,-0.011418,-0.043759,0.004794,0.088706,1.000000,-0.000048,0.000018,-0.000057,0.735002,-0.131867,0.187192,0.638233,2.884268,26.327160,82.613013
13578,-4.336132,0.473380,8.883145,-0.018845,0.061798,0.083383,-0.013009,-0.000194,-0.012151,-0.043361,0.004742,0.088831,1.000000,-0.000065,-0.000001,-0.000061,0.735005,-0.131934,0.187111,0.638240,2.871468,26.325250,82.610347
13579,-4.349774,0.422551,8.864358,0.026007,0.033662,0.070334,-0.007141,-0.000873,-0.013203,-0.043498,0.004232,0.088643,1.000000,-0.000036,-0.000004,-0.000066,0.735013,-0.131975,0.187043,0.638242,2.861857,26.322445,82.607581
13580,-4.351992,0.387093,8.860921,0.058901,0.024742,0.066660,-0.006698,0.000659,-0.012606,-0.043519,0.003877,0.088609,1.000000,-0.000033,0.000003,-0.000063,0.735021,-0.132022,0.186986,0.638241,2.852557,26.321036,82.604653
13581,-4.342017,0.405526,8.834208,0.037702,0.024742,0.039153,-0.003751,0.002988,-0.012468,-0.043419,0.004060,0.088343,1.000000,-0.000019,0.000015,-0.000062,0.735032,-0.132060,0.186943,0.638233,2.845130,26.320258,82.601362
13582,-4.341067,0.400650,8.876124,0.046260,0.043082,0.076042,0.002357,0.003079,-0.009428,-0.043409,0.004008,0.088762,1.000000,0.000012,0.000015,-0.000047,0.735033,-0.132078,0.186926,0.638233,2.841951,26.320142,82.600541
13583,-4.352794,0.385582,8.860592,0.057889,0.023554,0.066669,0.008225,0.002401,-0.010479,-0.043527,0.003854,0.088607,1.000000,0.000041,0.000012,-0.000052,0.735038,-0.132071,0.186920,0.638230,2.841984,26.319111,82.599902
13584,-4.372707,0.385686,8.875089,0.057126,0.012264,0.088480,0.008047,0.006975,-0.005656,-0.043724,0.003855,0.088753,1.000000,0.000040,0.000035,-0.000028,0.735027,-0.132077,0.186938,0.638236,2.843188,26.321117,82.601612
13585,-4.371062,0.420879,8.878262,0.023559,0.020411,0.092154,0.017831,0.004070,-0.005321,-0.043709,0.004202,0.088784,1.000000,0.000089,0.000020,-0.000027,0.735017,-0.132036,0.186972,0.638246,2.850250,26.320866,82.604840
13586,-4.362161,0.403058,8.889938,0.044491,0.030614,0.097862,0.017831,0.004071,-0.005320,-0.043620,0.004024,0.088901,1.000000,0.000089,0.000020,-0.000027,0.735014,-0.131997,0.187010,0.638246,2.857115,26.321200,82.606673
13587,-4.340957,0.439059,8.878390,0.011331,0.049722,0.079728,0.019579,0.004860,-0.004261,-0.043407,0.004383,0.088785,1.000000,0.000098,0.000024,-0.000021,0.735005,-0.131950,0.187054,0.638254,2.865438,26.321375,82.610067
13588,-4.371410,0.463823,8.838838,-0.019583,0.009227,0.058936,0.018824,0.004851,-0.002744,-0.043712,0.004631,0.088390,1.000000,0.000094,0.000024,-0.000014,0.734994,-0.131907,0.187099,0.638262,2.873613,26.322082,82.613569
13589,-4.340816,0.480515,8.839268,-0.031495,0.038866,0.046508,0.014884,0.001742,-0.005456,-0.043407,0.004800,0.088393,1.000000,0.000074,0.000009,-0.000027,0.734997,-0.131867,0.187117,0.638261,2.878711,26.320516,82.614362
13590,-4.370721,0.461785,8.880492,-0.011404,0.027128,0.095830,0.013027,0.003237,-0.007896,-0.043706,0.004614,0.088806,1.000000,0.000065,0.000016,-0.000039,0.735001,-0.131845,0.187135,0.638257,2.882082,26.320447,82.614523
