PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
28068,-9.556403,-2.015260,-0.253592,-0.058527,0.213286,-0.045356,-1.804234,-0.420147,-1.008803,-0.095659,-0.019693,-0.002558,0.999944,-0.009021,-0.002101,-0.005044,0.290125,-0.702793,0.167480,0.627583,-102.536332,78.322252,39.500650
28069,-9.344035,-2.306707,-0.977949,0.660019,-0.049154,-0.161284,-2.002386,-0.370945,-1.110496,-0.093549,-0.022645,-0.009725,0.999933,-0.010012,-0.001855,-0.005552,0.286835,-0.705388,0.156769,0.628949,-102.053106,77.752382,41.167802
28070,-9.236506,-2.996562,-1.109621,1.116392,0.373266,-0.110247,-2.085918,-0.361019,-1.122621,-0.092512,-0.029561,-0.010953,0.999928,-0.010429,-0.001805,-0.005613,0.283242,-0.708047,0.145744,0.630239,-101.731544,77.171807,42.722088
28071,-8.656774,-4.223768,-2.074928,2.606850,0.840663,-0.347897,-2.081237,-0.365031,-1.126356,-0.086767,-0.041963,-0.020470,0.999928,-0.010406,-0.001825,-0.005632,0.279639,-0.710587,0.134696,0.631447,-101.477801,76.588246,44.207507
28072,-8.324805,-6.028364,-3.169633,4.452251,1.726859,-0.175029,-1.779946,-0.215579,-1.120797,-0.083551,-0.060095,-0.031251,0.999944,-0.008900,-0.001078,-0.005604,0.276949,-0.713093,0.124800,0.631840,-101.472327,75.988866,45.264509
28073,-8.376147,-7.286837,-3.332379,5.141201,2.649119,0.232790,-1.114804,-0.123372,-1.122832,-0.084149,-0.072581,-0.032971,0.999969,-0.005574,-0.000617,-0.005614,0.276558,-0.714900,0.117126,0.631439,-101.331791,75.378749,46.069214
28074,-8.081582,-7.328079,-2.848147,4.723831,2.953487,-0.010344,-0.301442,-0.079557,-1.097057,-0.081205,-0.072879,-0.028404,0.999984,-0.001507,-0.000398,-0.005485,0.278959,-0.715676,0.112158,0.630405,-100.874916,74.775976,46.721608
28075,-7.771216,-6.286118,-1.796475,3.315174,2.641487,-0.584172,0.445352,-0.063832,-1.030199,-0.078029,-0.062420,-0.018129,0.999984,0.002227,-0.000319,-0.005151,0.283799,-0.715395,0.109810,0.628976,-100.094060,74.208738,47.267613
28076,-7.652405,-4.777387,-1.064719,1.929005,1.733784,-1.107033,0.854642,-0.063902,-0.932517,-0.076742,-0.047370,-0.010875,0.999980,0.004273,-0.000320,-0.004663,0.289794,-0.714456,0.109089,0.627433,-99.159321,73.693320,47.731027
28077,-7.724917,-3.521351,-0.872605,1.091571,0.718222,-1.378962,0.967649,-0.034017,-0.818555,-0.077391,-0.034854,-0.008908,0.999980,0.004838,-0.000170,-0.004093,0.295800,-0.713354,0.109174,0.625867,-98.291314,73.239141,48.058601
28078,-8.081449,-2.157317,-0.790287,0.221587,-0.480128,-1.427679,0.976865,0.004321,-0.703549,-0.080890,-0.021250,-0.008005,0.999982,0.004884,0.000022,-0.003518,0.301458,-0.712273,0.109738,0.624298,-97.548812,72.843741,48.250162
28079,-8.562287,-1.056614,-0.509148,-0.712910,-1.356104,-1.307340,0.790139,0.054447,-0.565051,-0.085654,-0.010304,-0.005109,0.999988,0.003951,0.000272,-0.002825,0.305971,-0.711529,0.110298,0.622850,-97.054290,72.525015,48.294422
28080,-8.985232,-0.691644,-0.274906,-1.209653,-1.641591,-1.030311,0.540703,0.066907,-0.414447,-0.089867,-0.006723,-0.002737,0.999994,0.002704,0.000335,-0.002072,0.309121,-0.711113,0.110626,0.621710,-96.766170,72.289703,48.272192
28081,-9.124382,-1.302518,-0.298138,-0.904515,-1.232624,-0.718611,0.340197,0.018818,-0.256072,-0.091261,-0.012903,-0.002995,0.999998,0.001701,0.000094,-0.001280,0.311084,-0.710761,0.110826,0.621098,-96.542595,72.149052,48.302758
28082,-8.815221,-2.264823,-0.578618,-0.094989,-0.590087,-0.712407,0.247698,-0.031508,-0.126483,-0.088166,-0.022585,-0.005828,0.999999,0.001238,-0.000158,-0.000632,0.312346,-0.710327,0.111115,0.620910,-96.312422,72.084453,48.396281
28083,-8.489824,-2.809855,-0.572348,0.268077,-0.097480,-0.856203,0.303354,-0.020905,-0.006900,-0.084899,-0.028087,-0.005775,0.999999,0.001517,-0.000105,-0.000034,0.313424,-0.709767,0.112024,0.620844,-96.091341,72.088121,48.446435
