PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
01534,-9.507250,-1.911184,-0.344704,0.088073,-0.524822,-0.123722,-0.058918,-0.009410,-0.095045,-0.095081,-0.019068,-0.003446,1.000000,-0.000295,-0.000047,-0.000475,0.692433,-0.081287,0.716565,-0.021528,-105.637741,81.434699,-100.780582
01535,-9.538222,-1.774797,-0.274188,0.146472,-0.373291,-0.115164,-0.081036,-0.010337,-0.070154,-0.095388,-0.017716,-0.002740,1.000000,-0.000405,-0.000052,-0.000351,0.692455,-0.081786,0.716489,-0.021438,-105.559302,81.404106,-100.654086
01536,-9.536155,-1.787970,-0.241118,0.180043,-0.379918,-0.116478,-0.095986,-0.012383,-0.042635,-0.095365,-0.017861,-0.002409,1.000000,-0.000480,-0.000062,-0.000213,0.692482,-0.082237,0.716420,-0.021177,-105.514804,81.390821,-100.551678
01537,-9.559343,-1.621698,-0.218087,0.188676,-0.208553,-0.118389,-0.121111,-0.013106,-0.026986,-0.095595,-0.016205,-0.002177,1.000000,-0.000606,-0.000066,-0.000135,0.692502,-0.082721,0.716356,-0.020793,-105.493687,81.384455,-100.459926
01538,-9.543048,-1.384321,-0.250405,0.134705,0.020661,-0.167469,-0.146618,-0.015631,-0.014949,-0.095431,-0.013838,-0.002501,1.000000,-0.000733,-0.000078,-0.000075,0.692521,-0.083248,0.716292,-0.020254,-105.494417,81.386925,-100.373935
01539,-9.570161,-1.190914,-0.327001,0.041046,0.207908,-0.165497,-0.179060,-0.025661,-0.001135,-0.095701,-0.011912,-0.003272,1.000000,-0.000895,-0.000128,-0.000006,0.692564,-0.083842,0.716200,-0.019568,-105.486809,81.396750,-100.262265
01540,-9.519436,-1.110718,-0.362639,-0.003710,0.274004,-0.225729,-0.223252,-0.023161,0.006931,-0.095194,-0.011115,-0.003625,0.999999,-0.001116,-0.000116,0.000035,0.692580,-0.084556,0.716125,-0.018675,-105.525857,81.412458,-100.170627
01541,-9.563918,-1.145639,-0.442359,-0.078020,0.235985,-0.173449,-0.271032,-0.016240,0.014611,-0.095638,-0.011469,-0.004416,0.999999,-0.001355,-0.000081,0.000073,0.692550,-0.085411,0.716079,-0.017609,-105.621181,81.429549,-100.109770
01542,-9.574841,-1.437334,-0.482448,-0.087019,-0.058250,-0.119118,-0.309631,-0.016420,0.034862,-0.095746,-0.014397,-0.004810,0.999999,-0.001548,-0.000082,0.000174,0.692504,-0.086324,0.716045,-0.016313,-105.763070,81.459672,-100.072090
01543,-9.554661,-1.740784,-0.475396,-0.046837,-0.365493,-0.096099,-0.258748,-0.012458,0.050728,-0.095542,-0.017438,-0.004737,0.999999,-0.001294,-0.000062,0.000254,0.692467,-0.087005,0.716024,-0.015167,-105.903056,81.496121,-100.063520
01544,-9.620503,-1.855688,-0.506645,-0.061747,-0.479348,-0.013669,-0.166047,-0.015046,0.054624,-0.096200,-0.018587,-0.005058,1.000000,-0.000830,-0.000075,0.000273,0.692478,-0.087350,0.715989,-0.014318,-105.989134,81.536924,-100.052615
01545,-9.615728,-1.677677,-0.499159,-0.072098,-0.310735,-0.044155,-0.093514,-0.011017,0.049996,-0.096153,-0.016803,-0.004989,1.000000,-0.000468,-0.000055,0.000250,0.692505,-0.087462,0.715959,-0.013767,-106.039714,81.572746,-100.049369
01546,-9.565225,-1.472562,-0.377676,0.025447,-0.110663,-0.128076,-0.060268,-0.018410,0.056510,-0.095648,-0.014754,-0.003781,1.000000,-0.000301,-0.000092,0.000283,0.692574,-0.087434,0.715905,-0.013288,-106.055032,81.615097,-100.028230
01547,-9.550186,-1.276614,-0.381669,-0.000563,0.072519,-0.170271,-0.032289,-0.011746,0.065272,-0.095497,-0.012798,-0.003820,1.000000,-0.000161,-0.000059,0.000326,0.692632,-0.087279,0.715875,-0.012903,-106.084488,81.659446,-100.039092
01548,-9.600102,-1.201051,-0.414848,-0.040936,0.142849,-0.129996,-0.025299,-0.010563,0.065233,-0.095997,-0.012042,-0.004152,1.000000,-0.000126,-0.000053,0.000326,0.692688,-0.087098,0.715849,-0.012523,-106.118835,81.705347,-100.057445
01549,-9.632058,-1.238960,-0.406671,-0.028623,0.103449,-0.093355,-0.025871,-0.012235,0.064250,-0.096316,-0.012421,-0.004071,1.000000,-0.000129,-0.000061,0.000321,0.692750,-0.086925,0.715816,-0.012164,-106.142085,81.749209,-100.065749
01550,-9.611742,-1.206117,-0.399741,-0.026366,0.125934,-0.118176,-0.021936,-0.008860,0.063880,-0.096113,-0.012092,-0.004000,1.000000,-0.000110,-0.000044,0.000319,0.692802,-0.086737,0.715796,-0.011802,-106.180039,81.794091,-100.089693
