PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36839,-9.546822,-0.509996,-0.487100,0.059301,-0.096813,-0.240526,0.010067,0.011670,-0.060349,-0.095470,-0.005071,-0.004866,1.000000,0.000050,0.000058,-0.000302,0.673694,-0.179015,0.702808,0.141949,-141.273856,86.180174,-115.023104
36840,-9.892174,-0.608809,-0.445880,0.147864,-0.141438,0.106117,0.011600,0.018044,-0.068244,-0.098924,-0.006054,-0.004450,1.000000,0.000058,0.000090,-0.000341,0.673715,-0.179183,0.702794,0.141713,-140.936716,86.156098,-114.691536
36841,-9.863251,-0.529564,-0.627455,-0.053761,-0.145638,0.083461,0.000102,-0.000209,-0.098506,-0.098635,-0.005247,-0.006275,1.000000,0.000001,-0.000001,-0.000493,0.673800,-0.179490,0.702692,0.141424,-140.322220,86.127021,-114.075234
36842,-9.664536,-0.420707,-0.496986,0.005663,0.003863,-0.126243,0.053618,0.013370,-0.081317,-0.096647,-0.004166,-0.004965,1.000000,0.000268,0.000067,-0.000407,0.673884,-0.179560,0.702678,0.141002,-139.860876,86.099908,-113.643041
36843,-9.649245,-0.252136,-0.241877,0.156451,0.271930,-0.162217,0.061233,0.001857,-0.068188,-0.096493,-0.002488,-0.002419,1.000000,0.000306,0.000009,-0.000341,0.673995,-0.179556,0.702654,0.140599,-139.431752,86.080469,-113.247613
36844,-9.536392,-0.322698,-0.294641,0.133934,0.182335,-0.268971,0.021754,-0.006567,-0.057176,-0.095365,-0.003199,-0.002950,1.000000,0.000109,-0.000033,-0.000286,0.674103,-0.179634,0.702572,0.140388,-139.043810,86.070582,-112.870694
36845,-9.722758,-0.426027,-0.370331,0.113562,0.072347,-0.074488,0.009925,0.000120,-0.066862,-0.097229,-0.004228,-0.003703,1.000000,0.000050,0.000001,-0.000334,0.674173,-0.179797,0.702507,0.140171,-138.649756,86.052018,-112.480938
36846,-9.753220,-0.525317,-0.458876,0.075050,-0.048556,-0.034967,0.035348,-0.002077,-0.081412,-0.097534,-0.005213,-0.004591,1.000000,0.000177,-0.000010,-0.000407,0.674295,-0.179917,0.702428,0.139826,-138.134154,86.030631,-111.983917
36847,-9.622480,-0.420102,-0.452894,0.026657,0.045606,-0.170545,0.085553,-0.001165,-0.073952,-0.096226,-0.004163,-0.004531,1.000000,0.000428,-0.000006,-0.000370,0.674442,-0.179849,0.702404,0.139321,-137.654887,86.009448,-111.552159
36848,-9.575955,-0.385751,-0.336617,0.111016,0.128984,-0.224566,0.092939,0.001865,-0.062551,-0.095761,-0.003826,-0.003367,1.000000,0.000465,0.000009,-0.000313,0.674587,-0.179713,0.702396,0.138834,-137.252397,85.993093,-111.201433
