PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
44095,-9.426276,-2.119587,-0.156686,0.329787,-0.043487,-0.155503,-0.318504,-0.057263,-0.087065,-0.094272,-0.021157,-0.001560,0.999999,-0.001593,-0.000286,-0.000435,0.631086,-0.421012,0.580657,0.295495,-98.707080,79.022607,-37.515168
44096,-9.501830,-2.037054,-0.171650,0.234206,-0.005206,-0.096261,-0.294313,-0.055052,-0.086288,-0.095027,-0.020332,-0.001713,0.999999,-0.001472,-0.000275,-0.000431,0.630755,-0.422072,0.579866,0.296242,-98.663091,78.984940,-37.298092
44097,-9.421731,-1.969420,-0.208716,0.164465,-0.011912,-0.186474,-0.273422,-0.047961,-0.082212,-0.094225,-0.019658,-0.002083,0.999999,-0.001367,-0.000240,-0.000411,0.630440,-0.423065,0.579135,0.296924,-98.630169,78.948830,-37.104467
44098,-9.409776,-2.065232,-0.158665,0.268480,-0.010212,-0.181382,-0.256341,-0.029154,-0.070607,-0.094105,-0.020621,-0.001574,0.999999,-0.001282,-0.000146,-0.000353,0.630088,-0.423997,0.578514,0.297554,-98.647875,78.917784,-36.972372
44099,-9.514835,-2.092745,-0.221972,0.241898,-0.062131,-0.071099,-0.201244,-0.020020,-0.074985,-0.095156,-0.020894,-0.002208,0.999999,-0.001006,-0.000100,-0.000375,0.629832,-0.424781,0.577992,0.297990,-98.658551,78.883351,-36.865276
44100,-9.449164,-2.045685,-0.237713,0.199841,-0.057649,-0.143935,-0.184880,-0.013169,-0.067644,-0.094498,-0.020427,-0.002364,1.000000,-0.000924,-0.000066,-0.000338,0.629580,-0.425502,0.577531,0.298388,-98.683320,78.852617,-36.782079
44101,-9.398417,-2.185319,-0.183192,0.351922,-0.075562,-0.168526,-0.190233,-0.007367,-0.050423,-0.093990,-0.021831,-0.001815,1.000000,-0.000951,-0.000037,-0.000252,0.629273,-0.426199,0.577116,0.298842,-98.735192,78.831003,-36.723383
44102,-9.448085,-2.386263,-0.147764,0.534034,-0.126808,-0.082265,-0.136758,-0.000448,-0.037168,-0.094485,-0.023846,-0.001462,1.000000,-0.000684,-0.000002,-0.000186,0.629040,-0.426698,0.576832,0.299170,-98.782400,78.816442,-36.691151
44103,-9.474326,-2.298266,-0.182933,0.435733,-0.111889,-0.072258,-0.065558,0.000524,-0.034792,-0.094747,-0.022967,-0.001822,1.000000,-0.000328,0.000003,-0.000174,0.628952,-0.426969,0.576661,0.299296,-98.792301,78.802976,-36.662485
44104,-9.389737,-2.236695,-0.147954,0.410861,-0.060913,-0.168034,-0.047536,0.009313,-0.023635,-0.093900,-0.022356,-0.001470,1.000000,-0.000238,0.000047,-0.000118,0.628861,-0.427164,0.576569,0.299388,-98.822303,78.795227,-36.664823
44105,-9.457238,-2.178072,-0.052185,0.394163,0.060026,-0.115930,-0.024004,0.019748,-0.018694,-0.094574,-0.021772,-0.000510,1.000000,-0.000120,0.000099,-0.000093,0.628782,-0.427287,0.576555,0.299404,-98.870395,78.789161,-36.699361
44106,-9.450787,-2.025309,-0.029971,0.273130,0.150235,-0.152306,-0.009742,0.021261,-0.013376,-0.094509,-0.020247,-0.000289,1.000000,-0.000049,0.000106,-0.000067,0.628722,-0.427351,0.576580,0.299394,-98.917383,78.786159,-36.741092
44107,-9.441749,-2.022147,-0.157175,0.213437,0.040466,-0.157988,-0.047091,0.032058,-0.003721,-0.094418,-0.020220,-0.001552,1.000000,-0.000235,0.000160,-0.000019,0.628536,-0.427521,0.576601,0.299497,-99.020416,78.787441,-36.818158
44108,-9.409138,-2.121157,-0.321655,0.230946,-0.150292,-0.165993,-0.069060,0.051023,0.011219,-0.094091,-0.021218,-0.003185,1.000000,-0.000345,0.000255,0.000056,0.628226,-0.427745,0.576683,0.299671,-99.197575,78.795623,-36.957943
44109,-9.468304,-2.251072,-0.336308,0.332786,-0.211743,-0.082650,-0.022195,0.057055,0.020450,-0.094682,-0.022521,-0.003334,1.000000,-0.000111,0.000285,0.000102,0.627986,-0.427805,0.576872,0.299725,-99.369137,78.808167,-37.119406
44110,-9.439389,-2.168237,-0.322191,0.276630,-0.162510,-0.127431,0.026519,0.051280,0.023004,-0.094392,-0.021693,-0.003201,1.000000,0.000133,0.000256,0.000115,0.627861,-0.427695,0.577123,0.299660,-99.498400,78.822832,-37.266179
