// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
44095,-3.683088,-1.388524,9.090752,0.160812,0.152222,0.091142,-0.212197,-0.034872,0.014059,-0.036846,-0.013791,0.090916,0.999999,-0.001061,-0.000174,0.000070,0.430936,-0.198261,0.029453,0.879840,-7.375855,21.978646,126.375593
44096,-3.653229,-1.338633,9.063099,0.102383,0.123746,0.048954,-0.184931,-0.034165,0.011050,-0.036547,-0.013305,0.090637,1.000000,-0.000925,-0.000171,0.000055,0.430667,-0.198506,0.028543,0.879947,-7.480736,21.958484,126.390281
44097,-3.682339,-1.231577,9.142310,-0.001269,0.040270,0.119915,-0.179453,-0.024670,0.013991,-0.036834,-0.012236,0.091430,1.000000,-0.000897,-0.000123,0.000070,0.430388,-0.198782,0.027683,0.880049,-7.581810,21.944206,126.406108
44098,-3.645354,-1.319947,9.080470,0.054645,0.098272,0.060161,-0.178068,-0.019864,0.008596,-0.036462,-0.013120,0.090813,1.000000,-0.000890,-0.000099,0.000043,0.430133,-0.199075,0.026831,0.880133,-7.683744,21.932027,126.418192
44099,-3.626148,-1.150465,9.143325,-0.118333,0.008442,0.089778,-0.174420,-0.023239,0.007900,-0.036272,-0.011426,0.091439,1.000000,-0.000872,-0.000116,0.000039,0.429885,-0.199346,0.025990,0.880218,-7.783358,21.918143,126.430224
44100,-3.641784,-1.419211,9.039269,0.118504,0.131293,0.033826,-0.189501,-0.021818,0.000208,-0.036428,-0.014106,0.090402,1.000000,-0.000948,-0.000109,0.000001,0.429656,-0.199656,0.025075,0.880287,-7.893684,21.904237,126.437385
44101,-3.680490,-1.569293,9.056923,0.237789,0.189937,0.083974,-0.142624,-0.017665,0.001816,-0.036813,-0.015629,0.090577,1.000000,-0.000713,-0.000088,0.000009,0.429465,-0.199884,0.024380,0.880348,-7.976632,21.893074,126.445272
44102,-3.628481,-1.557349,9.076921,0.184791,0.217480,0.081768,-0.104118,-0.008820,-0.001233,-0.036289,-0.015526,0.090776,1.000000,-0.000521,-0.000044,-0.000006,0.429325,-0.200068,0.023867,0.880388,-8.038781,21.886448,126.450471
44103,-3.686877,-1.449460,9.089735,0.123148,0.102581,0.101524,-0.088233,-0.003162,-0.001251,-0.036870,-0.014454,0.090903,1.000000,-0.000441,-0.000016,-0.000006,0.429200,-0.200243,0.023439,0.880421,-8.091725,21.883283,126.455253
44104,-3.661501,-1.545358,9.042036,0.192829,0.166945,0.060918,-0.062899,-0.005129,-0.001050,-0.036617,-0.015425,0.090424,1.000000,-0.000314,-0.000026,-0.000005,0.429100,-0.200355,0.023116,0.880453,-8.130343,21.878772,126.460250
44105,-3.661423,-1.549565,9.041348,0.192657,0.166580,0.060927,-0.031016,0.003029,0.003208,-0.036613,-0.015482,0.090416,1.000000,-0.000155,0.000015,0.000016,0.429011,-0.200434,0.022958,0.880482,-8.149688,21.879487,126.467219
44106,-3.632760,-1.522871,9.053383,0.150760,0.172377,0.057843,-0.010243,-0.001610,0.006921,-0.036328,-0.015225,0.090534,1.000000,-0.000051,-0.000008,0.000035,0.428929,-0.200447,0.022882,0.880521,-8.156448,21.877623,126.476778
44107,-3.585793,-1.549051,9.054136,0.145143,0.224650,0.044458,0.027855,0.005480,0.010474,-0.035855,-0.015505,0.090540,1.000000,0.000139,0.000027,0.000052,0.428867,-0.200410,0.022996,0.880557,-8.140487,21.880319,126.487974
44108,-3.682955,-1.451048,9.015390,0.139349,0.084624,0.032127,0.051604,0.006347,0.012540,-0.036826,-0.014536,0.090151,1.000000,0.000258,0.000032,0.000063,0.428820,-0.200325,0.023215,0.880593,-8.110802,21.883416,126.500268
