PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
63366,-6.248878,7.257697,-1.179468,-0.068866,-0.020739,-0.163407,-0.026340,0.010019,-0.018583,-0.062483,0.072581,-0.011801,1.000000,-0.000132,0.000050,-0.000093,0.192143,0.636141,-0.399405,-0.631571,99.727964,40.545453,-98.842653
63367,-6.201481,7.365672,-1.203475,-0.079201,-0.129415,-0.110274,-0.018744,0.017038,-0.025605,-0.062006,0.073664,-0.012036,1.000000,-0.000094,0.000085,-0.000128,0.192173,0.636191,-0.399281,-0.631589,99.723887,40.553746,-98.832219
63368,-6.217345,7.462192,-1.163011,-0.138389,-0.166859,-0.032847,-0.025600,0.020318,-0.015844,-0.062169,0.074625,-0.011633,1.000000,-0.000128,0.000102,-0.000079,0.192680,0.636379,-0.398767,-0.631571,99.697660,40.554240,-98.766081
63369,-6.250690,7.550493,-1.196715,-0.124390,-0.204473,0.059289,-0.034069,0.024980,-0.009159,-0.062505,0.075506,-0.011972,1.000000,-0.000170,0.000125,-0.000046,0.192827,0.636407,-0.398639,-0.631578,99.687236,40.552483,-98.751837
63370,-6.322596,7.551880,-1.210840,-0.102888,-0.153518,0.108909,-0.022014,0.022377,-0.003129,-0.063226,0.075518,-0.012110,1.000000,-0.000110,0.000112,-0.000016,0.192683,0.636272,-0.398893,-0.631598,99.690606,40.542853,-98.785088
63371,-6.380085,7.475662,-1.180287,-0.105065,-0.055003,0.085293,-0.001548,0.018962,0.004092,-0.063803,0.074755,-0.011797,1.000000,-0.000008,0.000095,0.000020,0.192756,0.636286,-0.398916,-0.631547,99.694840,40.534186,-98.777005
63372,-6.303269,7.354831,-1.202304,-0.062261,-0.042241,-0.052328,0.016749,0.016512,-0.003083,-0.063033,0.073550,-0.012012,1.000000,0.000084,0.000083,-0.000015,0.192611,0.636208,-0.399201,-0.631489,99.712689,40.521731,-98.799001
63373,-6.269878,7.320184,-1.168974,-0.090888,-0.036640,-0.104271,0.030917,0.009654,-0.003166,-0.062698,0.073205,-0.011675,1.000000,0.000155,0.000048,-0.000016,0.192539,0.636238,-0.399313,-0.631410,99.731644,40.518047,-98.796923
63374,-6.238284,7.362443,-1.161051,-0.114631,-0.082625,-0.094158,0.042126,0.010311,-0.005106,-0.062382,0.073628,-0.011592,1.000000,0.000211,0.000052,-0.000026,0.192639,0.636340,-0.399283,-0.631296,99.746839,40.511677,-98.770497
63375,-6.245162,7.371751,-1.132423,-0.146959,-0.074898,-0.086438,0.045836,0.004670,-0.008135,-0.062449,0.073723,-0.011306,1.000000,0.000229,0.000023,-0.000041,0.192494,0.636378,-0.399431,-0.631208,99.772326,40.511278,-98.771491
