PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
63366,0.099892,2.912820,9.854868,0.302628,0.085117,0.459316,0.154070,-0.157305,0.111299,0.000905,0.029053,0.098572,0.999999,0.000770,-0.000787,0.000556,0.514930,0.055187,-0.121508,-0.846780,15.233220,-1.815119,-117.634848
63367,0.236973,3.004620,9.737288,0.343134,-0.071413,0.374354,0.069410,-0.177543,0.100021,0.002268,0.030014,0.097385,0.999999,0.000347,-0.000888,0.000500,0.515238,0.054527,-0.122281,-0.846525,15.269924,-1.930697,-117.605237
63368,0.405445,2.681326,9.513100,0.042805,-0.094166,0.078837,-0.010705,-0.163404,0.068930,0.003967,0.026820,0.095133,1.000000,-0.000054,-0.000817,0.000345,0.515424,0.053747,-0.122679,-0.846403,15.262570,-2.033339,-117.593114
63369,0.561355,2.330017,9.358742,-0.288671,-0.089034,-0.156659,-0.024435,-0.124572,0.037532,0.005551,0.023313,0.093588,1.000000,-0.000122,-0.000623,0.000188,0.515524,0.053108,-0.122901,-0.846351,15.246366,-2.110216,-117.590083
63370,0.530638,2.239437,9.305656,-0.335684,-0.021823,-0.232566,0.018150,-0.068302,0.004813,0.005274,0.022386,0.093060,1.000000,0.000091,-0.000342,0.000024,0.515538,0.052842,-0.123148,-0.846323,15.255048,-2.150909,-117.592619
63371,0.413751,2.491067,9.470102,-0.101520,0.002212,-0.012222,0.050949,-0.024795,-0.022599,0.004129,0.024886,0.094708,1.000000,0.000255,-0.000124,-0.000113,0.515425,0.052857,-0.123416,-0.846352,15.282716,-2.163562,-117.607797
63372,0.371942,2.652690,9.526090,0.041230,-0.020410,0.082735,0.036920,0.000041,-0.037893,0.003724,0.026509,0.095266,1.000000,0.000185,0.000000,-0.000189,0.515275,0.052958,-0.123557,-0.846417,15.303043,-2.159530,-117.626356
63373,0.313937,2.705396,9.596314,0.095506,0.018903,0.162156,0.017666,0.011495,-0.029041,0.003149,0.027045,0.095965,1.000000,0.000088,0.000057,-0.000145,0.515165,0.053044,-0.123588,-0.846473,15.311568,-2.151142,-117.639610
63374,0.299020,2.704962,9.654377,0.087778,0.040142,0.217463,0.010902,0.020989,-0.016584,0.003003,0.027044,0.096545,1.000000,0.000055,0.000105,-0.000083,0.515175,0.053150,-0.123559,-0.846465,15.314903,-2.139323,-117.636696
63375,0.085162,2.705643,9.862860,0.141254,0.261019,0.410604,0.009478,-0.001107,0.002256,0.000851,0.027052,0.098630,1.000000,0.000047,-0.000006,0.000011,0.515192,0.053142,-0.123597,-0.846450,15.318153,-2.142631,-117.634543
63376,-0.129352,2.742467,10.091947,0.224172,0.473639,0.632918,0.000260,-0.061077,0.016720,-0.001327,0.027424,0.100919,1.000000,0.000001,-0.000305,0.000084,0.515258,0.052851,-0.123753,-0.846405,15.316210,-2.181409,-117.630584
63377,-0.160045,2.726811,10.195067,0.209563,0.533404,0.726385,-0.024419,-0.155898,0.014749,-0.001682,0.027280,0.101946,1.000000,-0.000122,-0.000779,0.000074,0.515241,0.052093,-0.124050,-0.846419,15.300676,-2.272149,-117.644951
63378,0.111583,2.536795,10.040104,-0.032944,0.368947,0.536912,-0.040659,-0.244469,0.009811,0.000992,0.025388,0.100397,0.999999,-0.000203,-0.001222,0.000049,0.515206,0.050918,-0.124500,-0.846445,15.275734,-2.412144,-117.668226
63379,0.464732,2.353468,9.746783,-0.276682,0.113150,0.220515,-0.003728,-0.289964,0.007413,0.004505,0.023537,0.097474,0.999999,-0.000019,-0.001450,0.000037,0.515069,0.049651,-0.125227,-0.846497,15.273174,-2.575887,-117.706850
63380,0.780316,2.467292,9.441880,-0.250014,-0.239273,-0.028736,0.055028,-0.272959,0.000034,0.007674,0.024647,0.094436,0.999999,0.000275,-0.001365,0.000000,0.514879,0.048613,-0.126160,-0.846534,15.304923,-2.728866,-117.749071
63381,0.889492,2.711435,9.321705,-0.058692,-0.439626,-0.074078,0.034806,-0.217138,-0.014982,0.008796,0.027097,0.093231,0.999999,0.000174,-0.001086,-0.000075,0.514681,0.047767,-0.126857,-0.846599,15.324713,-2.848947,-117.789175
63382,0.843082,2.663408,9.305416,-0.068149,-0.365273,-0.104072,-0.014110,-0.144268,-0.025680,0.008367,0.026640,0.093058,1.000000,-0.000071,-0.000721,-0.000128,0.514533,0.047126,-0.127138,-0.846682,15.315280,-2.925204,-117.818833
