PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
19240,-3.115020,0.004405,9.449991,-0.008754,-0.004918,0.137468,0.007386,0.001515,-0.007781,-0.031149,0.000042,0.094500,1.000000,0.000037,0.000008,-0.000039,-0.536045,-0.133740,-0.085852,0.829095,0.061731,18.288828,-114.221286
19241,-3.104919,0.032915,9.411172,0.018170,-0.014116,0.097471,0.011453,0.003871,-0.008092,-0.031047,0.000325,0.094112,1.000000,0.000057,0.000019,-0.000040,-0.536044,-0.133753,-0.085835,0.829095,0.064238,18.289059,-114.220966
19242,-3.119961,0.060870,9.395976,0.051274,-0.007987,0.087794,0.007670,0.000668,-0.005678,-0.031199,0.000606,0.093960,1.000000,0.000038,0.000003,-0.000028,-0.536040,-0.133746,-0.085820,0.829101,0.065197,18.287380,-114.221576
19243,-3.067084,0.049828,9.401681,0.019727,-0.050580,0.076607,0.009939,0.002116,-0.005132,-0.030670,0.000494,0.094017,1.000000,0.000050,0.000011,-0.000026,-0.536053,-0.133749,-0.085802,0.829093,0.067397,18.286604,-114.219472
19244,-3.110652,0.020666,9.430353,0.006494,-0.008954,0.117469,0.002941,0.002243,-0.012378,-0.031105,0.000207,0.094304,1.000000,0.000015,0.000011,-0.000062,-0.536024,-0.133733,-0.085815,0.829114,0.064405,18.285772,-114.224131
19245,-3.085762,0.021405,9.406643,0.000813,-0.024114,0.087148,0.006436,0.003930,-0.006928,-0.030856,0.000212,0.094067,1.000000,0.000032,0.000020,-0.000035,-0.536031,-0.133733,-0.085818,0.829109,0.064259,18.286037,-114.223109
19246,-3.132127,0.005157,9.382281,0.007255,0.029619,0.078547,0.007292,0.003751,-0.010586,-0.031320,0.000050,0.093823,1.000000,0.000036,0.000019,-0.000053,-0.536014,-0.133734,-0.085819,0.829120,0.063875,18.286161,-114.225557
19247,-3.096812,-0.005743,9.445156,-0.024532,-0.014489,0.127154,0.005965,0.003387,-0.008328,-0.030967,-0.000059,0.094452,1.000000,0.000030,0.000017,-0.000042,-0.536016,-0.133730,-0.085824,0.829118,0.063194,18.286115,-114.225380
19248,-3.086698,0.022609,9.406333,0.002407,-0.023677,0.087149,0.009470,0.001574,-0.006532,-0.030866,0.000223,0.094064,1.000000,0.000047,0.000008,-0.000033,-0.536013,-0.133729,-0.085807,0.829122,0.064729,18.284973,-114.225631
19249,-3.150918,-0.022294,9.387207,-0.011122,0.056188,0.089089,0.008811,-0.000359,-0.007231,-0.031509,-0.000226,0.093872,1.000000,0.000044,-0.000002,-0.000036,-0.536020,-0.133718,-0.085789,0.829122,0.065884,18.282780,-114.224795
19250,-3.088658,0.066123,9.405390,0.042801,-0.038886,0.086918,0.010326,0.001394,-0.010190,-0.030886,0.000658,0.094054,1.000000,0.000052,0.000007,-0.000051,-0.536010,-0.133718,-0.085772,0.829129,0.067299,18.281648,-114.225955
19251,-3.086906,0.024489,9.406260,0.003974,-0.023256,0.087149,0.007673,0.000667,-0.005676,-0.030869,0.000242,0.094063,1.000000,0.000038,0.000003,-0.000028,-0.536024,-0.133708,-0.085761,0.829124,0.068097,18.280042,-114.224180
19252,-3.134988,0.050446,9.381033,0.049708,0.014995,0.078307,0.005683,0.004232,-0.010432,-0.031348,0.000503,0.093811,1.000000,0.000028,0.000021,-0.000052,-0.536012,-0.133708,-0.085770,0.829130,0.066952,18.280536,-114.225859
19253,-3.100553,0.010249,9.391807,-0.001764,-0.001502,0.077690,0.008235,0.004836,-0.007783,-0.031003,0.000100,0.093919,1.000000,0.000041,0.000024,-0.000039,-0.536015,-0.133717,-0.085769,0.829127,0.067675,18.281320,-114.225352
19254,-3.101048,0.010735,9.391643,-0.001257,-0.001338,0.077690,0.007953,0.005682,-0.009886,-0.031008,0.000105,0.093917,1.000000,0.000040,0.000028,-0.000049,-0.535996,-0.133728,-0.085770,0.829138,0.067957,18.282508,-114.227799
19255,-3.106627,-0.002504,9.410887,-0.013931,0.003465,0.097698,0.011741,0.003024,-0.005985,-0.031065,-0.000030,0.094109,1.000000,0.000059,0.000015,-0.000030,-0.536004,-0.133740,-0.085748,0.829133,0.071027,18.282252,-114.226209
19256,-3.119184,0.012697,9.448610,-0.000462,-0.002524,0.137473,0.009847,0.004352,-0.007935,-0.031190,0.000124,0.094487,1.000000,0.000049,0.000022,-0.000040,-0.535992,-0.133752,-0.085736,0.829139,0.072816,18.282722,-114.227467
19257,-3.122226,0.026073,9.395479,0.019671,0.009772,0.087996,0.008624,0.004110,-0.012840,-0.031220,0.000259,0.093955,1.000000,0.000043,0.000021,-0.000064,-0.535974,-0.133757,-0.085735,0.829151,0.072803,18.283093,-114.230012
19258,-3.112833,-0.014478,9.429929,-0.025583,0.008589,0.117709,0.009944,0.002117,-0.005129,-0.031127,-0.000149,0.094300,1.000000,0.000050,0.000011,-0.000026,-0.535971,-0.133761,-0.085714,0.829154,0.075036,18.282194,-114.230067
19259,-3.109587,0.042625,9.409592,0.027488,-0.011377,0.097453,0.014119,-0.001264,-0.006286,-0.031096,0.000421,0.094096,1.000000,0.000071,-0.000006,-0.000031,-0.535978,-0.133761,-0.085671,0.829154,0.079411,18.279482,-114.228662
19260,-3.101836,0.044590,9.443183,0.021591,-0.028002,0.126922,0.009191,0.002418,-0.008633,-0.031017,0.000443,0.094432,1.000000,0.000046,0.000012,-0.000043,-0.535954,-0.133763,-0.085655,0.829171,0.080643,18.278693,-114.231968
19261,-3.089781,0.030659,9.405298,0.009129,-0.021715,0.087149,0.006923,0.000967,-0.009178,-0.030897,0.000305,0.094053,1.000000,0.000035,0.000005,-0.000046,-0.535953,-0.133752,-0.085650,0.829174,0.080348,18.277261,-114.232307
19262,-3.089918,0.031098,9.405252,0.009639,-0.021546,0.087149,0.008721,0.001874,-0.010033,-0.030898,0.000308,0.094053,1.000000,0.000044,0.000009,-0.000050,-0.535931,-0.133750,-0.085637,0.829190,0.081043,18.276248,-114.235285
19263,-3.085004,0.045412,9.385778,0.023347,-0.026053,0.067136,0.005970,0.003383,-0.008327,-0.030848,0.000453,0.093858,1.000000,0.000030,0.000017,-0.000042,-0.535933,-0.133746,-0.085642,0.829188,0.080364,18.276199,-114.235108
19264,-3.103317,0.016778,9.390884,0.003873,0.000217,0.077689,0.006454,0.000422,-0.010578,-0.031033,0.000166,0.093909,1.000000,0.000032,0.000002,-0.000053,-0.535919,-0.133732,-0.085636,0.829200,0.079683,18.274435,-114.237348
19265,-3.088496,-0.010139,9.406050,-0.028187,-0.005664,0.087407,0.005596,0.000604,-0.006921,-0.030885,-0.000103,0.094061,1.000000,0.000028,0.000003,-0.000035,-0.535928,-0.133716,-0.085634,0.829197,0.079056,18.272793,-114.236325
19266,-3.095749,0.018379,9.424420,-0.001508,-0.016276,0.107163,0.003889,0.003320,-0.009575,-0.030956,0.000183,0.094245,1.000000,0.000019,0.000017,-0.000048,-0.535911,-0.133708,-0.085644,0.829208,0.077153,18.272623,-114.239014
19267,-3.103696,0.017714,9.390757,0.005404,0.000677,0.077689,0.010900,-0.000298,-0.005978,-0.031037,0.000173,0.093908,1.000000,0.000055,-0.000001,-0.000030,-0.535921,-0.133704,-0.085617,0.829205,0.079743,18.270464,-114.237422
19268,-3.103064,0.047768,9.442764,0.025746,-0.026758,0.126915,0.007112,0.002355,-0.009880,-0.031030,0.000476,0.094428,1.000000,0.000036,0.000012,-0.000049,-0.535900,-0.133699,-0.085613,0.829220,0.079315,18.269750,-114.240463
19269,-3.136205,0.046379,9.432701,0.038861,0.005527,0.127747,0.005597,0.000604,-0.006920,-0.031362,0.000462,0.094327,1.000000,0.000028,0.000003,-0.000035,-0.535910,-0.133683,-0.085611,0.829217,0.078688,18.268107,-114.239440
19270,-3.050142,0.036812,9.448534,-0.005227,-0.069274,0.115792,0.004940,-0.001330,-0.007618,-0.030502,0.000367,0.094485,1.000000,0.000025,-0.000007,-0.000038,-0.535909,-0.133660,-0.085604,0.829222,0.077811,18.265384,-114.240004
19271,-3.129217,0.018508,9.414247,0.013668,0.016604,0.107994,0.004360,0.003864,-0.008174,-0.031290,0.000184,0.094143,1.000000,0.000022,0.000019,-0.000041,-0.535912,-0.133654,-0.085617,0.829219,0.076239,18.265611,-114.239735
19272,-3.117074,0.004224,9.376398,0.001187,0.022890,0.068228,0.004471,-0.001875,-0.009018,-0.031172,0.000042,0.093764,1.000000,0.000022,-0.000009,-0.000045,-0.535896,-0.133625,-0.085611,0.829235,0.074536,18.262410,-114.242621
19273,-3.091103,0.034520,9.404850,0.015321,-0.019871,0.087146,0.005598,0.000604,-0.006920,-0.030911,0.000344,0.094049,1.000000,0.000028,0.000003,-0.000035,-0.535905,-0.133609,-0.085609,0.829232,0.073910,18.260768,-114.241597
19274,-3.104177,0.019558,9.390595,0.009010,0.001727,0.077686,0.001622,0.001866,-0.010119,-0.031041,0.000196,0.093906,1.000000,0.000008,0.000009,-0.000051,-0.535898,-0.133588,-0.085627,0.829238,0.070519,18.259894,-114.243193
19275,-3.129538,0.018996,9.414139,0.015737,0.017208,0.107990,0.004456,0.001631,-0.005367,-0.031295,0.000189,0.094142,1.000000,0.000022,0.000008,-0.000027,-0.535915,-0.133575,-0.085632,0.829229,0.069532,18.258839,-114.241231
19276,-3.091693,0.034919,9.404655,0.016823,-0.019453,0.087144,0.006159,0.004770,-0.009029,-0.030915,0.000348,0.094047,1.000000,0.000031,0.000024,-0.000045,-0.535918,-0.133579,-0.085641,0.829225,0.069010,18.259790,-114.240716
19277,-3.091988,0.035180,9.404557,0.017344,-0.019308,0.087143,0.005316,0.001447,-0.009023,-0.030919,0.000351,0.094046,1.000000,0.000027,0.000007,-0.000045,-0.535919,-0.133565,-0.085643,0.829227,0.067824,18.258633,-114.240961
19278,-3.118069,0.005165,9.376067,0.004201,0.023737,0.068225,0.002093,0.002410,-0.008719,-0.031180,0.000052,0.093761,1.000000,0.000010,0.000012,-0.000044,-0.535916,-0.133548,-0.085660,0.829229,0.064966,18.258058,-114.241816
19279,-3.097533,0.021475,9.423827,0.005189,-0.014377,0.107164,0.005786,0.001992,-0.007622,-0.030974,0.000213,0.094239,1.000000,0.000029,0.000010,-0.000038,-0.535922,-0.133538,-0.085662,0.829227,0.064315,18.257213,-114.241215
19280,-3.097805,0.021809,9.423737,0.005713,-0.014246,0.107164,0.007302,0.003743,-0.010581,-0.030976,0.000216,0.094238,1.000000,0.000037,0.000019,-0.000053,-0.535910,-0.133539,-0.085664,0.829234,0.063928,18.257439,-114.242842
19281,-3.103898,-0.021150,9.391032,-0.026811,0.018083,0.077969,0.006538,0.001695,-0.004118,-0.031038,-0.000214,0.093911,1.000000,0.000033,0.000008,-0.000021,-0.535930,-0.133532,-0.085659,0.829223,0.064370,18.256420,-114.240127
