PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
24510,-9.700792,-0.133552,0.113143,-0.375474,-0.149491,-0.118737,0.046518,0.014401,0.076281,-0.097007,-0.001373,0.001138,1.000000,0.000233,0.000072,0.000381,-0.026022,0.716340,-0.004957,-0.697248,-130.930308,87.696254,46.558797
24511,-9.726269,0.078369,0.157719,-0.429476,-0.352037,-0.100688,-0.027185,0.002481,0.067450,-0.097263,0.000751,0.001578,1.000000,-0.000136,0.000012,0.000337,-0.025654,0.716320,-0.005131,-0.697282,-131.603118,87.731598,45.901700
24512,-9.775275,-0.049950,-0.155300,-0.112548,-0.231708,-0.039446,-0.068460,0.013601,0.061589,-0.097753,-0.000530,-0.001546,1.000000,-0.000342,0.000068,0.000308,-0.025154,0.716352,-0.005148,-0.697266,-132.422671,87.759412,45.121342
24513,-9.805930,-0.168852,-0.279163,0.015437,-0.112357,-0.001988,-0.085114,0.006654,0.055607,-0.098059,-0.001717,-0.002788,1.000000,-0.000426,0.000033,0.000278,-0.024611,0.716354,-0.005070,-0.697285,-133.096428,87.787510,44.497992
24514,-9.732833,-0.251020,-0.291972,0.033944,-0.022793,-0.072327,-0.095603,0.001397,0.042509,-0.097328,-0.002532,-0.002918,1.000000,-0.000478,0.000007,0.000213,-0.024081,0.716347,-0.004922,-0.697311,-133.639923,87.811445,44.009487
24515,-9.648834,-0.323563,-0.409601,0.157766,0.052184,-0.151173,-0.066352,-0.006438,0.040462,-0.096488,-0.003257,-0.004098,1.000000,-0.000332,-0.000032,0.000202,-0.023665,0.716301,-0.004861,-0.697373,-134.031810,87.838002,43.656230
24516,-9.629211,-0.402083,-0.432316,0.185345,0.135236,-0.168123,-0.027121,-0.005314,0.040098,-0.096291,-0.004041,-0.004325,1.000000,-0.000136,-0.000027,0.000200,-0.023388,0.716262,-0.004942,-0.697421,-134.458330,87.863339,43.245535
24517,-9.738322,-0.372788,-0.434849,0.185418,0.107859,-0.059894,0.016285,-0.008272,0.041022,-0.097382,-0.003748,-0.004353,1.000000,0.000081,-0.000041,0.000205,-0.023266,0.716200,-0.005170,-0.697488,-134.806918,87.890615,42.888354
24518,-9.768403,-0.357916,-0.446872,0.198140,0.096539,-0.030003,0.067264,-0.015495,0.041570,-0.097683,-0.003598,-0.004477,1.000000,0.000336,-0.000077,0.000208,-0.023323,0.716115,-0.005585,-0.697570,-135.102081,87.920478,42.555003
24519,-9.781833,-0.348993,-0.321229,0.074930,0.096590,-0.020124,0.088156,-0.019522,0.032625,-0.097817,-0.003504,-0.003223,1.000000,0.000441,-0.000098,0.000163,-0.023485,0.716005,-0.006030,-0.697674,-135.206654,87.948812,42.401249
24520,-9.739653,-0.301337,-0.287387,0.043505,0.055376,-0.064391,0.111714,-0.024160,0.036234,-0.097396,-0.003029,-0.002887,1.000000,0.000559,-0.000121,0.000181,-0.023720,0.715885,-0.006579,-0.697785,-135.331189,87.979983,42.213163
24521,-9.661788,-0.161015,-0.167301,-0.076779,-0.073984,-0.148698,0.124197,-0.023431,0.031557,-0.096617,-0.001624,-0.001685,1.000000,0.000621,-0.000117,0.000158,-0.024009,0.715757,-0.007139,-0.697900,-135.364780,88.009450,42.110724
24522,-9.647387,-0.087929,-0.094537,-0.149174,-0.139917,-0.166604,0.113852,-0.021881,0.026254,-0.096474,-0.000891,-0.000956,1.000000,0.000569,-0.000109,0.000131,-0.024286,0.715643,-0.007661,-0.698001,-135.404101,88.035661,42.006683
24523,-9.705213,-0.048993,-0.066524,-0.177187,-0.176045,-0.110337,0.087946,-0.022769,0.018060,-0.097052,-0.000498,-0.000677,1.000000,0.000440,-0.000114,0.000090,-0.024514,0.715522,-0.008068,-0.698113,-135.309875,88.059404,42.049443
24524,-9.745988,0.012945,-0.057488,-0.187404,-0.236025,-0.071182,0.054622,-0.016912,0.013711,-0.097460,0.000123,-0.000583,1.000000,0.000273,-0.000085,0.000069,-0.024623,0.715434,-0.008339,-0.698197,-135.292387,88.078542,42.036202
24525,-9.756634,0.032046,-0.105759,-0.137435,-0.256164,-0.059759,0.015753,-0.024310,0.000538,-0.097566,0.000320,-0.001069,1.000000,0.000079,-0.000122,0.000003,-0.024643,0.715316,-0.008422,-0.698315,-135.004278,88.095873,42.315912
24526,-9.720128,-0.027530,-0.144649,-0.091868,-0.197104,-0.093877,-0.011147,-0.025533,-0.006482,-0.097201,-0.000272,-0.001459,1.000000,-0.000056,-0.000128,-0.000032,-0.024588,0.715207,-0.008389,-0.698430,-134.667952,88.110292,42.659388
24527,-9.640980,-0.073651,-0.222703,-0.006134,-0.152728,-0.170066,-0.033950,-0.034166,-0.005331,-0.096409,-0.000734,-0.002243,1.000000,-0.000170,-0.000171,-0.000027,-0.024445,0.715061,-0.008270,-0.698585,-134.203061,88.129099,43.145526
24528,-9.676758,-0.226590,-0.220530,0.001485,-0.000609,-0.130765,-0.040017,-0.029066,-0.011915,-0.096767,-0.002261,-0.002219,1.000000,-0.000200,-0.000145,-0.000060,-0.024305,0.714943,-0.008117,-0.698713,-133.759509,88.142513,43.612827
24529,-9.749319,-0.230713,-0.191572,-0.025482,0.002553,-0.058791,-0.027839,-0.027357,-0.018511,-0.097493,-0.002298,-0.001929,1.000000,-0.000139,-0.000137,-0.000093,-0.024237,0.714821,-0.007980,-0.698842,-133.201149,88.152847,44.187771
24530,-9.702305,-0.250957,-0.264637,0.053108,0.019487,-0.103695,-0.016352,-0.036392,-0.020264,-0.097023,-0.002500,-0.002664,1.000000,-0.000082,-0.000182,-0.000101,-0.024211,0.714674,-0.007879,-0.698994,-132.533147,88.165313,44.866067
24531,-9.661576,-0.313299,-0.268165,0.064825,0.081286,-0.142873,0.007909,-0.039720,-0.019755,-0.096616,-0.003123,-0.002701,1.000000,0.000040,-0.000199,-0.000099,-0.024269,0.714505,-0.007854,-0.699165,-131.759823,88.179458,45.636759
24532,-9.693435,-0.347571,-0.174544,-0.023551,0.117833,-0.112197,0.027589,-0.036194,-0.021643,-0.096934,-0.003465,-0.001763,1.000000,0.000138,-0.000181,-0.000108,-0.024405,0.714354,-0.007901,-0.699314,-131.033242,88.190692,46.348464
