PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
16897,-4.355286,2.572613,8.686486,-0.239458,0.218580,0.234037,0.288481,0.060052,0.173983,-0.043549,0.025563,0.086915,0.999999,0.001442,0.000300,0.000870,-0.371698,-0.264972,0.051475,0.888246,18.655792,25.623440,-130.306546
16898,-4.386839,2.647686,8.657782,-0.185967,0.213080,0.243737,0.324491,0.050837,0.178819,-0.043870,0.026297,0.086632,0.999998,0.001622,0.000254,0.000894,-0.372039,-0.265744,0.053082,0.887778,18.893613,25.616541,-130.193365
16899,-4.356078,2.728907,8.596346,-0.149688,0.166374,0.200769,0.349525,0.044840,0.191305,-0.043567,0.027097,0.086021,0.999998,0.001748,0.000224,0.000957,-0.372401,-0.266530,0.054827,0.887284,19.148300,25.603502,-130.073786
16900,-4.280551,2.912611,8.553307,-0.085209,0.014925,0.185205,0.366342,0.045480,0.187869,-0.042813,0.028929,0.085596,0.999998,0.001832,0.000227,0.000939,-0.372721,-0.267351,0.056641,0.886788,19.411879,25.591094,-129.956395
16901,-4.220418,2.997503,8.507992,-0.074459,-0.054787,0.145936,0.372681,0.068009,0.203443,-0.042206,0.029773,0.085150,0.999998,0.001863,0.000340,0.001017,-0.373112,-0.268278,0.058460,0.886226,19.684983,25.587232,-129.824442
16902,-4.324591,3.131927,8.488045,0.047576,-0.049098,0.214931,0.370051,0.086650,0.213948,-0.043242,0.031116,0.084957,0.999998,0.001850,0.000433,0.001070,-0.373552,-0.269278,0.060249,0.885617,19.961171,25.590945,-129.682740
16903,-4.375962,2.958646,8.472644,-0.057708,0.138826,0.170577,0.360706,0.094381,0.227329,-0.043753,0.029384,0.084800,0.999998,0.001804,0.000472,0.001137,-0.374071,-0.270290,0.061997,0.884970,20.236053,25.595434,-129.530591
16904,-4.364258,3.058379,8.561134,-0.082460,0.079031,0.270974,0.372176,0.089660,0.230157,-0.043639,0.030374,0.085688,0.999998,0.001861,0.000448,0.001151,-0.374576,-0.271300,0.063810,0.884317,20.517951,25.596295,-129.378528
16905,-4.369283,3.029001,8.494995,-0.097859,0.138167,0.207372,0.382917,0.083461,0.233006,-0.043692,0.030076,0.085026,0.999997,0.001915,0.000417,0.001165,-0.375078,-0.272300,0.065686,0.883660,20.805976,25.592462,-129.226072
16906,-4.352731,3.088965,8.549191,-0.133640,0.109573,0.264345,0.398134,0.074855,0.244019,-0.043533,0.030666,0.085569,0.999997,0.001991,0.000374,0.001220,-0.375601,-0.273287,0.067660,0.882984,21.104819,25.581176,-129.069159
16907,-4.358967,3.146584,8.480909,-0.093253,0.111060,0.227541,0.414958,0.064486,0.241263,-0.043600,0.031237,0.084888,0.999997,0.002075,0.000322,0.001206,-0.376084,-0.274257,0.069723,0.882317,21.411334,25.564069,-128.916312
16908,-4.365481,3.206413,8.446825,-0.069778,0.110169,0.220764,0.433590,0.047783,0.248219,-0.043674,0.031827,0.084548,0.999997,0.002168,0.000239,0.001241,-0.376563,-0.275186,0.071909,0.881647,21.728662,25.535956,-128.763430
16909,-4.343191,3.270260,8.465747,-0.088668,0.083940,0.247713,0.446464,0.034006,0.246423,-0.043458,0.032460,0.084738,0.999997,0.002232,0.000170,0.001232,-0.377011,-0.276076,0.074175,0.880990,22.051169,25.500026,-128.615058
16910,-4.335509,3.317789,8.415275,-0.071751,0.086570,0.217684,0.456980,0.018352,0.247781,-0.043388,0.032932,0.084232,0.999997,0.002285,0.000092,0.001239,-0.377440,-0.276916,0.076518,0.880342,22.378380,25.454847,-128.469949
16911,-4.337911,3.462914,8.342684,0.024380,0.030356,0.207686,0.460117,0.005165,0.243413,-0.043419,0.034384,0.083507,0.999997,0.002301,0.000026,0.001217,-0.377839,-0.277702,0.078893,0.879713,22.704483,25.402798,-128.330932
