PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
34715,-2.715950,1.868435,9.596735,-0.013023,-0.076137,0.334168,-0.018163,0.362432,-0.059465,-0.026980,0.018701,0.096015,0.999998,-0.000091,0.001812,-0.000297,0.346438,0.162561,-0.036014,-0.923178,10.738253,15.973490,-137.350104
34716,-2.809110,1.861103,9.515160,0.047851,-0.032507,0.281351,-0.016741,0.379300,-0.068811,-0.027904,0.018629,0.095203,0.999998,-0.000084,0.001896,-0.000344,0.346171,0.164281,-0.035254,-0.923003,10.731327,16.191980,-137.352131
34717,-2.884090,1.806968,9.453571,0.059190,0.033118,0.234620,-0.013724,0.387166,-0.073793,-0.028651,0.018087,0.094590,0.999998,-0.000069,0.001936,-0.000369,0.345874,0.166045,-0.034487,-0.922828,10.725164,16.415720,-137.356688
34718,-2.871363,1.728170,9.399358,-0.009428,0.060414,0.166058,-0.010762,0.386325,-0.069483,-0.028526,0.017297,0.094048,0.999998,-0.000054,0.001932,-0.000347,0.345598,0.167807,-0.033742,-0.922640,10.721764,16.638249,-137.358314
34719,-2.977684,1.713751,9.368390,0.039086,0.115803,0.165049,-0.009792,0.374060,-0.063030,-0.029596,0.017151,0.093739,0.999998,-0.000049,0.001870,-0.000315,0.345343,0.169513,-0.033025,-0.922449,10.719210,16.853462,-137.358045
34720,-3.098749,1.733551,9.257708,0.147296,0.160843,0.100180,-0.004586,0.352200,-0.060220,-0.030819,0.017347,0.092631,0.999998,-0.000023,0.001761,-0.000301,0.345096,0.171126,-0.032374,-0.922267,10.719759,17.055798,-137.358064
34721,-3.150109,1.788569,9.193144,0.214942,0.133598,0.065163,-0.002266,0.321341,-0.050599,-0.031349,0.017895,0.091982,0.999999,-0.000011,0.001607,-0.000253,0.344881,0.172599,-0.031793,-0.922093,10.721946,17.240009,-137.356349
34722,-3.167225,1.817630,9.156951,0.235269,0.104952,0.042180,0.000739,0.281068,-0.051145,-0.031539,0.018184,0.091614,0.999999,0.000004,0.001405,-0.000256,0.344660,0.173891,-0.031297,-0.921950,10.724813,17.401382,-137.358758
34723,-3.219001,1.808638,9.128655,0.256766,0.129680,0.030213,-0.003609,0.237046,-0.051142,-0.032077,0.018096,0.091324,0.999999,-0.000018,0.001185,-0.000256,0.344429,0.174973,-0.030854,-0.921847,10.723319,17.538196,-137.366772
34724,-3.300208,1.859417,9.066522,0.351442,0.133072,0.006140,0.001158,0.186539,-0.052134,-0.032913,0.018602,0.090696,1.000000,0.000006,0.000933,-0.000261,0.344182,0.175829,-0.030523,-0.921787,10.723010,17.646469,-137.380903
34725,-3.345820,1.873759,9.066441,0.380814,0.140519,0.023016,0.005773,0.130386,-0.060840,-0.033393,0.018745,0.090687,1.000000,0.000029,0.000652,-0.000304,0.343882,0.176436,-0.030299,-0.921790,10.721492,17.724272,-137.406595
34726,-3.336030,1.946508,9.068067,0.411228,0.070994,0.034834,0.007682,0.072680,-0.069962,-0.033321,0.019473,0.090694,1.000000,0.000038,0.000363,-0.000350,0.343529,0.176782,-0.030178,-0.921860,10.717802,17.770397,-137.444113
34727,-3.337972,1.911150,9.074016,0.385435,0.094257,0.034895,0.007456,0.013331,-0.081151,-0.033366,0.019122,0.090743,1.000000,0.000037,0.000067,-0.000406,0.343115,0.176856,-0.030144,-0.922001,10.709538,17.784461,-137.494931
34728,-3.323193,1.895924,9.088174,0.361829,0.094022,0.040906,0.008484,-0.039322,-0.089934,-0.033241,0.018970,0.090876,1.000000,0.000042,-0.000197,-0.000450,0.342657,0.176691,-0.030201,-0.922201,10.698970,17.769727,-137.556237
34729,-3.258432,1.841422,9.145474,0.267317,0.091578,0.064967,0.014356,-0.083612,-0.104736,-0.032613,0.018425,0.091442,1.000000,0.000072,-0.000418,-0.000524,0.342113,0.176333,-0.030345,-0.922466,10.687133,17.731701,-137.631816
