// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472E6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
39277,-1.792780,2.122313,9.872641,-0.220627,-0.034378,0.440968,-0.021440,-0.141043,0.051254,-0.018003,0.021229,0.098711,1.000000,-0.000107,-0.000705,0.000256,0.320060,0.127554,-0.072210,-0.935990,12.765493,11.101981,-140.998247
39278,-1.854178,2.073103,9.827066,-0.177773,0.046683,0.398735,-0.035148,-0.098762,0.065160,-0.018597,0.020742,0.098258,1.000000,-0.000176,-0.000494,0.000326,0.320314,0.127008,-0.072271,-0.935973,12.752180,11.037605,-140.978335
39279,-1.823745,2.076510,9.779186,-0.176279,0.027225,0.347952,-0.035783,-0.063038,0.083213,-0.018277,0.020775,0.097782,1.000000,-0.000179,-0.000315,0.000416,0.320668,0.126613,-0.072285,-0.935904,12.741347,10.989926,-140.943369
39280,-1.815658,2.117825,9.834090,-0.166925,-0.005062,0.408038,-0.055454,-0.030818,0.099652,-0.018182,0.021196,0.098332,1.000000,-0.000277,-0.000154,0.000498,0.321097,0.126337,-0.072166,-0.935803,12.721634,10.959139,-140.897883
39281,-1.811720,2.113997,9.835640,-0.166898,-0.004536,0.408039,-0.062738,-0.002187,0.119205,-0.018131,0.021160,0.098350,1.000000,-0.000314,-0.000011,0.000596,0.321659,0.126171,-0.071979,-0.935647,12.700699,10.940954,-140.834591
39282,-1.778743,2.119690,9.827401,-0.182415,-0.032183,0.395177,-0.074618,0.027771,0.130036,-0.017788,0.021222,0.098269,1.000000,-0.000373,0.000139,0.000650,0.322228,0.126124,-0.071701,-0.935479,12.674806,10.939095,-140.768694
39283,-1.828838,2.201410,9.757993,-0.074457,-0.072908,0.355815,-0.080371,0.053607,0.136953,-0.018277,0.022041,0.097576,1.000000,-0.000402,0.000268,0.000685,0.322903,0.126184,-0.071353,-0.935265,12.647039,10.949926,-140.688146
39284,-1.906009,2.306119,9.692341,0.065025,-0.116169,0.330034,-0.087158,0.074021,0.131132,-0.019039,0.023091,0.096920,1.000000,-0.000436,0.000370,0.000656,0.323456,0.126329,-0.070947,-0.935085,12.615096,10.973798,-140.621211
39285,-1.937085,2.301265,9.670151,0.091990,-0.101712,0.313571,-0.090868,0.089447,0.115493,-0.019341,0.023045,0.096700,1.000000,-0.000454,0.000447,0.000577,0.324050,0.126547,-0.070479,-0.934885,12.579918,11.007439,-140.548324
39286,-2.002125,2.263851,9.630458,0.129576,-0.042948,0.279914,-0.094637,0.095919,0.098734,-0.019986,0.022674,0.096303,1.000000,-0.000473,0.000480,0.000494,0.324592,0.126804,-0.069965,-0.934701,12.540867,11.047766,-140.481337
39287,-2.013217,2.285691,9.584598,0.162693,-0.064847,0.242722,-0.092718,0.095697,0.082077,-0.020096,0.022893,0.095845,1.000000,-0.000464,0.000478,0.000410,0.325033,0.127060,-0.069457,-0.934551,12.501216,11.089149,-140.426731
39288,-2.104793,2.249754,9.521855,0.227241,0.007843,0.192589,-0.085821,0.086799,0.058914,-0.021013,0.022532,0.095218,1.000000,-0.000429,0.000434,0.000295,0.325353,0.127300,-0.068977,-0.934442,12.462719,11.129363,-140.386919
39289,-2.105326,2.254728,9.490022,0.238777,-0.005811,0.163267,-0.074900,0.069350,0.037552,-0.021025,0.022579,0.094899,1.000000,-0.000374,0.000347,0.000188,0.325565,0.127477,-0.068567,-0.934374,12.427792,11.161574,-140.361060
39290,-2.089935,2.118828,9.484195,0.148350,0.082510,0.126045,-0.067618,0.049700,0.019076,-0.020878,0.021218,0.094840,1.000000,-0.000338,0.000249,0.000095,0.325664,0.127586,-0.068209,-0.934351,12.394404,11.185989,-140.350021
39291,-2.111543,2.053596,9.422383,0.144365,0.137877,0.057334,-0.057660,0.032364,0.006033,-0.021101,0.020562,0.094221,1.000000,-0.000288,0.000162,0.000030,0.325705,0.127629,-0.067919,-0.934352,12.364980,11.201401,-140.346808
39292,-2.114814,2.143903,9.457169,0.191450,0.066829,0.110301,-0.033199,0.010501,-0.009847,-0.021142,0.021456,0.094569,1.000000,-0.000166,0.000053,-0.000049,0.325621,0.127621,-0.067770,-0.934393,12.347329,11.207457,-140.358638
39293,-2.036967,2.020282,9.464947,0.058752,0.113294,0.076686,-0.009354,-0.012727,-0.016928,-0.020374,0.020209,0.094647,1.000000,-0.000047,-0.000064,-0.000085,0.325508,0.127540,-0.067764,-0.934444,12.341942,11.200446,-140.374167
39294,-2.129561,2.124709,9.449460,0.196768,0.089900,0.101691,-0.002347,-0.032766,-0.023293,-0.021309,0.021251,0.094491,1.000000,-0.000012,-0.000164,-0.000116,0.325363,0.127387,-0.067816,-0.934512,12.339398,11.183949,-140.394757
39295,-2.014524,2.056951,9.501863,0.058002,0.075641,0.115337,0.011649,-0.053724,-0.028928,-0.020168,0.020567,0.095014,1.000000,0.000058,-0.000269,-0.000145,0.325167,0.127152,-0.067968,-0.934601,12.343737,11.155460,-140.422247
39296,-2.064998,2.092779,9.542834,0.109702,0.085366,0.171816,0.014496,-0.073276,-0.028119,-0.020682,0.020924,0.095422,1.000000,0.000072,-0.000366,-0.000141,0.324933,0.126837,-0.068168,-0.934711,12.349455,11.116891,-140.455677
39297,-2.007624,2.047184,9.536109,0.046435,0.090693,0.144647,0.022564,-0.090360,-0.024575,-0.020117,0.020464,0.095354,1.000000,0.000113,-0.000452,-0.000123,0.324738,0.126447,-0.068432,-0.934812,12.359682,11.067370,-140.485261
39298,-1.972300,2.069195,9.586972,0.024049,0.060844,0.191176,0.025374,-0.098177,-0.025120,-0.019767,0.020682,0.095863,1.000000,0.000127,-0.000491,-0.000126,0.324586,0.126037,-0.068713,-0.934899,12.371312,11.014535,-140.509762
39299,-1.911704,2.046656,9.607048,-0.034535,0.049853,0.194066,0.034567,-0.110735,-0.018964,-0.019168,0.020452,0.096063,1.000000,0.000173,-0.000554,-0.000095,0.324403,0.125570,-0.069071,-0.935000,12.388592,10.952935,-140.538708
39300,-1.860665,1.906855,9.656781,-0.163358,0.138554,0.202585,0.034563,-0.104898,-0.003240,-0.018657,0.019052,0.096561,1.000000,0.000173,-0.000524,-0.000016,0.324242,0.125129,-0.069433,-0.935088,12.407786,10.893622,-140.564291
39301,-1.892339,2.034382,9.714299,-0.074483,0.071076,0.290612,0.037445,-0.097933,0.013101,-0.018972,0.020324,0.097138,1.000000,0.000187,-0.000490,0.000066,0.324211,0.124715,-0.069804,-0.935126,12.430514,10.835254,-140.573393
39302,-1.925294,2.023726,9.684079,-0.042182,0.107566,0.265519,0.032301,-0.088067,0.024434,-0.019298,0.020219,0.096836,1.000000,0.000162,-0.000440,0.000122,0.324210,0.124339,-0.070140,-0.935151,12.451569,10.781934,-140.578227
39303,-1.841693,2.073647,9.733506,-0.085325,0.027596,0.307833,0.031322,-0.076219,0.031385,-0.018457,0.020718,0.097331,1.000000,0.000157,-0.000381,0.000157,0.324276,0.124010,-0.070458,-0.935148,12.473252,10.733460,-140.574225
39304,-1.908209,2.052636,9.712478,-0.037583,0.092172,0.295571,0.024415,-0.062974,0.044744,-0.019117,0.020510,0.097121,1.000000,0.000122,-0.000315,0.000224,0.324432,0.123737,-0.070726,-0.935110,12.492783,10.691696,-140.558420
39305,-1.821105,2.113746,9.729365,-0.069247,-0.001963,0.308582,0.023654,-0.047393,0.052519,-0.018240,0.021121,0.097292,1.000000,0.000118,-0.000237,0.000263,0.324611,0.123523,-0.070974,-0.935057,12.512962,10.656722,-140.538786
39306,-1.876095,2.181376,9.723867,0.015537,-0.014743,0.327888,0.023321,-0.027709,0.049007,-0.018780,0.021798,0.097239,1.000000,0.000117,-0.000139,0.000245,0.324679,0.123401,-0.071196,-0.935033,12.532871,10.634062,-140.531102
39307,-1.819189,2.108971,9.761338,-0.080789,0.013153,0.337891,0.033580,-0.009227,0.040491,-0.018201,0.021070,0.097616,1.000000,0.000168,-0.000046,0.000202,0.324809,0.123385,-0.071422,-0.934973,12.558346,10.621916,-140.513509
39308,-1.831250,2.181376,9.727297,-0.021592,-0.033583,0.322923,0.034163,0.010317,0.028673,-0.018311,0.021795,0.097278,1.000000,0.000171,0.000052,0.000143,0.324885,0.123473,-0.071607,-0.934920,12.583238,10.623079,-140.500738
39309,-1.896984,2.260042,9.779110,0.056469,-0.048414,0.401607,0.034790,0.034790,0.022479,-0.018955,0.022581,0.097798,1.000000,0.000174,0.000174,0.000112,0.324946,0.123672,-0.071756,-0.934862,12.608546,10.637781,-140.487808
39310,-1.860789,2.234535,9.755235,0.014643,-0.051438,0.366577,0.039708,0.056021,0.011561,-0.018582,0.022325,0.097562,1.000000,0.000199,0.000280,0.000058,0.324855,0.123981,-0.071896,-0.934842,12.635901,10.666570,-140.491265
39311,-1.933421,2.152273,9.692316,0.031703,0.054146,0.302026,0.026416,0.070638,0.005301,-0.019301,0.021509,0.096933,1.000000,0.000132,0.000353,0.000027,0.324853,0.124340,-0.071937,-0.934791,12.655464,10.703457,-140.483517
39312,-1.868701,2.252402,9.719119,0.026041,-0.064733,0.337276,0.033962,0.085243,-0.001351,-0.018645,0.022508,0.097203,1.000000,0.000170,0.000426,-0.000007,0.324677,0.124777,-0.072000,-0.934790,12.678826,10.750175,-140.495276
39313,-1.880425,2.189588,9.636849,0.012105,-0.015264,0.247073,0.029364,0.089068,-0.007261,-0.018761,0.021882,0.096380,1.000000,0.000147,0.000445,-0.000036,0.324622,0.125231,-0.072016,-0.934747,12.699200,10.798939,-140.492285
39314,-1.914369,2.215688,9.638488,0.043650,-0.017334,0.260660,0.027269,0.093951,-0.005763,-0.019098,0.022144,0.096397,1.000000,0.000136,0.000470,-0.000029,0.324598,0.125714,-0.072010,-0.934691,12.718639,10.851149,-140.485082
39315,-1.982155,2.187324,9.596294,0.081544,0.041377,0.226925,0.016305,0.091714,-0.006909,-0.019777,0.021866,0.095974,1.000000,0.000082,0.000459,-0.000035,0.324553,0.126159,-0.071961,-0.934650,12.731644,10.901345,-140.481517
