PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
39277,-10.159461,-1.240142,-0.956923,-0.343186,-0.384448,0.453896,-0.131543,0.021530,0.019425,-0.101594,-0.012418,-0.009550,1.000000,-0.000658,0.000108,0.000097,-0.064313,0.748604,0.046962,-0.658218,-128.379450,78.363879,50.207251
39278,-10.133025,-1.144172,-0.988460,-0.313490,-0.473499,0.416775,-0.149359,0.022126,0.009791,-0.101331,-0.011454,-0.009865,1.000000,-0.000747,0.000111,0.000049,-0.063748,0.748720,0.047405,-0.658109,-128.520852,78.360045,50.148015
39279,-10.081509,-1.122102,-0.919429,-0.379155,-0.482872,0.354139,-0.190304,0.016016,0.004437,-0.100816,-0.011232,-0.009176,1.000000,-0.000952,0.000080,0.000022,-0.063046,0.748827,0.048005,-0.658012,-128.662911,78.355959,50.112025
39280,-9.897862,-1.145008,-0.939531,-0.338636,-0.430650,0.180375,-0.219803,0.010971,-0.003366,-0.098979,-0.011459,-0.009377,0.999999,-0.001099,0.000055,-0.000017,-0.062257,0.748924,0.048733,-0.657923,-128.797471,78.350202,50.101000
39281,-9.934192,-1.192653,-1.059778,-0.227337,-0.391524,0.238618,-0.228220,0.014251,-0.013646,-0.099343,-0.011932,-0.010577,0.999999,-0.001141,0.000071,-0.000068,-0.061472,0.749030,0.049526,-0.657816,-128.925786,78.338649,50.101223
39282,-9.962605,-1.134666,-1.181055,-0.114919,-0.456027,0.272683,-0.264334,0.007811,-0.029245,-0.099628,-0.011348,-0.011792,0.999999,-0.001322,0.000039,-0.000146,-0.060601,0.749122,0.050498,-0.657718,-129.033738,78.322514,50.143344
39283,-10.011397,-1.255058,-1.297512,-0.008185,-0.347632,0.354213,-0.307563,-0.014652,-0.038709,-0.100115,-0.012551,-0.012963,0.999999,-0.001538,-0.000073,-0.000194,-0.059593,0.749150,0.051654,-0.657689,-129.101374,78.310249,50.251952
39284,-9.939117,-1.445780,-1.407278,0.107832,-0.150598,0.327453,-0.312812,-0.017955,-0.045079,-0.099393,-0.014457,-0.014059,0.999999,-0.001564,-0.000090,-0.000225,-0.058586,0.749164,0.052852,-0.657668,-129.154066,78.296422,50.378929
39285,-9.799293,-1.623926,-1.543984,0.258360,0.044603,0.236115,-0.295369,-0.017133,-0.041665,-0.097995,-0.016242,-0.015424,0.999999,-0.001477,-0.000086,-0.000208,-0.057633,0.749175,0.053980,-0.657648,-129.204367,78.283785,50.498116
39286,-9.651858,-1.767863,-1.646415,0.375170,0.208944,0.127633,-0.281636,-0.016088,-0.033376,-0.096520,-0.017686,-0.016447,0.999999,-0.001408,-0.000080,-0.000167,-0.056704,0.749187,0.055031,-0.657629,-129.263792,78.274523,50.599956
