PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
10156,-3.345574,0.264199,9.514295,0.034498,-0.072697,0.275821,0.013631,-0.019023,-0.005423,-0.033465,0.002636,0.095140,1.000000,0.000068,-0.000095,-0.000027,-0.329927,-0.162480,-0.047753,0.928692,1.125405,19.469086,-140.690801
10157,-3.328995,0.189935,9.471574,-0.011662,-0.014029,0.228661,0.007452,-0.016982,0.000645,-0.033298,0.001896,0.094713,1.000000,0.000037,-0.000085,0.000003,-0.329810,-0.162399,-0.047645,0.928753,1.131615,19.456150,-140.705006
10158,-3.316760,0.197968,9.504028,-0.023212,-0.032025,0.255335,0.002535,-0.014453,0.002078,-0.033174,0.001978,0.095038,1.000000,0.000013,-0.000072,0.000010,-0.329787,-0.162321,-0.047581,0.928778,1.135061,19.445114,-140.707967
10159,-3.347118,0.193607,9.460166,0.009037,-0.000444,0.224013,0.000379,-0.011534,-0.000714,-0.033477,0.001936,0.094600,1.000000,0.000002,-0.000058,-0.000004,-0.329811,-0.162255,-0.047540,0.928783,1.137325,19.436260,-140.705331
10160,-3.346219,0.193660,9.460483,0.009237,0.000067,0.224012,-0.000113,-0.007421,0.003152,-0.033466,0.001936,0.094604,1.000000,-0.000001,-0.000037,0.000016,-0.329794,-0.162205,-0.047499,0.928800,1.139499,19.429241,-140.707553
10161,-3.334626,0.201020,9.492720,-0.002397,-0.017908,0.250689,-0.005129,-0.010191,0.002436,-0.033351,0.002012,0.094925,1.000000,-0.000026,-0.000051,0.000012,-0.329796,-0.162137,-0.047478,0.928812,1.139049,19.420948,-140.707923
10162,-3.352377,0.171310,9.468780,-0.000615,0.021191,0.233462,-0.005031,-0.004892,0.004586,-0.033526,0.001715,0.094687,1.000000,-0.000025,-0.000024,0.000023,-0.329789,-0.162091,-0.047463,0.928823,1.138707,19.415361,-140.709244
10163,-3.328899,0.236501,9.445699,0.030028,-0.038429,0.205114,-0.004519,-0.001824,0.004073,-0.033290,0.002366,0.094457,1.000000,-0.000023,-0.000009,0.000020,-0.329801,-0.162060,-0.047448,0.928825,1.139362,19.411345,-140.707946
10164,-3.320901,0.156819,9.461739,-0.029379,0.015779,0.216089,-0.012616,-0.002512,0.003742,-0.033210,0.001574,0.094617,1.000000,-0.000063,-0.000013,0.000019,-0.329796,-0.162013,-0.047472,0.928834,1.134513,19.407131,-140.709749
10165,-3.310043,0.163752,9.493720,-0.041051,-0.002173,0.242770,-0.003765,0.000656,0.008605,-0.033100,0.001638,0.094937,1.000000,-0.000019,0.000003,0.000043,-0.329861,-0.161998,-0.047463,0.928814,1.136344,19.405082,-140.701497
10166,-3.344228,0.191301,9.461235,0.010174,0.003310,0.224011,-0.007757,0.004023,0.006864,-0.033440,0.001916,0.094613,1.000000,-0.000039,0.000020,0.000034,-0.329865,-0.161990,-0.047473,0.928814,1.134936,19.404576,-140.701322
10167,-3.333783,0.299276,9.469426,0.068394,-0.088292,0.230282,-0.004675,0.001941,0.006479,-0.033337,0.002994,0.094695,1.000000,-0.000023,0.000010,0.000032,-0.329830,-0.161975,-0.047452,0.928830,1.135963,19.402134,-140.705624
10168,-3.323826,0.187867,9.473431,-0.009838,-0.008010,0.228669,-0.002008,0.002090,0.008758,-0.033237,0.001878,0.094735,1.000000,-0.000010,0.000010,0.000044,-0.329838,-0.161968,-0.047431,0.928829,1.138224,19.400499,-140.704323
10169,-3.350091,0.136559,9.456927,-0.018227,0.051231,0.220870,-0.007024,-0.000678,0.008042,-0.033501,0.001368,0.094569,1.000000,-0.000035,-0.000003,0.000040,-0.329828,-0.161941,-0.047422,0.928838,1.137848,19.397237,-140.705902
10170,-3.357410,0.233463,9.492454,0.038471,-0.026435,0.258619,-0.002498,0.006203,0.012625,-0.033571,0.002334,0.094926,1.000000,-0.000012,0.000031,0.000063,-0.329853,-0.161953,-0.047407,0.928828,1.140624,19.397914,-140.702203
10171,-3.353022,0.169024,9.468592,0.000964,0.026267,0.233450,-0.001432,0.001153,0.012343,-0.033530,0.001689,0.094686,1.000000,-0.000007,0.000006,0.000062,-0.329880,-0.161944,-0.047374,0.928821,1.144432,19.395650,-140.698484
10172,-3.324765,0.187905,9.473101,-0.009122,-0.005831,0.228672,-0.005165,0.006055,0.010347,-0.033245,0.001880,0.094732,1.000000,-0.000026,0.000030,0.000052,-0.329897,-0.161950,-0.047373,0.928814,1.145220,19.396268,-140.696171
10173,-3.358513,0.233769,9.492057,0.038923,-0.024791,0.258622,-0.002420,0.004322,0.011422,-0.033583,0.002337,0.094921,1.000000,-0.000012,0.000022,0.000057,-0.329954,-0.161955,-0.047358,0.928794,1.148343,19.396178,-140.688536
10174,-3.356660,0.201535,9.480006,0.020294,0.001781,0.246034,-0.004333,0.006653,0.013676,-0.033564,0.002015,0.094801,1.000000,-0.000022,0.000033,0.000068,-0.329986,-0.161967,-0.047351,0.928781,1.150282,19.397100,-140.684193
10175,-3.310756,0.231768,9.457139,0.011673,-0.044321,0.209798,-0.002754,0.004670,0.012882,-0.033105,0.002317,0.094572,1.000000,-0.000014,0.000023,0.000064,-0.329974,-0.161971,-0.047321,0.928786,1.153563,19.396376,-140.685143
