PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
10156,-9.744358,-0.563117,-0.462006,0.077541,0.097208,-0.041935,-0.069105,0.031732,0.017153,-0.097444,-0.005641,-0.004603,1.000000,-0.000346,0.000159,0.000086,-0.055363,-0.714259,-0.092983,0.691465,-127.235772,86.435283,64.812445
10157,-9.766790,-0.558416,-0.400161,0.013795,0.079413,-0.022097,-0.062297,0.030239,0.016780,-0.097668,-0.005594,-0.003985,1.000000,-0.000311,0.000151,0.000084,-0.055744,-0.714335,-0.093287,0.691314,-127.568699,86.431037,64.535408
10158,-9.781854,-0.583914,-0.388897,-0.006118,0.102361,-0.006243,-0.054769,0.023750,0.021805,-0.097818,-0.005851,-0.003876,1.000000,-0.000274,0.000119,0.000109,-0.055986,-0.714407,-0.093402,0.691205,-127.869428,86.432076,64.263731
10159,-9.809487,-0.562547,-0.383376,-0.010479,0.080273,0.020059,-0.043720,0.020322,0.019463,-0.098095,-0.005636,-0.003823,1.000000,-0.000219,0.000102,0.000097,-0.056233,-0.714464,-0.093537,0.691108,-128.133361,86.433131,64.031035
10160,-9.781935,-0.579511,-0.393415,-0.005783,0.101990,-0.006239,-0.029292,0.017796,0.022452,-0.097819,-0.005807,-0.003925,1.000000,-0.000146,0.000089,0.000112,-0.056389,-0.714522,-0.093560,0.691031,-128.380572,86.436414,63.798358
10161,-9.738079,-0.614203,-0.378576,-0.028660,0.136914,-0.048919,-0.015664,0.017180,0.022965,-0.097380,-0.006154,-0.003777,1.000000,-0.000078,0.000086,0.000115,-0.056567,-0.714579,-0.093600,0.690953,-128.633951,86.440056,63.562766
10162,-9.766971,-0.547208,-0.411076,0.014607,0.078516,-0.022091,-0.007190,0.014954,0.024586,-0.097669,-0.005484,-0.004103,1.000000,-0.000036,0.000075,0.000123,-0.056652,-0.714634,-0.093539,0.690897,-128.861351,86.445188,63.337258
10163,-9.721729,-0.500445,-0.362093,-0.023634,0.027001,-0.071420,0.008988,0.014778,0.026660,-0.097217,-0.005017,-0.003614,1.000000,0.000045,0.000074,0.000133,-0.056639,-0.714696,-0.093367,0.690858,-129.076402,86.451579,63.107075
10164,-9.735487,-0.444132,-0.315587,-0.059256,-0.036408,-0.062214,0.011542,0.015221,0.028227,-0.097354,-0.004455,-0.003149,1.000000,0.000058,0.000076,0.000141,-0.056669,-0.714759,-0.093227,0.690809,-129.317673,86.458121,62.856915
10165,-9.761980,-0.467583,-0.270338,-0.111087,-0.022207,-0.036434,0.007300,0.017158,0.030192,-0.097619,-0.004690,-0.002695,1.000000,0.000036,0.000086,0.000151,-0.056749,-0.714827,-0.093122,0.690747,-129.591540,86.464825,62.580893
10166,-9.749567,-0.472786,-0.358606,-0.027521,0.004519,-0.045119,-0.013235,0.013822,0.031702,-0.097495,-0.004744,-0.003579,1.000000,-0.000066,0.000069,0.000159,-0.056880,-0.714880,-0.093055,0.690690,-129.859619,86.473268,62.318104
10167,-9.749666,-0.469552,-0.360157,-0.027088,0.004379,-0.045117,-0.006372,0.017059,0.033926,-0.097496,-0.004712,-0.003593,1.000000,-0.000032,0.000085,0.000170,-0.056890,-0.714953,-0.092848,0.690641,-130.144778,86.482289,62.016764
10168,-9.727299,-0.507604,-0.333968,-0.062093,0.039875,-0.066709,-0.002126,0.015118,0.031970,-0.097272,-0.005092,-0.003332,1.000000,-0.000011,0.000076,0.000160,-0.056982,-0.715014,-0.092742,0.690584,-130.419933,86.490212,61.740505
10169,-9.727417,-0.504273,-0.335559,-0.061950,0.039656,-0.066707,-0.008092,0.017072,0.036154,-0.097274,-0.005060,-0.003347,1.000000,-0.000040,0.000085,0.000181,-0.057170,-0.715076,-0.092706,0.690509,-130.743664,86.498911,61.429037
10170,-9.703853,-0.548911,-0.363970,-0.045484,0.093289,-0.087063,-0.019041,0.023600,0.035591,-0.097038,-0.005507,-0.003628,1.000000,-0.000095,0.000118,0.000178,-0.057331,-0.715164,-0.092648,0.690413,-131.113502,86.505026,61.067638
10171,-9.736421,-0.509696,-0.415522,0.009616,0.066837,-0.054318,-0.001173,0.021022,0.034153,-0.097364,-0.005114,-0.004145,1.000000,-0.000006,0.000105,0.000171,-0.057387,-0.715249,-0.092490,0.690342,-131.443770,86.511895,60.729092
10172,-9.723573,-0.426553,-0.416284,0.025971,-0.010954,-0.070905,0.015437,0.019405,0.032588,-0.097235,-0.004281,-0.004154,1.000000,0.000077,0.000097,0.000163,-0.057417,-0.715330,-0.092323,0.690278,-131.748070,86.518062,60.413563
10173,-9.747572,-0.413684,-0.298917,-0.089111,-0.046815,-0.052282,0.015888,0.021998,0.035797,-0.097475,-0.004154,-0.002979,1.000000,0.000079,0.000110,0.000179,-0.057503,-0.715416,-0.092193,0.690198,-132.094569,86.524339,60.063470
10174,-9.742458,-0.388242,-0.336825,-0.049203,-0.060786,-0.056994,0.005286,0.024027,0.034502,-0.097424,-0.003899,-0.003357,1.000000,0.000026,0.000120,0.000173,-0.057574,-0.715511,-0.092055,0.690112,-132.451389,86.529309,59.701158
10175,-9.729490,-0.305065,-0.338076,-0.032787,-0.138652,-0.073589,-0.012145,0.025197,0.032289,-0.097295,-0.003067,-0.003368,1.000000,-0.000061,0.000126,0.000161,-0.057730,-0.715598,-0.092025,0.690013,-132.805287,86.532521,59.357522
10176,-9.744366,-0.290952,-0.419204,0.046297,-0.133874,-0.055998,-0.015612,0.021216,0.029870,-0.097444,-0.002924,-0.004181,1.000000,-0.000078,0.000106,0.000149,-0.057861,-0.715675,-0.091975,0.689929,-133.126510,86.536381,59.042873
10177,-9.775789,-0.297379,-0.432214,0.053689,-0.124112,-0.023765,-0.030003,0.027788,0.033741,-0.097758,-0.002991,-0.004308,1.000000,-0.000150,0.000139,0.000169,-0.058168,-0.715762,-0.092084,0.689798,-133.537203,86.538496,58.666038
10178,-9.750439,-0.261261,-0.427565,0.054424,-0.156832,-0.050793,-0.035048,0.027637,0.026373,-0.097505,-0.002626,-0.004262,1.000000,-0.000175,0.000138,0.000132,-0.058353,-0.715854,-0.092115,0.689683,-133.891794,86.538115,58.329129
10179,-9.760431,-0.264094,-0.451583,0.074112,-0.147656,-0.039643,-0.036882,0.020552,0.024663,-0.097604,-0.002654,-0.004505,1.000000,-0.000184,0.000103,0.000123,-0.058654,-0.715911,-0.092274,0.689578,-134.199103,86.539141,58.059301
10180,-9.717574,-0.253533,-0.475812,0.098908,-0.149065,-0.081813,-0.035060,0.023626,0.019526,-0.097176,-0.002546,-0.004746,1.000000,-0.000175,0.000118,0.000098,-0.058817,-0.715985,-0.092329,0.689479,-134.481121,86.537338,57.795112
10181,-9.782552,-0.218485,-0.483842,0.109704,-0.183803,-0.018079,-0.029974,0.020489,0.015802,-0.097826,-0.002193,-0.004828,1.000000,-0.000150,0.000102,0.000079,-0.059078,-0.716036,-0.092518,0.689378,-134.718666,86.534288,57.594202
10182,-9.761076,-0.213009,-0.496694,0.122202,-0.184605,-0.039168,-0.029991,0.016484,0.008936,-0.097611,-0.002135,-0.004959,1.000000,-0.000150,0.000082,0.000045,-0.059190,-0.716083,-0.092591,0.689310,-134.878629,86.530935,57.449390
10183,-9.776330,-0.239916,-0.484270,0.102245,-0.161663,-0.023299,-0.031640,0.015586,0.001362,-0.097764,-0.002401,-0.004835,1.000000,-0.000158,0.000078,0.000007,-0.059322,-0.716119,-0.092736,0.689242,-134.986925,86.524730,57.363664
10184,-9.784095,-0.297680,-0.522793,0.125941,-0.098029,-0.011414,-0.038446,0.013094,-0.005109,-0.097841,-0.002975,-0.005221,1.000000,-0.000192,0.000065,-0.000026,-0.059417,-0.716145,-0.092888,0.689186,-135.034842,86.517029,57.335960
10185,-9.736491,-0.306580,-0.488622,0.091528,-0.095083,-0.060017,-0.035125,0.007609,-0.007935,-0.097365,-0.003063,-0.004882,1.000000,-0.000176,0.000038,-0.000040,-0.059467,-0.716152,-0.093010,0.689158,-135.017887,86.510727,57.366893
