PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
52009,-3.454870,1.394961,9.297073,-0.068229,-0.100617,0.202442,-0.000159,-0.067225,-0.062133,-0.034576,0.013960,0.092959,1.000000,-0.000001,-0.000336,-0.000311,-0.414682,-0.194108,-0.013112,0.888926,8.472006,20.852906,-128.420425
52010,-3.862672,1.196164,9.239247,0.045093,0.343061,0.266747,0.021955,-0.064782,-0.054997,-0.038653,0.011962,0.092381,1.000000,0.000110,-0.000324,-0.000275,-0.414387,-0.193851,-0.012904,0.889122,8.472255,20.818504,-128.463908
52011,-3.653114,1.247395,9.346534,-0.071126,0.141426,0.298389,0.033437,-0.057775,-0.039558,-0.036556,0.012466,0.093457,1.000000,0.000167,-0.000289,-0.000198,-0.414150,-0.193636,-0.012655,0.889284,8.480892,20.785857,-128.497926
52012,-3.744650,1.418457,9.181658,0.165902,0.131604,0.201923,0.035502,-0.051514,-0.031630,-0.037468,0.014174,0.091809,1.000000,0.000178,-0.000258,-0.000158,-0.413945,-0.193467,-0.012392,0.889419,8.494400,20.757010,-128.526038
52013,-3.547889,1.366721,9.150252,0.025679,0.031366,0.095941,0.012053,-0.038951,-0.034402,-0.035494,0.013668,0.091496,1.000000,0.000060,-0.000195,-0.000172,-0.413749,-0.193292,-0.012272,0.889550,8.492534,20.734666,-128.555222
52014,-3.420184,1.352631,9.276155,-0.099096,-0.074021,0.165240,-0.003452,-0.015712,-0.032321,-0.034207,0.013533,0.092759,1.000000,-0.000017,-0.000079,-0.000162,-0.413577,-0.193201,-0.012258,0.889650,8.484741,20.726167,-128.580508
52015,-3.825793,0.915111,9.491255,-0.256763,0.472078,0.447393,0.008490,-0.012314,-0.014061,-0.038263,0.009150,0.094911,1.000000,0.000042,-0.000062,-0.000070,-0.413474,-0.193139,-0.012189,0.889712,8.486080,20.717190,-128.594944
52016,-3.559192,0.998436,9.305198,-0.289380,0.259657,0.192325,0.054595,-0.023808,0.000262,-0.035603,0.009959,0.093050,1.000000,0.000273,-0.000119,0.000001,-0.413391,-0.193134,-0.011868,0.889756,8.518276,20.701348,-128.601223
52017,-3.479634,1.304237,9.354013,-0.128045,-0.003602,0.251607,0.050627,-0.011648,0.003493,-0.034802,0.013018,0.093541,1.000000,0.000253,-0.000058,0.000017,-0.413325,-0.193163,-0.011597,0.889784,8.547383,20.691324,-128.605018
52018,-3.518573,1.374015,9.229607,-0.014024,0.005152,0.159960,0.019557,-0.012246,0.015911,-0.035192,0.013728,0.092295,1.000000,0.000098,-0.000061,0.000080,-0.413344,-0.193138,-0.011441,0.889783,8.563221,20.680704,-128.600781
52019,-3.202440,1.247853,9.290360,-0.311972,-0.152196,0.086962,-0.012908,-0.001389,0.023517,-0.032027,0.012481,0.092903,1.000000,-0.000065,-0.000007,0.000118,-0.413428,-0.193082,-0.011454,0.889756,8.560540,20.674780,-128.591515
52020,-3.520188,1.153821,9.284299,-0.195367,0.143857,0.180428,0.022698,0.019308,0.016107,-0.035194,0.011525,0.092848,1.000000,0.000113,0.000097,0.000081,-0.413444,-0.193204,-0.011349,0.889723,8.579235,20.682020,-128.584283
52021,-3.734030,1.242744,9.254265,0.002702,0.248970,0.240512,0.040344,-0.002357,-0.004349,-0.037341,0.012410,0.092545,1.000000,0.000202,-0.000012,-0.000022,-0.413352,-0.193252,-0.011151,0.889758,8.601021,20.677877,-128.591998
52022,-3.509276,1.513305,9.237221,0.075099,-0.087705,0.183213,0.037208,-0.005126,-0.017397,-0.035094,0.015119,0.092374,1.000000,0.000186,-0.000026,-0.000087,-0.413206,-0.193294,-0.010963,0.889819,8.620077,20.674145,-128.607287
52023,-3.561657,1.464195,9.227308,0.072190,-0.014187,0.185666,0.000123,-0.001167,-0.017192,-0.035616,0.014645,0.092273,1.000000,0.000001,-0.000006,-0.000086,-0.413096,-0.193263,-0.010959,0.889877,8.616131,20.671827,-128.622663
52024,-3.615817,1.381763,9.202095,0.052567,0.083744,0.169906,-0.020861,-0.004246,-0.013784,-0.036159,0.013830,0.092019,1.000000,-0.000104,-0.000021,-0.000069,-0.413022,-0.193189,-0.011028,0.889927,8.602718,20.668283,-128.635684
52025,-3.552480,1.398985,9.307632,-0.004462,0.005612,0.247593,-0.033191,0.004339,-0.009158,-0.035522,0.014007,0.093075,1.000000,-0.000166,0.000022,-0.000046,-0.412980,-0.193115,-0.011175,0.889960,8.581620,20.668426,-128.645678
52026,-3.727236,1.362205,9.317522,0.069251,0.153903,0.313300,-0.031372,0.006031,0.005232,-0.037270,0.013636,0.093174,1.000000,-0.000157,0.000030,0.000026,-0.413000,-0.193066,-0.011293,0.889960,8.566582,20.669072,-128.646242
52027,-3.506772,1.485201,9.312631,0.034590,-0.089611,0.248084,-0.029456,0.022631,0.005397,-0.035058,0.014865,0.093128,1.000000,-0.000147,0.000113,0.000027,-0.413018,-0.193082,-0.011448,0.889946,8.551340,20.678376,-128.645751
52028,-3.697472,1.360305,9.307647,0.055476,0.130353,0.293447,-0.021187,0.025351,0.009910,-0.036964,0.013611,0.093080,1.000000,-0.000106,0.000127,0.000050,-0.413048,-0.193140,-0.011556,0.889918,8.543759,20.689570,-128.641724
52029,-3.527877,1.441407,9.238795,0.040201,-0.037373,0.181105,-0.035788,0.021122,0.001844,-0.035269,0.014430,0.092389,1.000000,-0.000179,0.000106,0.000009,-0.413056,-0.193137,-0.011739,0.889913,8.524114,20.698349,-128.643514
52030,-3.442529,1.521032,9.255147,0.045643,-0.158778,0.177057,-0.050858,0.021165,-0.005316,-0.034415,0.015235,0.092551,1.000000,-0.000254,0.000106,-0.000027,-0.413047,-0.193114,-0.011986,0.889919,8.496137,20.708464,-128.649098
52031,-3.664126,1.397129,9.205829,0.103794,0.088170,0.192638,-0.083504,0.024141,-0.010008,-0.036629,0.014012,0.092057,1.000000,-0.000418,0.000121,-0.000050,-0.413049,-0.193025,-0.012398,0.889932,8.446769,20.719944,-128.657787
52032,-3.534950,1.503015,9.196371,0.115068,-0.080694,0.152673,-0.091302,0.017858,-0.011651,-0.035340,0.015074,0.091960,1.000000,-0.000457,0.000089,-0.000058,-0.413051,-0.192904,-0.012824,0.889951,8.394148,20.728709,-128.667524
52033,-3.555311,1.364870,9.220951,0.023523,0.013089,0.163700,-0.118285,0.020081,-0.016652,-0.035543,0.013706,0.092205,1.000000,-0.000591,0.000100,-0.000083,-0.413056,-0.192725,-0.013389,0.889979,8.323346,20.738462,-128.680611
52034,-3.512529,1.223377,9.280606,-0.119442,0.055494,0.184652,-0.108278,0.037033,-0.003828,-0.035108,0.012285,0.092806,1.000000,-0.000541,0.000185,-0.000019,-0.413108,-0.192654,-0.013922,0.889962,8.263267,20.757431,-128.683933
52035,-3.485553,1.128227,9.367516,-0.230431,0.073551,0.242849,-0.079589,0.060308,-0.004123,-0.034827,0.011320,0.093681,1.000000,-0.000398,0.000302,-0.000021,-0.413129,-0.192735,-0.014386,0.889928,8.218567,20.788950,-128.685915
52036,-4.111580,1.043121,9.436167,0.050116,0.566300,0.517426,-0.038203,0.055084,0.000419,-0.041090,0.010449,0.094371,1.000000,-0.000191,0.000275,0.000002,-0.413130,-0.192889,-0.014641,0.889889,8.200100,20.817803,-128.685111
52037,-3.892327,1.224530,9.319666,0.095976,0.305034,0.356068,-0.022162,-0.004583,-0.008705,-0.038925,0.012257,0.093194,1.000000,-0.000111,-0.000023,-0.000044,-0.413080,-0.192800,-0.014721,0.889931,8.185206,20.812977,-128.695597
52038,-3.455023,1.270493,9.292257,-0.114388,-0.040224,0.181445,-0.022533,0.000558,-0.013698,-0.034549,0.012718,0.092921,1.000000,-0.000113,0.000003,-0.000068,-0.413008,-0.192743,-0.014807,0.889975,8.170978,20.812058,-128.708130
52039,-3.877354,1.174927,9.292248,0.064752,0.330188,0.318797,-0.021554,-0.024043,-0.018569,-0.038784,0.011763,0.092917,1.000000,-0.000108,-0.000120,-0.000093,-0.412914,-0.192568,-0.014853,0.890056,8.153698,20.797037,-128.726293
52040,-3.394110,1.251549,9.239222,-0.139869,-0.062519,0.108306,-0.024107,-0.024681,-0.018054,-0.033951,0.012530,0.092387,1.000000,-0.000121,-0.000123,-0.000090,-0.412826,-0.192395,-0.014898,0.890133,8.136858,20.782150,-128.743657
52041,-3.536063,1.209024,9.293867,-0.102592,0.058586,0.203673,-0.027456,-0.013072,-0.016247,-0.035366,0.012106,0.092935,1.000000,-0.000137,-0.000065,-0.000081,-0.412747,-0.192257,-0.014992,0.890198,8.117027,20.773191,-128.759453
52042,-3.543835,1.186435,9.257865,-0.099906,0.084742,0.170163,-0.030264,-0.003545,-0.013754,-0.035439,0.011881,0.092576,1.000000,-0.000151,-0.000018,-0.000069,-0.412682,-0.192166,-0.015103,0.890246,8.098242,20.769935,-128.772369
52043,-3.566405,1.207545,9.250200,-0.065261,0.086475,0.173897,-0.045147,0.004408,-0.008564,-0.035661,0.012098,0.092500,1.000000,-0.000226,0.000022,-0.000043,-0.412654,-0.192070,-0.015304,0.890276,8.070444,20.770265,-128.781995
52044,-3.527165,1.194788,9.262094,-0.098449,0.061232,0.169364,-0.048272,0.007159,-0.001211,-0.035268,0.011970,0.092619,1.000000,-0.000241,0.000036,-0.000006,-0.412661,-0.191991,-0.015507,0.890286,8.044367,20.772064,-128.786379
52045,-3.578934,1.171052,9.267820,-0.084892,0.110398,0.189974,-0.040966,0.018376,0.005156,-0.035781,0.011729,0.092679,1.000000,-0.000205,0.000092,0.000026,-0.412689,-0.191966,-0.015705,0.890275,8.022322,20.779222,-128.786489
52046,-3.427319,1.043255,9.265277,-0.266898,0.080995,0.117190,-0.028760,0.039085,0.001211,-0.034255,0.010446,0.092658,1.000000,-0.000144,0.000195,0.000006,-0.412686,-0.192069,-0.015884,0.890251,8.008914,20.798938,-128.786677
52047,-3.433854,1.004812,9.445482,-0.353548,0.072311,0.281266,0.000186,0.085176,-0.000851,-0.034298,0.010048,0.094469,1.000000,0.000001,0.000426,-0.000004,-0.412641,-0.192426,-0.016043,0.890192,8.011127,20.844469,-128.784746
