PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
52009,-9.767193,-0.919628,-1.387904,0.092419,0.767779,0.065167,-0.399855,0.057847,-0.129276,-0.097682,-0.009161,-0.013832,0.999998,-0.001999,0.000289,-0.000646,-0.104378,-0.731793,-0.133376,0.660148,-167.657415,83.734162,31.728550
52010,-9.889940,-1.372712,-1.526637,0.053195,1.224008,0.213520,-0.362333,0.055106,-0.110959,-0.098911,-0.013700,-0.015214,0.999998,-0.001812,0.000276,-0.000555,-0.105281,-0.731706,-0.135000,0.659771,-167.349795,83.690237,32.244670
52011,-9.951952,-1.587341,-1.522881,-0.034252,1.413920,0.280866,-0.282434,0.010268,-0.083845,-0.099527,-0.015853,-0.015201,0.999999,-0.001412,0.000051,-0.000419,-0.106017,-0.731534,-0.136231,0.659590,-167.097104,83.674086,32.659586
52012,-9.781518,-1.584462,-1.406904,-0.127599,1.378425,0.099510,-0.182652,-0.024701,-0.047330,-0.097817,-0.015834,-0.014067,1.000000,-0.000913,-0.000124,-0.000237,-0.106526,-0.731318,-0.136987,0.659591,-166.920626,83.682425,32.940217
52013,-9.599266,-1.351799,-1.135979,-0.283768,1.078415,-0.116285,-0.050885,-0.025789,-0.010686,-0.095992,-0.013516,-0.011369,1.000000,-0.000254,-0.000129,-0.000053,-0.106677,-0.731200,-0.137172,0.659660,-166.857741,83.695363,33.030624
52014,-9.546192,-1.065593,-0.833149,-0.462818,0.711442,-0.208571,0.039276,-0.010542,0.017331,-0.095461,-0.010663,-0.008339,1.000000,0.000196,-0.000053,0.000087,-0.106579,-0.731193,-0.136967,0.659725,-166.896458,83.704142,32.966813
52015,-9.599383,-0.829399,-0.618095,-0.588488,0.415775,-0.184660,0.059274,0.010386,0.031206,-0.095993,-0.008307,-0.006178,1.000000,0.000296,0.000052,0.000156,-0.106438,-0.731281,-0.136656,0.659716,-167.021022,83.702254,32.805090
52016,-9.654450,-0.638450,-0.760519,-0.396978,0.282992,-0.119559,0.029239,0.018501,0.032598,-0.096544,-0.006399,-0.007597,1.000000,0.000146,0.000093,0.000163,-0.106406,-0.731375,-0.136444,0.659660,-167.176668,83.696738,32.629424
52017,-9.699075,-0.521425,-1.065339,-0.078804,0.274394,-0.045529,0.017777,0.027289,0.029823,-0.096991,-0.005228,-0.010641,1.000000,0.000089,0.000136,0.000149,-0.106400,-0.731494,-0.136286,0.659562,-167.334808,83.685241,32.457820
52018,-9.715252,-0.315430,-1.114637,0.032889,0.096985,-0.029153,0.050252,0.030701,0.016450,-0.097154,-0.003159,-0.011132,1.000000,0.000251,0.000154,0.000082,-0.106230,-0.731628,-0.136070,0.659485,-167.409882,83.670789,32.351099
