PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
57958,-9.771025,-1.052078,-0.583379,-0.164680,0.051272,0.030604,0.016099,0.007054,-0.001275,-0.097711,-0.010520,-0.005831,1.000000,0.000080,0.000035,-0.000006,-0.345306,-0.593682,-0.422193,0.591658,-124.430862,83.764708,121.414651
57959,-9.796741,-1.049039,-0.616895,-0.145932,0.077793,0.057967,0.021460,0.001188,-0.008730,-0.097968,-0.010485,-0.006169,1.000000,0.000107,0.000006,-0.000044,-0.345200,-0.593701,-0.422150,0.591731,-124.382671,83.759744,121.448611
57960,-9.780087,-1.012413,-0.607471,-0.115809,0.055672,0.037571,0.018505,-0.001391,-0.013010,-0.097801,-0.010117,-0.006076,1.000000,0.000093,-0.000007,-0.000065,-0.345091,-0.593695,-0.422128,0.591816,-124.306276,83.752879,121.512633
57961,-9.659510,-0.992558,-0.715721,-0.058399,0.157416,-0.077423,0.029114,-0.007022,-0.009012,-0.096595,-0.009920,-0.007162,1.000000,0.000146,-0.000035,-0.000045,-0.344979,-0.593703,-0.422049,0.591930,-124.217533,83.750420,121.582976
57962,-9.597943,-0.933666,-0.683994,-0.019192,0.111011,-0.145868,0.055494,-0.010863,-0.013342,-0.095980,-0.009328,-0.006848,1.000000,0.000277,-0.000054,-0.000067,-0.344780,-0.593731,-0.421902,0.592123,-124.078288,83.746417,121.688909
57963,-9.572108,-0.938735,-0.649105,-0.037382,0.084660,-0.173224,0.086479,-0.008188,-0.007701,-0.095721,-0.009381,-0.006499,1.000000,0.000432,-0.000041,-0.000039,-0.344503,-0.593837,-0.421647,0.592359,-123.955624,83.744922,121.760313
57964,-9.656148,-0.900010,-0.596145,-0.016993,0.013802,-0.096406,0.106199,-0.003685,-0.007431,-0.096562,-0.008993,-0.005968,1.000000,0.000531,-0.000018,-0.000037,-0.344156,-0.593986,-0.421345,0.592626,-123.835982,83.741384,121.817304
57965,-9.737448,-0.873730,-0.564798,0.001125,-0.032690,-0.019872,0.113889,0.001533,-0.020604,-0.097375,-0.008724,-0.005652,1.000000,0.000569,0.000008,-0.000103,-0.343739,-0.594140,-0.421064,0.592913,-123.702525,83.730614,121.883768
57966,-9.798769,-0.825886,-0.600374,0.066812,-0.026306,0.038874,0.103289,0.000411,-0.037292,-0.097989,-0.008237,-0.006008,1.000000,0.000516,0.000002,-0.000186,-0.343303,-0.594234,-0.420866,0.593213,-123.516625,83.711503,122.009096
57967,-9.788567,-0.763355,-0.636041,0.142793,-0.019820,0.025124,0.101446,-0.000318,-0.047690,-0.097887,-0.007607,-0.006364,1.000000,0.000507,-0.000002,-0.000238,-0.342847,-0.594304,-0.420698,0.593525,-123.305870,83.688317,122.160505
57968,-9.785709,-0.669267,-0.662669,0.245113,-0.035577,0.015120,0.096535,-0.004260,-0.056196,-0.097859,-0.006662,-0.006632,1.000000,0.000483,-0.000021,-0.000281,-0.342384,-0.594331,-0.420568,0.593857,-123.052436,83.661514,122.357686
57969,-9.775585,-0.608507,-0.697941,0.321093,-0.029104,0.001359,0.082969,-0.011323,-0.064328,-0.097757,-0.006051,-0.006987,1.000000,0.000415,-0.000057,-0.000322,-0.341956,-0.594302,-0.420486,0.594192,-122.761280,83.633605,122.600659
57970,-9.787353,-0.562513,-0.699263,0.371781,-0.049145,0.008567,0.076195,-0.019341,-0.070441,-0.097875,-0.005588,-0.007004,1.000000,0.000381,-0.000097,-0.000352,-0.341543,-0.594219,-0.420432,0.594549,-122.419448,83.604374,122.898539
57971,-9.717450,-0.437271,-0.791451,0.528311,-0.011925,-0.067577,0.074795,-0.023163,-0.084093,-0.097175,-0.004329,-0.007927,1.000000,0.000374,-0.000116,-0.000420,-0.341106,-0.594099,-0.420412,0.594935,-122.033439,83.570185,123.241704
57972,-9.685759,-0.364216,-0.662707,0.548331,-0.157796,-0.114225,0.064185,-0.014269,-0.100920,-0.096859,-0.003591,-0.006635,1.000000,0.000321,-0.000071,-0.000505,-0.340627,-0.593947,-0.420493,0.595304,-121.645825,83.524178,123.592630
57973,-9.728925,-0.403285,-0.594266,0.497712,-0.210664,-0.072274,0.052268,-0.014114,-0.116208,-0.097291,-0.003975,-0.005951,1.000000,0.000261,-0.000071,-0.000581,-0.340141,-0.593746,-0.420651,0.595669,-121.236210,83.471064,123.972605
57974,-9.726942,-0.528935,-0.443290,0.332448,-0.298487,-0.071535,0.045069,-0.016872,-0.127571,-0.097272,-0.005226,-0.004442,1.000000,0.000225,-0.000084,-0.000638,-0.339645,-0.593498,-0.420863,0.596050,-120.791668,83.412208,124.391930
57975,-9.623317,-0.661165,-0.388954,0.196602,-0.286778,-0.165111,0.051469,-0.018185,-0.147681,-0.096238,-0.006540,-0.003900,1.000000,0.000257,-0.000091,-0.000738,-0.339077,-0.593217,-0.421109,0.596479,-120.300324,83.344083,124.854735
57976,-9.519187,-0.794604,-0.334856,0.060886,-0.275097,-0.258681,0.040850,-0.010408,-0.160173,-0.095198,-0.007869,-0.003355,1.000000,0.000204,-0.000052,-0.000801,-0.338482,-0.592912,-0.421440,0.596887,-119.822791,83.266447,125.309819
57977,-9.514399,-0.931195,-0.293526,-0.064794,-0.261321,-0.252115,0.024870,-0.002461,-0.182184,-0.095152,-0.009225,-0.002938,1.000000,0.000124,-0.000012,-0.000911,-0.337856,-0.592559,-0.421894,0.597271,-119.350883,83.175798,125.768548
57978,-9.586049,-0.957320,-0.326389,-0.052842,-0.234881,-0.176436,0.010217,-0.000252,-0.188476,-0.095869,-0.009483,-0.003265,1.000000,0.000051,-0.000001,-0.000942,-0.337246,-0.592171,-0.422417,0.597631,-118.889942,83.080320,126.224755
57979,-9.691697,-1.051792,-0.410239,-0.078337,-0.137595,-0.056743,0.003573,-0.000896,-0.187972,-0.096927,-0.010427,-0.004103,1.000000,0.000018,-0.000004,-0.000940,-0.336661,-0.591775,-0.422954,0.597974,-118.448018,82.985476,126.665751
57980,-9.771766,-1.145914,-0.406842,-0.142061,-0.117523,0.032719,-0.011034,0.008674,-0.187780,-0.097729,-0.011368,-0.004064,1.000000,-0.000055,0.000043,-0.000939,-0.336097,-0.591378,-0.423552,0.598260,-118.061183,82.887126,127.059732
57981,-9.777547,-1.234430,-0.425398,-0.197598,-0.073042,0.049402,-0.023616,0.008437,-0.178921,-0.097787,-0.012257,-0.004248,1.000000,-0.000118,0.000042,-0.000895,-0.335599,-0.590981,-0.424158,0.598501,-117.714001,82.793644,127.421126
57982,-9.735609,-1.413333,-0.470766,-0.328041,0.038044,0.030693,-0.047729,0.009738,-0.167484,-0.097368,-0.014053,-0.004700,1.000000,-0.000239,0.000049,-0.000837,-0.335201,-0.590568,-0.424808,0.598672,-117.414198,82.704746,127.748723
57983,-9.644417,-1.583742,-0.429149,-0.493535,0.072002,-0.042405,-0.065881,0.014671,-0.145205,-0.096456,-0.015769,-0.004279,1.000000,-0.000329,0.000073,-0.000726,-0.334916,-0.590190,-0.425450,0.598748,-117.200753,82.626340,127.999833
57984,-9.599050,-1.770310,-0.497242,-0.626064,0.207429,-0.061379,-0.076035,0.018965,-0.124682,-0.096002,-0.017645,-0.004957,1.000000,-0.000380,0.000095,-0.000623,-0.334709,-0.589848,-0.426073,0.598758,-117.051467,82.556528,128.192114
57985,-9.583896,-1.933263,-0.468990,-0.777885,0.243477,-0.058503,-0.069937,0.017723,-0.098656,-0.095849,-0.019287,-0.004675,1.000000,-0.000350,0.000089,-0.000493,-0.334568,-0.589570,-0.426595,0.598738,-116.952364,82.500921,128.330325
57986,-9.539921,-2.009037,-0.456569,-0.848302,0.261552,-0.093287,-0.049767,0.023470,-0.082388,-0.095408,-0.020052,-0.004550,1.000000,-0.000249,0.000117,-0.000412,-0.334400,-0.589375,-0.427022,0.598720,-116.893191,82.451424,128.416579
57987,-9.525092,-2.068333,-0.456384,-0.898256,0.281764,-0.100458,-0.026212,0.026553,-0.056662,-0.095257,-0.020657,-0.004548,1.000000,-0.000131,0.000133,-0.000283,-0.334238,-0.589286,-0.427304,0.598697,-116.887487,82.414954,128.435328
57988,-9.531438,-2.043265,-0.505349,-0.851751,0.310392,-0.093799,-0.019053,0.034507,-0.030363,-0.095318,-0.020419,-0.005035,1.000000,-0.000095,0.000173,-0.000152,-0.334111,-0.589286,-0.427505,0.598625,-116.954795,82.389126,128.376243
57989,-9.520575,-1.985996,-0.512590,-0.797748,0.290423,-0.110753,-0.034718,0.036035,-0.004839,-0.095207,-0.019859,-0.005105,1.000000,-0.000174,0.000180,-0.000024,-0.334108,-0.589322,-0.427675,0.598469,-117.090529,82.376644,128.257214
57990,-9.527924,-1.955712,-0.562710,-0.751232,0.319042,-0.104101,-0.047720,0.042272,0.024424,-0.095278,-0.019570,-0.005602,1.000000,-0.000239,0.000211,0.000122,-0.334213,-0.589414,-0.427813,0.598222,-117.309701,82.376621,128.061481
57991,-9.512923,-1.913339,-0.559128,-0.721309,0.296955,-0.124513,-0.068367,0.046532,0.054071,-0.095125,-0.019161,-0.005563,1.000000,-0.000342,0.000233,0.000270,-0.334463,-0.589551,-0.427928,0.597864,-117.620336,82.391192,127.785445
57992,-9.524394,-1.965013,-0.562006,-0.774553,0.317115,-0.107498,-0.097750,0.048067,0.085986,-0.095237,-0.019694,-0.005588,1.000000,-0.000489,0.000240,0.000430,-0.334887,-0.589707,-0.428044,0.597389,-118.014247,82.420497,127.442364
57993,-9.535660,-2.016850,-0.619737,-0.808064,0.388075,-0.087618,-0.120208,0.040896,0.111604,-0.095347,-0.020225,-0.006166,1.000000,-0.000601,0.000204,0.000558,-0.335474,-0.589864,-0.428135,0.596841,-118.454292,82.465144,127.065785
57994,-9.509087,-2.018974,-0.614267,-0.828209,0.386048,-0.115197,-0.109998,0.052086,0.136191,-0.095079,-0.020258,-0.006107,1.000000,-0.000550,0.000260,0.000681,-0.336074,-0.590118,-0.428145,0.596243,-118.982628,82.517808,126.594265
57995,-9.547645,-1.959942,-0.678934,-0.761227,0.416794,-0.080954,-0.081971,0.054291,0.165433,-0.095462,-0.019681,-0.006755,1.000000,-0.000410,0.000271,0.000827,-0.336679,-0.590494,-0.427985,0.595645,-119.579012,82.584692,126.038016
57996,-9.648676,-1.851761,-0.637277,-0.690538,0.325846,0.003067,-0.063885,0.050614,0.177199,-0.096472,-0.018605,-0.006342,1.000000,-0.000319,0.000253,0.000886,-0.337268,-0.590908,-0.427734,0.595081,-120.181936,82.656843,125.464791
57997,-9.669653,-1.657108,-0.631171,-0.533974,0.241307,0.000732,-0.044685,0.055036,0.193630,-0.096682,-0.016666,-0.006281,0.999999,-0.000223,0.000275,0.000968,-0.337845,-0.591407,-0.427380,0.594512,-120.846010,82.735861,124.818943
57998,-9.619927,-1.441152,-0.570041,-0.386765,0.105989,-0.076979,-0.016254,0.059083,0.204598,-0.096186,-0.014510,-0.005671,0.999999,-0.000081,0.000295,0.001023,-0.338355,-0.591984,-0.426920,0.593978,-121.543712,82.817187,124.122876
57999,-9.637492,-1.150735,-0.503049,-0.170268,-0.071646,-0.095469,0.007827,0.063447,0.210334,-0.096364,-0.011609,-0.005000,0.999999,0.000039,0.000317,0.001052,-0.338808,-0.592631,-0.426374,0.593467,-122.280627,82.899756,123.373527
58000,-9.678546,-0.859935,-0.524234,0.084860,-0.172183,-0.083778,0.011176,0.065776,0.204899,-0.096778,-0.008698,-0.005211,0.999999,0.000056,0.000329,0.001024,-0.339223,-0.593274,-0.425843,0.592969,-123.021799,82.976904,122.618064
58001,-9.692742,-0.572914,-0.512514,0.321248,-0.299101,-0.099425,-0.009448,0.072323,0.196165,-0.096924,-0.005824,-0.005090,0.999999,-0.000047,0.000362,0.000981,-0.339665,-0.593887,-0.425403,0.592417,-123.800658,83.047430,121.836678
58002,-9.738101,-0.362605,-0.519680,0.498589,-0.381662,-0.074214,-0.045906,0.070771,0.184828,-0.097379,-0.003717,-0.005161,0.999999,-0.000230,0.000354,0.000924,-0.340179,-0.594403,-0.425108,0.591816,-124.573045,83.110964,121.082939
58003,-9.781511,-0.156782,-0.581245,0.695654,-0.413439,-0.046137,-0.082926,0.069910,0.155008,-0.097816,-0.001646,-0.005778,1.000000,-0.000415,0.000350,0.000775,-0.340721,-0.594796,-0.425004,0.591184,-125.301821,83.160393,120.394605
58004,-9.837000,-0.114455,-0.667126,0.757283,-0.358498,0.011910,-0.119647,0.064266,0.132291,-0.098371,-0.001214,-0.006639,1.000000,-0.000598,0.000321,0.000661,-0.341313,-0.595055,-0.425071,0.590534,-125.969049,83.199362,119.789473
58005,-9.837202,-0.095582,-0.761023,0.799477,-0.281273,0.017905,-0.152614,0.056729,0.104913,-0.098374,-0.001013,-0.007582,1.000000,-0.000763,0.000284,0.000525,-0.341942,-0.595182,-0.425298,0.589878,-126.561285,83.228195,119.278966
