PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
28995,-9.721119,2.328853,-1.125391,0.323545,0.087602,0.241061,-0.064860,-0.044392,0.002555,-0.097209,0.023284,-0.011283,1.000000,-0.000324,-0.000222,0.000013,-0.108525,-0.732106,0.059204,0.669880,108.339664,75.465150,-67.630753
28996,-9.889387,2.424050,-1.160257,0.354281,0.038086,0.429150,-0.083343,-0.052196,-0.002824,-0.098890,0.024237,-0.011638,1.000000,-0.000417,-0.000261,-0.000014,-0.108778,-0.731883,0.058954,0.670104,108.184190,75.477511,-67.745200
28997,-9.903714,2.574510,-1.216796,0.426913,-0.098816,0.482953,-0.106425,-0.076173,-0.002639,-0.099032,0.025740,-0.012219,1.000000,-0.000532,-0.000381,-0.000013,-0.109111,-0.731565,0.058640,0.670424,107.963596,75.494011,-67.912924
28998,-9.941399,2.913837,-1.061325,0.300734,-0.430027,0.587933,-0.089523,-0.097373,0.003393,-0.099409,0.029132,-0.010675,1.000000,-0.000448,-0.000487,0.000017,-0.109395,-0.731185,0.058417,0.670812,107.704466,75.510693,-68.130763
28999,-9.663277,3.326373,-1.069667,0.373900,-0.890451,0.417422,-0.160341,-0.101533,0.024162,-0.096631,0.033243,-0.010772,1.000000,-0.000802,-0.000508,0.000121,-0.110006,-0.730744,0.058035,0.671226,107.380526,75.516511,-68.373470
29000,-9.471301,3.380967,-0.762398,0.103704,-1.006244,0.221974,-0.178590,-0.083241,0.075165,-0.094723,0.033767,-0.007694,0.999999,-0.000893,-0.000416,0.000376,-0.110860,-0.730340,0.057768,0.671547,107.052496,75.490928,-68.609762
29001,-9.313569,3.550895,-0.902339,0.280776,-1.183356,0.121418,-0.203027,-0.065591,0.130332,-0.093156,0.035439,-0.009090,0.999999,-0.001015,-0.000328,0.000652,-0.111998,-0.729965,0.057607,0.671781,106.712676,75.431828,-68.843160
29002,-9.065145,3.878429,-0.976119,0.409339,-1.533631,-0.032491,-0.212126,-0.041740,0.201298,-0.090688,0.038683,-0.009821,0.999999,-0.001061,-0.000209,0.001006,-0.113409,-0.729643,0.057664,0.671888,106.377097,75.329506,-69.067529
29003,-9.095721,4.315300,-0.927227,0.397052,-1.927086,0.104082,-0.239900,-0.012899,0.280098,-0.091017,0.043014,-0.009330,0.999998,-0.001200,-0.000064,0.001400,-0.115199,-0.729377,0.057897,0.671853,106.041229,75.178829,-69.275279
29004,-8.943952,4.868718,-1.162872,0.692726,-2.441195,0.117645,-0.321975,0.020464,0.374916,-0.089532,0.048501,-0.011698,0.999997,-0.001610,0.000102,0.001875,-0.117611,-0.729146,0.058183,0.671661,105.678596,74.970408,-69.462825
